# CREATED_DATE: 2018-03-19T18:54:52.943Z
# MODIFIED_DATE: 2021-10-01T22:11:18.694Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5861; (15:09:16.09, -11:19:18.01)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017erp
# RA: 227.311708333333
# DEC: -11.3342222222222
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-06-13T15:01:28Z
# REDSHIFT: 0.006174
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-03-08T15:00:00Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0925
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.012
# SLUG: 2017erp
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [11, 13, 19]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57961.596	G	145881.426  26872.352	14.590  0.200	None	Gaia	Gaia-Photometric
OBS:	  58224.518	Unknown	758.578  83.841	20.300  0.120	None	Pan-STARRS1	GPC1
OBS:	  57917.626	Unknown	19054.607  0.000	16.800  0.000	None	Unknown	Unknown
OBS:	  57918.695	B	20872.571  241.182	16.701  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57918.698	rp	30098.504  253.929	16.304  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57918.704	V	31432.616  269.494	16.257  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57918.708	ip	7389.568  7389.568	17.828  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57918.718	gp	26319.638  157.000	16.449  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57918.726	V	31864.275  272.626	16.242  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57918.730	ip	21707.868  254.054	16.659  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57918.745	gp	26693.232  158.792	16.434  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57918.750	rp	30848.851  204.728	16.277  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57918.754	B	21581.907  189.002	16.664  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57919.736	B	28789.243  231.973	16.352  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57919.741	ip	31132.269  310.717	16.267  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  57919.745	rp	43733.816  294.754	15.898  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57919.757	gp	37769.377  198.763	16.058  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57919.763	V	45356.536  351.326	15.858  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57920.959	B	47963.104  336.631	15.798  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57920.965	rp	66673.829  358.940	15.440  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57920.978	gp	59995.760  347.434	15.555  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57920.985	V	69578.809  578.159	15.394  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57920.988	ip	48025.204  452.068	15.797  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57923.008	rp	121930.125  541.639	14.785  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57923.020	gp	114340.546  466.808	14.854  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57923.028	V	127065.446  625.606	14.740  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57923.032	ip	89075.455  438.227	15.125  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57923.036	B	101634.951  564.102	14.983  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57924.958	rp	179758.228  1489.314	14.364  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57924.962	B	173236.191  1096.121	14.404  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57924.971	gp	187835.691  917.790	14.315  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57924.975	ip	135306.866  1242.861	14.672  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57924.978	V	184217.592  1666.223	14.337  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57925.969	rp	212824.960  2743.327	14.179  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  57925.975	gp	205707.811  2217.494	14.217  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57925.978	V	218759.287  1874.179	14.150  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57925.984	ip	167252.047  1123.600	14.441  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57925.986	B	196792.800  1962.637	14.265  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  57927.942	B	277395.119  1405.694	13.892  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57927.950	V	288101.671  1367.013	13.851  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57927.955	gp	289743.537  1157.849	13.845  0.004	None	Siding_Spring_1m	Sinistro
OBS:	  57927.958	rp	279125.826  1160.485	13.886  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57927.962	ip	211720.466  998.163	14.186  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57928.959	B	301989.604  1818.165	13.800  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57928.964	V	311472.133  1545.567	13.767  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57928.971	gp	317535.533  1362.412	13.746  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57928.976	rp	298937.370  1357.282	13.811  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57928.980	ip	224289.961  1084.203	14.123  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57931.952	B	360206.086  2790.457	13.609  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57931.957	V	372767.552  3335.381	13.572  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57932.959	B	356946.751  2414.010	13.619  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57932.961	V	388263.412  2046.352	13.527  0.006	None	Siding_Spring_1m	Sinistro
