SURVEY:   LSST
SNID:     1051080
IAUC:     NULL
SNTYPE:   136
RA:       259.266357  # deg
DEC:      -16.884041  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3323 +- 0.0166  # MW E(B-V) 
PEAKMJD:  60275.898     # estimate for LC fit codes
MJD_TRIGGER:       60363.387  
MJD_DETECT_FIRST:  60356.387  
MJD_DETECT_LAST:   60431.324  

REDSHIFT_HELIO:   1.071277 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.071311 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9690027208  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0713  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          259.266375    # deg 
HOSTGAL_DEC:         -16.884033    # deg 
HOSTGAL_SNSEP:       0.030       # arcsec 
HOSTGAL_DDLR:        0.341       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.539 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.235
HOSTGAL_SQRADIUS:     6.064   # Ixx + Iyy
HOSTGAL_MAG:     29.60  28.59  27.15  26.05  25.09  24.72 # ugrizY
HOSTGAL_MAGERR:  26.62   0.27   0.11   0.06   0.06   0.10 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  751   # template index for SIMSED,NONIa
SIM_LIBID:           79    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.07128  
SIM_REDSHIFT_CMB:    1.07132  
SIM_REDSHIFT_HOST:   1.04181  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9690027208 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.349 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.539 -9.000 
SIM_DLMU:            44.2852   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0206   # mag 
SIM_RA:              259.266357     # deg  
SIM_DEC:             -16.884041      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3161   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60275.898    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -289.47  # days 
SIM_TRESTMAX:        141.06  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.54  27.54  26.78  26.66  26.52  26.46  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59676.3232 i WFD  3.2219e-02  1.142e-02    0  1.000 44.580  1.48 1.478e+04  99.0000 
OBS: 59680.2494 i WFD  1.4774e-03  1.068e-02    0  1.000 45.310  1.79 2.240e+04  99.0000 
OBS: 59681.2606 z WFD -1.6878e-05  1.519e-02    0  1.000 45.000  1.36 3.151e+04  99.0000 
OBS: 59683.2719 Y WFD -7.6249e-03  3.044e-02    0  1.000 44.070  1.28 2.849e+04  99.0000 
OBS: 59685.2945 Y WFD -2.7251e-02  2.046e-02    0  1.000 45.080  1.24 5.011e+04  99.0000 
OBS: 59694.3682 g WFD  7.9093e-03  6.535e-03    0  1.000 44.910  1.89 8.978e+03  99.0000 
OBS: 59703.4253 z WFD -2.4540e-02  4.110e-02    0  1.000 43.490  1.56 1.850e+04  99.0000 
OBS: 59705.4226 z WFD -2.8638e-02  4.143e-02    0  1.000 44.240  1.97 2.946e+04  99.0000 
OBS: 59752.0791 i WFD -3.1152e-02  2.496e-02    0  1.000 44.580  3.13 1.528e+04  99.0000 
OBS: 59774.2379 z WFD -4.8883e-02  5.431e-02    0  1.000 44.690  2.29 5.029e+04  99.0000 
OBS: 59775.0974 z WFD -3.1220e-02  2.092e-02    0  1.000 45.910  2.19 6.230e+04  99.0000 
OBS: 59780.1365 r WFD -1.6330e-04  7.805e-03    0  1.000 44.840  1.69 1.124e+04  99.0000 
OBS: 59787.1024 r WFD -1.7499e-02  1.266e-02    0  1.000 44.850  2.77 1.123e+04  99.0000 
OBS: 59790.9889 u WFD -1.5041e-02  2.034e-02    0  1.000 41.320  1.80 1.072e+03  99.0000 
OBS: 59806.0633 r WFD -1.8863e-02  1.838e-02    0  1.000 44.150  1.89 1.254e+04  99.0000 
OBS: 59809.9778 Y WFD -7.3381e-03  3.395e-02    0  1.000 44.340  1.40 3.725e+04  99.0000 
OBS: 59811.9996 g WFD  4.4187e-03  5.091e-03    0  1.000 44.890  1.70 7.634e+03  99.0000 
OBS: 59813.0859 r WFD  1.1975e-02  9.617e-03    0  1.000 44.820  1.96 1.173e+04  99.0000 
OBS: 59819.0427 u WFD -6.3168e-03  2.231e-02    0  1.000 41.310  1.94 1.081e+03  99.0000 
OBS: 59845.0456 r WFD  8.8907e-04  1.323e-02    0  1.000 44.800  2.41 1.288e+04  99.0000 
OBS: 59846.0413 i WFD -1.0626e-02  1.547e-02    0  1.000 45.310  2.44 2.380e+04  99.0000 
OBS: 59987.3845 z WFD -9.2153e-02  6.304e-02    0  1.000 43.490  2.10 2.108e+04  99.0000 
OBS: 59993.3854 z WFD -4.6625e-02  4.965e-02    0  1.000 43.490  2.11 1.652e+04  99.0000 
OBS: 59997.3688 u WFD  1.5298e-02  3.269e-02    0  1.000 41.100  2.37 1.069e+03  99.0000 
OBS: 59999.3912 z WFD -1.3942e-02  3.961e-02    0  1.000 43.500  1.71 1.642e+04  99.0000 
OBS: 60000.3515 g WFD  8.2025e-03  7.315e-03    0  1.000 44.750  1.95 8.405e+03  99.0000 
OBS: 60000.3956 Y WFD -8.0814e-02  5.474e-02    0  1.000 43.760  1.43 3.447e+04  99.0000 
OBS: 60002.3625 r WFD -5.3864e-03  1.244e-02    0  1.000 44.810  2.30 1.281e+04  99.0000 
OBS: 60002.4007 Y WFD -1.1000e-01  1.192e-01    0  1.000 42.600  1.57 2.348e+04  99.0000 
OBS: 60009.3469 Y WFD  7.9858e-02  1.367e-01    0  1.000 42.540  2.64 1.516e+04  99.0000 
OBS: 60011.3628 Y WFD  1.4596e-01  7.073e-02    0  1.000 43.750  2.37 2.662e+04  99.0000 
OBS: 60023.3457 r WFD -3.3262e-03  6.226e-03    0  1.000 44.850  1.28 1.195e+04  99.0000 
OBS: 60025.4010 z WFD  2.8783e-02  2.253e-02    0  1.000 43.520  1.15 1.414e+04  99.0000 
OBS: 60027.3028 u WFD -6.2448e-03  2.001e-02    0  1.000 41.200  1.60 1.063e+03  99.0000 
