SURVEY:   LSST
SNID:     1053128
IAUC:     NULL
SNTYPE:   136
RA:       115.331672  # deg
DEC:      -29.566561  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.4180 +- 0.0209  # MW E(B-V) 
PEAKMJD:  60382.664     # estimate for LC fit codes
MJD_TRIGGER:       60327.047  
MJD_DETECT_FIRST:  60306.125  
MJD_DETECT_LAST:   60466.961  

REDSHIFT_HELIO:   1.192815 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.194395 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7940863401  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1928  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          115.331431    # deg 
HOSTGAL_DEC:         -29.566326    # deg 
HOSTGAL_SNSEP:       0.547       # arcsec 
HOSTGAL_DDLR:        2.755       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.614 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.165
HOSTGAL_SQRADIUS:     9.398   # Ixx + Iyy
HOSTGAL_MAG:     26.66  25.98  25.06  24.22  23.13  22.64 # ugrizY
HOSTGAL_MAGERR:   0.12   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  751   # template index for SIMSED,NONIa
SIM_LIBID:           2127    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.19281  
SIM_REDSHIFT_CMB:    1.19440  
SIM_REDSHIFT_HOST:   1.13789  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7940863401 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.292 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.614 -9.000 
SIM_DLMU:            44.5759   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0112   # mag 
SIM_RA:              115.331673     # deg  
SIM_DEC:             -29.566561      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.4134   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60382.664    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -364.71  # days 
SIM_TRESTMAX:        132.94  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.32  28.25  27.35  27.07  26.92  26.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 147 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.3414 u WFD -3.2441e-02  3.071e-02    0  1.000 41.190  2.53 1.021e+03  99.0000 
OBS: 59585.3660 z WFD  1.0902e-02  6.770e-02    0  1.000 43.500  1.73 2.773e+04  99.0000 
OBS: 59589.0675 Y WFD  2.5372e-02  8.866e-02    0  1.000 42.490  1.75 1.416e+04  99.0000 
OBS: 59589.3181 i WFD -6.5140e-03  1.399e-02    0  1.000 44.580  1.84 1.457e+04  99.0000 
OBS: 59594.0785 Y WFD -5.2893e-02  6.640e-02    0  1.000 43.300  1.84 2.127e+04  99.0000 
OBS: 59598.3058 z WFD  3.9966e-02  7.018e-02    0  1.000 44.260  3.18 3.149e+04  99.0000 
OBS: 59600.2905 z WFD  1.5311e-02  3.220e-02    0  1.000 44.260  1.80 2.553e+04  99.0000 
OBS: 59601.3212 i WFD -5.2820e-02  4.150e-02    0  1.000 43.830  2.32 1.718e+04  99.0000 
OBS: 59602.0407 Y WFD  1.1929e-01  1.173e-01    0  1.000 42.520  2.18 1.547e+04  99.0000 
OBS: 59611.0401 z WFD -1.8350e-02  4.430e-02    0  1.000 43.500  2.10 1.495e+04  99.0000 
OBS: 59633.1374 g WFD  2.1346e-02  1.208e-02    0  1.000 44.180  2.51 6.378e+03  99.0000 
OBS: 59653.0845 Y WFD -1.9021e-02  6.035e-02    0  1.000 43.350  1.87 1.992e+04  99.0000 
OBS: 59657.0924 z WFD -1.2551e-02  2.188e-02    0  1.000 45.030  1.69 3.755e+04  99.0000 
OBS: 59679.9898 Y WFD  6.0024e-02  6.092e-02    0  1.000 42.600  1.43 1.318e+04  99.0000 
OBS: 59682.9911 Y WFD  1.1646e-01  4.977e-02    0  1.000 42.600  1.12 1.374e+04  99.0000 
OBS: 59685.0298 Y WFD -4.3679e-03  6.123e-02    0  1.000 42.580  1.27 1.464e+04  99.0000 
OBS: 59691.9814 z WFD  4.9935e-02  3.506e-02    0  1.000 43.510  1.87 1.341e+04  99.0000 
OBS: 59693.9745 Y WFD  2.6718e-02  8.680e-02    0  1.000 42.590  2.01 1.323e+04  99.0000 
OBS: 59702.9643 z WFD -4.2942e-02  3.005e-02    0  1.000 43.510  1.34 1.604e+04  99.0000 
OBS: 59712.0264 Y WFD  2.7176e-02  7.286e-02    0  1.000 43.250  1.92 2.136e+04  99.0000 
OBS: 59850.3768 g WFD  7.7105e-03  1.200e-02    0  1.000 44.040  2.82 4.958e+03  99.0000 
OBS: 59851.3627 u WFD -5.5913e-03  2.576e-02    0  1.000 41.120  2.06 9.866e+02  99.0000 
OBS: 59859.3584 i WFD -2.4442e-02  1.622e-02    0  1.000 44.600  1.48 2.139e+04  99.0000 
OBS: 59860.3131 Y WFD -1.2731e-01  9.821e-02    0  1.000 42.500  1.78 1.556e+04  99.0000 
OBS: 59874.2912 u WFD  2.9629e-03  2.765e-02    0  1.000 41.030  2.13 9.424e+02  99.0000 
OBS: 59874.3724 z WFD -2.6213e-02  3.042e-02    0  1.000 44.280  1.75 2.526e+04  99.0000 
OBS: 59881.3703 z WFD  3.4264e-03  3.590e-02    0  1.000 43.540  1.16 2.275e+04  99.0000 
OBS: 59883.3675 z WFD  1.0039e-02  3.349e-02    0  1.000 43.540  1.21 2.035e+04  99.0000 
OBS: 59884.3349 r WFD -1.3363e-02  7.507e-03    0  1.000 44.080  1.23 7.378e+03  99.0000 
OBS: 59887.3420 r WFD  3.2558e-03  1.052e-02    0  1.000 44.070  1.73 7.283e+03  99.0000 
OBS: 59895.2913 i WFD -2.6676e-02  1.908e-02    0  1.000 44.630  1.56 2.454e+04  99.0000 
OBS: 59901.2550 r WFD -8.9186e-03  1.298e-02    0  1.000 44.810  2.91 1.056e+04  99.0000 
OBS: 59903.2946 r WFD  7.5992e-03  8.432e-03    0  1.000 44.830  1.98 1.027e+04  99.0000 
OBS: 59904.2204 u WFD -4.3997e-02  3.374e-02    0  1.000 41.070  2.67 9.518e+02  99.0000 
OBS: 59905.2134 u WFD -1.6882e-02  2.802e-02    0  1.000 41.020  2.16 9.329e+02  99.0000 
OBS: 59906.2694 r WFD -8.6863e-03  8.580e-03    0  1.000 44.830  2.00 1.035e+04  99.0000 
OBS: 59907.2138 r WFD  5.2137e-03  8.039e-03    0  1.000 44.800  1.76 1.072e+04  99.0000 
OBS: 59919.1933 z WFD -1.5529e-02  3.388e-02    0  1.000 44.260  1.82 2.656e+04  99.0000 
OBS: 59920.2177 Y WFD  1.0993e-02  5.228e-02    0  1.000 43.320  1.47 2.135e+04  99.0000 
OBS: 59923.1928 z WFD  1.2564e-02  1.961e-02    0  1.000 45.020  1.42 3.968e+04  99.0000 
OBS: 59924.1702 Y WFD -6.0103e-02  8.475e-02    0  1.000 42.540  1.66 1.494e+04  99.0000 
OBS: 59926.3132 i WFD  7.6875e-03  1.766e-02    0  1.000 44.640  1.63 2.194e+04  99.0000 
OBS: 59927.2386 r WFD -3.8141e-02  1.349e-02    0  1.000 44.940  1.78 2.023e+04  99.0000 
OBS: 59928.1969 i WFD  7.3493e-03  1.334e-02    0  1.000 45.340  2.31 2.228e+04  99.0000 
OBS: 59930.2327 g WFD  2.8470e-03  4.134e-03    0  1.000 44.850  1.45 7.004e+03  99.0000 
OBS: 59931.1666 g WFD -7.0149e-04  5.100e-03    0  1.000 44.750  1.78 6.419e+03  99.0000 
OBS: 59935.1362 i WFD  3.1927e-03  1.337e-02    0  1.000 44.560  1.66 1.515e+04  99.0000 
OBS: 59937.1538 r WFD -1.6490e-03  4.462e-03    0  1.000 46.000  1.73 1.827e+04  99.0000 
OBS: 59941.1527 i WFD  1.6336e-02  1.206e-02    0  1.000 44.580  1.60 1.444e+04  99.0000 
OBS: 59943.1613 r WFD -6.7941e-03  8.952e-03    0  1.000 44.870  1.71 1.310e+04  99.0000 
OBS: 59946.1105 i WFD  9.0530e-03  2.833e-02    0  1.000 44.590  2.54 2.157e+04  99.0000 
OBS: 59950.1930 Y WFD  7.7456e-02  7.139e-02    0  1.000 42.600  1.47 1.502e+04  99.0000 
OBS: 59956.1750 r WFD -8.7480e-03  2.492e-02    0  1.000 44.190  2.27 1.469e+04  99.0000 
OBS: 59976.0580 Y WFD  1.2427e-01  7.379e-02    0  1.000 42.580  1.61 1.392e+04  99.0000 
OBS: 59979.1254 Y WFD  6.2799e-02  5.567e-02    0  1.000 42.600  1.16 1.484e+04  99.0000 
OBS: 59985.1966 i WFD -1.6091e-02  1.770e-02    0  1.000 44.630  1.66 2.140e+04  99.0000 
OBS: 60002.0161 Y WFD -6.3829e-02  8.864e-02    0  1.000 42.580  1.79 1.504e+04  99.0000 
OBS: 60011.1315 Y WFD  1.7570e-01  8.888e-02    0  1.000 42.580  1.79 1.508e+04  99.0000 
OBS: 60012.0873 z WFD -4.8057e-02  5.376e-02    0  1.000 44.280  3.06 2.554e+04  99.0000 
OBS: 60024.9987 z WFD  8.2386e-03  2.237e-02    0  1.000 43.520  1.13 1.429e+04  99.0000 
OBS: 60036.1068 Y WFD -3.1343e-02  7.571e-02    0  1.000 42.560  1.54 1.466e+04  99.0000 
OBS: 60038.0704 Y WFD -3.2914e-02  5.527e-02    0  1.000 43.330  1.60 2.093e+04  99.0000 
OBS: 60040.0902 Y WFD -1.6571e-02  7.298e-02    0  1.000 43.310  1.99 2.181e+04  99.0000 
OBS: 60051.0315 u WFD -1.1479e-03  1.371e-02    0  1.000 42.030  1.75 1.429e+03  99.0000 
OBS: 60052.9799 z WFD  3.7641e-02  2.767e-02    0  1.000 43.510  1.45 1.365e+04  99.0000 
OBS: 60053.9796 z WFD  1.3734e-02  2.285e-02    0  1.000 43.510  1.20 1.362e+04  99.0000 
OBS: 60056.9790 z WFD -5.9363e-03  2.062e-02    0  1.000 44.270  1.48 2.006e+04  99.0000 
OBS: 60057.0320 g WFD -5.9512e-03  4.230e-03    0  1.000 44.790  1.50 6.555e+03  99.0000 
OBS: 60064.0380 i WFD -2.1265e-02  2.192e-02    0  1.000 45.350  2.79 3.059e+04  99.0000 
OBS: 60099.9520 Y WFD -2.6867e-01  1.870e-01    0  1.000 42.550  2.57 2.150e+04  99.0000 
OBS: 60101.9515 Y WFD  5.6293e-02  1.244e-01    0  1.000 42.530  1.66 2.173e+04  99.0000 
OBS: 60227.3549 g WFD  1.5431e-03  5.469e-03    0  1.000 44.790  1.87 6.799e+03  99.0000 
OBS: 60232.3630 r WFD  1.0973e-02  1.444e-02    0  1.000 44.080  2.28 7.656e+03  99.0000 
OBS: 60233.3145 u WFD -4.2015e-02  3.422e-02    0  1.000 41.000  2.59 9.329e+02  99.0000 
OBS: 60240.3125 r WFD -9.8734e-03  9.377e-03    0  1.000 44.800  2.02 1.089e+04  99.0000 
OBS: 60242.3374 i WFD -9.0105e-03  1.471e-02    0  1.000 44.590  1.72 1.654e+04  99.0000 
OBS: 60245.3307 Y WFD  5.2372e-02  6.548e-02    0  1.000 43.330  1.93 2.055e+04  99.0000 
OBS: 60249.3336 i WFD -2.1224e-03  3.760e-02    0  1.000 43.870  2.27 1.650e+04  99.0000 
OBS: 60251.3584 z WFD  3.5400e-02  4.551e-02    0  1.000 44.280  2.28 2.901e+04  99.0000 
OBS: 60262.2735 r WFD  1.1890e-02  7.513e-03    0  1.000 44.820  1.70 1.056e+04  99.0000 
OBS: 60269.2456 i WFD -2.1041e-02  1.580e-02    0  1.000 44.580  1.97 1.537e+04  99.0000 
OBS: 60270.3516 z WFD -4.2198e-02  3.710e-02    0  1.000 43.520  1.69 1.584e+04  99.0000 
OBS: 60272.2128 Y WFD  1.4070e-02  7.339e-02    0  1.000 42.540  1.50 1.432e+04  99.0000 
OBS: 60272.2353 i WFD  1.5647e-02  1.952e-02    0  1.000 44.610  1.74 2.209e+04  99.0000 
OBS: 60275.2257 z WFD -4.4508e-02  4.189e-02    0  1.000 44.260  2.10 2.846e+04  32.3556 
OBS: 60276.2723 Y WFD -1.4321e-01  9.015e-02    0  1.000 42.580  1.86 1.472e+04  31.6396 
OBS: 60282.3308 r WFD  1.0926e-02  1.383e-02    0  1.000 44.180  1.50 1.222e+04  32.6787 
OBS: 60283.1879 r WFD  1.9364e-02  9.777e-03    0  1.000 44.800  2.15 1.067e+04  32.5573 
OBS: 60284.3154 g WFD  1.9484e-02  1.185e-02    0  1.000 44.200  2.31 6.925e+03  34.9325 
OBS: 60290.1695 u WFD -6.0053e-03  2.596e-02    0  1.000 41.810  2.91 1.328e+03  34.5992 
OBS: 60291.1578 u WFD  2.4839e-02  3.178e-02    0  1.000 41.000  2.43 9.234e+02  34.5416 
OBS: 60301.1172 Y WFD  2.8698e-01  1.021e-01    0  1.000 42.500  1.95 1.477e+04  29.0502 
OBS: 60305.1129 Y WFD  3.0009e-01  8.573e-02    0  1.000 43.260  2.05 2.376e+04  28.7391 
OBS: 60306.1263 z WFD  2.1847e-01  3.703e-02 4096  1.000 44.250  1.67 3.135e+04  29.1829 
OBS: 60310.1272 r WFD  3.6377e-02  7.750e-03    0  1.000 45.580  2.11 1.768e+04  30.9272 
OBS: 60313.2070 g WFD  1.4622e-02  8.929e-03    0  1.000 44.170  1.89 6.204e+03  32.2673 
OBS: 60315.1433 g WFD  2.0359e-02  6.307e-03    0  1.000 44.800  2.28 6.489e+03  31.8723 
OBS: 60327.0465 z WFD  5.5363e-01  5.386e-02 6144  1.000 44.230  2.72 2.748e+04  27.9673 
OBS: 60330.1028 i WFD  5.1469e-01  2.261e-02 4096  1.000 44.620  2.14 2.100e+04  28.2524 
OBS: 60336.2115 z WFD  9.4313e-01  6.143e-02 4096  1.000 44.290  3.14 2.870e+04  27.5886 
OBS: 60340.3097 i WFD  7.9718e-01  3.898e-02 4096  1.000 43.830  2.39 1.566e+04  27.7395 
OBS: 60359.0526 i WFD  1.2953e+00  1.290e-02 4096  1.000 44.620  1.28 2.003e+04  27.2191 
OBS: 60366.1844 Y WFD  1.8045e+00  5.729e-02 4096  1.000 43.760  1.96 2.631e+04  26.8837 
OBS: 60367.1043 i WFD  1.4449e+00  1.737e-02 4096  1.000 45.400  2.01 3.523e+04  27.1281 
OBS: 60369.2319 i WFD  1.4594e+00  3.940e-02 4096  1.000 43.810  2.30 1.615e+04  27.1123 
OBS: 60391.1194 Y WFD  2.0026e+00  1.053e-01 4096  1.000 43.310  2.99 2.095e+04  26.8006 
OBS: 60393.1007 Y WFD  1.9961e+00  8.871e-02 4096  1.000 43.330  2.48 2.167e+04  26.8067 
OBS: 60396.1163 Y WFD  1.9481e+00  9.139e-02 4096  1.000 42.560  1.84 1.481e+04  26.8160 
OBS: 60420.0425 z WFD  1.6117e+00  2.159e-02 4096  1.000 45.020  1.78 3.485e+04  26.9611 
OBS: 60431.9727 z WFD  1.5181e+00  3.315e-02 4096  1.000 43.500  1.71 1.373e+04  27.0348 
OBS: 60441.9983 r WFD  5.0124e-01  1.773e-02 4096  1.000 44.040  2.64 7.823e+03  28.2620 
OBS: 60442.0129 g WFD  1.8036e-01  1.282e-02 4096  1.000 44.000  2.92 4.930e+03  29.3999 
