SURVEY:   LSST
SNID:     1053266
IAUC:     NULL
SNTYPE:   136
RA:       6.427072  # deg
DEC:      -18.690348  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0216 +- 0.0011  # MW E(B-V) 
PEAKMJD:  59937.527     # estimate for LC fit codes
MJD_TRIGGER:       59856.141  
MJD_DETECT_FIRST:  59855.070  
MJD_DETECT_LAST:   59934.043  

REDSHIFT_HELIO:   1.346920 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.344453 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9566470747  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3469  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          6.426970    # deg 
HOSTGAL_DEC:         -18.690302    # deg 
HOSTGAL_SNSEP:       0.163       # arcsec 
HOSTGAL_DDLR:        0.685       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.290 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.643
HOSTGAL_SQRADIUS:     4.862   # Ixx + Iyy
HOSTGAL_MAG:     26.14  26.00  25.71  25.19  24.62  23.98 # ugrizY
HOSTGAL_MAGERR:  26.62   0.08   0.07   0.05   0.07   0.09 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  751   # template index for SIMSED,NONIa
SIM_LIBID:           2265    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.34692  
SIM_REDSHIFT_CMB:    1.34446  
SIM_REDSHIFT_HOST:   1.39717  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9566470747 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.521 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.290 -9.000 
SIM_DLMU:            44.8976   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0313   # mag 
SIM_RA:              6.427072     # deg  
SIM_DEC:             -18.690348      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0200   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59937.527    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -72.12  # days 
SIM_TRESTMAX:        313.73  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.84  27.20  26.64  26.42  26.52  26.52  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59768.4457 z WFD -7.3032e-04  9.843e-02    0  1.000 43.540  3.09 2.342e+04  99.0000 
OBS: 59770.3260 Y WFD  3.5896e-02  8.129e-02    0  1.000 42.550  1.78 1.349e+04  99.0000 
OBS: 59771.3052 z WFD  2.5666e-02  3.195e-02    0  1.000 44.250  1.86 2.428e+04  99.0000 
OBS: 59772.3525 Y WFD  2.9191e-02  5.672e-02    0  1.000 43.330  1.71 2.010e+04  99.0000 
OBS: 59773.4350 Y WFD  6.9899e-02  4.126e-02    0  1.000 43.800  1.47 2.622e+04  99.0000 
OBS: 59776.4366 z WFD -1.0100e-02  8.595e-02    0  1.000 43.540  2.81 2.249e+04  99.0000 
OBS: 59782.3663 g WFD  7.8129e-03  9.909e-03    0  1.000 44.930  2.84 9.228e+03  99.0000 
OBS: 59783.3668 r WFD -6.2495e-03  6.750e-03    0  1.000 45.620  2.13 1.582e+04  99.0000 
OBS: 59788.4009 i WFD  2.1600e-02  1.662e-02    0  1.000 44.590  2.26 1.422e+04  99.0000 
OBS: 59796.2915 r WFD  1.7110e-03  1.241e-02    0  1.000 44.840  2.80 1.079e+04  99.0000 
OBS: 59799.2187 z WFD  8.7305e-03  3.386e-02    0  1.000 44.240  2.03 2.336e+04  99.0000 
OBS: 59803.1909 Y WFD -4.6468e-02  6.878e-02    0  1.000 43.720  1.76 3.391e+04  99.0000 
OBS: 59808.3639 i WFD  1.5765e-03  9.966e-03    0  1.000 45.820  1.50 3.989e+04  99.0000 
OBS: 59814.1855 r WFD  1.0980e-02  8.216e-03    0  1.000 44.810  1.72 1.131e+04  99.0000 
OBS: 59818.1721 u WFD  2.7156e-02  2.552e-02    0  1.000 41.130  2.04 9.961e+02  99.0000 
OBS: 59819.1978 u WFD -5.3837e-02  2.549e-02    0  1.000 41.190  2.14 1.002e+03  99.0000 
OBS: 59823.2185 g WFD  3.6979e-03  7.352e-03    0  1.000 44.830  2.51 7.065e+03  35.5829 
OBS: 59824.1617 i WFD  4.0907e-02  1.525e-02    0  1.000 44.570  1.88 1.540e+04  32.1490 
OBS: 59835.1558 Y WFD  9.9860e-02  4.832e-02    0  1.000 43.760  1.55 2.807e+04  29.5854 
OBS: 59849.1713 r WFD  2.3375e-02  1.081e-02    0  1.000 44.850  2.41 1.102e+04  31.9338 
OBS: 59855.0715 z WFD  1.9467e-01  2.191e-02 4096  1.000 44.690  1.75 2.654e+04  29.2034 
OBS: 59856.0496 Y WFD  2.4751e-01  1.022e-01    0  1.000 42.510  2.02 1.441e+04  28.5762 
OBS: 59856.1398 i WFD  8.6209e-02  1.507e-02 6144  1.000 44.620  1.61 1.861e+04  29.9253 
OBS: 59863.2290 z WFD  4.5071e-01  3.585e-02 4096  1.000 44.280  1.54 3.383e+04  28.5948 
OBS: 59864.2330 z WFD  4.3912e-01  3.503e-02 4096  1.000 44.270  1.79 2.818e+04  28.5174 
OBS: 59868.0071 Y WFD  5.9228e-01  9.521e-02 4096  1.000 42.490  1.86 1.431e+04  27.9510 
OBS: 59868.2168 r WFD  1.6613e-01  9.118e-03 4096  1.000 44.880  1.61 1.430e+04  29.4514 
OBS: 59875.1615 u WFD  9.3602e-02  2.289e-02 4096  1.000 41.350  2.12 1.053e+03  29.7350 
OBS: 59880.0398 u WFD  1.5216e-01  1.533e-02 4096  1.000 41.350  1.39 1.075e+03  29.3363 
OBS: 59880.0595 r WFD  4.7333e-01  5.524e-03 4096  1.000 44.840  1.23 1.092e+04  28.3099 
OBS: 59883.1122 i WFD  9.2780e-01  9.232e-03 4096  1.000 44.600  1.20 1.500e+04  27.5734 
OBS: 59885.0203 Y WFD  1.2873e+00  4.385e-02 4096  1.000 43.330  1.35 1.968e+04  27.2435 
OBS: 59895.0191 z WFD  1.5747e+00  4.745e-02 4096  1.000 43.500  2.31 1.455e+04  27.0101 
OBS: 59895.2121 i WFD  1.6096e+00  4.319e-02 4096  1.000 43.820  2.44 1.684e+04  27.0131 
