SURVEY:   LSST
SNID:     1056210
IAUC:     NULL
SNTYPE:   136
RA:       223.813271  # deg
DEC:      -30.518001  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1281 +- 0.0064  # MW E(B-V) 
PEAKMJD:  60068.715     # estimate for LC fit codes
MJD_TRIGGER:       60059.262  
MJD_DETECT_FIRST:  60058.301  
MJD_DETECT_LAST:   60165.047  

REDSHIFT_HELIO:   0.855726 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.856966 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5939015970  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8557  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          223.812833    # deg 
HOSTGAL_DEC:         -30.518158    # deg 
HOSTGAL_SNSEP:       0.704       # arcsec 
HOSTGAL_DDLR:        0.972       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.969 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.434
HOSTGAL_SQRADIUS:     18.059   # Ixx + Iyy
HOSTGAL_MAG:     26.97  26.38  25.92  24.91  24.48  24.27 # ugrizY
HOSTGAL_MAGERR:  26.62   0.07   0.06   0.04   0.04   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  745   # template index for SIMSED,NONIa
SIM_LIBID:           5209    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.85573  
SIM_REDSHIFT_CMB:    0.85696  
SIM_REDSHIFT_HOST:   0.85999  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5939015970 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.627 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.969 -9.000 
SIM_DLMU:            43.6850   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0174   # mag 
SIM_RA:              223.813278     # deg  
SIM_DEC:             -30.518002      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1287   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60068.715    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -230.17  # days 
SIM_TRESTMAX:        258.84  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.95  23.97  24.36  24.41  24.39  24.68  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 114 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59641.2991 u WFD  1.2961e-02  2.733e-02    0  1.000 41.270  2.38 1.040e+03  99.0000 
OBS: 59652.2790 Y WFD -2.1062e-02  5.998e-02    0  1.000 43.320  1.95 1.846e+04  99.0000 
OBS: 59654.2040 Y WFD  1.4333e-02  6.666e-02    0  1.000 43.730  2.23 2.618e+04  99.0000 
OBS: 59675.2398 r WFD  1.1190e-02  8.388e-03    0  1.000 44.860  1.89 1.100e+04  99.0000 
OBS: 59675.4111 z WFD -8.7267e-03  2.369e-02    0  1.000 45.000  1.67 4.001e+04  99.0000 
OBS: 59683.1149 Y WFD -3.5301e-02  4.599e-02    0  1.000 43.710  1.48 2.671e+04  99.0000 
OBS: 59685.2240 Y WFD -1.4910e-01  6.241e-02    0  1.000 42.610  1.12 1.740e+04  99.0000 
OBS: 59709.2540 i WFD  1.0172e-02  1.364e-02    0  1.000 44.590  1.79 1.474e+04  99.0000 
OBS: 59710.2049 i WFD  1.2930e-02  1.183e-02    0  1.000 45.380  1.74 2.721e+04  99.0000 
OBS: 59711.0538 Y WFD -1.2994e-01  1.511e-01    0  1.000 42.560  3.07 1.467e+04  99.0000 
OBS: 59748.2205 i WFD  9.9206e-03  2.197e-02    0  1.000 44.590  1.90 2.236e+04  99.0000 
OBS: 59748.9592 z WFD  1.0117e-02  3.459e-02    0  1.000 44.250  1.96 2.495e+04  99.0000 
OBS: 59756.9547 z WFD  6.6553e-02  5.201e-02    0  1.000 43.510  1.95 1.907e+04  99.0000 
OBS: 59772.1380 Y WFD -1.1224e-01  5.860e-02    0  1.000 43.750  1.69 3.093e+04  99.0000 
OBS: 59776.1285 i WFD  3.5087e-02  3.227e-02    0  1.000 44.600  2.58 2.441e+04  99.0000 
OBS: 59776.9564 z WFD  6.3269e-02  7.303e-02    0  1.000 44.290  3.01 3.559e+04  99.0000 
OBS: 59780.9662 z WFD -5.5690e-02  3.574e-02    0  1.000 43.520  1.75 1.474e+04  99.0000 
OBS: 59790.0287 g WFD -2.9702e-03  7.853e-03    0  1.000 44.860  2.62 7.431e+03  99.0000 
OBS: 59793.0843 r WFD -1.8084e-02  1.618e-02    0  1.000 44.050  2.30 8.273e+03  99.0000 
OBS: 59800.0715 Y WFD -2.1231e-02  6.048e-02    0  1.000 43.730  1.93 2.744e+04  99.0000 
OBS: 59800.9862 z WFD -2.0406e-02  2.224e-02    0  1.000 45.040  1.58 4.119e+04  99.0000 
OBS: 59802.0333 Y WFD -5.0794e-02  4.312e-02    0  1.000 44.070  1.68 3.074e+04  99.0000 
OBS: 59806.0262 r WFD -1.6504e-02  9.678e-03    0  1.000 44.840  1.96 1.202e+04  99.0000 
OBS: 59813.0063 r WFD -5.2235e-03  1.065e-02    0  1.000 44.840  2.11 1.229e+04  99.0000 
OBS: 59818.0045 u WFD  6.3009e-03  2.166e-02    0  1.000 41.280  1.77 1.119e+03  99.0000 
OBS: 59830.0085 Y WFD -6.1342e-02  1.229e-01    0  1.000 42.520  2.28 1.549e+04  99.0000 
OBS: 59964.3729 z WFD -2.1952e-02  6.151e-02    0  1.000 43.520  1.94 2.289e+04  99.0000 
OBS: 59980.2931 Y WFD  1.0156e-01  6.117e-02    0  1.000 43.260  1.54 2.256e+04  99.0000 
OBS: 59991.3212 r WFD  7.4015e-03  8.673e-03    0  1.000 44.850  1.73 1.232e+04  99.0000 
OBS: 59997.2572 u WFD  1.4261e-02  2.523e-02    0  1.000 41.080  1.92 9.993e+02  99.0000 
OBS: 59999.2554 g WFD -5.5724e-03  6.245e-03    0  1.000 44.760  1.91 7.393e+03  99.0000 
OBS: 60000.2723 g WFD  5.7784e-04  5.441e-03    0  1.000 44.790  1.71 7.397e+03  99.0000 
OBS: 60009.2136 Y WFD -8.5766e-02  8.613e-02    0  1.000 43.260  2.16 2.265e+04  99.0000 
OBS: 60011.2516 Y WFD  2.0812e-01  1.024e-01    0  1.000 42.560  1.87 1.632e+04  99.0000 
