SURVEY:   LSST
SNID:     1056388
IAUC:     NULL
SNTYPE:   136
RA:       35.732078  # deg
DEC:      -1.473174  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0246 +- 0.0012  # MW E(B-V) 
PEAKMJD:  60205.949     # estimate for LC fit codes
MJD_TRIGGER:       60201.211  
MJD_DETECT_FIRST:  60198.277  
MJD_DETECT_LAST:   60293.105  

REDSHIFT_HELIO:   1.468366 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.466347 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6005214141  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4684  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          35.732190    # deg 
HOSTGAL_DEC:         -1.473071    # deg 
HOSTGAL_SNSEP:       0.248       # arcsec 
HOSTGAL_DDLR:        1.859       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.748 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.733
HOSTGAL_SQRADIUS:     3.325   # Ixx + Iyy
HOSTGAL_MAG:     28.97  28.43  28.08  27.54  27.19  26.38 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  745   # template index for SIMSED,NONIa
SIM_LIBID:           5387    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.46837  
SIM_REDSHIFT_CMB:    1.46635  
SIM_REDSHIFT_HOST:   1.43918  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6005214141 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.530 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.748 -9.000 
SIM_DLMU:            45.1300   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0563   # mag 
SIM_RA:              35.732079     # deg  
SIM_DEC:             -1.473174      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0225   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60205.949    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -164.43  # days 
SIM_TRESTMAX:        184.55  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.03  24.73  24.69  25.25  25.23  25.33  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59800.4078 Y WFD  5.3428e-02  4.339e-02    0  1.000 43.740  1.69 2.269e+04  99.0000 
OBS: 59801.3389 z WFD -3.7376e-03  3.365e-02    0  1.000 44.260  1.85 2.596e+04  99.0000 
OBS: 59801.4031 Y WFD  9.6717e-04  7.843e-02    0  1.000 42.550  1.67 1.387e+04  99.0000 
OBS: 59803.4187 Y WFD  6.8942e-02  8.458e-02    0  1.000 42.560  1.62 1.556e+04  99.0000 
OBS: 59811.3283 i WFD -9.4623e-03  1.024e-02    0  1.000 45.330  1.64 2.388e+04  99.0000 
OBS: 59812.3170 g WFD  1.0842e-02  7.953e-03    0  1.000 44.810  2.38 7.912e+03  99.0000 
OBS: 59813.3561 i WFD  1.1157e-02  1.341e-02    0  1.000 44.570  1.68 1.515e+04  99.0000 
OBS: 59817.3536 g WFD  5.5076e-03  5.721e-03    0  1.000 44.800  1.86 7.216e+03  99.0000 
OBS: 59817.4156 z WFD -3.2481e-02  3.289e-02    0  1.000 43.500  1.53 1.523e+04  99.0000 
OBS: 59818.3652 u WFD  2.9754e-02  2.530e-02    0  1.000 41.200  2.11 1.018e+03  99.0000 
OBS: 59819.3038 u WFD  3.5793e-02  2.870e-02    0  1.000 41.120  2.28 9.930e+02  99.0000 
OBS: 59821.3709 r WFD  7.5584e-04  1.127e-02    0  1.000 44.820  2.39 1.127e+04  99.0000 
OBS: 59826.2404 z WFD  1.3533e-01  4.082e-02    0  1.000 44.220  2.53 2.219e+04  99.0000 
OBS: 59831.2317 Y WFD  3.2415e-04  6.329e-02    0  1.000 43.710  1.89 2.879e+04  99.0000 
OBS: 59832.3303 Y WFD -1.4681e-02  9.646e-02    0  1.000 42.560  1.72 1.672e+04  99.0000 
OBS: 59841.2890 g WFD -4.6021e-03  1.005e-02    0  1.000 44.810  3.16 7.533e+03  99.0000 
OBS: 59842.3967 z WFD  1.4927e-02  4.782e-02    0  1.000 43.480  1.98 1.680e+04  99.0000 
OBS: 59844.2937 r WFD  1.0303e-02  7.714e-03    0  1.000 44.820  1.65 1.117e+04  99.0000 
OBS: 59845.1919 r WFD  1.4978e-02  1.126e-02    0  1.000 44.770  2.22 1.157e+04  99.0000 
OBS: 59845.3904 z WFD  8.7967e-02  3.891e-02    0  1.000 43.470  1.69 1.587e+04  99.0000 
OBS: 59860.2007 Y WFD -5.6580e-03  5.377e-02    0  1.000 43.760  1.62 2.988e+04  99.0000 
OBS: 59868.2844 r WFD -1.0872e-02  7.348e-03    0  1.000 46.080  1.70 3.297e+04  99.0000 
OBS: 59869.2516 r WFD  1.0496e-02  7.278e-03    0  1.000 45.610  1.87 1.926e+04  99.0000 
OBS: 59871.2035 r WFD  8.9654e-03  8.107e-03    0  1.000 44.820  1.70 1.140e+04  99.0000 
OBS: 59875.1076 u WFD  3.6276e-02  1.789e-02    0  1.000 41.830  1.92 1.414e+03  99.0000 
OBS: 59876.1264 u WFD -3.7383e-03  2.800e-02    0  1.000 41.140  2.21 1.018e+03  99.0000 
OBS: 59878.1323 i WFD  1.5699e-02  1.189e-02    0  1.000 44.570  1.45 1.556e+04  99.0000 
OBS: 59879.1764 g WFD  3.1177e-03  4.504e-03    0  1.000 44.810  1.44 7.406e+03  99.0000 
OBS: 59882.0932 z WFD  1.1493e-02  2.203e-02    0  1.000 44.220  1.39 2.180e+04  99.0000 
OBS: 59885.1056 z WFD  2.7384e-02  2.306e-02    0  1.000 44.250  1.47 2.217e+04  99.0000 
OBS: 59886.1595 z WFD  1.7926e-02  2.256e-02    0  1.000 44.260  1.41 2.283e+04  99.0000 
OBS: 59887.1679 Y WFD  1.4559e-02  6.338e-02    0  1.000 42.580  1.32 1.458e+04  99.0000 
OBS: 59895.1202 i WFD -7.5492e-04  2.387e-02    0  1.000 44.600  2.26 2.061e+04  99.0000 
OBS: 59902.0300 z WFD  3.8110e-02  3.857e-02    0  1.000 44.220  2.32 2.287e+04  99.0000 
