SURVEY:   LSST
SNID:     1057396
IAUC:     NULL
SNTYPE:   136
RA:       53.783587  # deg
DEC:      -51.079606  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0135 +- 0.0007  # MW E(B-V) 
PEAKMJD:  59852.648     # estimate for LC fit codes
MJD_TRIGGER:       59840.223  
MJD_DETECT_FIRST:  59840.199  
MJD_DETECT_LAST:   59957.176  

REDSHIFT_HELIO:   0.698357 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.698024 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6126006927  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6983  +- 0.0100 
HOSTGAL_SPECZ:       0.6984  +- 0.0000 
HOSTGAL_RA:          53.783574    # deg 
HOSTGAL_DEC:         -51.079459    # deg 
HOSTGAL_SNSEP:       0.265       # arcsec 
HOSTGAL_DDLR:        1.175       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.022 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.342
HOSTGAL_SQRADIUS:     11.066   # Ixx + Iyy
HOSTGAL_MAG:     26.91  25.28  23.76  22.58  22.11  21.81 # ugrizY
HOSTGAL_MAGERR:   1.38   0.04   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  745   # template index for SIMSED,NONIa
SIM_LIBID:           6396    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.69835  
SIM_REDSHIFT_CMB:    0.69802  
SIM_REDSHIFT_HOST:   0.69102  
SIM_REDSHIFT_FLAG:   2  # HOSTSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6126006927 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.450 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.022 -9.000 
SIM_DLMU:            43.1398   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0038   # mag 
SIM_RA:              53.783588     # deg  
SIM_DEC:             -51.079605      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0150   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59852.648    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  5  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0141  # spectro-search efficiency 
SIM_TRESTMIN:        -17.27  # days 
SIM_TRESTMAX:        483.74  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.81  23.37  23.64  23.76  24.04  24.32  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59823.3197 g WFD -8.1421e-03  5.278e-03    0  1.000 45.520  2.72 8.835e+03  99.0000 
OBS: 59824.3414 i WFD -2.8479e-03  1.158e-02    0  1.000 44.580  1.58 1.404e+04  99.0000 
OBS: 59825.3396 r WFD -3.1573e-03  7.111e-03    0  1.000 45.580  2.38 1.438e+04  99.0000 
OBS: 59827.3051 z WFD  2.3621e-02  2.243e-02    0  1.000 44.250  1.63 1.946e+04  99.0000 
OBS: 59827.4089 Y WFD  3.2712e-02  3.965e-02    0  1.000 44.080  1.57 3.053e+04  99.0000 
OBS: 59832.2421 Y WFD  3.6993e-02  3.460e-02    0  1.000 44.790  1.74 4.623e+04  99.0000 
OBS: 59837.3857 i WFD  1.4294e-02  2.075e-02    0  1.000 43.860  1.47 1.393e+04  99.0000 
OBS: 59839.2796 r WFD -1.0916e-03  1.195e-02    0  1.000 44.860  1.95 1.520e+04  99.0000 
OBS: 59840.1980 r WFD  5.7427e-01  1.217e-02 4096  1.000 44.020  1.81 7.684e+03  28.1048 
OBS: 59840.2082 g WFD  1.3457e+00  8.872e-03 4096  1.000 43.900  2.04 4.443e+03  27.1856 
OBS: 59840.2212 r WFD  6.3840e-01  1.060e-02 6144  1.000 44.040  1.64 7.523e+03  28.0056 
OBS: 59840.2299 g WFD  1.4439e+00  7.536e-03 4096  1.000 43.980  1.84 4.500e+03  27.0950 
OBS: 59843.1980 i WFD  6.7641e+00  1.718e-02 4096  1.000 44.550  2.09 1.529e+04  25.4263 
OBS: 59851.2980 u WFD  7.7615e+01  2.676e-02 4096  1.000 41.240  1.97 9.677e+02  22.7754 
OBS: 59851.3918 z WFD  2.1854e+01  4.670e-02 4096  1.000 44.270  2.24 2.999e+04  24.1523 
OBS: 59857.3912 z WFD  3.2552e+01  5.426e-02 4096  1.000 43.520  1.48 2.640e+04  23.7169 
OBS: 59858.1947 z WFD  3.4013e+01  2.960e-02 4096  1.000 44.250  1.75 2.382e+04  23.6693 
OBS: 59860.3801 z WFD  3.8075e+01  4.661e-02 4096  1.000 43.520  1.78 1.883e+04  23.5493 
OBS: 59862.1997 z WFD  3.9976e+01  2.047e-02 4096  1.000 45.020  1.37 4.274e+04  23.4948 
OBS: 59866.1463 i WFD  4.3600e+01  2.286e-02 4096  1.000 44.570  2.12 2.034e+04  23.4021 
OBS: 59867.3129 r WFD  4.2852e+01  1.453e-02 4096  1.000 44.910  1.92 1.943e+04  23.4198 
OBS: 59868.1352 r WFD  4.2163e+01  8.241e-03 4096  1.000 44.760  1.66 1.078e+04  23.4376 
OBS: 59870.2458 i WFD  4.0043e+01  7.862e-03 4096  1.000 45.330  1.49 1.968e+04  23.4940 
OBS: 59874.2109 u WFD  6.6502e+00  1.065e-02 4096  1.000 42.760  1.89 1.967e+03  25.4403 
OBS: 59886.0826 z WFD  2.5699e+01  2.059e-02 4096  1.000 44.990  1.72 3.336e+04  23.9752 
OBS: 59887.0849 Y WFD  2.3018e+01  6.136e-02 4096  1.000 43.280  1.71 2.073e+04  24.0944 
OBS: 59887.2786 i WFD  2.3912e+01  2.034e-02 4096  1.000 43.870  1.39 1.446e+04  24.0518 
OBS: 59898.0495 i WFD  1.1513e+01  1.806e-02 4096  1.000 44.540  2.18 1.526e+04  24.8473 
OBS: 59900.0300 Y WFD  1.1923e+01  1.290e-01 4096  1.000 42.490  2.53 1.424e+04  24.8174 
OBS: 59905.0273 z WFD  5.7212e+00  2.837e-02 4096  1.000 44.980  2.19 3.587e+04  25.6085 
OBS: 59905.1740 u WFD  1.6979e-01  2.241e-02 4096  1.000 41.230  2.02 9.677e+02  29.2015 
OBS: 59909.0758 u WFD  1.5269e-01  2.767e-02    0  1.000 41.140  2.35 9.455e+02  29.8896 
OBS: 59914.1352 r WFD  6.3003e-01  1.113e-02 4096  1.000 44.890  1.81 1.567e+04  28.0015 
OBS: 59916.1212 i WFD  1.3093e+00  1.683e-02 4096  1.000 44.620  1.61 2.077e+04  27.2129 
OBS: 59921.0445 z WFD  1.5923e+00  4.258e-02 4096  1.000 44.260  2.18 2.787e+04  26.9728 
OBS: 59929.0347 Y WFD  1.3939e+00  1.048e-01 4096  1.000 42.590  1.87 1.717e+04  27.1581 
OBS: 59931.1078 g WFD  7.5768e-02  3.931e-03 4096  1.000 44.790  1.47 6.214e+03  30.3615 
OBS: 59957.1760 r WFD  1.4536e-01  1.512e-02 4096  1.000 44.830  2.13 1.712e+04  29.8497 
OBS: 59968.0917 u WFD -3.4272e-02  2.452e-02    0  1.000 41.170  2.10 9.645e+02  33.7371 
OBS: 59975.1508 i WFD  1.1711e-01  2.515e-02    0  1.000 43.810  1.56 1.520e+04  29.9060 
OBS: 59978.1016 Y WFD  1.0417e-01  6.736e-02    0  1.000 42.540  1.35 1.460e+04  29.2480 
OBS: 60001.0422 r WFD  3.0127e-02  1.191e-02    0  1.000 44.820  2.24 1.271e+04  32.4035 
OBS: 60005.0213 z WFD  5.5704e-02  3.037e-02    0  1.000 44.260  1.53 2.833e+04  30.2820 
OBS: 60011.0157 Y WFD  7.2311e-02  7.677e-02    0  1.000 43.290  1.94 2.311e+04  30.2344 
OBS: 60021.0118 z WFD  3.3746e-02  3.816e-02    0  1.000 43.470  1.73 1.520e+04  30.7325 
OBS: 60132.3978 Y WFD  3.2678e-02  8.483e-02    0  1.000 42.500  1.61 1.486e+04  33.8477 
OBS: 60142.3815 i WFD -3.8523e-02  1.924e-02    0  1.000 44.550  2.34 1.533e+04  36.1989 
OBS: 60145.3565 g WFD -3.0525e-03  7.410e-03    0  1.000 44.670  2.43 6.347e+03  36.2461 
OBS: 60159.3264 Y WFD -7.9999e-02  4.573e-02    0  1.000 44.460  2.02 3.884e+04  34.6639 
OBS: 60160.3616 z WFD  2.3821e-02  2.941e-02    0  1.000 44.260  1.65 2.544e+04  36.0616 
OBS: 60162.4338 z WFD -4.8743e-02  4.546e-02    0  1.000 43.520  1.70 1.930e+04  36.1409 
OBS: 60164.4154 r WFD  1.1924e-02  1.322e-02    0  1.000 44.130  1.61 1.039e+04  35.6586 
OBS: 60166.3505 r WFD -3.6382e-03  7.790e-03    0  1.000 44.810  1.62 1.139e+04  35.6977 
OBS: 60175.2796 r WFD -5.7443e-03  9.873e-03    0  1.000 44.770  2.10 1.073e+04  35.8785 
OBS: 60177.2971 g WFD  1.8296e-03  8.277e-03    0  1.000 44.700  2.81 6.302e+03  36.8460 
OBS: 60184.2576 Y WFD -1.4909e-01  1.118e-01    0  1.000 42.520  2.14 1.502e+04  35.4197 
OBS: 60193.2830 i WFD  1.3413e-02  1.825e-02    0  1.000 44.580  2.03 1.722e+04  38.0869 
OBS: 60196.2726 g WFD -6.4457e-03  6.801e-03    0  1.000 44.740  2.41 6.264e+03  37.2024 
OBS: 60198.3604 u WFD  1.1617e-02  2.512e-02    0  1.000 41.220  2.26 9.613e+02  38.9071 
OBS: 60200.2533 u WFD  2.3345e-03  1.593e-02    0  1.000 42.320  2.29 1.657e+03  38.9461 
OBS: 60211.2507 r WFD  5.4145e-03  8.221e-03    0  1.000 45.640  1.80 2.323e+04  36.6067 
OBS: 60215.1917 Y WFD -1.1084e-01  1.254e-01    0  1.000 42.520  2.27 1.588e+04  36.3573 
OBS: 60217.2858 Y WFD  1.5511e-01  9.325e-02    0  1.000 42.580  1.88 1.506e+04  36.4208 
OBS: 60221.3023 r WFD -3.2619e-03  1.949e-02    0  1.000 44.160  1.84 1.378e+04  36.8102 
OBS: 60223.3825 z WFD  2.8569e-02  4.096e-02    0  1.000 43.500  1.83 1.586e+04  38.4711 
OBS: 60234.1246 r WFD -1.1962e-02  8.323e-03    0  1.000 44.770  1.76 1.079e+04  37.0698 
OBS: 60243.1924 z WFD  2.3202e-03  2.381e-02    0  1.000 44.270  1.40 2.449e+04  39.2285 
OBS: 60244.1669 z WFD -1.7993e-02  3.016e-02    0  1.000 44.270  1.59 2.732e+04  39.2658 
OBS: 60245.1836 Y WFD -2.7639e-03  5.620e-02    0  1.000 43.330  1.57 2.169e+04  37.2664 
OBS: 60246.0826 Y WFD -4.4925e-02  6.971e-02    0  1.000 43.260  1.67 2.371e+04  37.2937 
OBS: 60260.1248 g WFD -6.4868e-03  8.276e-03    0  1.000 44.770  3.03 6.233e+03  38.4016 
OBS: 60261.0666 u WFD  5.7445e-04  2.482e-02    0  1.000 41.770  2.72 1.309e+03  40.2014 
OBS: 60263.0748 u WFD  5.9476e-02  2.682e-02    0  1.000 41.080  2.17 9.392e+02  40.2429 
OBS: 60263.1105 r WFD -1.8181e-02  9.093e-03    0  1.000 44.810  2.09 1.030e+04  37.6566 
OBS: 60269.0919 i WFD -5.9842e-03  1.057e-02    0  1.000 45.350  1.66 2.480e+04  40.8987 
OBS: 60271.0276 z WFD -3.6473e-02  5.182e-02    0  1.000 44.250  2.43 3.015e+04  40.2928 
OBS: 60274.0696 Y WFD -1.9574e-02  1.316e-01    0  1.000 42.560  2.56 1.533e+04  38.1420 
OBS: 60275.0320 z WFD  4.7566e-02  5.713e-02    0  1.000 44.250  2.56 3.155e+04  40.4459 
OBS: 60279.1433 r WFD  9.4653e-03  1.170e-02    0  1.000 44.910  1.75 1.735e+04  37.9812 
OBS: 60305.1603 Y WFD  2.0860e-02  6.888e-02    0  1.000 43.320  1.98 2.088e+04  39.0845 
OBS: 60308.0650 z WFD  1.2947e-02  1.379e-02    0  1.000 45.010  1.45 2.707e+04  41.7088 
OBS: 60309.2287 i WFD -7.0660e-02  2.460e-02    0  1.000 44.570  2.05 2.278e+04  42.3875 
OBS: 60330.0365 Y WFD -1.5099e-01  1.193e-01    0  1.000 42.590  2.01 1.819e+04  39.8385 
OBS: 60352.0267 z WFD -4.0572e-02  4.264e-02    0  1.000 43.520  1.75 1.759e+04  43.3896 
OBS: 60362.0671 Y WFD -4.1256e-03  1.140e-01    0  1.000 42.520  2.16 1.517e+04  40.8094 
OBS: 60366.0193 Y WFD -1.8017e-01  1.057e-01    0  1.000 42.560  2.03 1.553e+04  40.9292 
OBS: 60368.0339 z WFD -3.6336e-02  3.862e-02    0  1.000 44.230  2.61 2.054e+04  44.0016 
OBS: 60379.0123 z WFD -1.0338e-02  2.948e-02    0  1.000 44.240  1.78 2.320e+04  44.4214 
OBS: 60486.4343 Y WFD -2.3413e-02  1.170e-01    0  1.000 42.520  2.17 1.549e+04  44.5792 
OBS: 60500.4172 i WFD -3.2732e-02  1.978e-02    0  1.000 43.810  1.76 1.059e+04  49.4789 
OBS: 60503.4092 i WFD  1.2730e-02  1.653e-02    0  1.000 44.560  2.04 1.524e+04  49.5899 
OBS: 60515.4108 Y WFD -1.1133e-01  8.103e-02    0  1.000 43.310  2.40 2.008e+04  45.4576 
OBS: 60528.3335 i WFD -1.5732e-02  1.668e-02    0  1.000 44.550  2.07 1.502e+04  50.8682 
OBS: 60530.4014 g WFD  1.3762e-03  3.559e-03    0  1.000 45.550  1.88 8.861e+03  43.4778 
OBS: 60531.4062 r WFD -7.7018e-03  8.524e-03    0  1.000 44.820  2.00 1.019e+04  43.0882 
OBS: 60534.3212 i WFD  1.7359e-02  1.386e-02    0  1.000 44.560  1.71 1.524e+04  51.0903 
OBS: 60539.4062 i WFD -8.0457e-03  1.152e-02    0  1.000 45.350  1.87 2.398e+04  51.2789 
OBS: 60541.3810 Y WFD  1.1132e-01  4.737e-02    0  1.000 44.090  1.95 2.964e+04  46.2448 
OBS: 60543.2810 z WFD -2.0117e-02  4.290e-02    0  1.000 44.250  2.07 2.930e+04  51.0557 
OBS: 60545.4159 z WFD  1.8142e-03  3.109e-02    0  1.000 43.510  1.35 1.647e+04  51.1374 
OBS: 60546.2658 Y WFD -1.5959e-01  7.535e-02    0  1.000 43.250  2.07 2.049e+04  46.3928 
