SURVEY:   LSST
SNID:     1058115
IAUC:     NULL
SNTYPE:   136
RA:       322.454687  # deg
DEC:      -38.800722  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0300 +- 0.0015  # MW E(B-V) 
PEAKMJD:  60319.715     # estimate for LC fit codes
MJD_TRIGGER:       60402.402  
MJD_DETECT_FIRST:  60401.406  
MJD_DETECT_LAST:   60445.383  

REDSHIFT_HELIO:   1.044304 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.042735 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7814634379  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0443  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          322.454689    # deg 
HOSTGAL_DEC:         -38.800748    # deg 
HOSTGAL_SNSEP:       0.048       # arcsec 
HOSTGAL_DDLR:        0.139       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.795 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.196
HOSTGAL_SQRADIUS:     11.044   # Ixx + Iyy
HOSTGAL_MAG:     24.31  24.15  23.38  22.57  21.79  21.41 # ugrizY
HOSTGAL_MAGERR:   0.08   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  740   # template index for SIMSED,NONIa
SIM_LIBID:           7116    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.04430  
SIM_REDSHIFT_CMB:    1.04273  
SIM_REDSHIFT_HOST:   1.09674  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7814634379 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.105 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.795 -9.000 
SIM_DLMU:            44.2143   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0142   # mag 
SIM_RA:              322.454681     # deg  
SIM_DEC:             -38.800720      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0315   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60319.715    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -289.49  # days 
SIM_TRESTMAX:        153.87  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.17  24.66  24.61  24.69  24.78  24.73  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3574 u WFD -2.8719e-02  1.602e-02    0  1.000 41.320  1.47 1.034e+03  99.0000 
OBS: 59729.3132 i WFD -2.1465e-02  1.382e-02    0  1.000 44.580  1.80 1.471e+04  99.0000 
OBS: 59767.1622 Y WFD -1.8297e-01  1.170e-01    0  1.000 42.510  2.40 1.388e+04  99.0000 
OBS: 59770.1610 z WFD -8.8396e-03  3.069e-02    0  1.000 44.240  1.77 2.429e+04  99.0000 
OBS: 59772.4165 Y WFD -7.3564e-02  1.020e-01    0  1.000 42.540  1.98 1.508e+04  99.0000 
OBS: 59773.2701 Y WFD -1.0702e-01  6.489e-02    0  1.000 43.360  1.60 2.526e+04  99.0000 
OBS: 59777.3272 Y WFD -2.4808e-02  7.501e-02    0  1.000 44.090  3.11 2.943e+04  99.0000 
OBS: 59779.1212 g WFD  2.6411e-02  1.056e-02    0  1.000 43.970  2.33 4.949e+03  99.0000 
OBS: 59783.1199 r WFD -7.0981e-03  1.138e-02    0  1.000 44.790  2.32 1.140e+04  99.0000 
OBS: 59791.1074 u WFD -3.1153e-02  2.832e-02    0  1.000 41.120  2.25 9.930e+02  99.0000 
OBS: 59793.1286 r WFD  1.8818e-03  1.133e-02    0  1.000 44.820  2.43 1.114e+04  99.0000 
OBS: 59804.1779 z WFD -2.9548e-03  2.389e-02    0  1.000 45.470  1.55 6.703e+04  99.0000 
OBS: 59805.1349 Y WFD -4.3300e-02  6.732e-02    0  1.000 42.580  1.32 1.549e+04  99.0000 
OBS: 59806.3482 z WFD -5.4109e-02  5.810e-02    0  1.000 43.490  2.08 1.961e+04  99.0000 
OBS: 59808.0752 g WFD -4.2813e-03  5.392e-03    0  1.000 44.780  1.75 7.096e+03  99.0000 
OBS: 59811.0348 r WFD  1.2088e-04  1.129e-02    0  1.000 44.770  2.24 1.150e+04  99.0000 
OBS: 59813.2367 i WFD -3.3223e-03  9.993e-03    0  1.000 45.340  1.89 2.040e+04  99.0000 
OBS: 59822.0114 i WFD  6.4670e-03  2.127e-02    0  1.000 44.560  2.54 1.575e+04  99.0000 
OBS: 59825.9893 z WFD  2.1744e-02  4.228e-02    0  1.000 44.240  2.36 2.510e+04  99.0000 
OBS: 59835.0335 r WFD  5.1750e-03  6.260e-03    0  1.000 44.840  1.40 1.088e+04  99.0000 
OBS: 59836.1331 r WFD  5.1904e-03  1.440e-02    0  1.000 44.190  1.32 1.459e+04  99.0000 
OBS: 59839.9935 Y WFD -2.4177e-02  4.144e-02    0  1.000 43.750  1.56 2.369e+04  99.0000 
OBS: 59843.0173 i WFD  1.1474e-03  1.114e-02    0  1.000 44.580  1.47 1.452e+04  99.0000 
OBS: 59859.1065 Y WFD -3.3335e-02  4.624e-02    0  1.000 43.790  1.52 2.815e+04  99.0000 
OBS: 59860.0672 Y WFD  1.2257e-02  5.396e-02    0  1.000 43.800  1.82 2.770e+04  99.0000 
OBS: 59874.0869 u WFD -6.0032e-04  1.865e-02    0  1.000 41.310  1.66 1.056e+03  99.0000 
OBS: 59905.0808 u WFD -9.0598e-02  3.562e-02    0  1.000 41.030  2.63 9.835e+02  99.0000 
OBS: 60039.4117 Y WFD  1.2213e-01  9.985e-02    0  1.000 43.270  2.35 2.436e+04  99.0000 
OBS: 60040.4068 Y WFD -5.0630e-02  5.649e-02    0  1.000 44.280  1.98 4.147e+04  99.0000 
OBS: 60051.3843 r WFD  6.8772e-03  5.015e-03    0  1.000 45.560  1.39 1.705e+04  99.0000 
OBS: 60052.3899 i WFD -1.7798e-03  9.276e-03    0  1.000 45.320  1.58 2.224e+04  99.0000 
OBS: 60059.3745 i WFD  1.8863e-02  1.565e-02    0  1.000 44.560  1.88 1.566e+04  99.0000 
OBS: 60061.3913 i WFD  4.2166e-02  1.517e-02    0  1.000 44.570  1.89 1.523e+04  99.0000 
OBS: 60063.3377 r WFD -7.0242e-03  1.197e-02    0  1.000 44.780  2.36 1.168e+04  99.0000 
