SURVEY:   LSST
SNID:     1059658
IAUC:     NULL
SNTYPE:   136
RA:       299.160646  # deg
DEC:      -16.718684  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2198 +- 0.0110  # MW E(B-V) 
PEAKMJD:  59756.582     # estimate for LC fit codes
MJD_TRIGGER:       59769.152  
MJD_DETECT_FIRST:  59753.168  
MJD_DETECT_LAST:   59879.008  

REDSHIFT_HELIO:   0.329200 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.328231 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  740   # template index for SIMSED,NONIa
SIM_LIBID:           8659    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.31338  
SIM_REDSHIFT_CMB:    0.31242  
SIM_REDSHIFT_HOST:   0.32920  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6125148551 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.933 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.674 -9.000 
SIM_DLMU:            41.0588   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0026   # mag 
SIM_RA:              299.160645     # deg  
SIM_DEC:             -16.718685      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2095   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59756.582    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2537  # spectro-search efficiency 
SIM_TRESTMIN:        -34.53  # days 
SIM_TRESTMAX:        660.94  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.86  22.70  22.58  22.63  22.55  22.74  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59711.2614 Y WFD  1.0032e-01  9.804e-02    0  1.000 43.270  2.76 2.037e+04  99.0000 
OBS: 59715.3123 Y WFD -1.1996e-02  3.475e-02    0  1.000 44.960  1.99 4.747e+04  99.0000 
OBS: 59722.3088 z WFD  5.3500e-02  2.769e-02    0  1.000 44.260  1.92 2.058e+04  99.0000 
OBS: 59728.4318 z WFD  7.4817e-03  4.007e-02    0  1.000 43.500  1.80 1.577e+04  99.0000 
OBS: 59729.2150 i WFD  3.0521e-02  1.964e-02    0  1.000 44.550  2.29 1.598e+04  99.0000 
OBS: 59753.1674 g WFD  7.9987e+01  6.770e-03 4096  1.000 44.790  1.88 7.431e+03  22.7425 
OBS: 59769.1513 z WFD  9.9335e+01  2.219e-02 6144  1.000 44.260  1.39 2.232e+04  22.5072 
OBS: 59776.2466 z WFD  7.9322e+01  2.192e-02 4096  1.000 46.130  2.37 7.364e+04  22.7511 
OBS: 59777.2919 Y WFD  7.1576e+01  1.502e-01 4096  1.000 42.560  3.03 1.475e+04  22.8614 
OBS: 59778.1082 r WFD  5.9491e+01  1.287e-02 4096  1.000 44.840  2.10 1.461e+04  23.0638 
OBS: 59799.0842 Y WFD  4.1735e+01  4.836e-02 4096  1.000 43.770  1.72 2.548e+04  23.4479 
OBS: 59804.1794 z WFD  3.3533e+01  3.771e-02 4096  1.000 44.280  1.61 3.397e+04  23.6882 
OBS: 59805.0059 i WFD  2.4206e+01  2.335e-02 4096  1.000 44.570  2.14 2.065e+04  24.0391 
OBS: 59806.1432 i WFD  2.2530e+01  1.032e-02 4096  1.000 46.130  1.76 4.666e+04  24.1172 
OBS: 59807.1570 r WFD  1.6475e+01  1.096e-02 4096  1.000 44.930  1.32 2.180e+04  24.4594 
OBS: 59810.0836 r WFD  1.3055e+01  1.096e-02 4096  1.000 44.090  1.66 7.956e+03  24.7114 
OBS: 59811.0621 r WFD  1.2368e+01  1.036e-02 4096  1.000 44.840  2.21 1.134e+04  24.7686 
OBS: 59812.0163 g WFD  4.1342e+00  6.205e-03 4096  1.000 44.790  1.95 7.349e+03  25.9590 
OBS: 59818.0656 u WFD  7.6522e-01  1.977e-02 4096  1.000 41.310  1.76 1.053e+03  27.7626 
OBS: 59834.9935 Y WFD  1.3301e+01  3.911e-02 4096  1.000 43.320  1.27 1.845e+04  24.6953 
OBS: 59835.0531 r WFD  5.6351e+00  1.507e-02 4096  1.000 44.180  1.53 1.302e+04  25.6194 
OBS: 59836.9889 Y WFD  1.3290e+01  5.808e-02 4096  1.000 42.570  1.30 1.342e+04  24.6960 
OBS: 59838.9892 z WFD  1.1558e+01  3.623e-02 4096  1.000 43.500  1.77 1.448e+04  24.8358 
OBS: 59842.9854 Y WFD  9.8425e+00  7.191e-02 4096  1.000 42.580  1.41 1.547e+04  25.0107 
OBS: 59859.0451 Y WFD  3.8894e+00  5.943e-02 4096  1.000 43.330  1.65 2.182e+04  26.0258 
OBS: 59860.9906 Y WFD  3.5610e+00  8.238e-02 4096  1.000 42.620  1.30 1.996e+04  26.1182 
