SURVEY:   LSST
SNID:     1059775
IAUC:     NULL
SNTYPE:   136
RA:       324.071654  # deg
DEC:      -12.257846  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0420 +- 0.0021  # MW E(B-V) 
PEAKMJD:  59612.566     # estimate for LC fit codes
MJD_TRIGGER:       59769.191  
MJD_DETECT_FIRST:  59752.242  
MJD_DETECT_LAST:   59836.043  

REDSHIFT_HELIO:   0.582505 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.580826 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10375431605  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5825  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          324.071696    # deg 
HOSTGAL_DEC:         -12.257443    # deg 
HOSTGAL_SNSEP:       0.726       # arcsec 
HOSTGAL_DDLR:        1.697       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.865 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.808
HOSTGAL_SQRADIUS:     19.263   # Ixx + Iyy
HOSTGAL_MAG:     25.03  24.00  22.73  22.05  21.77  21.61 # ugrizY
HOSTGAL_MAGERR:   0.17   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  740   # template index for SIMSED,NONIa
SIM_LIBID:           8776    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.58251  
SIM_REDSHIFT_CMB:    0.58083  
SIM_REDSHIFT_HOST:   0.55769  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10375431605 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.697 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.865 -9.000 
SIM_DLMU:            42.6558   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0046   # mag 
SIM_RA:              324.071655     # deg  
SIM_DEC:             -12.257846      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0411   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59612.566    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0311  # spectro-search efficiency 
SIM_TRESTMIN:        73.16  # days 
SIM_TRESTMAX:        643.63  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.45  23.37  23.51  23.49  23.62  23.68  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3406 u WFD  1.9888e-02  2.127e-02    0  1.000 41.250  1.77 1.069e+03  31.1803 
OBS: 59752.2403 i WFD  3.2794e-01  1.997e-02 4096  1.000 44.560  2.35 1.598e+04  28.7217 
OBS: 59769.1927 z WFD  1.9704e-01  1.604e-02 6144  1.000 45.430  1.69 3.978e+04  29.3104 
OBS: 59772.2091 Y WFD  2.3610e-01  6.734e-02    0  1.000 43.750  2.18 2.756e+04  29.4715 
OBS: 59773.3893 Y WFD  3.1339e-01  1.081e-01    0  1.000 42.550  1.74 1.835e+04  29.5430 
OBS: 59781.2829 g WFD  5.3906e-02  9.060e-03    0  1.000 44.950  2.29 1.066e+04  30.7359 
OBS: 59784.3862 r WFD  1.1144e-01  8.305e-03 4096  1.000 45.540  2.24 1.720e+04  29.9716 
OBS: 59796.1064 Y WFD -5.1809e-02  1.173e-01    0  1.000 42.530  2.44 1.394e+04  30.9193 
OBS: 59797.1069 z WFD -8.1390e-03  2.834e-02    0  1.000 44.990  2.48 3.194e+04  30.6966 
OBS: 59798.1443 Y WFD -4.2424e-02  7.442e-02    0  1.000 42.550  1.59 1.383e+04  31.0428 
OBS: 59799.1196 Y WFD  1.1769e-01  8.158e-02    0  1.000 42.540  1.63 1.465e+04  31.1018 
OBS: 59800.1683 Y WFD  6.1463e-02  4.546e-02    0  1.000 43.770  1.61 2.566e+04  31.1654 
OBS: 59807.0933 r WFD  6.0859e-02  1.081e-02 4096  1.000 44.060  1.52 8.437e+03  30.3585 
OBS: 59808.1921 r WFD  7.4468e-02  7.757e-03 4096  1.000 45.670  1.49 2.722e+04  30.3773 
OBS: 59809.1643 g WFD  3.2744e-02  4.207e-03 4096  1.000 44.860  1.36 7.669e+03  31.0601 
OBS: 59812.1746 g WFD  3.0988e-02  5.536e-03 4096  1.000 45.610  2.55 1.074e+04  31.0951 
OBS: 59813.2723 i WFD  3.8374e-02  1.303e-02    0  1.000 45.320  2.23 2.214e+04  30.9383 
OBS: 59818.0816 u WFD  1.3517e-03  1.790e-02    0  1.000 41.950  2.05 1.480e+03  32.9421 
OBS: 59820.2157 i WFD  1.9426e-02  1.140e-02    0  1.000 44.590  1.46 1.510e+04  31.1905 
OBS: 59822.0518 i WFD  5.8378e-03  2.385e-02    0  1.000 44.570  2.86 1.583e+04  31.2572 
OBS: 59825.0510 z WFD  1.9267e-02  2.197e-02    0  1.000 44.990  2.05 2.995e+04  32.0844 
OBS: 59826.0366 z WFD  8.8544e-02  3.980e-02    0  1.000 44.240  2.52 2.212e+04  32.1333 
OBS: 59827.0318 z WFD -4.8555e-02  3.208e-02    0  1.000 44.240  1.87 2.403e+04  32.1827 
OBS: 59836.0434 r WFD  4.3710e-02  4.872e-03 4096  1.000 46.200  1.73 2.399e+04  30.8518 
OBS: 59836.9925 Y WFD  5.1283e-02  7.361e-02    0  1.000 42.510  1.48 1.416e+04  33.3963 
OBS: 59840.9788 Y WFD -9.4905e-02  1.864e-01    0  1.000 42.540  2.04 2.674e+04  33.6378 
OBS: 59842.9966 Y WFD  9.8912e-02  7.108e-02    0  1.000 42.530  1.51 1.365e+04  33.7601 
OBS: 59844.9920 z WFD  5.8119e-02  4.491e-02    0  1.000 43.480  2.06 1.517e+04  33.0746 
OBS: 59849.0117 r WFD  6.0948e-02  1.417e-02    0  1.000 44.830  2.98 1.147e+04  31.0727 
OBS: 59860.1503 Y WFD -5.6340e-03  5.528e-02    0  1.000 44.060  1.76 3.728e+04  34.7993 
OBS: 59861.0304 Y WFD  1.8476e-02  4.515e-02    0  1.000 43.780  1.44 2.875e+04  34.8526 
OBS: 59863.1273 z WFD -1.3023e-02  3.220e-02    0  1.000 44.260  1.63 2.819e+04  33.9753 
OBS: 59864.1250 i WFD  4.0167e-03  3.075e-02    0  1.000 43.860  1.66 1.828e+04  32.7852 
OBS: 59876.0701 u WFD -1.7736e-03  3.729e-02    0  1.000 41.260  3.16 1.059e+03  34.0831 
