SURVEY:   LSST
SNID:     1059955
IAUC:     NULL
SNTYPE:   136
RA:       258.469038  # deg
DEC:      2.412990  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1739 +- 0.0087  # MW E(B-V) 
PEAKMJD:  59922.105     # estimate for LC fit codes
MJD_TRIGGER:       60001.402  
MJD_DETECT_FIRST:  59997.387  
MJD_DETECT_LAST:   60146.109  

REDSHIFT_HELIO:   0.462116 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.462090 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8000154046  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4621  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          258.468824    # deg 
HOSTGAL_DEC:         2.413148    # deg 
HOSTGAL_SNSEP:       0.417       # arcsec 
HOSTGAL_DDLR:        1.147       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.986 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.606
HOSTGAL_SQRADIUS:     21.519   # Ixx + Iyy
HOSTGAL_MAG:     23.85  22.94  21.81  21.32  20.98  20.71 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  740   # template index for SIMSED,NONIa
SIM_LIBID:           8956    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.46212  
SIM_REDSHIFT_CMB:    0.46209  
SIM_REDSHIFT_HOST:   0.47546  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8000154046 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.486 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.986 -9.000 
SIM_DLMU:            42.0564   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0118   # mag 
SIM_RA:              258.469025     # deg  
SIM_DEC:             2.412990      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1784   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59922.105    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0487  # spectro-search efficiency 
SIM_TRESTMIN:        -166.68  # days 
SIM_TRESTMAX:        441.77  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.58  23.37  23.40  23.31  23.37  23.30  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 90 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59678.4093 z WFD  5.0609e-02  4.949e-02    0  1.000 43.490  2.34 1.485e+04  99.0000 
OBS: 59685.3591 Y WFD  2.9268e-02  3.182e-02    0  1.000 44.310  1.33 3.575e+04  99.0000 
OBS: 59694.3455 g WFD  1.1494e-02  7.526e-03    0  1.000 44.840  2.16 8.481e+03  99.0000 
OBS: 59699.2363 i WFD -1.6001e-02  1.697e-02    0  1.000 44.560  2.08 1.534e+04  99.0000 
OBS: 59721.1862 i WFD  2.1905e-02  1.777e-02    0  1.000 44.570  1.96 1.721e+04  99.0000 
OBS: 59763.1587 u WFD  1.1630e-02  3.430e-02    0  1.000 41.150  2.81 9.898e+02  99.0000 
OBS: 59767.0241 Y WFD -1.1174e-01  7.582e-02    0  1.000 43.240  2.09 2.023e+04  99.0000 
OBS: 59768.0439 Y WFD -1.5985e-01  9.447e-02    0  1.000 43.270  2.68 2.021e+04  99.0000 
OBS: 59773.0481 Y WFD -4.6468e-02  4.494e-02    0  1.000 44.660  1.86 4.983e+04  99.0000 
OBS: 59774.0977 z WFD -1.7782e-02  4.214e-02    0  1.000 44.690  2.09 4.275e+04  99.0000 
OBS: 59775.1038 z WFD -4.1624e-02  2.512e-02    0  1.000 45.760  2.41 5.922e+04  99.0000 
OBS: 59787.9639 z WFD  4.7018e-03  6.378e-02    0  1.000 43.480  2.14 2.073e+04  99.0000 
OBS: 59788.0490 r WFD -1.2049e-02  1.183e-02    0  1.000 44.810  2.57 1.090e+04  99.0000 
OBS: 59810.0493 r WFD -5.4449e-04  7.153e-03    0  1.000 44.810  1.53 1.107e+04  99.0000 
OBS: 59819.0373 u WFD -4.6288e-03  2.759e-02    0  1.000 41.110  2.20 9.803e+02  99.0000 
OBS: 59820.0108 i WFD -6.6868e-03  1.527e-02    0  1.000 44.570  1.93 1.502e+04  99.0000 
OBS: 59997.3886 z WFD  5.5594e+00  5.555e-02 4096  1.000 43.470  2.26 1.694e+04  25.6443 
OBS: 60001.4011 Y WFD  7.3765e+00  1.673e-01 6144  1.000 42.540  1.78 2.751e+04  25.3799 
OBS: 60004.3917 z WFD  4.5911e+00  2.819e-02 4096  1.000 44.240  1.77 2.230e+04  25.8401 
OBS: 60006.3784 g WFD  4.7270e-01  9.094e-03 4096  1.000 44.730  2.76 7.245e+03  28.3437 
OBS: 60006.3912 Y WFD  6.4598e+00  5.543e-02 4096  1.000 44.030  2.16 2.962e+04  25.4837 
OBS: 60009.3955 Y WFD  6.7799e+00  1.246e-01 4096  1.000 42.540  2.38 1.532e+04  25.4068 
OBS: 60011.3844 Y WFD  7.4721e+00  1.111e-01 4096  1.000 43.290  2.93 2.214e+04  25.3265 
OBS: 60027.3259 u WFD  3.6710e-02  2.115e-02    0  1.000 41.090  1.65 9.835e+02  31.0309 
OBS: 60028.3482 r WFD  3.6433e-01  6.413e-03 4096  1.000 44.810  1.35 1.124e+04  28.6157 
OBS: 60029.3564 i WFD  6.3557e-01  8.725e-03 4096  1.000 45.320  1.54 2.145e+04  28.0071 
OBS: 60036.3242 i WFD  8.6897e-01  1.248e-02 4096  1.000 44.570  1.55 1.528e+04  27.6861 
OBS: 60038.2978 Y WFD  2.4490e+00  1.176e-01 4096  1.000 42.520  2.21 1.528e+04  26.5411 
OBS: 60040.3315 Y WFD  1.8537e+00  1.232e-01 4096  1.000 42.560  2.26 1.625e+04  26.8311 
OBS: 60041.3976 z WFD  9.4090e-01  6.133e-02 4096  1.000 43.520  1.97 2.247e+04  27.5470 
OBS: 60057.2399 g WFD  9.1934e-02  7.336e-03 4096  1.000 44.690  2.30 6.761e+03  30.2037 
OBS: 60058.3408 r WFD  2.2513e-01  9.029e-03 4096  1.000 44.810  1.96 1.091e+04  29.1236 
OBS: 60060.3052 r WFD  2.2761e-01  7.086e-03 4096  1.000 44.820  1.55 1.092e+04  29.1770 
OBS: 60063.2340 r WFD  2.1036e-01  1.046e-02 4096  1.000 44.780  2.15 1.120e+04  29.2566 
