SURVEY:   LSST
SNID:     1060100
IAUC:     NULL
SNTYPE:   136
RA:       316.852106  # deg
DEC:      -24.533415  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0534 +- 0.0027  # MW E(B-V) 
PEAKMJD:  59890.828     # estimate for LC fit codes
MJD_TRIGGER:       59875.133  
MJD_DETECT_FIRST:  59874.094  
MJD_DETECT_LAST:   59887.016  

REDSHIFT_HELIO:   1.581888 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.579587 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8006360634  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5819  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          316.852345    # deg 
HOSTGAL_DEC:         -24.533446    # deg 
HOSTGAL_SNSEP:       0.343       # arcsec 
HOSTGAL_DDLR:        0.890       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.121 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.639
HOSTGAL_SQRADIUS:     10.848   # Ixx + Iyy
HOSTGAL_MAG:     25.44  25.42  25.53  25.27  25.12  24.74 # ugrizY
HOSTGAL_MAGERR:   0.20   0.04   0.05   0.06   0.08   0.16 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  740   # template index for SIMSED,NONIa
SIM_LIBID:           9101    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.58189  
SIM_REDSHIFT_CMB:    1.57959  
SIM_REDSHIFT_HOST:   1.62177  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8006360634 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.461 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.121 -9.000 
SIM_DLMU:            45.3295   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0357   # mag 
SIM_RA:              316.852112     # deg  
SIM_DEC:             -24.533415      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0592   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59890.828    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -62.99  # days 
SIM_TRESTMAX:        288.11  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.41  25.96  25.60  25.56  25.43  25.68  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3478 u WFD -1.2343e-02  1.657e-02    0  1.000 41.420  1.54 1.119e+03  99.0000 
OBS: 59729.2563 i WFD -4.9513e-03  1.633e-02    0  1.000 44.550  1.89 1.610e+04  99.0000 
OBS: 59761.4088 g WFD  6.3644e-03  1.413e-02    0  1.000 44.050  3.20 5.192e+03  99.0000 
OBS: 59767.1497 Y WFD  9.7217e-02  8.074e-02    0  1.000 43.260  2.28 2.012e+04  99.0000 
OBS: 59769.1796 z WFD -1.3876e-02  1.696e-02    0  1.000 45.010  1.54 3.135e+04  99.0000 
OBS: 59770.1652 z WFD  3.5176e-03  2.045e-02    0  1.000 45.000  1.70 3.393e+04  99.0000 
OBS: 59777.2843 Y WFD -9.8868e-03  1.289e-01    0  1.000 42.600  2.66 1.498e+04  99.0000 
OBS: 59779.1193 g WFD -1.3850e-02  7.553e-03    0  1.000 44.750  2.28 7.422e+03  99.0000 
OBS: 59783.1314 r WFD  8.3355e-03  1.199e-02    0  1.000 44.810  2.44 1.163e+04  99.0000 
OBS: 59789.0929 r WFD  4.0321e-03  8.647e-03    0  1.000 45.540  2.38 1.685e+04  99.0000 
OBS: 59791.0975 u WFD -4.2913e-03  2.758e-02    0  1.000 41.140  2.17 1.021e+03  99.0000 
OBS: 59793.0818 r WFD -1.3365e-02  1.145e-02    0  1.000 44.800  2.24 1.199e+04  99.0000 
OBS: 59797.0761 z WFD  5.6031e-02  3.789e-02    0  1.000 44.240  2.37 2.240e+04  99.0000 
OBS: 59807.1070 r WFD -5.8243e-03  8.046e-03    0  1.000 44.880  1.35 1.505e+04  99.0000 
OBS: 59807.2605 Y WFD -4.7209e-02  6.887e-02    0  1.000 42.580  1.50 1.394e+04  99.0000 
OBS: 59808.0477 g WFD -6.2356e-04  5.971e-03    0  1.000 44.760  1.80 7.501e+03  99.0000 
OBS: 59813.2486 i WFD -1.6144e-02  1.768e-02    0  1.000 44.580  2.24 1.512e+04  99.0000 
OBS: 59820.1881 i WFD  1.4606e-02  1.060e-02    0  1.000 44.590  1.40 1.464e+04  99.0000 
OBS: 59821.9924 z WFD  4.8299e-02  4.721e-02    0  1.000 43.460  2.09 1.543e+04  99.0000 
OBS: 59822.0427 i WFD  2.7080e-02  2.130e-02    0  1.000 44.580  2.68 1.523e+04  99.0000 
OBS: 59823.9876 Y WFD  4.8249e-02  6.003e-02    0  1.000 43.690  2.02 2.509e+04  99.0000 
OBS: 59825.0018 z WFD -3.8079e-02  2.582e-02    0  1.000 44.230  1.66 2.159e+04  99.0000 
OBS: 59825.9854 z WFD -1.4740e-02  4.412e-02    0  1.000 44.240  2.20 2.809e+04  99.0000 
OBS: 59827.0114 z WFD  2.9448e-02  2.671e-02    0  1.000 45.000  1.77 4.256e+04  99.0000 
OBS: 59835.9782 Y WFD  9.9045e-02  1.214e-01    0  1.000 42.550  1.59 2.255e+04  99.0000 
OBS: 59841.0137 g WFD  2.5120e-03  5.290e-03    0  1.000 44.840  1.75 7.359e+03  99.0000 
OBS: 59842.9971 Y WFD -6.9015e-02  4.383e-02    0  1.000 43.320  1.41 1.866e+04  99.0000 
OBS: 59844.9902 z WFD  4.8592e-02  4.032e-02    0  1.000 43.510  1.93 1.494e+04  99.0000 
OBS: 59849.0518 r WFD  6.1181e-03  9.407e-03    0  1.000 45.620  2.96 1.587e+04  99.0000 
OBS: 59860.1312 Y WFD  2.0869e-02  3.981e-02    0  1.000 44.320  1.58 3.800e+04  99.0000 
OBS: 59861.1166 Y WFD  1.2846e-01  9.236e-02    0  1.000 42.590  1.73 1.636e+04  99.0000 
OBS: 59863.0091 z WFD -8.7831e-03  1.537e-02    0  1.000 45.040  1.31 3.434e+04  99.0000 
OBS: 59864.1002 i WFD -3.8405e-03  1.121e-02    0  1.000 45.810  1.58 4.220e+04  99.0000 
OBS: 59874.0932 u WFD  1.0990e+00  2.032e-02 4096  1.000 41.260  1.69 1.075e+03  27.4304 
