SURVEY:   LSST
SNID:     1061145
IAUC:     NULL
SNTYPE:   136
RA:       200.939461  # deg
DEC:      -12.220756  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0299 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59719.262     # estimate for LC fit codes
MJD_TRIGGER:       59717.230  
MJD_DETECT_FIRST:  59716.035  
MJD_DETECT_LAST:   60512.027  

REDSHIFT_HELIO:   0.234034 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.235313 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9812944877  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.2340  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          200.939394    # deg 
HOSTGAL_DEC:         -12.220776    # deg 
HOSTGAL_SNSEP:       0.100       # arcsec 
HOSTGAL_DDLR:        0.410       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.695 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.061
HOSTGAL_SQRADIUS:     10.575   # Ixx + Iyy
HOSTGAL_MAG:     25.11  24.03  22.76  22.10  21.81  21.64 # ugrizY
HOSTGAL_MAGERR:   0.16   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           10146    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.23403  
SIM_REDSHIFT_CMB:    0.23531  
SIM_REDSHIFT_HOST:   0.23949  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9812944877 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.946 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.695 -9.000 
SIM_DLMU:            40.3508   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0016   # mag 
SIM_RA:              200.939468     # deg  
SIM_DEC:             -12.220756      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0288   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59719.262    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7929  # spectro-search efficiency 
SIM_TRESTMIN:        -80.25  # days 
SIM_TRESTMAX:        773.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   20.49  20.92  21.39  21.73  22.00  21.98  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2359 Y WFD -2.0113e-01  1.031e-01    0  1.000 42.490  2.04 1.413e+04  99.0000 
OBS: 59621.2419 Y WFD  1.4474e-02  9.183e-02    0  1.000 42.510  1.87 1.398e+04  99.0000 
OBS: 59652.1981 Y WFD -1.7222e-02  8.031e-02    0  1.000 42.550  1.70 1.396e+04  99.0000 
OBS: 59653.1900 Y WFD -7.6746e-03  9.413e-02    0  1.000 42.560  1.93 1.454e+04  99.0000 
OBS: 59655.2010 Y WFD  1.3201e-02  7.675e-02    0  1.000 43.330  1.90 2.448e+04  99.0000 
OBS: 59662.3304 i WFD  1.1178e-03  2.548e-02    0  1.000 44.600  2.54 1.958e+04  99.0000 
OBS: 59678.1390 z WFD  3.8058e-02  4.402e-02    0  1.000 43.500  2.16 1.444e+04  99.0000 
OBS: 59679.0823 z WFD -1.2082e-02  1.921e-02    0  1.000 44.990  1.68 3.196e+04  99.0000 
OBS: 59681.1125 z WFD  1.4096e-02  2.575e-02    0  1.000 44.250  1.51 2.411e+04  99.0000 
OBS: 59688.1287 z WFD  5.6585e-02  2.351e-02    0  1.000 45.470  1.91 5.353e+04  99.0000 
OBS: 59694.0505 g WFD -1.2087e-03  7.560e-03    0  1.000 44.760  2.26 7.564e+03  99.0000 
OBS: 59709.1253 i WFD -1.6750e-02  1.766e-02    0  1.000 44.610  1.83 1.901e+04  99.0000 
OBS: 59716.0364 Y WFD  1.0403e+02  5.046e-02 4096  1.000 44.490  2.13 4.164e+04  22.4570 
OBS: 59717.2305 z WFD  1.1839e+02  6.365e-02 6144  1.000 43.480  2.11 2.086e+04  22.3183 
OBS: 59718.2145 i WFD  1.7505e+02  4.824e-02 4096  1.000 43.830  2.60 1.762e+04  21.8920 
OBS: 59770.0835 z WFD  1.9238e+02  5.511e-02 4096  1.000 43.480  1.71 2.213e+04  21.7898 
OBS: 59771.0814 z WFD  1.9078e+02  3.291e-02 4096  1.000 44.990  2.12 4.300e+04  21.7988 
OBS: 59786.9695 z WFD  1.8058e+02  6.133e-02 4096  1.000 43.510  2.83 1.535e+04  21.8580 
OBS: 59946.3439 i WFD  3.5516e+01  3.223e-02 4096  1.000 43.790  2.42 1.226e+04  23.6226 
OBS: 59950.3623 Y WFD  1.7028e+01  8.662e-02 4096  1.000 43.750  2.06 3.750e+04  24.4258 
OBS: 59956.3573 z WFD  5.1210e+01  4.889e-02 4096  1.000 43.510  1.73 2.012e+04  23.2272 
OBS: 59964.3175 u WFD  5.9590e-02  2.047e-02    0  1.000 41.910  2.24 1.493e+03  30.6250 
OBS: 59965.3012 r WFD  5.6789e+00  1.198e-02 4096  1.000 44.800  2.26 1.241e+04  25.6162 
OBS: 59968.2922 u WFD  2.6757e-02  2.112e-02    0  1.000 41.860  2.26 1.458e+03  30.8526 
OBS: 59973.3279 g WFD  1.6027e-01  5.251e-03 4096  1.000 44.840  1.64 7.792e+03  29.4616 
OBS: 59976.2899 r WFD  4.9595e+00  8.835e-03 4096  1.000 44.820  1.75 1.202e+04  25.7642 
OBS: 59978.2580 Y WFD  1.3786e+01  5.858e-02 4096  1.000 43.260  1.54 2.159e+04  24.6518 
OBS: 59978.3380 i WFD  2.7991e+01  1.184e-02 4096  1.000 44.610  1.28 1.796e+04  23.8819 
OBS: 59979.2589 Y WFD  1.3699e+01  5.362e-02 4096  1.000 43.260  1.37 2.221e+04  24.6599 
OBS: 59980.2590 Y WFD  1.3628e+01  5.946e-02 4096  1.000 43.280  1.50 2.291e+04  24.6680 
OBS: 59990.3928 z WFD  3.9737e+01  4.203e-02 4096  1.000 43.530  1.32 2.309e+04  23.5031 
OBS: 59991.2805 r WFD  4.1197e+00  8.497e-03 4096  1.000 44.840  1.76 1.171e+04  25.9660 
OBS: 59993.2284 r WFD  4.0099e+00  8.284e-03 4096  1.000 44.810  1.66 1.178e+04  25.9922 
OBS: 59994.2273 r WFD  3.9733e+00  7.769e-03 4096  1.000 45.550  2.18 1.665e+04  26.0057 
