SURVEY:   LSST
SNID:     1061344
IAUC:     NULL
SNTYPE:   136
RA:       355.418105  # deg
DEC:      -25.398294  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0170 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59680.707     # estimate for LC fit codes
MJD_TRIGGER:       59770.324  
MJD_DETECT_FIRST:  59753.332  
MJD_DETECT_LAST:   60594.016  

REDSHIFT_HELIO:   0.470583 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.469066 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10312650592  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4706  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          355.417795    # deg 
HOSTGAL_DEC:         -25.398397    # deg 
HOSTGAL_SNSEP:       0.451       # arcsec 
HOSTGAL_DDLR:        0.889       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.375 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.207
HOSTGAL_SQRADIUS:     12.225   # Ixx + Iyy
HOSTGAL_MAG:     25.66  24.66  23.64  23.41  22.92  22.66 # ugrizY
HOSTGAL_MAGERR:   0.62   0.03   0.01   0.01   0.01   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           10345    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.47058  
SIM_REDSHIFT_CMB:    0.46906  
SIM_REDSHIFT_HOST:   0.49368  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10312650592 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.233 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.375 -9.000 
SIM_DLMU:            42.0974   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0027   # mag 
SIM_RA:              355.418091     # deg  
SIM_DEC:             -25.398294      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0157   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59680.707    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1219  # spectro-search efficiency 
SIM_TRESTMIN:        49.38  # days 
SIM_TRESTMAX:        670.72  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   21.80  22.11  22.59  22.96  23.19  23.41  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.3304 g WFD  2.3230e+00  5.401e-03 4096  1.000 44.870  1.59 8.462e+03  26.5842 
OBS: 59770.3242 Y WFD  4.5603e+01  7.240e-02 6144  1.000 42.570  1.67 1.299e+04  23.3512 
OBS: 59771.3481 z WFD  3.3374e+01  2.457e-02 4096  1.000 44.270  1.60 2.199e+04  23.6920 
OBS: 59772.2896 Y WFD  4.4952e+01  6.747e-02 4096  1.000 43.320  1.95 2.072e+04  23.3658 
OBS: 59774.3881 z WFD  3.3332e+01  3.744e-02 4096  1.000 44.290  1.74 3.149e+04  23.6950 
OBS: 59779.2311 z WFD  3.3014e+01  4.024e-02 4096  1.000 44.240  2.20 2.557e+04  23.7047 
OBS: 59782.4055 g WFD  5.4651e-01  1.337e-02 4096  1.000 44.140  2.71 6.302e+03  28.1493 
OBS: 59784.3233 r WFD  8.3250e+00  1.011e-02 4096  1.000 44.850  2.32 1.066e+04  25.2007 
OBS: 59788.4009 i WFD  1.9673e+01  1.775e-02 4096  1.000 44.580  2.36 1.434e+04  24.2659 
OBS: 59797.2079 z WFD  2.6013e+01  4.347e-02 4096  1.000 44.240  2.89 2.104e+04  23.9637 
OBS: 59807.2994 Y WFD  4.0091e+01  3.286e-02 4096  1.000 44.340  1.56 3.225e+04  23.4910 
OBS: 59809.3167 r WFD  4.8042e+00  1.133e-02 4096  1.000 44.930  1.68 1.780e+04  25.7935 
OBS: 59810.2180 g WFD  3.6827e-01  3.813e-03 4096  1.000 45.620  1.71 1.112e+04  28.5812 
OBS: 59810.2802 i WFD  1.6013e+01  1.272e-02 4096  1.000 44.610  1.58 1.575e+04  24.4888 
OBS: 59811.1830 i WFD  1.5879e+01  1.065e-02 4096  1.000 45.330  1.93 2.099e+04  24.4985 
OBS: 59818.1757 u WFD  3.1236e-02  2.069e-02    0  1.000 41.300  1.83 1.053e+03  31.0748 
OBS: 59819.1996 u WFD  3.1724e-02  2.575e-02    0  1.000 41.260  2.27 1.018e+03  31.1695 
OBS: 59821.1767 r WFD  3.6309e+00  7.999e-03 4096  1.000 44.840  1.75 1.109e+04  26.1017 
OBS: 59822.1428 i WFD  1.4174e+01  1.591e-02 4096  1.000 44.580  2.02 1.503e+04  24.6230 
OBS: 59824.1246 i WFD  1.3849e+01  1.505e-02 4096  1.000 44.570  1.83 1.555e+04  24.6472 
OBS: 59826.1490 z WFD  1.3673e+01  2.702e-02 4096  1.000 44.260  1.88 2.047e+04  24.6614 
OBS: 59827.1078 z WFD  1.3439e+01  3.177e-02 4096  1.000 44.240  1.96 2.268e+04  24.6813 
OBS: 59835.1292 Y WFD  3.8422e+01  7.628e-02 4096  1.000 42.580  1.54 1.500e+04  23.5342 
OBS: 59837.1421 r WFD  2.4071e+00  1.060e-02 4096  1.000 44.910  1.71 1.608e+04  26.5457 
OBS: 59841.0562 g WFD  2.2857e-01  4.979e-03 4096  1.000 45.480  2.18 1.002e+04  29.0783 
OBS: 59855.0206 z WFD  9.7202e+00  2.380e-02 4096  1.000 44.230  1.48 2.228e+04  25.0308 
OBS: 59856.0310 Y WFD  3.2723e+01  6.913e-02 4096  1.000 43.280  2.00 1.997e+04  23.7119 
OBS: 59856.1223 i WFD  9.0901e+00  1.166e-02 4096  1.000 45.390  1.72 2.733e+04  25.1002 
OBS: 59857.0024 z WFD  9.5209e+00  4.160e-02 4096  1.000 44.240  2.06 2.827e+04  25.0444 
OBS: 59862.0556 z WFD  9.3895e+00  3.366e-02 4096  1.000 44.280  1.36 3.594e+04  25.0759 
OBS: 59863.9925 Y WFD  3.0432e+01  7.701e-02 4096  1.000 43.290  1.62 2.773e+04  23.7969 
OBS: 59866.9970 Y WFD  2.9346e+01  8.773e-02 4096  1.000 43.290  2.23 2.295e+04  23.8307 
OBS: 59867.9966 Y WFD  2.9014e+01  3.948e-02 4096  1.000 44.500  1.61 4.358e+04  23.8422 
OBS: 59874.0087 z WFD  8.8184e+00  2.948e-02 4096  1.000 43.500  1.46 1.428e+04  25.1349 
