SURVEY:   LSST
SNID:     1061851
IAUC:     NULL
SNTYPE:   136
RA:       202.945912  # deg
DEC:      -3.202803  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0291 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59533.746     # estimate for LC fit codes
MJD_TRIGGER:       59638.398  
MJD_DETECT_FIRST:  59621.250  
MJD_DETECT_LAST:   59782.973  

REDSHIFT_HELIO:   0.990331 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.992343 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9751934072  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9903  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          202.945865    # deg 
HOSTGAL_DEC:         -3.202812    # deg 
HOSTGAL_SNSEP:       0.066       # arcsec 
HOSTGAL_DDLR:        0.646       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.446 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.587
HOSTGAL_SQRADIUS:     6.795   # Ixx + Iyy
HOSTGAL_MAG:     26.57  26.52  26.06  25.32  24.78  24.61 # ugrizY
HOSTGAL_MAGERR:   0.71   0.12   0.06   0.06   0.06   0.13 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           10852    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.99033  
SIM_REDSHIFT_CMB:    0.99235  
SIM_REDSHIFT_HOST:   0.94151  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9751934072 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.730 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.446 -9.000 
SIM_DLMU:            44.0774   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0132   # mag 
SIM_RA:              202.945908     # deg  
SIM_DEC:             -3.202803      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0285   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59533.746    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        43.92  # days 
SIM_TRESTMAX:        491.52  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.10  23.49  23.72  24.05  24.34  24.54  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 118 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59621.2519 Y WFD  7.2398e+00  7.718e-02 4096  1.000 43.240  2.15 2.001e+04  25.3468 
OBS: 59638.4002 z WFD  3.6042e+00  6.189e-02 6144  1.000 43.500  1.94 2.260e+04  26.0934 
OBS: 59652.2343 Y WFD  5.2712e+00  8.358e-02 4096  1.000 42.550  1.77 1.394e+04  25.6914 
OBS: 59653.2027 Y WFD  5.1542e+00  6.558e-02 4096  1.000 43.730  2.22 2.586e+04  25.7064 
OBS: 59655.3746 Y WFD  4.9970e+00  7.322e-02 4096  1.000 44.030  2.43 3.478e+04  25.7310 
OBS: 59660.2440 Y WFD  4.9296e+00  6.956e-02 4096  1.000 43.330  1.92 2.195e+04  25.7881 
OBS: 59681.1263 z WFD  1.9331e+00  1.892e-02 4096  1.000 44.990  1.51 3.502e+04  26.7775 
OBS: 59688.1332 z WFD  1.6982e+00  3.152e-02 4096  1.000 45.020  2.07 4.375e+04  26.9505 
OBS: 59694.1087 g WFD  3.2033e-02  6.408e-03    0  1.000 44.810  2.01 7.548e+03  31.0739 
OBS: 59699.2209 i WFD  4.3300e-01  1.694e-02 4096  1.000 44.570  2.10 1.531e+04  28.4794 
OBS: 59709.1251 i WFD  2.9969e-01  1.875e-02 4096  1.000 44.610  1.88 1.965e+04  28.7454 
OBS: 59716.0973 Y WFD  2.4995e+00  5.291e-02 4096  1.000 44.510  2.24 4.243e+04  26.5087 
OBS: 59718.1924 i WFD  2.3939e-01  3.506e-02    0  1.000 43.850  1.98 1.732e+04  28.9791 
OBS: 59729.9610 z WFD  8.1550e-01  5.077e-02 4096  1.000 43.470  2.18 1.605e+04  27.6711 
OBS: 59752.9603 z WFD  5.6752e-01  3.193e-02 4096  1.000 43.500  1.50 1.508e+04  28.1693 
OBS: 59770.0706 z WFD  3.9331e-01  3.594e-02 4096  1.000 44.240  1.62 3.108e+04  28.5210 
OBS: 59771.0602 z WFD  3.8348e-01  6.052e-02 4096  1.000 43.490  2.06 2.062e+04  28.5413 
OBS: 59782.9723 z WFD  3.2329e-01  4.608e-02 4096  1.000 43.490  2.19 1.477e+04  28.7708 
OBS: 59789.0248 r WFD  3.4783e-02  2.355e-02    0  1.000 44.020  2.90 9.291e+03  31.7297 
OBS: 59796.9797 z WFD  2.5008e-01  5.909e-02    0  1.000 44.240  3.11 2.661e+04  29.0286 
OBS: 59956.3574 z WFD  3.7067e-02  4.363e-02    0  1.000 44.250  1.97 3.131e+04  31.9846 
OBS: 59964.3272 u WFD  1.2257e-02  3.453e-02    0  1.000 41.050  2.54 1.006e+03  36.8813 
OBS: 59965.3534 r WFD  7.6250e-04  1.254e-02    0  1.000 44.080  1.76 8.611e+03  34.8426 
OBS: 59966.3415 i WFD -1.0672e-02  1.607e-02    0  1.000 44.570  1.92 1.589e+04  33.7212 
OBS: 59968.3389 u WFD -1.5138e-02  2.483e-02    0  1.000 41.920  2.76 1.483e+03  37.0216 
OBS: 59972.3147 r WFD -1.2712e-02  9.614e-03    0  1.000 44.800  1.86 1.213e+04  35.0902 
OBS: 59978.2888 Y WFD  7.7719e-02  4.333e-02    0  1.000 43.720  1.47 2.558e+04  30.3247 
OBS: 59979.3355 Y WFD -7.8808e-03  6.137e-02    0  1.000 42.560  1.28 1.429e+04  30.3391 
OBS: 59980.2730 Y WFD -1.3659e-02  6.438e-02    0  1.000 43.260  1.57 2.329e+04  30.3519 
OBS: 59992.3573 g WFD -1.8109e-02  8.980e-03    0  1.000 44.100  2.04 5.420e+03  36.9056 
OBS: 59993.2582 r WFD  1.9098e-03  8.878e-03    0  1.000 44.810  1.79 1.174e+04  35.8353 
OBS: 59994.3224 r WFD  5.6698e-03  7.852e-03    0  1.000 44.850  1.68 1.148e+04  35.8731 
OBS: 59998.3691 i WFD  1.7991e-02  1.703e-02    0  1.000 43.840  1.55 1.065e+04  34.7353 
OBS: 59999.3635 g WFD  1.2026e-02  5.393e-03    0  1.000 44.830  1.76 7.390e+03  37.1528 
OBS: 60002.2621 r WFD -5.2213e-03  9.587e-03    0  1.000 44.820  1.99 1.151e+04  36.1556 
OBS: 60003.3518 i WFD -4.9658e-03  1.561e-02    0  1.000 44.590  2.01 1.502e+04  34.8931 
