SURVEY:   LSST
SNID:     1062328
IAUC:     NULL
SNTYPE:   136
RA:       326.639758  # deg
DEC:      -34.544013  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0280 +- 0.0014  # MW E(B-V) 
PEAKMJD:  60098.879     # estimate for LC fit codes
MJD_TRIGGER:       60100.301  
MJD_DETECT_FIRST:  60096.250  
MJD_DETECT_LAST:   60634.031  

REDSHIFT_HELIO:   0.571169 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.569827 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9625650560  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5712  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          326.640883    # deg 
HOSTGAL_DEC:         -34.543246    # deg 
HOSTGAL_SNSEP:       2.090       # arcsec 
HOSTGAL_DDLR:        1.355       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     11.008 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.818
HOSTGAL_SQRADIUS:     93.814   # Ixx + Iyy
HOSTGAL_MAG:     21.99  21.45  20.65  19.99  19.85  19.57 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           11329    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.57117  
SIM_REDSHIFT_CMB:    0.56982  
SIM_REDSHIFT_HOST:   0.58970  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9625650560 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     1.079 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                11.008 -9.000 
SIM_DLMU:            42.6051   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0024   # mag 
SIM_RA:              326.639771     # deg  
SIM_DEC:             -34.544014      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0304   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60098.879    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0505  # spectro-search efficiency 
SIM_TRESTMIN:        -220.17  # days 
SIM_TRESTMAX:        340.90  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.24  22.50  22.93  23.30  23.50  23.75  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.2461 g WFD  1.1302e-02  8.202e-03    0  1.000 44.810  2.78 6.985e+03  99.0000 
OBS: 59769.2867 z WFD  1.6450e-02  1.941e-02    0  1.000 44.270  1.44 1.941e+04  99.0000 
OBS: 59770.2696 Y WFD  3.0672e-02  6.776e-02    0  1.000 42.600  1.58 1.327e+04  99.0000 
OBS: 59772.4079 Y WFD  1.1730e-01  8.799e-02    0  1.000 42.560  1.76 1.490e+04  99.0000 
OBS: 59773.2781 Y WFD -8.2953e-02  6.188e-02    0  1.000 43.360  1.58 2.439e+04  99.0000 
OBS: 59777.3253 Y WFD  2.0719e-03  7.740e-02    0  1.000 44.100  3.16 3.016e+04  99.0000 
OBS: 59779.2584 z WFD -3.7777e-04  3.430e-02    0  1.000 44.270  2.34 2.111e+04  99.0000 
OBS: 59791.1088 u WFD -1.8003e-02  3.056e-02    0  1.000 41.030  2.30 9.645e+02  99.0000 
OBS: 59793.2704 i WFD  2.6133e-02  1.728e-02    0  1.000 44.590  2.34 1.428e+04  99.0000 
OBS: 59798.1033 Y WFD -3.5338e-02  8.436e-02    0  1.000 42.530  1.74 1.406e+04  99.0000 
OBS: 59801.2140 z WFD -4.4050e-02  4.329e-02    0  1.000 44.290  1.90 3.342e+04  99.0000 
OBS: 59805.1492 Y WFD  1.8327e-02  2.503e-02    0  1.000 44.710  1.27 4.256e+04  99.0000 
OBS: 59808.0714 g WFD -6.0457e-03  6.018e-03    0  1.000 44.750  1.89 7.134e+03  99.0000 
OBS: 59809.2010 r WFD -1.6093e-03  7.951e-03    0  1.000 44.900  1.49 1.373e+04  99.0000 
OBS: 59813.2464 i WFD  4.4841e-03  1.468e-02    0  1.000 44.590  1.96 1.448e+04  99.0000 
OBS: 59821.2092 r WFD -2.9900e-03  7.570e-03    0  1.000 44.860  1.71 1.098e+04  99.0000 
OBS: 59824.2314 i WFD  9.5742e-03  1.305e-02    0  1.000 44.580  1.72 1.454e+04  99.0000 
OBS: 59825.0216 z WFD  2.3638e-02  3.034e-02    0  1.000 44.230  1.97 2.137e+04  99.0000 
OBS: 59826.0278 z WFD  3.0283e-02  2.581e-02    0  1.000 45.000  2.37 3.072e+04  99.0000 
OBS: 59835.0355 r WFD  1.9907e-03  9.196e-03    0  1.000 44.090  1.43 7.846e+03  99.0000 
OBS: 59836.1340 r WFD -9.6714e-03  1.453e-02    0  1.000 44.190  1.30 1.495e+04  99.0000 
OBS: 59843.0160 i WFD  1.4846e-03  1.150e-02    0  1.000 44.580  1.50 1.469e+04  99.0000 
OBS: 59845.9933 z WFD -5.3484e-02  4.290e-02    0  1.000 43.490  2.07 1.455e+04  99.0000 
OBS: 59851.1287 u WFD  3.4135e-02  2.358e-02    0  1.000 41.340  2.17 1.050e+03  99.0000 
OBS: 59853.0550 r WFD  3.2977e-03  8.610e-03    0  1.000 44.870  1.85 1.165e+04  99.0000 
OBS: 59860.0441 Y WFD -3.5514e-02  3.771e-02    0  1.000 44.550  1.52 4.624e+04  99.0000 
OBS: 59863.1315 z WFD -2.8011e-02  2.057e-02    0  1.000 45.020  1.57 3.765e+04  99.0000 
OBS: 59864.1391 i WFD -6.3397e-02  2.988e-02    0  1.000 43.860  1.68 1.756e+04  99.0000 
OBS: 59880.1456 r WFD -1.1723e-03  7.539e-03    0  1.000 44.790  1.50 1.168e+04  99.0000 
OBS: 59905.0819 u WFD -2.8743e-02  2.587e-02    0  1.000 41.780  2.70 1.388e+03  99.0000 
OBS: 59919.0410 z WFD -8.6813e-03  3.815e-02    0  1.000 44.240  1.94 2.755e+04  99.0000 
OBS: 60042.4079 z WFD  6.6605e-02  5.338e-02    0  1.000 43.480  1.87 1.986e+04  99.0000 
OBS: 60052.3924 i WFD -4.9247e-03  1.511e-02    0  1.000 44.560  1.74 1.634e+04  99.0000 
OBS: 60055.3956 g WFD  4.2399e-03  4.945e-03    0  1.000 44.810  1.52 7.703e+03  99.0000 
