SURVEY:   LSST
SNID:     1062447
IAUC:     NULL
SNTYPE:   136
RA:       59.170898  # deg
DEC:      -51.016500  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0090 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60278.195     # estimate for LC fit codes
MJD_TRIGGER:       60274.070  
MJD_DETECT_FIRST:  60272.109  
MJD_DETECT_LAST:   60396.012  

REDSHIFT_HELIO:   1.357386 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.357075 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8816924180  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3574  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          59.170898    # deg 
HOSTGAL_DEC:         -51.016501    # deg 
HOSTGAL_SNSEP:       0.009       # arcsec 
HOSTGAL_DDLR:        0.088       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.363 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.816
HOSTGAL_SQRADIUS:     6.321   # Ixx + Iyy
HOSTGAL_MAG:     29.68  27.98  27.02  25.81  25.18  24.43 # ugrizY
HOSTGAL_MAGERR:  26.62   0.32   0.20   0.12   0.12   0.12 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           11448    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.35739  
SIM_REDSHIFT_CMB:    1.35708  
SIM_REDSHIFT_HOST:   1.41774  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8816924180 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.934 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.363 -9.000 
SIM_DLMU:            44.9207   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0090   # mag 
SIM_RA:              59.170898     # deg  
SIM_DEC:             -51.016499      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0090   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60278.195    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -294.47  # days 
SIM_TRESTMAX:        167.94  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.55  24.25  24.14  24.35  24.60  24.86  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1129 u WFD  1.1187e-02  2.473e-02    0  1.000 41.220  2.21 9.677e+02  99.0000 
OBS: 59587.0342 Y WFD  1.6427e-02  1.249e-01    0  1.000 42.600  1.53 2.525e+04  99.0000 
OBS: 59590.1213 Y WFD  3.3992e-04  5.682e-02    0  1.000 42.570  1.29 1.325e+04  99.0000 
OBS: 59591.0457 z WFD  1.2079e-02  4.102e-02    0  1.000 44.270  1.87 3.159e+04  99.0000 
OBS: 59595.0471 Y WFD  3.1261e-02  8.869e-02    0  1.000 43.780  2.66 3.058e+04  99.0000 
OBS: 59624.0393 z WFD -1.3593e-02  4.111e-02    0  1.000 44.270  2.43 2.436e+04  99.0000 
OBS: 59627.0266 z WFD  2.9277e-02  3.925e-02    0  1.000 44.280  1.66 3.437e+04  99.0000 
OBS: 59634.0730 r WFD -2.0462e-02  9.334e-03    0  1.000 44.780  1.96 1.097e+04  99.0000 
OBS: 59648.0124 Y WFD  5.1961e-02  1.032e-01    0  1.000 42.530  2.13 1.406e+04  99.0000 
OBS: 59650.0010 Y WFD -1.4591e-01  1.409e-01    0  1.000 42.570  2.08 2.037e+04  99.0000 
OBS: 59651.9987 Y WFD  1.3968e-01  1.678e-01    0  1.000 42.550  2.26 2.193e+04  99.0000 
OBS: 59662.9943 z WFD -3.0227e-02  6.103e-02    0  1.000 44.240  2.51 3.406e+04  99.0000 
OBS: 59791.3507 g WFD -3.3430e-03  8.469e-03    0  1.000 44.670  2.78 6.340e+03  99.0000 
OBS: 59802.4124 Y WFD -3.9913e-02  8.361e-02    0  1.000 42.580  1.75 1.451e+04  99.0000 
OBS: 59803.3422 Y WFD -3.4654e-03  1.012e-01    0  1.000 42.540  1.89 1.567e+04  99.0000 
OBS: 59805.3140 Y WFD -9.9247e-02  5.802e-02    0  1.000 43.710  1.87 2.668e+04  99.0000 
OBS: 59809.3780 r WFD -4.3562e-03  1.277e-02    0  1.000 44.900  1.93 1.702e+04  99.0000 
OBS: 59813.4106 i WFD -7.7354e-03  1.878e-02    0  1.000 43.830  1.80 1.002e+04  99.0000 
OBS: 59818.3857 u WFD  2.8249e-03  2.090e-02    0  1.000 41.250  1.89 9.835e+02  99.0000 
OBS: 59822.2979 i WFD  1.7740e-02  1.762e-02    0  1.000 44.560  2.25 1.473e+04  99.0000 
OBS: 59824.3188 i WFD  1.2170e-02  1.188e-02    0  1.000 44.580  1.58 1.440e+04  99.0000 
OBS: 59832.2362 Y WFD -1.4153e-01  1.037e-01    0  1.000 42.520  1.80 1.656e+04  99.0000 
OBS: 59837.3866 i WFD -8.0385e-03  2.062e-02    0  1.000 43.860  1.47 1.385e+04  99.0000 
OBS: 59837.4005 z WFD -1.7712e-02  2.983e-02    0  1.000 43.510  1.30 1.641e+04  99.0000 
OBS: 59839.2732 r WFD  4.8841e-03  1.183e-02    0  1.000 44.860  1.93 1.520e+04  99.0000 
OBS: 59841.3104 g WFD  9.7381e-03  8.707e-03    0  1.000 44.820  2.83 7.352e+03  99.0000 
OBS: 59843.2003 i WFD  1.1047e-02  1.759e-02    0  1.000 44.540  2.10 1.547e+04  99.0000 
OBS: 59851.2849 u WFD -2.4377e-02  2.084e-02    0  1.000 41.250  1.89 9.803e+02  99.0000 
OBS: 59854.2666 r WFD  6.2297e-03  5.948e-03    0  1.000 44.820  1.39 1.023e+04  99.0000 
OBS: 59858.2035 z WFD  1.9706e-02  3.159e-02    0  1.000 44.250  1.88 2.376e+04  99.0000 
OBS: 59862.2263 z WFD -3.3665e-02  1.960e-02    0  1.000 45.020  1.35 4.172e+04  99.0000 
OBS: 59867.3126 r WFD  9.9844e-03  1.440e-02    0  1.000 44.910  1.92 1.948e+04  99.0000 
OBS: 59870.2495 i WFD  1.7361e-03  8.063e-03    0  1.000 45.340  1.55 2.007e+04  99.0000 
OBS: 59875.1243 u WFD -2.5761e-02  2.702e-02    0  1.000 41.020  2.09 9.297e+02  99.0000 
OBS: 59887.2462 i WFD -2.2688e-03  1.433e-02    0  1.000 44.620  1.35 2.111e+04  99.0000 
OBS: 59898.0906 i WFD -3.3095e-03  1.437e-02    0  1.000 44.560  1.81 1.494e+04  99.0000 
OBS: 59904.0828 u WFD  4.7570e-03  1.909e-02    0  1.000 41.870  2.24 1.341e+03  99.0000 
OBS: 59914.1361 r WFD -1.0329e-03  1.110e-02    0  1.000 44.890  1.82 1.555e+04  99.0000 
OBS: 59920.0912 Y WFD -1.9731e-02  5.338e-02    0  1.000 43.330  1.54 2.100e+04  99.0000 
OBS: 59921.0461 z WFD  4.3517e-03  2.504e-02    0  1.000 45.460  2.13 5.067e+04  99.0000 
OBS: 59927.0342 Y WFD -3.0213e-02  8.336e-02    0  1.000 42.570  1.48 1.695e+04  99.0000 
OBS: 59929.0323 Y WFD  1.1657e-01  8.791e-02    0  1.000 43.330  1.82 2.927e+04  99.0000 
OBS: 59929.1344 r WFD  1.6077e-02  8.125e-03    0  1.000 44.820  1.92 1.011e+04  99.0000 
OBS: 59935.1220 i WFD -1.6364e-02  1.027e-02    0  1.000 44.580  1.41 1.396e+04  99.0000 
OBS: 59939.0458 z WFD -1.2316e-02  2.974e-02    0  1.000 44.250  2.06 2.041e+04  99.0000 
OBS: 59952.0774 Y WFD  1.3149e-02  3.463e-02    0  1.000 43.770  1.31 2.402e+04  99.0000 
OBS: 59957.1754 r WFD  4.7037e-02  1.962e-02    0  1.000 44.100  2.05 1.178e+04  99.0000 
OBS: 59958.0502 z WFD  4.3565e-02  1.807e-02    0  1.000 45.010  1.71 3.008e+04  99.0000 
OBS: 59967.1065 i WFD  1.1177e-02  1.744e-02    0  1.000 44.570  2.30 1.439e+04  99.0000 
OBS: 59968.0913 u WFD -3.2534e-03  2.319e-02    0  1.000 41.250  2.07 9.961e+02  99.0000 
OBS: 59975.0396 Y WFD  1.0208e-01  6.771e-02    0  1.000 42.580  1.45 1.418e+04  99.0000 
OBS: 59975.1499 i WFD -1.7804e-02  2.354e-02    0  1.000 43.820  1.50 1.493e+04  99.0000 
OBS: 60001.0422 r WFD -2.8472e-02  1.141e-02    0  1.000 44.830  2.20 1.251e+04  99.0000 
OBS: 60005.0217 z WFD -4.6460e-02  2.841e-02    0  1.000 44.260  1.49 2.721e+04  99.0000 
OBS: 60009.0556 Y WFD -2.6680e-02  1.090e-01    0  1.000 43.270  2.87 2.178e+04  99.0000 
OBS: 60021.0127 z WFD  1.1183e-01  3.616e-02    0  1.000 43.470  1.68 1.484e+04  99.0000 
OBS: 60142.3841 i WFD -2.2876e-02  2.017e-02    0  1.000 44.540  2.41 1.546e+04  99.0000 
OBS: 60145.4181 g WFD  5.9154e-03  8.272e-03    0  1.000 44.010  2.06 4.551e+03  99.0000 
OBS: 60159.3387 Y WFD  1.0759e-01  1.061e-01    0  1.000 42.520  1.93 1.580e+04  99.0000 
OBS: 60161.3677 i WFD  3.5206e-03  1.684e-02    0  1.000 45.800  2.46 4.033e+04  99.0000 
OBS: 60164.3868 r WFD -3.0516e-04  1.156e-02    0  1.000 45.300  2.34 1.837e+04  99.0000 
OBS: 60166.3344 r WFD  4.4090e-03  7.643e-03    0  1.000 44.780  1.54 1.143e+04  99.0000 
OBS: 60177.2949 g WFD -1.0333e-02  8.773e-03    0  1.000 44.670  2.90 6.296e+03  99.0000 
OBS: 60179.3250 i WFD  6.7474e-04  1.871e-02    0  1.000 44.560  2.38 1.479e+04  99.0000 
OBS: 60180.3064 i WFD -7.2646e-03  1.328e-02    0  1.000 44.550  1.65 1.500e+04  99.0000 
OBS: 60184.2751 Y WFD -7.9366e-03  5.657e-02    0  1.000 43.710  1.89 2.573e+04  99.0000 
OBS: 60185.3580 z WFD -9.7907e-03  3.444e-02    0  1.000 44.270  1.99 2.492e+04  99.0000 
OBS: 60193.2843 i WFD -1.7761e-03  1.900e-02    0  1.000 44.580  2.08 1.750e+04  99.0000 
OBS: 60196.2691 g WFD  6.1640e-03  6.912e-03    0  1.000 44.720  2.39 6.302e+03  99.0000 
OBS: 60198.3577 u WFD  1.5756e-02  2.543e-02    0  1.000 41.220  2.28 9.645e+02  99.0000 
OBS: 60200.2461 u WFD -4.8424e-03  2.002e-02    0  1.000 41.840  2.28 1.344e+03  99.0000 
OBS: 60215.2041 Y WFD -7.9494e-02  6.406e-02    0  1.000 44.040  2.35 3.176e+04  99.0000 
OBS: 60223.1814 r WFD  4.1332e-03  1.876e-02    0  1.000 44.010  2.83 7.514e+03  99.0000 
OBS: 60223.3839 z WFD  2.6228e-02  4.192e-02    0  1.000 43.510  1.81 1.656e+04  99.0000 
OBS: 60232.1656 r WFD -1.7133e-03  5.657e-03    0  1.000 45.550  1.77 1.496e+04  99.0000 
OBS: 60242.3676 z WFD  2.4993e-02  3.738e-02    0  1.000 43.500  1.61 1.645e+04  99.0000 
OBS: 60244.1784 z WFD -2.4457e-02  2.079e-02    0  1.000 45.020  1.56 3.829e+04  99.0000 
OBS: 60245.1709 Y WFD -4.1557e-03  4.952e-02    0  1.000 43.770  1.67 2.694e+04  99.0000 
OBS: 60260.1252 g WFD -2.0760e-02  8.463e-03    0  1.000 44.770  3.08 6.271e+03  99.0000 
OBS: 60261.0814 u WFD  2.5599e-02  2.863e-02    0  1.000 41.720  3.07 1.278e+03  99.0000 
OBS: 60263.0720 u WFD -1.1146e-02  3.113e-02    0  1.000 41.070  2.48 9.455e+02  99.0000 
OBS: 60263.1067 r WFD  2.2783e-02  9.363e-03    0  1.000 44.790  2.08 1.046e+04  99.0000 
OBS: 60265.0850 r WFD  4.0411e-03  1.045e-02    0  1.000 44.800  2.30 1.066e+04  99.0000 
OBS: 60269.0609 i WFD  1.0059e-02  1.680e-02    0  1.000 44.580  1.78 1.808e+04  99.0000 
OBS: 60272.1087 Y WFD  6.3236e+00  8.555e-02 4096  1.000 42.580  1.84 1.411e+04  25.4989 
OBS: 60274.0705 Y WFD  8.1322e+00  1.379e-01 6144  1.000 42.540  2.62 1.540e+04  25.2362 
OBS: 60275.0320 z WFD  1.1843e+01  4.145e-02 4096  1.000 45.000  2.59 4.513e+04  24.8101 
OBS: 60279.2720 i WFD  1.7174e+01  2.825e-02 4096  1.000 44.600  2.55 2.159e+04  24.4137 
OBS: 60308.0661 z WFD  9.3006e+00  1.945e-02 4096  1.000 44.250  1.44 1.905e+04  25.0806 
OBS: 60309.2419 i WFD  6.2281e+00  3.697e-02 4096  1.000 43.810  2.17 1.605e+04  25.5102 
OBS: 60314.0568 Y WFD  9.5865e+00  6.710e-02 4096  1.000 42.570  1.59 1.268e+04  25.0324 
OBS: 60330.0405 Y WFD  7.2680e+00  9.905e-02 4096  1.000 42.580  1.98 1.519e+04  25.3291 
OBS: 60335.1379 z WFD  4.0410e+00  8.445e-02 4096  1.000 43.510  3.15 1.917e+04  25.9388 
OBS: 60352.0291 z WFD  2.4135e+00  2.366e-02 4096  1.000 45.020  1.72 3.953e+04  26.5598 
OBS: 60362.0859 Y WFD  3.3087e+00  7.917e-02 4096  1.000 43.270  2.13 2.131e+04  26.1539 
OBS: 60366.0189 Y WFD  3.0992e+00  1.032e-01 4096  1.000 42.560  1.99 1.546e+04  26.2493 
OBS: 60368.0335 z WFD  1.4753e+00  3.682e-02 4096  1.000 44.240  2.55 2.023e+04  27.0785 
OBS: 60371.0693 r WFD  1.5227e-01  1.119e-02 4096  1.000 44.760  2.28 1.110e+04  29.5795 
OBS: 60379.0125 z WFD  1.0971e+00  1.961e-02 4096  1.000 45.000  1.72 3.216e+04  27.4175 
OBS: 60393.0179 Y WFD  1.9722e+00  9.121e-02 4096  1.000 43.710  2.90 2.704e+04  26.7624 
OBS: 60396.0098 Y WFD  1.8537e+00  1.110e-01 4096  1.000 42.500  2.07 1.513e+04  26.8114 
OBS: 60500.4163 i WFD  1.9278e-02  2.113e-02    0  1.000 43.790  1.82 1.075e+04  31.7892 
OBS: 60515.4151 Y WFD  2.4461e-01  1.174e-01    0  1.000 42.550  2.43 1.427e+04  29.1138 
OBS: 60528.3358 i WFD  1.7286e-03  1.749e-02    0  1.000 44.540  2.12 1.523e+04  31.9398 
OBS: 60531.3711 r WFD  2.4727e-02  9.290e-03    0  1.000 44.810  2.11 1.043e+04  33.7010 
OBS: 60540.4170 Y WFD  1.7828e-01  6.958e-02    0  1.000 42.580  1.53 1.381e+04  29.4831 
OBS: 60541.3769 Y WFD  5.2068e-02  6.848e-02    0  1.000 43.330  1.97 2.106e+04  29.4968 
OBS: 60543.3221 z WFD  7.6868e-02  3.782e-02    0  1.000 44.260  1.95 2.767e+04  30.3992 
OBS: 60545.4186 z WFD  8.9687e-02  3.184e-02    0  1.000 43.520  1.35 1.702e+04  30.4144 
OBS: 60546.2805 Y WFD  9.5203e-02  1.073e-01    0  1.000 42.510  2.09 1.461e+04  29.5661 
OBS: 60549.4180 z WFD  8.4376e-02  3.810e-02    0  1.000 43.510  1.69 1.612e+04  30.4447 
OBS: 60550.3438 r WFD  1.1558e-02  6.523e-03    0  1.000 45.570  2.03 1.532e+04  33.8896 
OBS: 60553.2754 r WFD  5.1516e-03  6.810e-03    0  1.000 45.520  2.05 1.513e+04  33.8535 
OBS: 60554.3564 u WFD -1.6685e-02  2.425e-02    0  1.000 41.230  2.18 9.708e+02  36.2148 
OBS: 60555.2810 g WFD  2.8446e-03  3.855e-03    0  1.000 45.480  1.89 8.952e+03  35.1158 
OBS: 60559.2799 g WFD  3.9826e-03  5.513e-03    0  1.000 44.740  1.94 6.309e+03  35.0599 
OBS: 60568.3840 i WFD -1.0916e-03  1.173e-02    0  1.000 44.600  1.41 1.624e+04  31.9894 
OBS: 60571.2535 Y WFD  5.4154e-02  4.372e-02    0  1.000 44.060  1.64 3.164e+04  29.9220 
OBS: 60572.3574 z WFD  4.1023e-02  3.371e-02    0  1.000 44.270  1.84 2.638e+04  30.7079 
OBS: 60582.2616 u WFD -3.2550e-03  2.563e-02    0  1.000 41.150  2.19 9.487e+02  36.1298 
OBS: 60583.2143 r WFD -9.0384e-05  7.952e-03    0  1.000 45.540  2.47 1.493e+04  33.7716 
OBS: 60585.2060 u WFD  3.2126e-02  1.578e-02    0  1.000 41.870  1.83 1.357e+03  36.0868 
OBS: 60586.2194 i WFD  2.2180e-02  1.198e-02    0  1.000 44.560  1.54 1.464e+04  32.1341 
OBS: 60588.1703 g WFD -4.4520e-03  3.615e-03    0  1.000 45.440  1.71 8.943e+03  34.9682 
OBS: 60591.1658 i WFD  8.7828e-03  9.270e-03    0  1.000 45.300  1.60 2.154e+04  32.1282 
OBS: 60596.2759 i WFD  2.5618e-02  2.027e-02    0  1.000 44.610  2.13 1.874e+04  32.1270 
OBS: 60597.1357 Y WFD  2.2019e-01  1.548e-01    0  1.000 42.500  2.91 1.501e+04  30.2779 
OBS: 60598.1776 z WFD  2.1643e-02  3.428e-02    0  1.000 44.250  1.89 2.565e+04  30.9711 
OBS: 60599.1684 Y WFD  1.2189e-01  9.830e-02    0  1.000 42.540  1.85 1.555e+04  30.3041 
