SURVEY:   LSST
SNID:     1063181
IAUC:     NULL
SNTYPE:   136
RA:       203.048547  # deg
DEC:      -33.885504  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0467 +- 0.0023  # MW E(B-V) 
PEAKMJD:  59854.203     # estimate for LC fit codes
MJD_TRIGGER:       59951.324  
MJD_DETECT_FIRST:  59950.348  
MJD_DETECT_LAST:   60129.066  

REDSHIFT_HELIO:   1.032445 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.034306 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7939232955  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0324  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          203.048637    # deg 
HOSTGAL_DEC:         -33.885680    # deg 
HOSTGAL_SNSEP:       0.342       # arcsec 
HOSTGAL_DDLR:        0.802       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.877 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.313
HOSTGAL_SQRADIUS:     14.948   # Ixx + Iyy
HOSTGAL_MAG:     25.71  25.26  24.27  23.21  22.65  22.51 # ugrizY
HOSTGAL_MAGERR:   0.22   0.03   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           12182    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.03244  
SIM_REDSHIFT_CMB:    1.03430  
SIM_REDSHIFT_HOST:   1.00708  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7939232955 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.866 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.877 -9.000 
SIM_DLMU:            44.1888   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0158   # mag 
SIM_RA:              203.048553     # deg  
SIM_DEC:             -33.885506      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0429   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59854.203    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0070  # spectro-search efficiency 
SIM_TRESTMIN:        -115.12  # days 
SIM_TRESTMAX:        332.51  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.37  23.63  23.82  24.13  24.42  24.60  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2184 Y WFD -2.6839e-03  9.804e-02    0  1.000 42.510  1.98 1.410e+04  99.0000 
OBS: 59621.2352 Y WFD -1.0870e-01  7.726e-02    0  1.000 42.530  1.64 1.366e+04  99.0000 
OBS: 59626.3609 z WFD -1.0795e-02  2.079e-02    0  1.000 45.040  1.64 3.711e+04  99.0000 
OBS: 59628.3829 z WFD -3.9523e-03  2.877e-02    0  1.000 44.290  1.41 2.993e+04  99.0000 
OBS: 59645.1667 u WFD -1.1454e-02  3.741e-02    0  1.000 41.080  2.93 9.708e+02  99.0000 
OBS: 59652.1464 Y WFD -2.0790e-02  6.612e-02    0  1.000 44.020  2.60 2.909e+04  99.0000 
OBS: 59654.1412 Y WFD  4.8900e-03  6.989e-02    0  1.000 43.730  2.29 2.673e+04  99.0000 
OBS: 59661.4058 z WFD  3.7241e-02  6.661e-02    0  1.000 43.490  2.30 2.033e+04  99.0000 
OBS: 59682.0534 Y WFD  3.4739e-02  5.730e-02    0  1.000 43.260  1.50 2.170e+04  99.0000 
OBS: 59683.0703 Y WFD  1.3238e-02  5.022e-02    0  1.000 43.290  1.33 2.205e+04  99.0000 
OBS: 59684.1692 Y WFD  1.1780e-02  6.768e-02    0  1.000 42.610  1.31 1.613e+04  99.0000 
OBS: 59685.1989 Y WFD  4.8605e-02  5.118e-02    0  1.000 43.370  1.24 2.594e+04  99.0000 
OBS: 59688.3035 z WFD -5.9544e-02  3.335e-02    0  1.000 45.260  2.37 5.044e+04  99.0000 
OBS: 59690.3340 i WFD  3.2977e-02  3.550e-02    0  1.000 43.820  2.03 1.664e+04  99.0000 
OBS: 59710.0815 i WFD  1.2447e-02  1.346e-02    0  1.000 45.370  1.78 2.999e+04  99.0000 
OBS: 59716.2102 Y WFD -1.7971e-02  5.204e-02    0  1.000 44.500  2.10 4.410e+04  99.0000 
OBS: 59718.1683 i WFD  1.6528e-02  1.507e-02    0  1.000 45.390  1.80 3.383e+04  99.0000 
OBS: 59770.1035 z WFD  1.2626e-02  2.687e-02    0  1.000 45.000  1.75 4.332e+04  99.0000 
OBS: 59772.1172 Y WFD -2.3160e-01  1.159e-01    0  1.000 42.500  1.99 1.642e+04  99.0000 
OBS: 59789.0022 r WFD -1.9252e-02  9.753e-03    0  1.000 44.830  2.12 1.110e+04  99.0000 
OBS: 59800.0260 Y WFD -1.1789e-01  6.201e-02    0  1.000 44.030  2.33 3.072e+04  99.0000 
OBS: 59800.9817 z WFD  3.2812e-02  3.153e-02    0  1.000 44.270  1.74 2.609e+04  99.0000 
OBS: 59802.0114 Y WFD  1.5002e-01  7.261e-02    0  1.000 43.280  1.91 2.200e+04  99.0000 
OBS: 59806.0059 r WFD  7.2185e-03  9.276e-03    0  1.000 44.800  1.79 1.216e+04  99.0000 
OBS: 59808.0039 g WFD -1.3403e-02  8.043e-03    0  1.000 44.000  1.68 5.376e+03  99.0000 
OBS: 59950.3496 Y WFD  5.8820e+00  9.534e-02 4096  1.000 42.560  1.90 1.495e+04  25.5885 
OBS: 59951.3255 z WFD  3.4852e+00  3.439e-02 6144  1.000 44.250  1.72 2.826e+04  26.1578 
OBS: 59952.3102 Y WFD  5.6553e+00  8.790e-02 4096  1.000 42.520  1.60 1.578e+04  25.6006 
OBS: 59964.3447 u WFD  8.1132e-03  2.208e-02    0  1.000 41.300  1.93 1.066e+03  31.8315 
OBS: 59966.3662 z WFD  2.6944e+00  3.090e-02 4096  1.000 43.520  1.52 1.466e+04  26.4255 
OBS: 59978.2379 Y WFD  4.5467e+00  8.016e-02 4096  1.000 42.520  1.51 1.525e+04  25.8800 
OBS: 59980.2467 Y WFD  4.3546e+00  7.436e-02 4096  1.000 42.540  1.38 1.576e+04  25.9025 
OBS: 59984.3774 z WFD  1.9337e+00  3.947e-02 4096  1.000 43.530  1.51 1.904e+04  26.7706 
OBS: 59995.2232 r WFD  3.0947e-02  5.470e-03 4096  1.000 45.560  1.63 1.586e+04  31.4396 
OBS: 59997.2051 u WFD  2.9032e-02  2.853e-02    0  1.000 41.110  2.26 9.866e+02  34.8527 
OBS: 59999.1915 u WFD -2.4026e-04  1.686e-02    0  1.000 41.810  1.83 1.372e+03  37.4463 
OBS: 59999.2207 g WFD  8.6438e-03  4.815e-03    0  1.000 44.790  1.62 6.910e+03  36.4547 
OBS: 60004.2857 r WFD  6.7038e-03  1.055e-02    0  1.000 44.850  2.43 1.067e+04  31.7923 
