SURVEY:   LSST
SNID:     1063450
IAUC:     NULL
SNTYPE:   136
RA:       343.221495  # deg
DEC:      -16.173300  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0351 +- 0.0018  # MW E(B-V) 
PEAKMJD:  60484.934     # estimate for LC fit codes
MJD_TRIGGER:       60484.371  
MJD_DETECT_FIRST:  60483.270  
MJD_DETECT_LAST:   60659.062  

REDSHIFT_HELIO:   1.021011 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.018728 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10314029886  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0210  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          343.221560    # deg 
HOSTGAL_DEC:         -16.173279    # deg 
HOSTGAL_SNSEP:       0.096       # arcsec 
HOSTGAL_DDLR:        0.458       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.911 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.093
HOSTGAL_SQRADIUS:     9.917   # Ixx + Iyy
HOSTGAL_MAG:     26.12  25.41  24.15  23.05  22.52  22.34 # ugrizY
HOSTGAL_MAGERR:   0.55   0.04   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           12451    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.02101  
SIM_REDSHIFT_CMB:    1.01873  
SIM_REDSHIFT_HOST:   0.97025  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10314029886 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.810 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.911 -9.000 
SIM_DLMU:            44.1525   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0225   # mag 
SIM_RA:              343.221497     # deg  
SIM_DEC:             -16.173300      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0398   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60484.934    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0089  # spectro-search efficiency 
SIM_TRESTMIN:        -362.91  # days 
SIM_TRESTMAX:        86.26  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.30  23.60  23.80  24.11  24.40  24.59  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 140 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.3069 i WFD -1.9810e-03  1.786e-02    0  1.000 44.580  2.03 1.686e+04  99.0000 
OBS: 59769.2473 z WFD  2.0393e-02  2.590e-02    0  1.000 44.250  1.62 2.260e+04  99.0000 
OBS: 59770.3169 Y WFD  2.0221e-02  6.460e-02    0  1.000 42.570  1.49 1.304e+04  99.0000 
OBS: 59770.4398 z WFD  1.9062e-02  3.710e-02    0  1.000 43.500  1.58 1.664e+04  99.0000 
OBS: 59772.2550 Y WFD -9.7074e-02  8.707e-02    0  1.000 43.310  2.42 2.140e+04  99.0000 
OBS: 59773.4101 Y WFD -7.2199e-02  6.339e-02    0  1.000 43.340  1.71 2.267e+04  99.0000 
OBS: 59774.3785 z WFD -5.0828e-02  3.163e-02    0  1.000 45.040  1.88 4.925e+04  99.0000 
OBS: 59783.2143 r WFD  1.6957e-02  1.335e-02    0  1.000 44.810  2.74 1.154e+04  99.0000 
OBS: 59789.4379 z WFD -1.0237e-01  8.140e-02    0  1.000 43.490  2.72 2.101e+04  99.0000 
OBS: 59796.3826 r WFD -1.9780e-02  1.309e-02    0  1.000 44.810  2.66 1.165e+04  99.0000 
OBS: 59798.1475 Y WFD  7.9574e-02  9.490e-02    0  1.000 42.510  1.87 1.445e+04  99.0000 
OBS: 59799.1947 z WFD  6.0845e-02  3.017e-02    0  1.000 44.260  1.88 2.290e+04  99.0000 
OBS: 59800.1914 Y WFD -4.0901e-02  5.549e-02    0  1.000 43.320  1.63 2.044e+04  99.0000 
OBS: 59807.3502 Y WFD  1.0828e-01  1.068e-01    0  1.000 42.540  2.08 1.503e+04  99.0000 
OBS: 59810.1795 g WFD -1.2234e-02  5.725e-03    0  1.000 44.850  1.86 7.561e+03  99.0000 
OBS: 59810.2851 i WFD  1.6673e-02  1.397e-02    0  1.000 44.600  1.67 1.632e+04  99.0000 
OBS: 59814.1849 r WFD  1.5429e-02  1.004e-02    0  1.000 44.100  1.52 8.133e+03  99.0000 
OBS: 59818.1429 u WFD -4.4787e-03  2.024e-02    0  1.000 41.250  1.70 1.059e+03  99.0000 
OBS: 59819.0995 u WFD -5.7191e-02  2.463e-02    0  1.000 41.170  1.95 1.044e+03  99.0000 
OBS: 59820.1736 i WFD -8.3949e-03  1.139e-02    0  1.000 44.590  1.48 1.488e+04  99.0000 
OBS: 59822.0911 i WFD -1.5036e-02  2.134e-02    0  1.000 44.560  2.51 1.599e+04  99.0000 
OBS: 59825.0798 z WFD  3.1691e-02  3.337e-02    0  1.000 44.230  2.16 2.144e+04  99.0000 
OBS: 59826.0681 z WFD  1.5851e-02  3.341e-02    0  1.000 44.990  2.93 3.187e+04  99.0000 
OBS: 59827.0862 z WFD -9.6892e-03  2.381e-02    0  1.000 44.990  2.04 3.262e+04  99.0000 
OBS: 59835.1156 Y WFD  7.0909e-02  5.461e-02    0  1.000 43.330  1.59 2.081e+04  99.0000 
OBS: 59837.1294 r WFD  6.2388e-03  4.957e-03    0  1.000 46.070  1.45 2.584e+04  99.0000 
OBS: 59841.0424 g WFD  1.8068e-03  4.611e-03    0  1.000 45.510  1.99 1.045e+04  99.0000 
OBS: 59852.9985 Y WFD  1.2097e-02  9.472e-02    0  1.000 42.510  1.89 1.427e+04  99.0000 
OBS: 59853.0202 r WFD -4.9477e-03  9.501e-03    0  1.000 44.830  1.85 1.239e+04  99.0000 
OBS: 59856.0088 Y WFD  5.9894e-02  6.926e-02    0  1.000 43.280  1.99 2.014e+04  99.0000 
OBS: 59861.0905 Y WFD  2.4653e-02  6.181e-02    0  1.000 43.360  1.47 2.619e+04  99.0000 
OBS: 59862.0104 z WFD -1.7878e-03  2.998e-02    0  1.000 44.280  1.26 3.458e+04  99.0000 
OBS: 59863.1383 z WFD  9.5397e-03  2.223e-02    0  1.000 45.040  1.56 4.170e+04  99.0000 
OBS: 59864.0015 Y WFD  8.0678e-03  6.995e-02    0  1.000 42.550  1.51 1.368e+04  99.0000 
OBS: 59867.0076 Y WFD  7.0530e-03  7.073e-02    0  1.000 43.300  2.23 1.869e+04  99.0000 
OBS: 59869.0112 Y WFD -1.1907e-01  6.376e-02    0  1.000 42.570  1.46 1.314e+04  99.0000 
OBS: 59870.0815 i WFD  1.6005e-02  1.262e-02    0  1.000 44.600  1.70 1.449e+04  99.0000 
OBS: 59872.0004 Y WFD -7.0796e-03  7.138e-02    0  1.000 42.580  1.42 1.526e+04  99.0000 
OBS: 59875.1227 u WFD -1.8431e-02  1.698e-02    0  1.000 42.010  2.06 1.477e+03  99.0000 
OBS: 59878.0057 z WFD -3.4381e-02  3.144e-02    0  1.000 44.270  1.52 2.979e+04  99.0000 
OBS: 59881.0071 z WFD -3.2403e-02  2.509e-02    0  1.000 43.510  1.17 1.533e+04  99.0000 
OBS: 59900.0697 i WFD -4.2786e-04  2.316e-02    0  1.000 44.580  2.94 1.509e+04  99.0000 
OBS: 59923.0619 i WFD -5.1625e-02  2.858e-02    0  1.000 43.830  1.57 1.748e+04  99.0000 
OBS: 59934.0400 z WFD -6.1245e-03  3.101e-02    0  1.000 44.230  1.49 2.888e+04  99.0000 
OBS: 60063.4223 z WFD -6.2560e-02  5.711e-02    0  1.000 43.490  2.08 1.928e+04  99.0000 
OBS: 60069.4182 z WFD -4.2481e-02  3.794e-02    0  1.000 45.000  2.23 4.799e+04  99.0000 
OBS: 60072.3990 z WFD  4.7567e-03  3.072e-02    0  1.000 44.240  1.60 2.690e+04  99.0000 
OBS: 60082.3988 r WFD -8.5819e-03  7.640e-03    0  1.000 45.280  1.82 1.532e+04  99.0000 
OBS: 60084.3755 i WFD -1.3890e-02  1.971e-02    0  1.000 44.560  2.26 1.641e+04  99.0000 
OBS: 60094.3415 i WFD -5.3587e-03  1.439e-02    0  1.000 44.560  1.68 1.611e+04  99.0000 
OBS: 60096.3218 Y WFD -2.4938e-03  7.102e-02    0  1.000 43.260  1.92 2.101e+04  99.0000 
OBS: 60100.3478 Y WFD -7.0054e-02  5.627e-02    0  1.000 44.060  2.12 3.150e+04  99.0000 
OBS: 60111.2988 r WFD  9.1243e-03  1.038e-02    0  1.000 44.810  2.06 1.193e+04  99.0000 
OBS: 60113.2814 u WFD  4.3768e-02  1.721e-02    0  1.000 41.840  1.84 1.433e+03  99.0000 
OBS: 60118.2877 u WFD  2.3567e-03  2.488e-02    0  1.000 41.870  2.74 1.429e+03  99.0000 
OBS: 60119.3025 r WFD  1.2260e-02  1.145e-02    0  1.000 44.830  2.36 1.170e+04  99.0000 
OBS: 60120.2831 g WFD  1.1327e-02  9.627e-03    0  1.000 44.750  2.92 7.387e+03  99.0000 
OBS: 60122.3166 r WFD -1.2575e-02  9.126e-03    0  1.000 44.850  1.95 1.150e+04  99.0000 
OBS: 60127.2648 Y WFD  5.0936e-02  7.071e-02    0  1.000 43.290  1.89 2.185e+04  99.0000 
OBS: 60137.2375 i WFD  5.3291e-03  1.707e-02    0  1.000 44.560  2.06 1.559e+04  99.0000 
OBS: 60140.2144 u WFD  2.0613e-02  2.150e-02    0  1.000 41.840  2.34 1.407e+03  99.0000 
OBS: 60141.2149 g WFD  5.1340e-03  8.874e-03    0  1.000 44.770  2.77 7.311e+03  99.0000 
OBS: 60146.1901 g WFD -9.0705e-04  9.422e-03    0  1.000 43.980  2.02 5.142e+03  99.0000 
OBS: 60148.2409 r WFD -4.4655e-03  8.903e-03    0  1.000 44.830  1.89 1.136e+04  99.0000 
OBS: 60151.2585 r WFD  1.1596e-02  7.985e-03    0  1.000 44.840  1.73 1.124e+04  99.0000 
OBS: 60154.1862 z WFD -1.0164e-02  2.973e-02    0  1.000 44.240  1.72 2.421e+04  99.0000 
OBS: 60163.2410 i WFD -8.5977e-03  1.641e-02    0  1.000 44.620  1.68 1.942e+04  99.0000 
OBS: 60164.1525 r WFD  1.4464e-02  1.744e-02    0  1.000 44.030  2.44 8.254e+03  99.0000 
OBS: 60166.1718 r WFD -5.7860e-03  8.849e-03    0  1.000 44.810  1.82 1.151e+04  99.0000 
OBS: 60169.1344 r WFD  2.7467e-02  9.998e-03    0  1.000 44.790  1.97 1.180e+04  99.0000 
OBS: 60176.1699 u WFD -3.0749e-02  1.846e-02    0  1.000 41.340  1.64 1.088e+03  99.0000 
OBS: 60177.1750 g WFD  1.7209e-02  6.371e-03    0  1.000 44.850  2.09 7.488e+03  99.0000 
OBS: 60180.1451 i WFD -2.8671e-02  1.504e-02    0  1.000 44.590  1.76 1.653e+04  99.0000 
OBS: 60183.1230 Y WFD -1.0243e-01  4.998e-02    0  1.000 44.070  2.08 2.878e+04  99.0000 
