SURVEY:   LSST
SNID:     1064885
IAUC:     NULL
SNTYPE:   136
RA:       191.682962  # deg
DEC:      2.212601  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0243 +- 0.0012  # MW E(B-V) 
PEAKMJD:  59815.262     # estimate for LC fit codes
MJD_TRIGGER:       59965.344  
MJD_DETECT_FIRST:  59954.363  
MJD_DETECT_LAST:   60073.105  

REDSHIFT_HELIO:   0.912207 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.914340 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8751732902  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9122  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          191.683252    # deg 
HOSTGAL_DEC:         2.212882    # deg 
HOSTGAL_SNSEP:       0.651       # arcsec 
HOSTGAL_DDLR:        0.960       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.633 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.046
HOSTGAL_SQRADIUS:     15.006   # Ixx + Iyy
HOSTGAL_MAG:     23.38  23.28  22.70  21.81  21.28  21.21 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  734   # template index for SIMSED,NONIa
SIM_LIBID:           13886    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.91221  
SIM_REDSHIFT_CMB:    0.91434  
SIM_REDSHIFT_HOST:   0.88211  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8751732902 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.339 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.633 -9.000 
SIM_DLMU:            43.8576   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0082   # mag 
SIM_RA:              191.682968     # deg  
SIM_DEC:             2.212601      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0235   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59815.262    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -98.84  # days 
SIM_TRESTMAX:        365.40  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.23  23.88  24.19  24.09  23.92  23.90  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 78 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59626.2563 z WFD -8.0571e-03  4.611e-02    0  1.000 44.260  1.90 3.463e+04  99.0000 
OBS: 59638.3881 z WFD  8.5582e-02  5.522e-02    0  1.000 43.480  2.46 1.562e+04  99.0000 
OBS: 59653.1641 Y WFD -4.2543e-02  1.111e-01    0  1.000 42.520  2.04 1.565e+04  99.0000 
OBS: 59660.2116 Y WFD  9.0958e-02  5.092e-02    0  1.000 44.060  2.00 3.022e+04  99.0000 
OBS: 59681.1003 z WFD  3.4576e-02  2.811e-02    0  1.000 44.250  1.52 2.614e+04  99.0000 
OBS: 59688.2446 z WFD  2.6366e-02  6.918e-02    0  1.000 43.490  2.31 2.103e+04  99.0000 
OBS: 59689.2090 z WFD  1.2876e-02  2.910e-02    0  1.000 44.260  1.65 2.517e+04  99.0000 
OBS: 59694.0718 g WFD -1.4490e-02  6.960e-03    0  1.000 44.790  2.18 7.422e+03  99.0000 
OBS: 59714.0041 Y WFD -3.4503e-02  8.759e-02    0  1.000 44.040  2.53 4.034e+04  99.0000 
OBS: 59716.1078 Y WFD  5.0829e-02  1.251e-01    0  1.000 42.560  2.32 1.607e+04  99.0000 
OBS: 59717.1439 z WFD -5.6379e-02  5.115e-02    0  1.000 44.250  2.69 2.689e+04  99.0000 
OBS: 59718.1739 i WFD  9.4913e-03  4.384e-02    0  1.000 43.820  2.42 1.724e+04  99.0000 
OBS: 59752.9648 z WFD -8.9373e-04  3.335e-02    0  1.000 43.490  1.60 1.464e+04  99.0000 
OBS: 59771.0130 z WFD -2.6136e-02  2.798e-02    0  1.000 44.690  1.74 3.409e+04  99.0000 
OBS: 59789.9723 z WFD  5.9062e-02  7.673e-02    0  1.000 43.480  3.20 1.668e+04  99.0000 
OBS: 59954.3626 Y WFD  6.4052e+00  1.315e-01 4096  1.000 42.550  2.06 1.886e+04  25.4465 
OBS: 59965.3435 r WFD  1.1711e-01  1.452e-02 6144  1.000 44.050  2.05 8.326e+03  29.9004 
OBS: 59966.3375 i WFD  6.6512e-01  1.703e-02 4096  1.000 44.570  2.06 1.569e+04  27.9278 
OBS: 59968.3049 u WFD -8.0021e-03  1.506e-02    0  1.000 43.020  2.80 2.441e+03  32.2605 
OBS: 59976.3792 z WFD  2.3979e+00  4.555e-02 4096  1.000 43.510  1.79 1.819e+04  26.5814 
OBS: 59978.3049 Y WFD  4.7443e+00  4.686e-02 4096  1.000 43.300  1.36 2.030e+04  25.7933 
OBS: 59979.2617 Y WFD  4.7863e+00  5.755e-02 4096  1.000 43.260  1.43 2.285e+04  25.8070 
OBS: 59980.2684 Y WFD  4.8157e+00  6.378e-02 4096  1.000 43.270  1.53 2.389e+04  25.8216 
OBS: 59988.3869 z WFD  1.8898e+00  3.572e-02 4096  1.000 44.260  1.59 3.205e+04  26.8054 
OBS: 59990.2419 r WFD  7.8555e-02  1.119e-02 4096  1.000 44.790  2.06 1.263e+04  30.4843 
OBS: 59990.3901 z WFD  1.8793e+00  4.265e-02 4096  1.000 43.500  1.52 1.988e+04  26.8391 
OBS: 59992.3641 g WFD  2.0463e-02  7.632e-03    0  1.000 44.820  2.39 7.631e+03  31.6817 
OBS: 59993.2839 r WFD  5.7824e-02  6.402e-03 4096  1.000 45.580  1.89 1.630e+04  30.5564 
OBS: 59994.3944 z WFD  1.7140e+00  5.948e-02 4096  1.000 43.490  1.82 2.294e+04  26.9091 
OBS: 59998.3651 i WFD  3.0513e-01  1.990e-02 4096  1.000 43.810  1.72 1.091e+04  28.7191 
OBS: 60003.3704 i WFD  2.8542e-01  1.144e-02 4096  1.000 45.310  1.93 2.225e+04  28.8332 
OBS: 60004.3432 r WFD  4.7967e-02  1.038e-02 4096  1.000 44.820  2.12 1.170e+04  30.8020 
OBS: 60008.2124 Y WFD  3.0224e+00  1.450e-01 4096  1.000 42.540  2.64 1.608e+04  26.2686 
OBS: 60046.2370 i WFD  1.0811e-01  1.702e-02 4096  1.000 44.590  1.74 1.892e+04  29.8069 
OBS: 60058.2211 r WFD  2.0875e-02  1.026e-02    0  1.000 44.790  2.03 1.174e+04  31.9012 
OBS: 60060.2143 r WFD  1.5341e-02  1.199e-02    0  1.000 44.790  2.38 1.171e+04  31.9418 
OBS: 60070.2079 z WFD  3.3634e-01  7.119e-02    0  1.000 43.500  1.78 2.834e+04  28.6315 
OBS: 60071.0983 Y WFD  1.1988e+00  3.800e-02 4096  1.000 44.480  1.62 4.098e+04  27.2678 
OBS: 60073.1064 i WFD  6.4634e-02  1.225e-02 4096  1.000 45.810  1.86 3.918e+04  30.4166 
OBS: 60091.0364 r WFD  1.7036e-02  1.278e-02    0  1.000 44.870  1.98 1.615e+04  32.5694 
OBS: 60103.0638 r WFD  2.1918e-02  1.314e-02    0  1.000 44.080  1.91 8.317e+03  32.8144 
OBS: 60124.9852 z WFD  1.1585e-01  2.185e-02    0  1.000 45.020  1.57 3.998e+04  29.8948 
OBS: 60133.0038 r WFD  1.8104e-02  9.610e-03    0  1.000 44.820  1.84 1.248e+04  33.4240 
OBS: 60143.9968 g WFD  3.6806e-04  1.134e-02    0  1.000 44.750  2.94 8.646e+03  35.4050 
OBS: 60316.3584 z WFD -7.1874e-02  4.792e-02    0  1.000 43.490  1.91 1.761e+04  34.3086 
OBS: 60318.3601 z WFD -4.5518e-02  4.589e-02    0  1.000 43.490  1.84 1.751e+04  34.3548 
OBS: 60325.3712 z WFD  1.0570e-01  6.433e-02    0  1.000 43.520  1.93 2.406e+04  34.5165 
OBS: 60329.3747 Y WFD  1.7696e-01  1.936e-01    0  1.000 42.580  2.52 2.333e+04  31.3665 
OBS: 60333.3751 z WFD  1.8517e-02  7.708e-02    0  1.000 43.510  2.68 2.057e+04  34.7011 
OBS: 60334.3575 Y WFD  1.4111e-02  9.908e-02    0  1.000 43.760  2.41 3.701e+04  31.4456 
OBS: 60345.2806 g WFD  6.0741e-03  6.608e-03    0  1.000 44.810  1.83 8.551e+03  40.4006 
OBS: 60349.3821 z WFD -1.5620e-02  4.181e-02    0  1.000 44.260  1.87 3.190e+04  35.0702 
OBS: 60355.2660 i WFD  1.7113e-02  1.603e-02    0  1.000 44.560  1.94 1.554e+04  36.8198 
OBS: 60356.3066 r WFD  3.8576e-03  6.641e-03    0  1.000 45.570  1.94 1.632e+04  37.9711 
OBS: 60361.3624 i WFD  6.9137e-03  1.488e-02    0  1.000 44.570  1.82 1.552e+04  36.9581 
OBS: 60363.2729 Y WFD  1.4218e-01  8.331e-02    0  1.000 43.310  2.09 2.371e+04  31.9045 
OBS: 60364.2740 z WFD  9.2801e-03  5.553e-02    0  1.000 44.270  2.16 3.702e+04  35.4137 
