SURVEY:   LSST
SNID:     1065584
IAUC:     NULL
SNTYPE:   136
RA:       83.088658  # deg
DEC:      -31.276171  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0181 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59537.684     # estimate for LC fit codes
MJD_TRIGGER:       59586.043  
MJD_DETECT_FIRST:  59583.113  
MJD_DETECT_LAST:   59933.047  

REDSHIFT_HELIO:   0.679930 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.680217 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  734   # template index for SIMSED,NONIa
SIM_LIBID:           14585    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.65639  
SIM_REDSHIFT_CMB:    0.65667  
SIM_REDSHIFT_HOST:   0.67993  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8875370208 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.018 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.400 -9.000 
SIM_DLMU:            42.9771   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0059   # mag 
SIM_RA:              83.088661     # deg  
SIM_DEC:             -31.276171      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0193   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59537.684    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0709  # spectro-search efficiency 
SIM_TRESTMIN:        27.42  # days 
SIM_TRESTMAX:        681.24  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.10  23.32  23.43  23.20  23.17  23.35  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 147 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.1117 u WFD  5.0532e-01  1.419e-02 4096  1.000 42.080  1.91 1.417e+03  28.2761 
OBS: 59586.0427 z WFD  3.7681e+01  4.520e-02 6144  1.000 44.270  2.36 2.753e+04  23.5606 
OBS: 59589.2042 i WFD  2.4369e+01  1.259e-02 4096  1.000 44.580  1.69 1.411e+04  24.0335 
OBS: 59590.0631 Y WFD  3.6168e+01  6.322e-02 4096  1.000 42.570  1.45 1.306e+04  23.6049 
OBS: 59592.1395 z WFD  3.3438e+01  2.531e-02 4096  1.000 44.270  1.60 2.267e+04  23.6887 
OBS: 59597.0653 Y WFD  3.4087e+01  6.918e-02 4096  1.000 43.350  2.06 2.069e+04  23.6680 
OBS: 59598.1670 z WFD  3.0583e+01  4.696e-02 4096  1.000 44.270  2.53 2.669e+04  23.7868 
OBS: 59601.0535 Y WFD  3.2768e+01  4.991e-02 4096  1.000 43.340  1.71 1.779e+04  23.7107 
OBS: 59625.1145 Y WFD  3.0402e+01  7.190e-02 4096  1.000 42.580  1.47 1.481e+04  23.7945 
OBS: 59630.0246 Y WFD  2.8129e+01  5.627e-02 4096  1.000 42.600  1.29 1.344e+04  23.8756 
OBS: 59634.0961 r WFD  2.1591e+00  7.968e-03 4096  1.000 44.810  1.80 1.046e+04  26.6611 
OBS: 59655.0107 Y WFD  2.0708e+01  8.838e-02 4096  1.000 42.580  1.89 1.418e+04  24.2107 
OBS: 59657.0872 z WFD  1.4942e+01  5.981e-02 4096  1.000 43.490  2.09 2.007e+04  24.5522 
OBS: 59659.0794 i WFD  6.7568e+00  3.278e-02 4096  1.000 43.830  1.82 1.728e+04  25.4334 
OBS: 59666.9915 z WFD  1.2764e+01  3.947e-02 4096  1.000 44.270  2.12 2.679e+04  24.7346 
OBS: 59680.9917 Y WFD  1.5811e+01  6.775e-02 4096  1.000 42.560  1.43 1.410e+04  24.5004 
OBS: 59685.9794 Y WFD  1.5134e+01  8.066e-02 4096  1.000 42.560  1.54 1.560e+04  24.5493 
OBS: 59686.9938 z WFD  9.4548e+00  3.136e-02 4096  1.000 44.250  1.69 2.621e+04  25.0664 
OBS: 59692.9706 Y WFD  1.4051e+01  1.668e-01 4096  1.000 42.520  2.90 1.652e+04  24.6223 
OBS: 59798.4074 g WFD  7.9668e-03  8.073e-03    0  1.000 44.710  2.55 6.837e+03  33.2039 
OBS: 59835.3433 Y WFD  1.7817e+00  5.264e-02 4096  1.000 43.310  1.53 2.046e+04  26.8675 
OBS: 59839.3062 r WFD  2.1098e-02  1.480e-02    0  1.000 44.840  2.05 1.758e+04  32.1000 
OBS: 59849.2635 r WFD  1.4889e-02  1.991e-02    0  1.000 44.020  2.94 7.748e+03  32.3483 
OBS: 59850.2887 g WFD  1.1188e-03  8.055e-03    0  1.000 44.750  2.81 6.423e+03  34.5738 
OBS: 59851.2678 u WFD -1.4947e-02  2.477e-02    0  1.000 41.820  2.79 1.334e+03  35.9052 
OBS: 59857.2867 i WFD  8.3422e-02  1.073e-02 4096  1.000 45.350  1.60 2.610e+04  30.3386 
