SURVEY:   LSST
SNID:     1065976
IAUC:     NULL
SNTYPE:   136
RA:       117.671009  # deg
DEC:      -23.448900  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.5851 +- 0.0293  # MW E(B-V) 
PEAKMJD:  60666.117     # estimate for LC fit codes
MJD_TRIGGER:       60667.164  
MJD_DETECT_FIRST:  60663.199  
MJD_DETECT_LAST:   60672.129  

REDSHIFT_HELIO:   1.562005 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.563998 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8068558971  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5620  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          117.671366    # deg 
HOSTGAL_DEC:         -23.448876    # deg 
HOSTGAL_SNSEP:       0.514       # arcsec 
HOSTGAL_DDLR:        2.332       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.536 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.431
HOSTGAL_SQRADIUS:     9.131   # Ixx + Iyy
HOSTGAL_MAG:     30.46  28.97  27.58  26.10  25.11  24.40 # ugrizY
HOSTGAL_MAGERR:  26.62   0.18   0.10   0.05   0.04   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  734   # template index for SIMSED,NONIa
SIM_LIBID:           14977    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.56201  
SIM_REDSHIFT_CMB:    1.56399  
SIM_REDSHIFT_HOST:   1.61843  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8068558971 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.947 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.536 -9.000 
SIM_DLMU:            45.2993   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0198   # mag 
SIM_RA:              117.671005     # deg  
SIM_DEC:             -23.448900      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.5548   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60666.117    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -422.23  # days 
SIM_TRESTMAX:        2.34  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.13  27.39  26.36  26.32  26.19  25.98  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 145 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2792 u WFD  7.8580e-03  2.046e-02    0  1.000 41.340  1.93 1.025e+03  99.0000 
OBS: 59584.3620 z WFD -8.9804e-02  5.862e-02    0  1.000 43.500  1.98 2.098e+04  99.0000 
OBS: 59589.3366 i WFD -4.3974e-03  1.557e-02    0  1.000 44.560  1.96 1.494e+04  99.0000 
OBS: 59590.0715 Y WFD -1.0756e-01  8.181e-02    0  1.000 42.490  1.59 1.438e+04  99.0000 
OBS: 59594.1172 Y WFD -3.9919e-02  8.305e-02    0  1.000 42.580  1.71 1.475e+04  99.0000 
OBS: 59597.1481 Y WFD -2.1416e-01  1.098e-01    0  1.000 42.610  2.11 1.624e+04  99.0000 
OBS: 59598.2844 z WFD -7.8686e-02  5.173e-02    0  1.000 44.710  2.86 3.906e+04  99.0000 
OBS: 59611.0354 z WFD  1.8306e-02  4.041e-02    0  1.000 44.240  2.08 2.721e+04  99.0000 
OBS: 59614.0340 z WFD -2.8715e-02  3.974e-02    0  1.000 44.250  1.93 2.911e+04  99.0000 
OBS: 59625.0589 Y WFD -5.2769e-02  7.622e-02    0  1.000 42.580  1.49 1.553e+04  99.0000 
OBS: 59631.1864 i WFD  1.6275e-02  1.980e-02    0  1.000 44.620  1.95 2.018e+04  99.0000 
OBS: 59647.0114 Y WFD  5.2747e-02  6.404e-02    0  1.000 43.350  2.08 1.900e+04  99.0000 
OBS: 59666.0028 Y WFD  8.9433e-02  9.014e-02    0  1.000 42.590  2.21 1.250e+04  99.0000 
OBS: 59682.0404 Y WFD -1.5413e-02  4.319e-02    0  1.000 43.320  1.28 2.026e+04  99.0000 
OBS: 59684.0661 Y WFD -1.6404e-02  7.354e-02    0  1.000 42.560  1.45 1.512e+04  99.0000 
OBS: 59690.9745 z WFD -5.4007e-02  3.471e-02    0  1.000 43.520  1.75 1.432e+04  99.0000 
OBS: 59693.9764 Y WFD -1.2741e-02  8.497e-02    0  1.000 42.590  2.01 1.296e+04  99.0000 
OBS: 59699.9685 z WFD  8.5561e-03  2.826e-02    0  1.000 44.270  1.71 2.380e+04  99.0000 
OBS: 59712.0243 Y WFD  1.5729e-01  1.049e-01    0  1.000 42.500  1.94 1.525e+04  99.0000 
OBS: 59720.9581 Y WFD -7.5947e-02  8.929e-02    0  1.000 42.560  1.72 1.548e+04  99.0000 
OBS: 59851.3686 u WFD  3.0657e-03  2.193e-02    0  1.000 41.830  2.37 1.404e+03  99.0000 
OBS: 59861.3353 Y WFD -1.7945e-02  8.601e-02    0  1.000 42.520  1.57 1.574e+04  99.0000 
OBS: 59868.3751 z WFD -7.9734e-02  4.235e-02    0  1.000 43.520  1.71 1.787e+04  99.0000 
OBS: 59870.3565 i WFD  3.6095e-03  1.383e-02    0  1.000 44.590  1.59 1.681e+04  99.0000 
OBS: 59874.3740 z WFD  3.0593e-02  4.919e-02    0  1.000 43.520  1.77 2.006e+04  99.0000 
OBS: 59877.3691 z WFD -5.0160e-02  3.981e-02    0  1.000 43.520  1.69 1.700e+04  99.0000 
OBS: 59878.3280 g WFD  2.5829e-03  3.011e-03    0  1.000 45.550  1.49 9.458e+03  99.0000 
OBS: 59878.3693 z WFD  9.3600e-03  3.416e-02    0  1.000 43.520  1.37 1.800e+04  99.0000 
OBS: 59879.3099 g WFD -4.7349e-03  3.774e-03    0  1.000 45.520  1.82 9.443e+03  99.0000 
OBS: 59895.3363 i WFD  5.3112e-02  3.144e-02    0  1.000 43.890  1.83 1.744e+04  99.0000 
OBS: 59896.3032 i WFD  1.8385e-03  2.607e-02    0  1.000 44.620  2.21 2.345e+04  99.0000 
OBS: 59899.3072 i WFD -1.3163e-02  1.122e-02    0  1.000 45.800  2.20 3.005e+04  99.0000 
OBS: 59900.3282 r WFD -7.8847e-03  1.096e-02    0  1.000 44.890  2.09 1.337e+04  99.0000 
OBS: 59904.2577 u WFD  1.1891e-02  2.986e-02    0  1.000 41.150  2.51 9.645e+02  99.0000 
OBS: 59905.2197 u WFD  2.2760e-02  2.765e-02    0  1.000 41.030  2.13 9.424e+02  99.0000 
OBS: 59906.3230 r WFD  7.2380e-03  1.447e-02    0  1.000 44.090  2.44 7.235e+03  99.0000 
OBS: 59907.2846 r WFD -1.1494e-02  7.327e-03    0  1.000 44.830  1.71 1.033e+04  99.0000 
OBS: 59911.2857 r WFD  8.2950e-03  6.930e-03    0  1.000 44.840  1.64 1.029e+04  99.0000 
OBS: 59920.2026 Y WFD -8.5645e-02  4.765e-02    0  1.000 43.750  1.58 2.690e+04  99.0000 
OBS: 59922.2660 z WFD -3.3318e-02  2.711e-02    0  1.000 44.290  1.39 2.861e+04  99.0000 
OBS: 59928.2588 i WFD  2.2319e-02  1.886e-02    0  1.000 44.620  2.12 1.768e+04  99.0000 
OBS: 59930.2346 g WFD -4.5632e-03  4.397e-03    0  1.000 44.880  1.46 7.605e+03  99.0000 
OBS: 59933.2067 i WFD  1.0987e-02  9.765e-03    0  1.000 44.580  1.32 1.417e+04  99.0000 
OBS: 59937.1730 r WFD -3.9474e-03  5.714e-03    0  1.000 45.560  1.80 1.500e+04  99.0000 
OBS: 59945.1361 i WFD -6.4574e-03  1.330e-02    0  1.000 45.340  1.88 2.729e+04  99.0000 
OBS: 59953.2130 Y WFD -8.2099e-02  8.485e-02    0  1.000 42.600  1.77 1.483e+04  99.0000 
OBS: 59956.0733 r WFD  6.0326e-03  9.936e-03    0  1.000 44.770  2.06 1.101e+04  99.0000 
OBS: 59957.2571 r WFD -4.1625e-03  5.477e-03    0  1.000 46.430  1.49 3.871e+04  99.0000 
OBS: 59964.0773 u WFD -1.5335e-02  2.567e-02    0  1.000 41.110  2.08 9.645e+02  99.0000 
OBS: 59968.0472 z WFD -5.2477e-03  2.975e-02    0  1.000 44.990  2.58 3.223e+04  99.0000 
OBS: 59979.1513 Y WFD  8.5559e-02  3.938e-02    0  1.000 43.360  1.14 2.152e+04  99.0000 
OBS: 59995.0477 r WFD -2.5264e-03  6.569e-03    0  1.000 44.830  1.53 1.036e+04  99.0000 
OBS: 60000.0287 Y WFD  6.5922e-02  4.226e-02    0  1.000 43.320  1.40 1.812e+04  99.0000 
OBS: 60000.0581 g WFD  2.2284e-03  4.942e-03    0  1.000 44.870  1.71 7.232e+03  99.0000 
