SURVEY:   LSST
SNID:     1068373
IAUC:     NULL
SNTYPE:   136
RA:       323.214495  # deg
DEC:      -30.853009  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0374 +- 0.0019  # MW E(B-V) 
PEAKMJD:  59602.094     # estimate for LC fit codes
MJD_TRIGGER:       59729.316  
MJD_DETECT_FIRST:  59728.352  
MJD_DETECT_LAST:   59860.062  

REDSHIFT_HELIO:   1.315374 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.313343 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6004036034  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3154  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          323.214510    # deg 
HOSTGAL_DEC:         -30.853001    # deg 
HOSTGAL_SNSEP:       0.028       # arcsec 
HOSTGAL_DDLR:        0.180       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.895 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.286
HOSTGAL_SQRADIUS:     9.838   # Ixx + Iyy
HOSTGAL_MAG:     26.51  26.30  25.78  24.98  24.34  23.69 # ugrizY
HOSTGAL_MAGERR:   0.37   0.09   0.07   0.05   0.05   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           17374    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.31537  
SIM_REDSHIFT_CMB:    1.31335  
SIM_REDSHIFT_HOST:   1.31986  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6004036034 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.416 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.895 -9.000 
SIM_DLMU:            44.8344   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0352   # mag 
SIM_RA:              323.214508     # deg  
SIM_DEC:             -30.853010      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0347   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59602.094    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        54.58  # days 
SIM_TRESTMAX:        443.49  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.45  26.75  26.21  26.01  25.89  25.85  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 136 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3533 u WFD  1.9377e-01  1.788e-02 4096  1.000 41.310  1.60 1.050e+03  29.3044 
OBS: 59729.3151 i WFD  5.3826e-01  1.400e-02 6144  1.000 44.580  1.80 1.489e+04  28.1529 
OBS: 59753.2445 g WFD  1.4798e-01  8.366e-03 4096  1.000 44.810  2.80 7.074e+03  29.5180 
OBS: 59767.1608 Y WFD  7.9923e-01  1.201e-01    0  1.000 42.510  2.43 1.407e+04  27.8595 
OBS: 59767.4434 z WFD  3.6223e-01  6.925e-02    0  1.000 43.490  2.30 2.114e+04  28.7664 
OBS: 59770.1730 z WFD  2.7987e-01  2.032e-02 4096  1.000 45.000  1.69 3.392e+04  28.8933 
OBS: 59771.2161 z WFD  2.2256e-01  3.048e-02 4096  1.000 44.270  1.77 2.480e+04  28.9166 
OBS: 59773.3677 Y WFD  6.5560e-01  6.533e-02 4096  1.000 43.340  1.57 2.544e+04  28.0379 
OBS: 59777.3259 Y WFD  4.1991e-01  1.086e-01    0  1.000 43.340  3.12 2.128e+04  28.1151 
OBS: 59783.1279 r WFD  6.1563e-02  1.253e-02 4096  1.000 44.790  2.53 1.152e+04  30.2246 
OBS: 59791.0944 u WFD  7.4460e-02  3.064e-02    0  1.000 41.040  2.29 9.803e+02  31.3947 
OBS: 59797.0788 z WFD  1.6029e-01  3.862e-02 4096  1.000 44.230  2.37 2.262e+04  29.4953 
OBS: 59798.0920 Y WFD  4.8622e-01  6.412e-02 4096  1.000 43.280  1.84 2.016e+04  28.5196 
OBS: 59805.1531 Y WFD  3.2930e-01  3.130e-02 4096  1.000 44.120  1.24 3.166e+04  28.6582 
OBS: 59808.0692 g WFD  3.3847e-02  5.985e-03    0  1.000 44.790  1.88 7.400e+03  31.2866 
OBS: 59813.2440 i WFD  4.8864e-02  1.069e-02    0  1.000 45.340  1.99 2.073e+04  30.6349 
OBS: 59820.0831 i WFD  4.4784e-02  1.132e-02    0  1.000 44.580  1.47 1.476e+04  30.7823 
OBS: 59821.2076 r WFD  3.7463e-02  8.040e-03    0  1.000 44.850  1.78 1.110e+04  31.2100 
OBS: 59822.0114 i WFD  6.1461e-02  2.218e-02    0  1.000 44.550  2.58 1.602e+04  30.8209 
OBS: 59823.9939 Y WFD  3.1398e-01  5.988e-02    0  1.000 43.700  2.06 2.476e+04  29.0245 
OBS: 59825.0194 z WFD  9.3742e-02  1.905e-02 4096  1.000 44.990  1.78 2.991e+04  30.0602 
OBS: 59826.0289 z WFD  1.1600e-01  3.656e-02    0  1.000 44.250  2.41 2.145e+04  30.0786 
OBS: 59827.0191 z WFD  6.5458e-02  2.787e-02    0  1.000 44.250  1.68 2.345e+04  30.0970 
OBS: 59835.0226 r WFD  2.0062e-02  6.772e-03    0  1.000 44.830  1.45 1.126e+04  31.5143 
OBS: 59843.0890 i WFD  5.0329e-02  1.372e-02    0  1.000 44.590  1.87 1.419e+04  31.2193 
OBS: 59845.9919 z WFD  7.1630e-02  4.285e-02    0  1.000 43.490  2.05 1.468e+04  30.4290 
OBS: 59851.1301 u WFD -3.2591e-02  2.394e-02    0  1.000 41.270  2.11 1.028e+03  32.8371 
OBS: 59853.0431 r WFD  1.5137e-02  1.129e-02    0  1.000 44.120  1.70 8.326e+03  31.8595 
OBS: 59860.0634 Y WFD  1.3405e-01  3.534e-02 4096  1.000 44.720  1.56 4.938e+04  29.6608 
OBS: 59864.1292 i WFD  3.6252e-02  3.016e-02    0  1.000 43.860  1.69 1.762e+04  31.5630 
OBS: 59880.0115 z WFD  5.9819e-02  2.307e-02    0  1.000 43.510  1.19 1.387e+04  30.9713 
OBS: 59906.0726 u WFD -2.8755e-03  3.532e-02    0  1.000 41.050  2.59 1.009e+03  33.9338 
OBS: 59919.0427 z WFD -2.7751e-02  5.857e-02    0  1.000 43.480  2.05 1.987e+04  31.5970 
OBS: 60038.4185 z WFD -5.9042e-02  9.764e-02    0  1.000 43.500  2.22 3.116e+04  33.5109 
OBS: 60039.4154 Y WFD -7.0295e-02  1.207e-01    0  1.000 43.280  2.24 3.117e+04  32.7126 
OBS: 60040.4069 Y WFD  7.6549e-02  5.445e-02    0  1.000 44.460  2.04 4.579e+04  32.7294 
OBS: 60042.4035 z WFD  2.4178e-02  5.100e-02    0  1.000 43.490  1.82 1.968e+04  33.5748 
OBS: 60044.4102 z WFD  7.5490e-02  4.961e-02    0  1.000 44.250  2.00 3.507e+04  33.6069 
OBS: 60045.4122 z WFD -1.0880e-01  4.822e-02    0  1.000 43.500  1.81 1.888e+04  33.6230 
OBS: 60051.3861 r WFD -1.9194e-02  7.738e-03    0  1.000 44.800  1.41 1.288e+04  35.5548 
OBS: 60052.3725 i WFD  1.3043e-03  1.325e-02    0  1.000 44.560  1.51 1.650e+04  34.6622 
OBS: 60055.3878 g WFD -6.2278e-04  5.191e-03    0  1.000 44.810  1.54 7.982e+03  36.2886 
OBS: 60059.3745 i WFD -1.4297e-02  1.609e-02    0  1.000 44.560  1.90 1.593e+04  34.7775 
OBS: 60061.3976 i WFD  7.6884e-03  1.555e-02    0  1.000 44.580  1.91 1.560e+04  34.8108 
OBS: 60063.3722 r WFD  1.7611e-04  1.097e-02    0  1.000 44.820  2.15 1.219e+04  35.7781 
OBS: 60067.3837 z WFD -2.2346e-02  2.368e-02    0  1.000 44.250  1.68 1.993e+04  33.9753 
OBS: 60069.3692 z WFD -3.8062e-02  3.555e-02    0  1.000 44.260  1.86 2.727e+04  34.0071 
OBS: 60070.3879 z WFD -1.6889e-02  1.866e-02    0  1.000 45.020  1.40 3.831e+04  34.0234 
OBS: 60071.3801 Y WFD -2.4226e-02  3.895e-02    0  1.000 43.770  1.36 2.602e+04  33.2565 
OBS: 60072.3522 z WFD  1.7385e-02  2.205e-02    0  1.000 45.010  1.61 3.899e+04  34.0549 
OBS: 60078.3008 r WFD -1.2051e-03  1.074e-02    0  1.000 44.810  1.85 1.375e+04  36.0562 
OBS: 60080.3886 u WFD -1.3690e-02  1.557e-02    0  1.000 41.440  1.45 1.138e+03  37.4135 
OBS: 60085.2928 r WFD -6.2349e-03  9.642e-03    0  1.000 44.790  1.91 1.174e+04  36.1865 
OBS: 60100.3009 Y WFD  3.0710e-01  1.175e-01    0  1.000 42.590  2.16 1.668e+04  33.7486 
OBS: 60113.2623 u WFD  6.1764e-02  2.053e-02    0  1.000 41.300  1.81 1.056e+03  38.0697 
OBS: 60120.2210 g WFD -7.4202e-03  7.505e-03    0  1.000 44.780  2.45 7.055e+03  37.5660 
OBS: 60123.2835 i WFD -2.2764e-02  1.118e-02    0  1.000 44.600  1.52 1.435e+04  35.8296 
OBS: 60124.1747 Y WFD  2.9264e-02  1.374e-01    0  1.000 42.490  2.62 1.465e+04  34.1548 
OBS: 60125.1737 z WFD -1.5829e-02  3.515e-02    0  1.000 44.230  1.93 2.528e+04  34.9018 
OBS: 60127.2301 Y WFD -1.3401e-01  9.196e-02    0  1.000 42.580  1.75 1.596e+04  34.2068 
OBS: 60133.4049 i WFD  1.3653e-02  2.351e-02    0  1.000 44.620  1.97 2.372e+04  35.9963 
OBS: 60138.1418 i WFD  1.3146e-05  2.141e-02    0  1.000 44.540  2.49 1.588e+04  36.0743 
OBS: 60140.1488 u WFD  2.1005e-02  2.556e-02    0  1.000 41.140  2.03 1.012e+03  38.6064 
OBS: 60142.1263 i WFD -2.8407e-02  2.288e-02    0  1.000 44.550  2.68 1.591e+04  36.1399 
OBS: 60144.1574 g WFD -1.1334e-03  6.192e-03    0  1.000 44.800  2.00 7.264e+03  38.0376 
OBS: 60145.1459 u WFD  2.3540e-04  2.417e-02    0  1.000 41.220  2.01 1.040e+03  38.7061 
OBS: 60147.1780 r WFD -1.1072e-03  1.002e-02    0  1.000 44.840  2.17 1.124e+04  37.3394 
OBS: 60148.1485 r WFD -9.4113e-03  9.306e-03    0  1.000 44.810  1.94 1.136e+04  37.3575 
OBS: 60151.1194 r WFD  1.7289e-02  1.691e-02    0  1.000 44.830  2.61 1.562e+04  37.4128 
OBS: 60154.1628 z WFD -3.3543e-02  3.275e-02    0  1.000 44.270  1.97 2.394e+04  35.3665 
OBS: 60163.0987 g WFD -2.9992e-03  7.155e-03    0  1.000 44.790  2.28 7.295e+03  38.4108 
OBS: 60176.0877 u WFD -2.7734e-02  2.879e-02    0  1.000 41.180  2.38 1.009e+03  39.3238 
OBS: 60179.0732 i WFD -7.2434e-04  1.391e-02    0  1.000 44.590  1.71 1.573e+04  36.7481 
OBS: 60182.0534 z WFD  1.6809e-03  2.808e-02    0  1.000 44.250  1.69 2.349e+04  35.8137 
OBS: 60183.1006 Y WFD  2.2024e-01  9.524e-02    0  1.000 42.580  2.01 1.439e+04  35.1574 
OBS: 60188.0393 Y WFD  4.6297e-02  7.599e-02    0  1.000 43.760  2.32 2.949e+04  35.2415 
OBS: 60196.9833 Y WFD  1.8633e-01  1.590e-01    0  1.000 42.520  2.95 1.548e+04  35.3936 
OBS: 60197.0288 i WFD  2.5509e-02  1.660e-02    0  1.000 44.580  2.13 1.493e+04  37.0438 
OBS: 60202.0467 r WFD  7.3919e-05  6.992e-03    0  1.000 44.850  1.56 1.101e+04  38.3616 
OBS: 60207.1466 i WFD -3.7213e-03  1.778e-02    0  1.000 44.590  2.40 1.433e+04  37.2103 
