SURVEY:   LSST
SNID:     1068609
IAUC:     NULL
SNTYPE:   136
RA:       124.240487  # deg
DEC:      -39.002145  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    1.6951 +- 0.0848  # MW E(B-V) 
PEAKMJD:  60405.465     # estimate for LC fit codes
MJD_TRIGGER:       60309.309  
MJD_DETECT_FIRST:  60307.336  
MJD_DETECT_LAST:   60465.961  

REDSHIFT_HELIO:   1.267397 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.269171 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9003693183  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2674  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          124.240454    # deg 
HOSTGAL_DEC:         -39.002128    # deg 
HOSTGAL_SNSEP:       0.056       # arcsec 
HOSTGAL_DDLR:        0.590       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.048 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.884
HOSTGAL_SQRADIUS:     2.747   # Ixx + Iyy
HOSTGAL_MAG:     37.00  34.49  32.06  30.34  28.77  27.80 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           17610    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.26740  
SIM_REDSHIFT_CMB:    1.26918  
SIM_REDSHIFT_HOST:   1.28268  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9003693183 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.487 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.048 -9.000 
SIM_DLMU:            44.7389   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0150   # mag 
SIM_RA:              124.240486     # deg  
SIM_DEC:             -39.002144      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           1.5452   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60405.465    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -362.33  # days 
SIM_TRESTMAX:        118.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.49  32.24  30.16  29.12  28.22  27.78  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2852 u WFD  2.9074e-02  2.135e-02    0  1.000 41.310  2.02 9.930e+02  99.0000 
OBS: 59584.1810 u WFD -4.8718e-02  3.013e-02    0  1.000 41.200  2.67 9.582e+02  99.0000 
OBS: 59589.1538 Y WFD -7.8931e-02  5.534e-02    0  1.000 43.320  1.80 1.846e+04  99.0000 
OBS: 59589.2930 i WFD -5.5062e-03  8.412e-03    0  1.000 45.340  1.65 1.967e+04  99.0000 
OBS: 59594.1469 Y WFD -6.9847e-03  4.724e-02    0  1.000 43.330  1.44 1.987e+04  99.0000 
OBS: 59600.1839 z WFD  3.5375e-02  2.431e-02    0  1.000 45.010  2.07 3.343e+04  99.0000 
OBS: 59601.3409 i WFD -2.2723e-02  2.885e-02    0  1.000 44.600  2.34 2.406e+04  99.0000 
OBS: 59620.0406 Y WFD -5.0045e-02  7.171e-02    0  1.000 42.550  1.56 1.358e+04  99.0000 
OBS: 59636.0229 z WFD  6.1508e-03  3.826e-02    0  1.000 43.500  1.91 1.420e+04  99.0000 
OBS: 59653.0414 Y WFD  2.5148e-02  9.557e-02    0  1.000 42.600  2.15 1.375e+04  99.0000 
OBS: 59656.0136 z WFD -1.7359e-02  3.414e-02    0  1.000 44.280  1.79 2.772e+04  99.0000 
OBS: 59660.0327 g WFD  1.6433e-02  7.441e-03    0  1.000 44.070  2.02 4.411e+03  99.0000 
OBS: 59675.9874 Y WFD  5.3401e-02  9.447e-02    0  1.000 42.590  2.22 1.304e+04  99.0000 
OBS: 59683.0183 Y WFD  3.9816e-02  5.260e-02    0  1.000 42.600  1.17 1.390e+04  99.0000 
OBS: 59685.0511 Y WFD -3.8876e-02  5.723e-02    0  1.000 42.580  1.17 1.485e+04  99.0000 
OBS: 59687.0544 z WFD  4.7323e-02  3.009e-02    0  1.000 44.270  1.70 2.549e+04  99.0000 
OBS: 59708.9658 Y WFD  9.4699e-04  7.600e-02    0  1.000 42.580  1.68 1.374e+04  99.0000 
OBS: 59712.0557 Y WFD -7.0771e-02  1.455e-01    0  1.000 42.500  2.70 1.520e+04  99.0000 
OBS: 59747.9547 Y WFD  1.1610e-01  1.263e-01    0  1.000 42.520  2.03 1.788e+04  99.0000 
OBS: 59853.3782 g WFD -1.1110e-03  8.580e-03    0  1.000 44.020  1.89 5.192e+03  99.0000 
OBS: 59860.3566 Y WFD  1.5577e-01  8.962e-02    0  1.000 42.540  1.77 1.482e+04  99.0000 
OBS: 59861.3315 Y WFD  2.9103e-02  6.350e-02    0  1.000 43.250  1.59 2.248e+04  99.0000 
OBS: 59862.3793 z WFD -9.0676e-02  3.871e-02    0  1.000 44.270  1.69 3.299e+04  99.0000 
OBS: 59873.3377 r WFD -5.3038e-03  6.049e-03    0  1.000 45.550  1.82 1.556e+04  99.0000 
OBS: 59874.3179 u WFD  2.3769e-02  2.190e-02    0  1.000 41.800  2.41 1.341e+03  99.0000 
OBS: 59875.3127 r WFD -6.7106e-03  6.950e-03    0  1.000 45.540  2.07 1.557e+04  99.0000 
OBS: 59875.3675 z WFD  2.4181e-02  2.375e-02    0  1.000 44.700  1.53 3.322e+04  99.0000 
OBS: 59895.3044 i WFD  1.0194e-02  1.878e-02    0  1.000 44.620  1.63 2.291e+04  99.0000 
OBS: 59905.2314 u WFD -1.7704e-02  1.994e-02    0  1.000 41.770  2.17 1.319e+03  99.0000 
OBS: 59906.2444 r WFD -8.4119e-03  9.642e-03    0  1.000 44.800  2.14 1.057e+04  99.0000 
OBS: 59917.2147 z WFD -1.8145e-02  2.503e-02    0  1.000 44.250  1.50 2.359e+04  99.0000 
OBS: 59918.1903 Y WFD -2.2685e-02  6.162e-02    0  1.000 43.270  1.68 2.103e+04  99.0000 
OBS: 59923.2152 z WFD -7.3566e-03  1.892e-02    0  1.000 45.020  1.43 3.802e+04  99.0000 
OBS: 59924.1906 Y WFD -1.4468e-01  8.770e-02    0  1.000 42.540  1.72 1.492e+04  99.0000 
