SURVEY:   LSST
SNID:     1069914
IAUC:     NULL
SNTYPE:   136
RA:       90.920012  # deg
DEC:      -17.978834  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1170 +- 0.0059  # MW E(B-V) 
PEAKMJD:  60642.258     # estimate for LC fit codes
MJD_TRIGGER:       60558.387  
MJD_DETECT_FIRST:  60557.367  
MJD_DETECT_LAST:   60670.074  

REDSHIFT_HELIO:   1.338004 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.338723 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           18915    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.30743  
SIM_REDSHIFT_CMB:    1.30814  
SIM_REDSHIFT_HOST:   1.33800  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9629021167 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.068 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.462 -9.000 
SIM_DLMU:            44.8212   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0349   # mag 
SIM_RA:              90.920013     # deg  
SIM_DEC:             -17.978834      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1143   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60642.258    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -460.34  # days 
SIM_TRESTMAX:        12.06  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.88  27.10  26.48  26.24  26.08  26.02  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0468 Y WFD -1.2203e-01  1.293e-01    0  1.000 42.520  2.50 1.486e+04  99.0000 
OBS: 59584.1369 u WFD -3.1109e-02  3.117e-02    0  1.000 41.290  2.86 1.006e+03  99.0000 
OBS: 59588.0759 Y WFD  1.9413e-01  1.097e-01    0  1.000 42.570  2.53 1.305e+04  99.0000 
OBS: 59589.2394 i WFD  2.5878e-03  9.424e-03    0  1.000 45.330  1.73 2.082e+04  99.0000 
OBS: 59592.0591 z WFD  9.0534e-03  2.868e-02    0  1.000 44.270  1.66 2.488e+04  99.0000 
OBS: 59594.0688 Y WFD  4.5175e-02  8.911e-02    0  1.000 42.580  1.78 1.520e+04  99.0000 
OBS: 59597.0399 Y WFD -1.0293e-01  1.132e-01    0  1.000 42.570  1.92 1.773e+04  99.0000 
OBS: 59607.0449 Y WFD -1.3250e-02  1.009e-01    0  1.000 42.570  2.34 1.297e+04  99.0000 
OBS: 59623.0401 z WFD  8.5296e-04  3.145e-02    0  1.000 44.280  1.75 2.612e+04  99.0000 
OBS: 59628.0458 z WFD  2.3806e-02  2.431e-02    0  1.000 44.280  1.50 2.356e+04  99.0000 
OBS: 59652.0153 Y WFD  2.9366e-02  7.914e-02    0  1.000 43.340  2.47 1.959e+04  99.0000 
OBS: 59655.0240 Y WFD  6.5973e-02  6.163e-02    0  1.000 43.330  1.83 2.040e+04  99.0000 
OBS: 59657.0373 z WFD -4.6152e-02  3.114e-02    0  1.000 44.270  1.73 2.592e+04  99.0000 
OBS: 59667.9970 z WFD -3.5894e-02  4.199e-02    0  1.000 44.260  2.92 2.052e+04  99.0000 
OBS: 59682.9861 Y WFD -1.1429e-02  5.973e-02    0  1.000 42.560  1.24 1.436e+04  99.0000 
OBS: 59685.9811 Y WFD -1.3647e-01  5.497e-02    0  1.000 43.310  1.52 2.151e+04  99.0000 
OBS: 59693.9841 Y WFD -1.8107e-02  1.068e-01    0  1.000 42.510  2.18 1.395e+04  99.0000 
OBS: 59701.9656 z WFD  7.0063e-03  4.994e-02    0  1.000 43.480  1.95 1.782e+04  99.0000 
OBS: 59824.3731 i WFD  1.0364e-02  1.541e-02    0  1.000 44.550  1.83 1.569e+04  99.0000 
OBS: 59835.3592 Y WFD -9.4166e-02  8.468e-02    0  1.000 42.540  1.68 1.475e+04  99.0000 
OBS: 59840.3818 r WFD  3.1830e-03  1.501e-02    0  1.000 44.120  1.70 1.108e+04  99.0000 
OBS: 59851.3465 u WFD -7.1719e-04  2.091e-02    0  1.000 41.280  1.86 1.028e+03  99.0000 
OBS: 59853.3570 r WFD  2.2176e-02  8.324e-03    0  1.000 44.830  1.89 1.062e+04  99.0000 
OBS: 59859.3245 i WFD -1.0902e-02  1.416e-02    0  1.000 45.370  1.77 3.174e+04  99.0000 
OBS: 59860.2623 Y WFD -1.1346e-01  1.047e-01    0  1.000 42.500  1.89 1.562e+04  99.0000 
OBS: 59866.3173 i WFD -1.2508e-02  2.265e-02    0  1.000 44.620  1.83 2.461e+04  99.0000 
