SURVEY:   LSST
SNID:     1070857
IAUC:     NULL
SNTYPE:   136
RA:       81.788869  # deg
DEC:      -36.065309  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0318 +- 0.0016  # MW E(B-V) 
PEAKMJD:  59732.980     # estimate for LC fit codes
MJD_TRIGGER:       59649.016  
MJD_DETECT_FIRST:  59645.016  
MJD_DETECT_LAST:   60053.977  

REDSHIFT_HELIO:   0.679906 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.680165 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8813243854  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6799  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          81.788938    # deg 
HOSTGAL_DEC:         -36.065616    # deg 
HOSTGAL_SNSEP:       0.561       # arcsec 
HOSTGAL_DDLR:        0.674       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.374 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.377
HOSTGAL_SQRADIUS:     29.231   # Ixx + Iyy
HOSTGAL_MAG:     23.97  23.31  22.26  21.40  21.09  20.84 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           19858    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.67991  
SIM_REDSHIFT_CMB:    0.68017  
SIM_REDSHIFT_HOST:   0.65485  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8813243854 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.015 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.374 -9.000 
SIM_DLMU:            43.0703   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0104   # mag 
SIM_RA:              81.788872     # deg  
SIM_DEC:             -36.065308      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0338   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59732.980    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -89.21  # days 
SIM_TRESTMAX:        550.70  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.28  24.78  24.56  24.49  24.46  24.53  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.1157 u WFD -1.9409e-02  2.310e-02    0  1.000 41.300  2.18 9.866e+02  99.0000 
OBS: 59588.0841 Y WFD -4.5038e-02  6.818e-02    0  1.000 43.340  2.34 1.782e+04  99.0000 
OBS: 59589.0480 Y WFD  1.3584e-01  7.296e-02    0  1.000 42.570  1.62 1.355e+04  99.0000 
OBS: 59591.0878 z WFD  3.9702e-02  2.673e-02    0  1.000 44.270  1.80 2.139e+04  99.0000 
OBS: 59596.0500 Y WFD  4.6349e-02  6.659e-02    0  1.000 42.600  1.37 1.503e+04  99.0000 
OBS: 59598.1480 z WFD  5.5200e-02  3.308e-02    0  1.000 45.030  2.61 3.675e+04  99.0000 
OBS: 59601.0495 Y WFD -1.0978e-03  7.378e-02    0  1.000 42.590  1.78 1.270e+04  99.0000 
OBS: 59627.0322 z WFD -4.7259e-02  2.888e-02    0  1.000 44.290  1.61 2.632e+04  99.0000 
OBS: 59630.0256 Y WFD  7.0234e-02  5.509e-02    0  1.000 42.600  1.29 1.321e+04  99.0000 
OBS: 59634.1153 r WFD -1.0096e-02  6.371e-03    0  1.000 45.560  2.00 1.505e+04  99.0000 
OBS: 59645.0141 z WFD  2.1180e+00  3.409e-02 4096  1.000 43.510  1.75 1.393e+04  26.6841 
OBS: 59649.0146 Y WFD  4.5240e+00  7.614e-02 6144  1.000 42.590  1.78 1.310e+04  25.8861 
OBS: 59655.0494 Y WFD  6.4283e+00  6.621e-02 4096  1.000 43.310  1.89 2.083e+04  25.4951 
OBS: 59659.0763 i WFD  6.5174e+00  2.074e-02 4096  1.000 45.020  2.02 2.948e+04  25.4656 
OBS: 59684.9809 Y WFD  1.0499e+01  6.890e-02 4096  1.000 42.560  1.33 1.543e+04  24.9517 
OBS: 59685.9748 Y WFD  1.0602e+01  9.101e-02 4096  1.000 42.550  1.55 1.733e+04  24.9468 
OBS: 59689.9769 z WFD  1.1761e+01  4.293e-02 4096  1.000 43.490  1.94 1.552e+04  24.8260 
OBS: 59694.9690 Y WFD  1.1664e+01  1.083e-01 4096  1.000 42.520  1.86 1.672e+04  24.8007 
OBS: 59798.3956 g WFD  4.0913e+00  8.159e-03 4096  1.000 44.690  2.56 6.729e+03  25.9669 
OBS: 59827.3556 g WFD  1.5285e+00  5.140e-03 4096  1.000 44.750  1.77 6.483e+03  27.0364 
OBS: 59835.3651 Y WFD  6.8447e+00  6.700e-02 4096  1.000 42.580  1.45 1.402e+04  25.3962 
OBS: 59839.3054 r WFD  1.7818e+00  9.778e-03 4096  1.000 45.600  1.98 2.419e+04  26.8725 
OBS: 59849.2628 r WFD  1.2327e+00  1.359e-02 4096  1.000 44.770  2.88 1.076e+04  27.2558 
OBS: 59850.2856 g WFD  5.6925e-01  6.982e-03 4096  1.000 44.740  2.45 6.321e+03  28.1187 
OBS: 59851.2882 u WFD  4.1742e-01  1.922e-02 4096  1.000 41.910  2.30 1.363e+03  28.5170 
OBS: 59854.3047 r WFD  9.8467e-01  7.200e-03 4096  1.000 44.820  1.66 1.035e+04  27.5097 
OBS: 59857.3564 i WFD  3.0093e+00  1.112e-02 4096  1.000 44.590  1.56 1.376e+04  26.3041 
OBS: 59858.2930 z WFD  4.3845e+00  2.008e-02 4096  1.000 45.010  1.82 3.140e+04  25.8975 
OBS: 59859.2252 Y WFD  5.4583e+00  6.547e-02 4096  1.000 43.700  2.15 2.594e+04  25.6724 
OBS: 59861.2546 Y WFD  5.4616e+00  8.225e-02 4096  1.000 42.540  1.56 1.543e+04  25.6951 
OBS: 59869.2400 r WFD  6.3614e-01  9.658e-03 4096  1.000 44.820  1.94 1.189e+04  27.9919 
OBS: 59874.1970 u WFD  1.4378e-01  2.596e-02 4096  1.000 41.100  2.09 9.613e+02  29.5403 
OBS: 59877.1945 r WFD  5.2344e-01  1.068e-02 4096  1.000 44.770  2.30 1.059e+04  28.2274 
OBS: 59887.1496 Y WFD  4.1154e+00  5.690e-02 4096  1.000 43.270  1.57 2.077e+04  25.9776 
