SURVEY:   LSST
SNID:     1102589
IAUC:     NULL
SNTYPE:   132
RA:       62.506511  # deg
DEC:      -36.351457  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0120 +- 0.0006  # MW E(B-V) 
PEAKMJD:  59690.609     # estimate for LC fit codes
MJD_TRIGGER:       59803.352  
MJD_DETECT_FIRST:  59802.418  
MJD_DETECT_LAST:   59975.152  

REDSHIFT_HELIO:   0.934246 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.933910 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8064064561  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9342  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          62.506785    # deg 
HOSTGAL_DEC:         -36.351430    # deg 
HOSTGAL_SNSEP:       0.401       # arcsec 
HOSTGAL_DDLR:        3.640       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     6.655 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.868
HOSTGAL_SQRADIUS:     9.332   # Ixx + Iyy
HOSTGAL_MAG:     26.90  26.90  26.75  26.22  26.19  26.02 # ugrizY
HOSTGAL_MAGERR:   0.79   0.16   0.15   0.12   0.18   0.49 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  701   # template index for SIMSED,NONIa
SIM_LIBID:           588    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.93425  
SIM_REDSHIFT_CMB:    0.93391  
SIM_REDSHIFT_HOST:   0.91077  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8064064561 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.237 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                6.655 -9.000 
SIM_DLMU:            43.9172   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0441   # mag 
SIM_RA:              62.506512     # deg  
SIM_DEC:             -36.351456      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0120   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59690.609    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -55.58  # days 
SIM_TRESTMAX:        507.48  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.43  26.09  26.30  26.65  26.73  26.70  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 144 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.1224 u WFD  2.5837e-02  2.194e-02    0  1.000 41.310  2.07 9.961e+02  99.0000 
OBS: 59588.0929 Y WFD  3.6565e-04  9.035e-02    0  1.000 42.590  2.20 1.259e+04  99.0000 
OBS: 59589.0502 Y WFD -2.7110e-02  6.670e-02    0  1.000 42.590  1.56 1.310e+04  99.0000 
OBS: 59591.0826 z WFD  2.2649e-02  1.853e-02    0  1.000 45.030  1.74 3.089e+04  99.0000 
OBS: 59597.0830 Y WFD -1.3150e-02  9.162e-02    0  1.000 42.600  1.98 1.431e+04  99.0000 
OBS: 59598.1266 z WFD  9.4579e-02  4.849e-02    0  1.000 44.270  2.72 2.567e+04  99.0000 
OBS: 59624.0302 z WFD  1.9946e-02  3.423e-02    0  1.000 45.030  2.53 3.923e+04  99.0000 
OBS: 59630.0324 Y WFD -5.3243e-03  4.216e-02    0  1.000 43.320  1.38 1.834e+04  99.0000 
OBS: 59634.0867 r WFD -8.6043e-04  1.342e-02    0  1.000 44.020  1.95 7.871e+03  99.0000 
OBS: 59645.0092 z WFD  4.7454e-02  4.404e-02    0  1.000 43.500  1.88 1.660e+04  99.0000 
OBS: 59655.0453 Y WFD -1.6477e-03  1.206e-01    0  1.000 42.500  2.18 1.560e+04  99.0000 
OBS: 59791.3774 g WFD  5.4852e-02  8.572e-03    0  1.000 44.710  2.84 6.517e+03  30.7763 
OBS: 59802.4184 Y WFD  2.0815e+00  7.325e-02 4096  1.000 42.580  1.58 1.408e+04  26.6830 
OBS: 59803.3521 Y WFD  2.0389e+00  9.735e-02 6144  1.000 42.540  1.85 1.540e+04  26.6838 
OBS: 59805.3326 Y WFD  2.1081e+00  5.589e-02 4096  1.000 43.720  1.83 2.650e+04  26.6856 
OBS: 59810.3611 i WFD  9.7248e-01  1.559e-02 4096  1.000 44.590  1.79 1.684e+04  27.5095 
OBS: 59819.2924 u WFD -2.1511e-02  3.217e-02    0  1.000 41.000  2.46 9.234e+02  31.8046 
OBS: 59832.2452 Y WFD  2.0027e+00  1.037e-01 4096  1.000 42.500  1.77 1.652e+04  26.7828 
OBS: 59839.3089 r WFD  2.6209e-01  1.162e-02 4096  1.000 44.900  1.84 1.624e+04  28.9461 
OBS: 59840.2465 r WFD  2.6295e-01  4.789e-03 4096  1.000 45.990  1.73 1.943e+04  28.9533 
OBS: 59841.3131 g WFD  6.8688e-02  5.923e-03 4096  1.000 45.620  2.76 1.071e+04  30.3688 
OBS: 59844.3994 z WFD  1.0587e+00  4.166e-02 4096  1.000 43.530  1.64 1.850e+04  27.5007 
OBS: 59851.2309 u WFD  5.7985e-02  2.157e-02    0  1.000 41.900  2.56 1.363e+03  31.6279 
OBS: 59857.3490 i WFD  4.7494e-01  1.475e-02 4096  1.000 43.840  1.48 9.654e+03  28.3295 
OBS: 59857.3831 z WFD  7.8442e-01  2.938e-02 4096  1.000 43.520  1.43 1.482e+04  27.7769 
OBS: 59859.1809 Y WFD  1.3148e+00  6.235e-02 4096  1.000 43.270  1.68 2.128e+04  27.1750 
OBS: 59862.3477 z WFD  7.0038e-01  2.788e-02 4096  1.000 44.290  1.40 2.921e+04  27.8649 
OBS: 59866.3440 i WFD  3.7802e-01  1.044e-02 4096  1.000 45.830  1.68 3.764e+04  28.5693 
OBS: 59867.2297 r WFD  1.5151e-01  1.218e-02 4096  1.000 44.910  1.59 1.990e+04  29.4291 
OBS: 59870.2324 i WFD  3.3684e-01  7.895e-03 4096  1.000 45.340  1.52 2.004e+04  28.6657 
OBS: 59875.1907 u WFD  9.1384e-03  3.670e-02    0  1.000 41.190  3.18 9.708e+02  32.0479 
OBS: 59876.1622 g WFD  4.7914e-02  4.884e-03 4096  1.000 44.750  1.70 6.435e+03  30.7726 
OBS: 59879.1923 g WFD  4.5725e-02  3.724e-03    0  1.000 44.800  1.37 6.375e+03  30.8358 
OBS: 59887.2088 i WFD  2.4006e-01  1.312e-02 4096  1.000 44.630  1.25 2.105e+04  29.0516 
