SURVEY:   LSST
SNID:     1103287
IAUC:     NULL
SNTYPE:   132
RA:       233.917795  # deg
DEC:      -17.027330  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0985 +- 0.0049  # MW E(B-V) 
PEAKMJD:  59735.348     # estimate for LC fit codes
MJD_TRIGGER:       59749.969  
MJD_DETECT_FIRST:  59746.191  
MJD_DETECT_LAST:   59801.051  

REDSHIFT_HELIO:   1.453421 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.454699 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      2  
HOSTGAL_NMATCH2:     2  
HOSTGAL_OBJID:       9812866626  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4534  +- 0.0100 
HOSTGAL_SPECZ:       0.5121  +- 0.0005 
HOSTGAL_RA:          233.917457    # deg 
HOSTGAL_DEC:         -17.026936    # deg 
HOSTGAL_SNSEP:       2.114       # arcsec 
HOSTGAL_DDLR:        2.841       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.863 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.257
HOSTGAL_SQRADIUS:     17.889   # Ixx + Iyy
HOSTGAL_MAG:     27.76  25.69  24.14  23.33  22.95  22.73 # ugrizY
HOSTGAL_MAGERR:  26.62   0.04   0.01   0.01   0.01   0.02 # ugrizY

HOSTGAL2_OBJID:       9817299912  
HOSTGAL2_FLAG:        0  
HOSTGAL2_PHOTOZ:      1.4534  +- 0.0100 
HOSTGAL2_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL2_RA:          233.917854    # deg 
HOSTGAL2_DEC:         -17.027441    # deg 
HOSTGAL2_SNSEP:       0.431       # arcsec 
HOSTGAL2_DDLR:        3.162       # SNSEP/DLR  
HOSTGAL2_LOGMASS:     10.412 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL2_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL2_ELLIPTICITY:     1.021
HOSTGAL2_SQRADIUS:     98.797   # Ixx + Iyy
HOSTGAL2_MAG:     28.54  27.13  26.18  24.81  24.17  23.42 # ugrizY
HOSTGAL2_MAGERR:  26.62   0.20   0.07   0.03   0.03   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  735   # template index for SIMSED,NONIa
SIM_LIBID:           1286    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.45342  
SIM_REDSHIFT_CMB:    1.45470  
SIM_REDSHIFT_HOST:   1.43611  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9817299912 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.053 -3.863 
SIM_HOSTLIB(LOGMASS_TRUE):                10.412 8.863 
SIM_DLMU:            45.1057   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0462   # mag 
SIM_RA:              233.917801     # deg  
SIM_DEC:             -17.027330      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1044   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59735.348    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -33.86  # days 
SIM_TRESTMAX:        333.52  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.49  28.28  27.42  27.05  26.76  26.70  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2714 Y WFD -1.0205e-02  8.474e-02    0  1.000 42.550  1.81 1.383e+04  99.0000 
OBS: 59653.2334 Y WFD  4.5399e-02  1.232e-01    0  1.000 42.520  2.35 1.506e+04  99.0000 
OBS: 59655.3447 Y WFD  3.6270e-02  4.678e-02    0  1.000 44.530  1.97 4.345e+04  99.0000 
OBS: 59657.4096 z WFD  8.3185e-02  8.731e-02    0  1.000 43.530  2.32 2.741e+04  99.0000 
OBS: 59672.4168 z WFD -6.9486e-02  6.831e-02    0  1.000 43.520  2.14 2.304e+04  99.0000 
OBS: 59676.3622 i WFD -2.8612e-02  1.545e-02    0  1.000 44.580  2.00 1.480e+04  99.0000 
OBS: 59681.1727 z WFD -4.3795e-02  2.451e-02    0  1.000 44.240  1.46 2.352e+04  99.0000 
OBS: 59709.2156 i WFD -9.1330e-03  1.295e-02    0  1.000 45.360  2.25 2.262e+04  99.0000 
OBS: 59711.0951 Y WFD  8.8707e-02  7.573e-02    0  1.000 43.300  2.13 2.095e+04  99.0000 
OBS: 59717.2641 z WFD -1.7600e-02  4.291e-02    0  1.000 44.720  2.28 4.102e+04  99.0000 
OBS: 59746.1897 z WFD  1.5310e+00  5.059e-02 4096  1.000 43.530  1.79 2.058e+04  27.0064 
OBS: 59749.9707 z WFD  1.3346e+00  4.385e-02 6144  1.000 43.470  1.97 1.534e+04  27.1610 
OBS: 59751.9597 z WFD  1.2457e+00  4.286e-02 4096  1.000 44.230  2.17 2.741e+04  27.2509 
OBS: 59757.9603 z WFD  9.1322e-01  4.746e-02 4096  1.000 44.680  2.86 3.486e+04  27.6008 
OBS: 59771.9963 Y WFD  1.0867e+00  3.585e-02 4096  1.000 44.970  1.84 5.347e+04  27.4580 
OBS: 59773.1071 Y WFD  9.9522e-01  5.709e-02 4096  1.000 43.770  1.78 2.914e+04  27.4780 
OBS: 59773.9997 z WFD  4.5631e-01  3.468e-02 4096  1.000 44.290  1.74 2.924e+04  28.3776 
OBS: 59776.9696 z WFD  3.8522e-01  5.887e-02 4096  1.000 43.500  2.96 1.409e+04  28.5262 
OBS: 59787.9689 z WFD  1.4410e-01  3.614e-02 4096  1.000 43.520  1.75 1.491e+04  29.1971 
OBS: 59791.0208 u WFD  1.4829e-02  1.741e-02    0  1.000 42.090  2.18 1.540e+03  34.6291 
OBS: 59801.0516 z WFD  1.5863e-01  1.818e-02 4096  1.000 45.450  1.56 4.975e+04  29.4729 
OBS: 59809.0125 r WFD  4.1575e-03  7.432e-03    0  1.000 44.860  1.50 1.229e+04  34.2290 
OBS: 59813.0537 r WFD -4.4965e-03  1.060e-02    0  1.000 44.810  1.98 1.268e+04  34.4257 
OBS: 59819.0209 u WFD  1.4223e-02  2.644e-02    0  1.000 41.190  2.04 1.091e+03  35.9340 
OBS: 59979.3707 Y WFD  6.8672e-02  2.887e-02    0  1.000 44.500  1.38 3.724e+04  30.8259 
OBS: 59997.3403 u WFD -1.2482e-02  2.003e-02    0  1.000 41.980  2.30 1.518e+03  38.0647 
OBS: 59999.3300 g WFD  6.0226e-03  4.683e-03    0  1.000 45.600  2.04 1.125e+04  37.7215 
OBS: 60002.2953 r WFD  2.8857e-04  1.012e-02    0  1.000 44.820  1.99 1.216e+04  37.2793 
OBS: 60008.2728 Y WFD -9.2414e-03  6.223e-02    0  1.000 44.480  2.95 3.686e+04  32.0676 
OBS: 60009.3374 Y WFD  6.7345e-02  1.028e-01    0  1.000 42.580  2.18 1.432e+04  32.1067 
OBS: 60019.3630 i WFD  7.2837e-03  1.047e-02    0  1.000 45.360  1.84 2.237e+04  36.5754 
OBS: 60020.2591 r WFD  8.9478e-03  9.910e-03    0  1.000 44.820  1.96 1.208e+04  37.7902 
OBS: 60021.3466 g WFD -4.4991e-03  3.428e-03    0  1.000 45.650  1.59 1.106e+04  38.4528 
OBS: 60025.3950 i WFD  2.0004e-02  1.278e-02    0  1.000 43.840  1.18 1.049e+04  36.7353 
OBS: 60027.2224 u WFD  1.4718e-02  1.930e-02    0  1.000 41.120  1.50 1.015e+03  39.1541 
OBS: 60030.3919 i WFD  3.5576e-03  1.366e-02    0  1.000 43.830  1.25 1.049e+04  36.8028 
OBS: 60031.2136 r WFD  4.4613e-03  7.430e-03    0  1.000 44.800  1.48 1.178e+04  38.0516 
OBS: 60032.2593 i WFD  2.5060e-03  6.865e-03    0  1.000 45.340  1.25 2.119e+04  36.8173 
OBS: 60037.1852 Y WFD  6.1287e-02  1.168e-01    0  1.000 42.520  2.20 1.525e+04  33.0196 
OBS: 60038.2515 Y WFD  7.1594e-03  9.239e-02    0  1.000 42.580  1.89 1.484e+04  33.0259 
OBS: 60040.3138 Y WFD -1.8620e-01  9.205e-02    0  1.000 42.610  1.65 1.741e+04  33.0458 
OBS: 60046.4042 i WFD  6.3313e-03  2.892e-02    0  1.000 43.840  1.89 1.483e+04  36.7354 
