SURVEY:   LSST
SNID:     1103396
IAUC:     NULL
SNTYPE:   132
RA:       334.368961  # deg
DEC:      -47.875977  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0140 +- 0.0007  # MW E(B-V) 
PEAKMJD:  60585.633     # estimate for LC fit codes
MJD_TRIGGER:       60590.066  
MJD_DETECT_FIRST:  60582.992  
MJD_DETECT_LAST:   60649.078  

REDSHIFT_HELIO:   0.681275 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.680116 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7813243000  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6813  +- 0.0100 
HOSTGAL_SPECZ:       0.6813  +- 0.0000 
HOSTGAL_RA:          334.368934    # deg 
HOSTGAL_DEC:         -47.875934    # deg 
HOSTGAL_SNSEP:       0.086       # arcsec 
HOSTGAL_DDLR:        0.142       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.731 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.105
HOSTGAL_SQRADIUS:     13.020   # Ixx + Iyy
HOSTGAL_MAG:     23.41  22.94  22.01  21.19  20.90  20.66 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  735   # template index for SIMSED,NONIa
SIM_LIBID:           1395    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.68128  
SIM_REDSHIFT_CMB:    0.68012  
SIM_REDSHIFT_HOST:   0.64108  
SIM_REDSHIFT_FLAG:   2  # HOSTSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7813243000 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.071 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.731 -9.000 
SIM_DLMU:            43.0719   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0083   # mag 
SIM_RA:              334.368958     # deg  
SIM_DEC:             -47.875977      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0143   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60585.633    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  5  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -495.41  # days 
SIM_TRESTMAX:        37.76  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.93  25.33  24.96  25.17  25.24  25.32  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 117 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.2779 g WFD  6.8478e-03  6.781e-03    0  1.000 44.800  2.33 6.827e+03  99.0000 
OBS: 59754.2182 i WFD -6.5148e-03  1.505e-02    0  1.000 44.560  1.83 1.547e+04  99.0000 
OBS: 59767.2055 Y WFD  1.0212e-01  1.147e-01    0  1.000 42.530  2.43 1.369e+04  99.0000 
OBS: 59771.1995 z WFD -1.2771e-02  2.137e-02    0  1.000 45.440  2.01 4.498e+04  99.0000 
OBS: 59773.2476 Y WFD -4.7362e-03  4.508e-02    0  1.000 43.780  1.38 2.996e+04  99.0000 
OBS: 59776.3549 z WFD -2.5187e-02  6.475e-02    0  1.000 44.280  3.08 3.056e+04  99.0000 
OBS: 59782.4359 Y WFD -9.1642e-02  1.178e-01    0  1.000 42.520  2.18 1.553e+04  99.0000 
OBS: 59791.1278 u WFD  1.8319e-02  3.044e-02    0  1.000 41.020  2.30 9.518e+02  99.0000 
OBS: 59801.2007 z WFD -1.5858e-02  3.988e-02    0  1.000 44.280  1.87 3.099e+04  99.0000 
OBS: 59802.2109 Y WFD -1.2056e-01  9.204e-02    0  1.000 42.590  1.54 1.832e+04  99.0000 
OBS: 59804.1598 z WFD -2.7659e-02  2.821e-02    0  1.000 45.030  1.53 5.347e+04  99.0000 
OBS: 59807.0705 g WFD  1.8013e-02  8.315e-03    0  1.000 43.930  1.82 4.810e+03  99.0000 
OBS: 59809.1126 r WFD  8.9079e-03  6.373e-03    0  1.000 44.820  1.38 1.104e+04  99.0000 
OBS: 59812.0961 g WFD -3.6630e-03  5.613e-03    0  1.000 44.770  1.87 6.849e+03  99.0000 
OBS: 59813.2067 i WFD -1.7200e-03  1.373e-02    0  1.000 44.590  1.87 1.420e+04  99.0000 
OBS: 59819.1658 u WFD  1.2403e-02  2.076e-02    0  1.000 41.270  1.87 1.006e+03  99.0000 
OBS: 59824.0133 Y WFD  5.6149e-02  7.489e-02    0  1.000 43.250  2.11 1.998e+04  99.0000 
OBS: 59824.2334 i WFD  1.5265e-02  1.236e-02    0  1.000 44.580  1.65 1.435e+04  99.0000 
OBS: 59837.0139 r WFD  4.6566e-04  4.856e-03    0  1.000 45.560  1.48 1.550e+04  99.0000 
OBS: 59843.0214 i WFD  4.4287e-03  1.187e-02    0  1.000 44.570  1.52 1.482e+04  99.0000 
OBS: 59853.0687 r WFD  6.3178e-03  8.122e-03    0  1.000 44.860  1.78 1.131e+04  99.0000 
OBS: 59856.0789 Y WFD  1.1722e-01  6.635e-02    0  1.000 42.600  1.51 1.359e+04  99.0000 
OBS: 59858.0292 z WFD -1.4542e-02  1.912e-02    0  1.000 45.030  1.38 4.018e+04  99.0000 
OBS: 59859.0941 Y WFD  2.7648e-02  3.111e-02    0  1.000 44.550  1.51 3.840e+04  99.0000 
OBS: 59872.1185 i WFD -4.1788e-04  1.035e-02    0  1.000 44.580  1.37 1.448e+04  99.0000 
OBS: 59874.0770 u WFD -5.8241e-03  1.667e-02    0  1.000 41.300  1.52 1.021e+03  99.0000 
OBS: 59880.1488 r WFD -4.1549e-03  7.146e-03    0  1.000 44.800  1.52 1.103e+04  99.0000 
OBS: 60053.3902 i WFD -1.0445e-02  1.035e-02    0  1.000 45.300  1.71 2.251e+04  99.0000 
OBS: 60059.3878 i WFD  1.4041e-02  1.953e-02    0  1.000 44.550  2.30 1.583e+04  99.0000 
OBS: 60063.3914 r WFD  4.1437e-03  7.674e-03    0  1.000 45.560  2.28 1.590e+04  99.0000 
OBS: 60068.3767 Y WFD -4.4043e-04  5.755e-02    0  1.000 44.040  2.28 2.941e+04  99.0000 
OBS: 60070.4311 z WFD  2.0836e-02  5.325e-02    0  1.000 43.540  1.35 2.900e+04  99.0000 
OBS: 60077.4284 Y WFD -4.8367e-02  5.284e-02    0  1.000 43.340  1.43 2.259e+04  99.0000 
OBS: 60080.4102 u WFD -5.9879e-03  1.746e-02    0  1.000 41.330  1.56 1.072e+03  99.0000 
