SURVEY:   LSST
SNID:     1103436
IAUC:     NULL
SNTYPE:   132
RA:       92.892267  # deg
DEC:      -10.275114  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.5782 +- 0.0289  # MW E(B-V) 
PEAKMJD:  60123.301     # estimate for LC fit codes
MJD_TRIGGER:       60192.406  
MJD_DETECT_FIRST:  60179.422  
MJD_DETECT_LAST:   60420.996  

REDSHIFT_HELIO:   0.581681 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.582215 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8875535070  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5817  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          92.892267    # deg 
HOSTGAL_DEC:         -10.275116    # deg 
HOSTGAL_SNSEP:       0.009       # arcsec 
HOSTGAL_DDLR:        0.047       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.888 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.373
HOSTGAL_SQRADIUS:     7.217   # Ixx + Iyy
HOSTGAL_MAG:     29.48  28.42  27.02  26.22  25.76  25.46 # ugrizY
HOSTGAL_MAGERR:   0.63   0.09   0.04   0.04   0.07   0.15 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  735   # template index for SIMSED,NONIa
SIM_LIBID:           1435    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.58168  
SIM_REDSHIFT_CMB:    0.58221  
SIM_REDSHIFT_HOST:   0.56094  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8875535070 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.889 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.888 -9.000 
SIM_DLMU:            42.6590   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0530   # mag 
SIM_RA:              92.892265     # deg  
SIM_DEC:             -10.275114      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.6083   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60123.301    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -340.91  # days 
SIM_TRESTMAX:        345.69  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.17  27.02  26.15  26.04  25.86  25.67  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 146 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0881 u WFD  1.3127e-02  3.611e-02    0  1.000 41.140  2.96 9.803e+02  99.0000 
OBS: 59588.0727 Y WFD  4.8098e-03  1.232e-01    0  1.000 42.550  2.72 1.338e+04  99.0000 
OBS: 59593.0623 z WFD  4.3233e-02  3.271e-02    0  1.000 44.260  1.63 2.863e+04  99.0000 
OBS: 59597.1165 Y WFD -1.1003e-01  7.232e-02    0  1.000 43.340  1.88 2.352e+04  99.0000 
OBS: 59598.1119 z WFD -7.5760e-02  5.263e-02    0  1.000 44.280  2.57 2.977e+04  99.0000 
OBS: 59607.0367 Y WFD  2.3354e-02  1.275e-01    0  1.000 42.560  2.48 1.533e+04  99.0000 
OBS: 59625.1025 Y WFD -3.3785e-02  5.287e-02    0  1.000 43.340  1.45 2.230e+04  99.0000 
OBS: 59628.0445 z WFD  2.9948e-02  2.555e-02    0  1.000 44.270  1.53 2.405e+04  99.0000 
OBS: 59653.0220 Y WFD  7.5677e-02  8.756e-02    0  1.000 43.330  2.61 2.033e+04  99.0000 
OBS: 59655.0317 Y WFD  5.7502e-02  6.184e-02    0  1.000 43.320  1.77 2.098e+04  99.0000 
OBS: 59661.9936 Y WFD  3.4141e-02  1.093e-01    0  1.000 42.580  2.10 1.581e+04  99.0000 
OBS: 59662.0298 i WFD  8.1953e-03  1.754e-02    0  1.000 44.570  2.23 1.493e+04  99.0000 
OBS: 59664.9956 z WFD -1.9800e-02  4.586e-02    0  1.000 44.260  2.78 2.354e+04  99.0000 
OBS: 59684.0008 Y WFD -7.4905e-03  7.420e-02    0  1.000 42.540  1.44 1.508e+04  99.0000 
OBS: 59687.9892 Y WFD  1.0025e-01  1.004e-01    0  1.000 43.270  2.95 1.952e+04  99.0000 
OBS: 59691.9711 z WFD -6.4114e-02  6.337e-02    0  1.000 43.500  2.50 1.796e+04  99.0000 
OBS: 59835.3805 Y WFD -2.9741e-02  7.848e-02    0  1.000 42.540  1.56 1.472e+04  99.0000 
OBS: 59840.3890 r WFD -4.3594e-03  1.623e-02    0  1.000 44.130  1.71 1.202e+04  99.0000 
OBS: 59841.3761 i WFD -9.0220e-03  1.697e-02    0  1.000 44.580  1.96 1.659e+04  99.0000 
OBS: 59843.3803 g WFD  4.3077e-03  5.157e-03    0  1.000 44.810  1.65 7.400e+03  99.0000 
OBS: 59851.3493 u WFD  6.8539e-03  2.278e-02    0  1.000 41.210  1.93 1.012e+03  99.0000 
OBS: 59859.2827 Y WFD  3.9739e-03  1.212e-01    0  1.000 42.500  2.27 1.506e+04  99.0000 
OBS: 59860.2821 Y WFD -6.7627e-02  9.143e-02    0  1.000 42.500  1.66 1.554e+04  99.0000 
OBS: 59869.3014 r WFD -8.9472e-03  1.179e-02    0  1.000 44.880  1.64 1.816e+04  99.0000 
OBS: 59869.3711 z WFD  4.3709e-02  3.045e-02    0  1.000 44.270  1.71 2.564e+04  99.0000 
OBS: 59870.2812 i WFD -1.8241e-02  1.507e-02    0  1.000 44.580  1.76 1.640e+04  99.0000 
OBS: 59870.3797 z WFD -1.3930e-02  4.409e-02    0  1.000 44.280  1.80 3.560e+04  99.0000 
OBS: 59871.3354 g WFD  2.4469e-02  6.760e-03    0  1.000 44.140  1.42 6.081e+03  99.0000 
OBS: 59874.2532 u WFD  4.0593e-02  3.238e-02    0  1.000 41.010  2.44 9.455e+02  99.0000 
OBS: 59876.2729 g WFD -3.3848e-03  5.344e-03    0  1.000 44.760  1.80 6.714e+03  99.0000 
OBS: 59877.2471 r WFD -7.6413e-05  1.301e-02    0  1.000 44.780  2.69 1.114e+04  99.0000 
OBS: 59896.2253 i WFD -7.7704e-03  2.166e-02    0  1.000 45.370  2.44 3.522e+04  99.0000 
OBS: 59902.2471 r WFD  1.8535e-03  8.184e-03    0  1.000 45.580  2.64 1.492e+04  99.0000 
OBS: 59904.2778 u WFD  3.2789e-02  3.531e-02    0  1.000 41.190  3.08 9.645e+02  99.0000 
OBS: 59904.2991 r WFD -1.8491e-02  1.207e-02    0  1.000 44.830  2.76 1.055e+04  99.0000 
OBS: 59905.1957 u WFD -3.3236e-03  1.912e-02    0  1.000 41.930  2.26 1.407e+03  99.0000 
OBS: 59907.2214 r WFD  2.0331e-03  7.897e-03    0  1.000 44.820  1.76 1.072e+04  99.0000 
OBS: 59920.1600 Y WFD  9.1047e-02  5.073e-02    0  1.000 43.760  1.54 2.966e+04  99.0000 
OBS: 59921.2712 z WFD -6.9889e-02  3.548e-02    0  1.000 44.280  1.54 3.349e+04  99.0000 
OBS: 59922.1847 z WFD  2.8760e-03  2.384e-02    0  1.000 45.030  1.38 5.010e+04  99.0000 
OBS: 59926.2693 i WFD  2.1190e-02  1.809e-02    0  1.000 44.620  1.58 2.276e+04  99.0000 
OBS: 59927.2361 r WFD -2.0265e-02  1.307e-02    0  1.000 45.350  2.10 2.424e+04  99.0000 
