SURVEY:   LSST
SNID:     1103843
IAUC:     NULL
SNTYPE:   132
RA:       266.676680  # deg
DEC:      -51.752903  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1587 +- 0.0079  # MW E(B-V) 
PEAKMJD:  59622.980     # estimate for LC fit codes
MJD_TRIGGER:       59679.410  
MJD_DETECT_FIRST:  59674.285  
MJD_DETECT_LAST:   59829.992  

REDSHIFT_HELIO:   1.070292 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.070296 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6065837513  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0703  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          266.676636    # deg 
HOSTGAL_DEC:         -51.752950    # deg 
HOSTGAL_SNSEP:       0.108       # arcsec 
HOSTGAL_DDLR:        0.684       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.156 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.497
HOSTGAL_SQRADIUS:     2.418   # Ixx + Iyy
HOSTGAL_MAG:     28.56  27.80  26.70  25.78  24.82  24.29 # ugrizY
HOSTGAL_MAGERR:  26.62   0.20   0.10   0.07   0.06   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  735   # template index for SIMSED,NONIa
SIM_LIBID:           1842    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.07029  
SIM_REDSHIFT_CMB:    1.07030  
SIM_REDSHIFT_HOST:   1.08178  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6065837513 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.443 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.156 -9.000 
SIM_DLMU:            44.2827   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0110   # mag 
SIM_RA:              266.676666     # deg  
SIM_DEC:             -51.752903      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1596   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59622.980    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        24.78  # days 
SIM_TRESTMAX:        467.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.38  27.25  26.59  26.21  26.25  26.37  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59674.2861 i WFD  4.3205e-01  1.592e-02 4096  1.000 44.570  2.01 1.503e+04  28.3938 
OBS: 59679.4107 z WFD  1.0281e+00  3.000e-02 6144  1.000 43.500  1.49 1.427e+04  27.4285 
OBS: 59681.4158 z WFD  1.0419e+00  3.164e-02 4096  1.000 43.510  1.41 1.605e+04  27.4696 
OBS: 59682.2450 Y WFD  1.8687e+00  5.639e-02 4096  1.000 43.270  1.57 2.059e+04  26.7881 
OBS: 59684.3332 Y WFD  1.8663e+00  2.266e-02 4096  1.000 44.970  1.45 4.288e+04  26.8037 
OBS: 59688.3999 z WFD  8.6041e-01  4.189e-02 4096  1.000 44.280  2.03 2.999e+04  27.6081 
OBS: 59695.2504 r WFD  2.1718e-02  8.341e-03    0  1.000 44.810  1.83 1.079e+04  32.0613 
OBS: 59696.4253 z WFD  8.0931e-01  7.614e-02 4096  1.000 43.510  2.63 2.070e+04  27.7646 
OBS: 59698.2012 i WFD  2.7947e-01  1.967e-02 4096  1.000 44.560  2.38 1.554e+04  28.9766 
OBS: 59700.2009 u WFD -1.1831e-02  1.721e-02    0  1.000 41.840  1.92 1.372e+03  35.6283 
OBS: 59700.4266 z WFD  6.6334e-01  3.196e-02 4096  1.000 44.260  1.58 2.887e+04  27.8399 
OBS: 59704.4264 z WFD  7.3477e-01  4.395e-02 4096  1.000 43.510  1.70 1.849e+04  27.9084 
OBS: 59712.1400 Y WFD  1.4804e+00  7.210e-02 4096  1.000 43.710  2.38 2.604e+04  27.0540 
OBS: 59713.1884 Y WFD  1.4466e+00  1.309e-01 4096  1.000 42.540  2.54 1.508e+04  27.0609 
OBS: 59716.3910 Y WFD  1.5384e+00  7.806e-02 4096  1.000 44.060  2.14 4.329e+04  27.0792 
OBS: 59746.1012 z WFD  4.5300e-01  4.204e-02 4096  1.000 44.270  1.68 3.604e+04  28.2782 
OBS: 59748.2090 i WFD  1.1396e-01  1.713e-02    0  1.000 45.370  2.00 3.397e+04  29.9818 
OBS: 59775.2676 z WFD  3.6226e-01  5.806e-02    0  1.000 44.250  2.57 3.194e+04  28.5242 
OBS: 59776.0702 i WFD  7.7786e-02  2.417e-02    0  1.000 45.070  2.39 3.043e+04  30.5760 
OBS: 59786.0614 g WFD -4.1125e-03  6.162e-03    0  1.000 45.570  3.10 9.477e+03  37.2108 
OBS: 59797.9670 Y WFD  1.0258e+00  8.052e-02 4096  1.000 43.320  1.76 2.746e+04  27.4453 
OBS: 59802.1001 Y WFD  1.1231e+00  4.219e-02 4096  1.000 44.510  1.79 4.233e+04  27.3861 
OBS: 59805.1112 i WFD  1.1040e-02  2.561e-02    0  1.000 43.880  1.44 1.788e+04  30.8867 
OBS: 59813.0866 r WFD  5.5605e-03  5.614e-03    0  1.000 45.580  1.77 1.526e+04  34.6842 
OBS: 59821.0106 r WFD  2.7835e-03  6.605e-03    0  1.000 44.830  1.49 1.069e+04  34.8304 
OBS: 59829.9937 Y WFD  3.7074e-01  6.251e-02 4096  1.000 43.330  1.80 2.104e+04  28.2292 
OBS: 59840.0590 g WFD -2.7448e-03  5.869e-03    0  1.000 44.790  1.94 7.033e+03  37.1068 
OBS: 59998.3906 z WFD  8.5632e-03  3.158e-02    0  1.000 44.250  1.62 2.756e+04  31.8523 
OBS: 60012.3932 z WFD  5.1541e-02  2.408e-02    0  1.000 45.020  1.78 3.887e+04  31.9140 
OBS: 60013.3908 z WFD  2.7941e-02  2.927e-02    0  1.000 44.260  1.64 2.547e+04  31.9185 
OBS: 60014.3987 z WFD -5.9894e-03  4.526e-02    0  1.000 43.520  1.75 1.867e+04  31.9231 
OBS: 60021.4091 z WFD  2.0835e-02  2.621e-02    0  1.000 44.280  1.30 2.931e+04  31.9544 
OBS: 60022.3606 g WFD -1.0699e-03  3.643e-03    0  1.000 45.560  1.72 1.001e+04  37.4282 
OBS: 60027.3273 u WFD  4.4276e-03  1.051e-02    0  1.000 42.700  1.75 2.030e+03  38.1890 
