SURVEY:   LSST
SNID:     1104228
IAUC:     NULL
SNTYPE:   132
RA:       207.410873  # deg
DEC:      -42.153747  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0851 +- 0.0043  # MW E(B-V) 
PEAKMJD:  59679.223     # estimate for LC fit codes
MJD_TRIGGER:       59684.168  
MJD_DETECT_FIRST:  59683.094  
MJD_DETECT_LAST:   59800.031  

REDSHIFT_HELIO:   0.862221 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.863714 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10313387388  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8622  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          207.411029    # deg 
HOSTGAL_DEC:         -42.153710    # deg 
HOSTGAL_SNSEP:       0.222       # arcsec 
HOSTGAL_DDLR:        1.402       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.731 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.084
HOSTGAL_SQRADIUS:     7.476   # Ixx + Iyy
HOSTGAL_MAG:     27.55  27.14  26.34  25.64  25.40  25.21 # ugrizY
HOSTGAL_MAGERR:  26.62   0.21   0.09   0.06   0.10   0.19 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  744   # template index for SIMSED,NONIa
SIM_LIBID:           2227    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.86222  
SIM_REDSHIFT_CMB:    0.86372  
SIM_REDSHIFT_HOST:   0.83420  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10313387388 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.209 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.731 -9.000 
SIM_DLMU:            43.7057   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0392   # mag 
SIM_RA:              207.410873     # deg  
SIM_DEC:             -42.153748      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0845   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59679.223    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -28.40  # days 
SIM_TRESTMAX:        461.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.17  27.56  27.59  27.71  28.12  28.33  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59626.3446 z WFD  6.3036e-02  3.030e-02    0  1.000 44.280  1.70 2.591e+04  99.0000 
OBS: 59627.3892 z WFD  3.3893e-02  3.271e-02    0  1.000 44.290  1.62 2.962e+04  99.0000 
OBS: 59629.2208 z WFD  5.8114e-02  2.984e-02    0  1.000 44.250  1.43 2.950e+04  99.0000 
OBS: 59652.1514 Y WFD  2.4831e-02  7.868e-02    0  1.000 43.700  2.65 2.529e+04  99.0000 
OBS: 59654.1230 Y WFD  6.8204e-02  1.412e-01    0  1.000 42.500  2.53 1.575e+04  99.0000 
OBS: 59658.3667 z WFD -1.8275e-02  4.263e-02    0  1.000 45.030  2.64 4.683e+04  99.0000 
OBS: 59660.3489 Y WFD -8.3597e-02  8.927e-02    0  1.000 43.320  2.51 2.135e+04  99.0000 
OBS: 59683.0934 Y WFD  5.4602e-01  3.576e-02 4096  1.000 44.050  1.40 3.003e+04  28.1042 
OBS: 59684.1661 Y WFD  5.5211e-01  7.080e-02 6144  1.000 42.580  1.39 1.547e+04  28.0579 
OBS: 59685.1845 Y WFD  5.8140e-01  4.910e-02 4096  1.000 43.360  1.24 2.466e+04  28.0190 
OBS: 59686.2736 Y WFD  6.5834e-01  5.188e-02 4096  1.000 43.780  1.43 3.327e+04  27.9845 
OBS: 59688.3417 z WFD  7.1052e-01  4.586e-02 4096  1.000 44.690  2.40 4.051e+04  27.7893 
OBS: 59690.2486 i WFD  9.2838e-01  9.468e-03 4096  1.000 46.250  1.75 4.826e+04  27.5817 
OBS: 59770.1231 z WFD  4.3908e-01  3.719e-02 4096  1.000 44.250  1.71 3.075e+04  28.4116 
OBS: 59772.1159 Y WFD  7.0683e-01  7.723e-02 4096  1.000 43.270  1.92 2.306e+04  27.8561 
OBS: 59787.0307 r WFD  2.3717e-02  1.371e-02    0  1.000 44.810  2.96 1.097e+04  31.5655 
OBS: 59790.0714 g WFD -1.5257e-02  9.173e-03    0  1.000 44.690  2.83 6.872e+03  33.2727 
OBS: 59791.0511 u WFD -1.8463e-02  3.754e-02    0  1.000 41.080  2.93 9.740e+02  34.4299 
OBS: 59800.0329 Y WFD  9.2083e-01  1.267e-01 4096  1.000 42.540  2.42 1.532e+04  27.9655 
OBS: 59806.0318 r WFD  1.8596e-02  1.145e-02    0  1.000 44.770  2.24 1.166e+04  31.5123 
OBS: 59817.9946 u WFD -1.7484e-02  2.812e-02    0  1.000 41.070  2.10 1.009e+03  34.1915 
OBS: 59952.3338 Y WFD -1.3966e-02  6.215e-02    0  1.000 43.280  1.66 2.166e+04  30.7883 
OBS: 59958.3601 Y WFD  1.9223e-02  7.437e-02    0  1.000 42.560  1.50 1.478e+04  30.8206 
OBS: 59964.3479 u WFD -1.1029e-02  2.260e-02    0  1.000 41.300  1.97 1.069e+03  36.2658 
OBS: 59973.3423 g WFD -1.4114e-03  4.289e-03    0  1.000 44.840  1.47 7.102e+03  35.2538 
OBS: 59978.2450 Y WFD  3.0787e-02  7.844e-02    0  1.000 42.520  1.48 1.523e+04  30.9274 
OBS: 59980.2534 Y WFD  1.0795e-01  7.565e-02    0  1.000 42.520  1.40 1.553e+04  30.9382 
OBS: 59983.3731 z WFD  2.0478e-02  3.265e-02    0  1.000 44.280  1.80 2.637e+04  32.1183 
OBS: 59984.3765 z WFD -2.5141e-02  3.859e-02    0  1.000 43.530  1.54 1.825e+04  32.1342 
OBS: 59985.3866 z WFD -7.4980e-02  4.600e-02    0  1.000 43.540  1.56 2.168e+04  32.1502 
OBS: 59991.3622 r WFD  9.3670e-03  7.750e-03    0  1.000 44.860  1.72 1.117e+04  34.4888 
OBS: 59994.2801 r WFD -2.3072e-03  7.187e-03    0  1.000 44.840  1.63 1.073e+04  34.5346 
OBS: 59997.2078 u WFD  4.0288e-02  2.073e-02    0  1.000 41.820  2.27 1.372e+03  36.5806 
OBS: 60000.2153 g WFD  4.5473e-03  4.975e-03    0  1.000 44.770  1.67 6.799e+03  35.5547 
OBS: 60004.2918 r WFD  5.2640e-03  9.929e-03    0  1.000 44.840  2.30 1.051e+04  34.6918 
OBS: 60009.1553 Y WFD -1.5607e-01  1.212e-01    0  1.000 42.500  2.12 1.613e+04  31.0934 
OBS: 60010.3066 z WFD -1.8150e-02  3.306e-02    0  1.000 44.290  1.72 2.820e+04  32.5447 
OBS: 60011.2777 Y WFD  1.4335e-02  8.870e-02    0  1.000 42.610  1.74 1.591e+04  31.1048 
OBS: 60020.2970 r WFD  5.2623e-03  5.779e-03    0  1.000 45.620  1.85 1.560e+04  34.9431 
OBS: 60027.1208 u WFD -1.8345e-02  1.955e-02    0  1.000 41.100  1.53 9.898e+02  36.8673 
OBS: 60029.1153 u WFD  2.3753e-02  2.427e-02    0  1.000 41.060  1.86 9.740e+02  36.8864 
OBS: 60030.3439 i WFD -4.2777e-03  1.004e-02    0  1.000 44.580  1.33 1.446e+04  34.3355 
OBS: 60031.1783 r WFD -2.0338e-03  6.628e-03    0  1.000 44.830  1.49 1.073e+04  35.1139 
OBS: 60036.1859 i WFD  1.2314e-02  1.959e-02    0  1.000 44.620  1.80 2.164e+04  34.4475 
OBS: 60038.1968 Y WFD -6.2499e-02  1.155e-01    0  1.000 42.600  2.39 1.494e+04  31.2494 
OBS: 60040.2224 Y WFD -3.1278e-02  7.221e-02    0  1.000 43.360  1.78 2.527e+04  31.2602 
OBS: 60043.3583 z WFD  6.4755e-02  3.168e-02    0  1.000 45.010  1.93 4.673e+04  33.0679 
OBS: 60045.3374 i WFD  2.8819e-03  2.084e-02    0  1.000 44.610  1.75 2.346e+04  34.6229 
OBS: 60052.0928 i WFD  1.2411e-02  1.010e-02    0  1.000 44.570  1.29 1.486e+04  34.7524 
OBS: 60054.1469 r WFD  7.0829e-04  3.502e-03    0  1.000 46.040  1.38 1.865e+04  35.4746 
OBS: 60055.0595 g WFD -1.3092e-03  5.503e-03    0  1.000 44.760  1.80 6.913e+03  36.1688 
OBS: 60057.1564 g WFD  3.8942e-03  6.338e-03    0  1.000 44.840  2.24 6.887e+03  36.1922 
OBS: 60064.1992 i WFD -2.2971e-02  2.204e-02    0  1.000 44.620  2.32 1.889e+04  34.9845 
OBS: 60071.2671 Y WFD -1.6776e-02  3.841e-02    0  1.000 44.320  1.42 4.079e+04  31.4270 
OBS: 60083.2075 r WFD  2.2968e-03  7.294e-03    0  1.000 44.830  1.62 1.086e+04  35.9308 
OBS: 60086.9637 z WFD  2.5796e-02  3.446e-02    0  1.000 44.240  1.91 2.528e+04  33.7582 
OBS: 60096.1345 Y WFD  4.7346e-04  7.197e-02    0  1.000 42.580  1.38 1.584e+04  31.5605 
OBS: 60102.1747 i WFD -7.2076e-03  1.171e-02    0  1.000 45.610  1.53 3.788e+04  35.7124 
