SURVEY:   LSST
SNID:     1107654
IAUC:     NULL
SNTYPE:   132
RA:       189.733917  # deg
DEC:      -14.257881  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0444 +- 0.0022  # MW E(B-V) 
PEAKMJD:  59551.641     # estimate for LC fit codes
MJD_TRIGGER:       59620.227  
MJD_DETECT_FIRST:  59610.250  
MJD_DETECT_LAST:   59799.969  

REDSHIFT_HELIO:   0.843668 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.845770 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9689025239  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8437  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          189.734003    # deg 
HOSTGAL_DEC:         -14.257868    # deg 
HOSTGAL_SNSEP:       0.119       # arcsec 
HOSTGAL_DDLR:        3.167       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.032 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.321
HOSTGAL_SQRADIUS:     5.710   # Ixx + Iyy
HOSTGAL_MAG:     28.45  27.67  26.54  25.45  24.94  24.78 # ugrizY
HOSTGAL_MAGERR:  26.62   0.49   0.12   0.07   0.08   0.17 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  739   # template index for SIMSED,NONIa
SIM_LIBID:           5653    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.84367  
SIM_REDSHIFT_CMB:    0.84577  
SIM_REDSHIFT_HOST:   0.88183  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9689025239 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.510 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.032 -9.000 
SIM_DLMU:            43.6488   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0166   # mag 
SIM_RA:              189.733917     # deg  
SIM_DEC:             -14.257881      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0467   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59551.641    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        31.75  # days 
SIM_TRESTMAX:        608.95  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.96  26.51  26.82  27.19  27.12  27.15  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59610.2502 i WFD  6.2157e-01  1.686e-02 4096  1.000 44.560  2.01 1.578e+04  27.9580 
OBS: 59620.2274 Y WFD  1.7612e+00  9.087e-02 6144  1.000 42.530  1.93 1.365e+04  26.9157 
OBS: 59621.1987 Y WFD  1.6429e+00  9.448e-02 4096  1.000 42.490  1.82 1.451e+04  26.9171 
OBS: 59645.1422 u WFD  1.1313e-02  3.432e-02    0  1.000 41.030  2.55 9.771e+02  33.9066 
OBS: 59645.3910 z WFD  1.0314e+00  5.545e-02 4096  1.000 43.470  2.48 1.541e+04  27.3749 
OBS: 59653.1712 Y WFD  1.3310e+00  9.282e-02 4096  1.000 42.560  1.91 1.449e+04  27.0444 
OBS: 59655.3740 Y WFD  1.4048e+00  1.644e-01 4096  1.000 42.500  2.53 1.833e+04  27.0451 
OBS: 59660.2210 Y WFD  1.5387e+00  4.527e-02 4096  1.000 44.080  1.84 2.974e+04  27.0295 
OBS: 59662.3207 i WFD  3.5199e-01  1.790e-02 4096  1.000 45.340  2.53 2.729e+04  28.6489 
OBS: 59688.0655 z WFD  9.6362e-01  3.709e-02 4096  1.000 44.260  1.82 2.907e+04  27.4686 
OBS: 59709.9815 Y WFD  1.5729e+00  9.473e-02 4096  1.000 42.540  1.87 1.482e+04  27.0566 
OBS: 59716.0400 Y WFD  1.5171e+00  4.796e-02 4096  1.000 44.310  2.00 3.583e+04  27.0738 
OBS: 59717.1654 z WFD  1.0461e+00  3.218e-02 4096  1.000 45.020  2.45 3.774e+04  27.4512 
OBS: 59718.1983 i WFD  2.4120e-01  4.517e-02 4096  1.000 43.830  2.50 1.735e+04  28.8799 
OBS: 59721.9650 z WFD  1.0562e+00  2.372e-02 4096  1.000 45.000  2.10 3.186e+04  27.4499 
OBS: 59771.0608 z WFD  7.8241e-01  4.148e-02 4096  1.000 44.240  2.03 2.862e+04  27.6902 
OBS: 59786.9731 z WFD  6.7211e-01  4.856e-02 4096  1.000 44.240  3.02 2.252e+04  27.9152 
OBS: 59799.9699 Y WFD  9.1341e-01  1.193e-01 4096  1.000 42.530  1.82 1.901e+04  27.8085 
OBS: 59937.3497 z WFD  5.4476e-02  2.824e-02    0  1.000 45.000  2.07 3.848e+04  29.8071 
OBS: 59941.3521 z WFD  1.4089e-01  3.556e-02    0  1.000 44.260  1.71 2.967e+04  29.8803 
OBS: 59944.3217 i WFD  4.1613e-02  1.733e-02    0  1.000 44.560  2.00 1.630e+04  31.0793 
OBS: 59949.3492 z WFD  1.2458e-01  3.825e-02    0  1.000 44.270  2.05 2.687e+04  30.0432 
OBS: 59950.3277 Y WFD  1.1643e-01  5.037e-02    0  1.000 44.050  1.89 3.134e+04  29.5248 
OBS: 59953.3035 Y WFD  2.1586e-01  6.207e-02    0  1.000 43.290  1.62 2.237e+04  29.5400 
OBS: 59962.3430 g WFD  1.4282e-02  5.470e-03    0  1.000 44.880  1.67 8.273e+03  33.2948 
OBS: 59964.3029 u WFD  1.6028e-02  2.734e-02    0  1.000 41.220  2.24 1.056e+03  34.6890 
OBS: 59965.3050 r WFD  1.3248e-02  5.256e-03    0  1.000 46.030  1.88 2.037e+04  31.9045 
OBS: 59968.2650 u WFD  1.0563e-02  3.420e-02    0  1.000 41.110  2.65 1.009e+03  34.6974 
OBS: 59973.3307 g WFD  3.4211e-03  4.782e-03    0  1.000 44.850  1.57 7.482e+03  33.3409 
OBS: 59976.3439 r WFD  1.1894e-02  1.195e-02    0  1.000 44.120  1.86 8.057e+03  31.9840 
OBS: 59978.2585 Y WFD  5.5423e-02  6.971e-02    0  1.000 42.560  1.44 1.443e+04  29.6765 
OBS: 59979.2267 Y WFD  2.3649e-01  5.753e-02    0  1.000 43.280  1.50 2.219e+04  29.6822 
OBS: 59993.2521 r WFD  1.0491e-02  7.000e-03    0  1.000 44.840  1.52 1.121e+04  32.1183 
OBS: 59995.2086 r WFD  4.0938e-03  8.769e-03    0  1.000 44.810  1.80 1.154e+04  32.1350 
OBS: 59997.1795 u WFD -2.7895e-02  3.120e-02    0  1.000 41.040  2.34 9.771e+02  34.7609 
OBS: 60006.1686 z WFD  7.2297e-02  3.349e-02    0  1.000 44.240  1.94 2.419e+04  30.3864 
