SURVEY:   LSST
SNID:     1107728
IAUC:     NULL
SNTYPE:   132
RA:       110.168145  # deg
DEC:      -50.835028  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1298 +- 0.0065  # MW E(B-V) 
PEAKMJD:  60153.152     # estimate for LC fit codes
MJD_TRIGGER:       60217.363  
MJD_DETECT_FIRST:  60216.375  
MJD_DETECT_LAST:   60420.055  

REDSHIFT_HELIO:   0.888091 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.889089 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10376510873  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8881  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          110.168223    # deg 
HOSTGAL_DEC:         -50.835009    # deg 
HOSTGAL_SNSEP:       0.109       # arcsec 
HOSTGAL_DDLR:        0.332       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.817 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.286
HOSTGAL_SQRADIUS:     12.124   # Ixx + Iyy
HOSTGAL_MAG:     26.83  25.94  24.57  23.43  22.79  22.59 # ugrizY
HOSTGAL_MAGERR:   2.00   0.06   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  739   # template index for SIMSED,NONIa
SIM_LIBID:           5727    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.88809  
SIM_REDSHIFT_CMB:    0.88909  
SIM_REDSHIFT_HOST:   0.89504  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10376510873 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.273 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.817 -9.000 
SIM_DLMU:            43.7838   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0141   # mag 
SIM_RA:              110.168144     # deg  
SIM_DEC:             -50.835030      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1320   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60153.152    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -301.65  # days 
SIM_TRESTMAX:        274.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.55  26.90  27.07  27.43  27.39  27.28  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.3060 u WFD -2.2519e-02  2.350e-02    0  1.000 41.160  2.02 9.518e+02  99.0000 
OBS: 59590.3336 i WFD  3.6308e-03  1.896e-02    0  1.000 43.810  1.69 1.058e+04  99.0000 
OBS: 59594.3546 Y WFD -7.8105e-02  1.139e-01    0  1.000 42.490  2.22 1.433e+04  99.0000 
OBS: 59595.3024 Y WFD  8.0322e-02  9.393e-02    0  1.000 42.540  1.85 1.486e+04  99.0000 
OBS: 59596.0631 Y WFD  6.2715e-02  8.473e-02    0  1.000 42.560  1.65 1.531e+04  99.0000 
OBS: 59599.0712 z WFD -2.3360e-02  3.971e-02    0  1.000 44.250  2.35 2.389e+04  99.0000 
OBS: 59600.0413 z WFD -5.0367e-02  3.634e-02    0  1.000 44.240  1.94 2.624e+04  99.0000 
OBS: 59601.2137 i WFD  1.1256e-02  2.026e-02    0  1.000 44.620  1.92 2.098e+04  99.0000 
OBS: 59609.0402 z WFD -1.2544e-03  3.970e-02    0  1.000 43.490  1.88 1.482e+04  99.0000 
OBS: 59625.1455 Y WFD -8.0058e-02  6.792e-02    0  1.000 42.580  1.43 1.442e+04  99.0000 
OBS: 59635.0116 Y WFD  6.3219e-02  1.477e-01    0  1.000 42.600  2.00 2.284e+04  99.0000 
OBS: 59640.0232 z WFD  6.0097e-03  3.520e-02    0  1.000 43.500  1.84 1.356e+04  99.0000 
OBS: 59654.9960 Y WFD  6.7907e-02  1.325e-01    0  1.000 42.600  1.97 2.080e+04  99.0000 
OBS: 59675.9792 Y WFD  2.9131e-02  1.466e-01    0  1.000 42.590  2.44 1.841e+04  99.0000 
OBS: 59683.9852 Y WFD  1.4480e-02  6.099e-02    0  1.000 42.580  1.30 1.425e+04  99.0000 
OBS: 59686.0525 Y WFD -6.0732e-02  7.322e-02    0  1.000 42.560  1.43 1.526e+04  99.0000 
OBS: 59687.0333 z WFD -1.2782e-02  1.878e-02    0  1.000 45.010  1.45 3.687e+04  99.0000 
OBS: 59709.9609 Y WFD -2.3414e-02  9.968e-02    0  1.000 42.560  1.81 1.642e+04  99.0000 
OBS: 59713.0210 Y WFD  1.3677e-01  9.203e-02    0  1.000 43.270  2.44 2.162e+04  99.0000 
OBS: 59842.3584 r WFD  1.0097e-02  1.099e-02    0  1.000 44.770  2.17 1.156e+04  99.0000 
OBS: 59857.3464 r WFD  2.9930e-03  7.873e-03    0  1.000 44.800  1.71 1.080e+04  99.0000 
OBS: 59860.3023 Y WFD -2.0148e-02  9.470e-02    0  1.000 42.520  1.78 1.529e+04  99.0000 
OBS: 59861.2910 Y WFD -1.7298e-02  8.421e-02    0  1.000 42.520  1.52 1.592e+04  99.0000 
OBS: 59864.3413 z WFD  1.4569e-02  2.962e-02    0  1.000 44.260  1.72 2.457e+04  99.0000 
OBS: 59868.3209 r WFD  2.9116e-02  1.208e-02    0  1.000 44.870  1.69 1.790e+04  99.0000 
OBS: 59871.3547 g WFD  5.4116e-03  5.555e-03    0  1.000 44.880  1.60 8.769e+03  99.0000 
OBS: 59874.2766 u WFD -4.8736e-03  1.438e-02    0  1.000 42.540  2.24 1.872e+03  99.0000 
OBS: 59876.2588 g WFD  4.7730e-03  5.998e-03    0  1.000 44.700  2.00 6.416e+03  99.0000 
OBS: 59897.2508 r WFD  3.3630e-03  9.306e-03    0  1.000 45.630  1.69 2.775e+04  99.0000 
OBS: 59900.2257 g WFD -1.5463e-03  7.531e-03    0  1.000 44.720  2.59 6.337e+03  99.0000 
OBS: 59904.1999 u WFD  6.4180e-03  1.976e-02    0  1.000 41.800  2.20 1.325e+03  99.0000 
OBS: 59907.1695 r WFD -4.5096e-03  1.118e-02    0  1.000 44.760  2.35 1.075e+04  99.0000 
OBS: 59908.2056 i WFD -6.0107e-04  1.036e-02    0  1.000 45.750  2.29 2.546e+04  99.0000 
OBS: 59916.2553 i WFD -1.5233e-03  1.067e-02    0  1.000 45.360  1.66 2.525e+04  99.0000 
OBS: 59917.2087 z WFD  7.6408e-03  2.358e-02    0  1.000 44.250  1.46 2.283e+04  99.0000 
