SURVEY:   LSST
SNID:     1107824
IAUC:     NULL
SNTYPE:   132
RA:       60.192745  # deg
DEC:      -58.819107  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0209 +- 0.0010  # MW E(B-V) 
PEAKMJD:  60198.938     # estimate for LC fit codes
MJD_TRIGGER:       60198.363  
MJD_DETECT_FIRST:  60193.281  
MJD_DETECT_LAST:   60250.328  

REDSHIFT_HELIO:   1.386717 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.386560 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7879834054  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3867  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          60.192762    # deg 
HOSTGAL_DEC:         -58.819100    # deg 
HOSTGAL_SNSEP:       0.029       # arcsec 
HOSTGAL_DDLR:        0.218       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     11.203 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.252
HOSTGAL_SQRADIUS:     9.822   # Ixx + Iyy
HOSTGAL_MAG:     23.79  23.60  23.51  22.93  22.51  21.84 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  739   # template index for SIMSED,NONIa
SIM_LIBID:           5823    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.38672  
SIM_REDSHIFT_CMB:    1.38656  
SIM_REDSHIFT_HOST:   1.39725  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7879834054 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.727 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                11.203 -9.000 
SIM_DLMU:            44.9783   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0265   # mag 
SIM_RA:              60.192745     # deg  
SIM_DEC:             -58.819107      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0204   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60198.938    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -258.48  # days 
SIM_TRESTMAX:        199.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.11  27.84  27.44  27.64  28.03  28.16  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.0509 z WFD  1.9750e-02  3.070e-02    0  1.000 44.250  2.18 1.991e+04  99.0000 
OBS: 59585.1140 u WFD -6.9146e-02  2.775e-02    0  1.000 41.140  2.35 9.487e+02  99.0000 
OBS: 59591.0459 z WFD  6.4882e-03  3.827e-02    0  1.000 44.270  1.89 2.916e+04  99.0000 
OBS: 59595.0462 Y WFD -5.4770e-02  9.899e-02    0  1.000 43.780  2.76 3.289e+04  99.0000 
OBS: 59624.0421 z WFD  3.4732e-02  4.353e-02    0  1.000 44.250  2.52 2.442e+04  99.0000 
OBS: 59634.0480 r WFD  2.4574e-03  9.381e-03    0  1.000 44.790  2.01 1.085e+04  99.0000 
OBS: 59652.9977 Y WFD -3.8770e-01  2.000e-01    0  1.000 42.550  2.67 2.213e+04  99.0000 
OBS: 59663.0002 z WFD  2.0923e-02  4.557e-02    0  1.000 44.230  2.53 2.500e+04  99.0000 
OBS: 59791.3591 g WFD -5.8453e-03  7.775e-03    0  1.000 44.670  2.57 6.296e+03  99.0000 
OBS: 59803.3404 Y WFD  1.0459e-01  1.055e-01    0  1.000 42.540  1.93 1.599e+04  99.0000 
OBS: 59805.3164 Y WFD  1.0775e-01  7.142e-02    0  1.000 43.270  1.88 2.178e+04  99.0000 
OBS: 59809.3766 r WFD  1.5178e-02  1.320e-02    0  1.000 44.880  1.99 1.675e+04  99.0000 
OBS: 59813.4079 i WFD  7.6877e-03  1.989e-02    0  1.000 43.830  1.87 1.021e+04  99.0000 
OBS: 59820.4162 z WFD -6.0226e-02  4.135e-02    0  1.000 43.510  1.86 1.590e+04  99.0000 
OBS: 59822.3338 i WFD  3.3229e-03  2.023e-02    0  1.000 44.570  2.65 1.449e+04  99.0000 
OBS: 59824.3170 i WFD -1.3415e-02  1.256e-02    0  1.000 44.560  1.62 1.458e+04  99.0000 
OBS: 59832.2445 Y WFD  1.0462e-01  5.193e-02    0  1.000 44.020  1.80 3.300e+04  99.0000 
OBS: 59837.3880 i WFD -7.3864e-03  2.149e-02    0  1.000 43.860  1.53 1.387e+04  99.0000 
OBS: 59851.2957 u WFD  1.2893e-02  2.307e-02    0  1.000 41.240  2.06 9.866e+02  99.0000 
OBS: 59853.2476 r WFD -2.7677e-03  1.141e-02    0  1.000 44.790  2.54 1.045e+04  99.0000 
OBS: 59858.2036 z WFD -9.1069e-04  2.526e-02    0  1.000 44.990  2.05 3.443e+04  99.0000 
OBS: 59862.1819 z WFD  4.5689e-03  3.086e-02    0  1.000 44.250  1.45 3.009e+04  99.0000 
OBS: 59867.2884 r WFD -7.8613e-03  1.458e-02    0  1.000 44.910  1.93 1.961e+04  99.0000 
OBS: 59869.1856 r WFD -1.3759e-02  7.272e-03    0  1.000 44.790  1.60 1.057e+04  99.0000 
OBS: 59870.2395 i WFD  2.7044e-02  1.192e-02    0  1.000 44.570  1.58 1.433e+04  99.0000 
OBS: 59874.2079 u WFD -4.4481e-03  1.915e-02    0  1.000 41.900  2.30 1.347e+03  99.0000 
OBS: 59876.1495 g WFD -1.0407e-02  6.346e-03    0  1.000 44.720  2.20 6.287e+03  99.0000 
OBS: 59887.2591 i WFD -5.3931e-03  1.032e-02    0  1.000 45.380  1.39 2.973e+04  99.0000 
OBS: 59905.0646 u WFD  4.8848e-02  3.701e-02    0  1.000 40.970  2.80 9.076e+02  99.0000 
OBS: 59906.1061 u WFD  3.3326e-02  2.475e-02    0  1.000 41.160  2.10 9.645e+02  99.0000 
OBS: 59914.1775 r WFD -5.1852e-03  1.037e-02    0  1.000 44.890  1.70 1.555e+04  99.0000 
OBS: 59916.2155 i WFD  4.6537e-02  1.732e-02    0  1.000 44.610  1.67 2.043e+04  99.0000 
OBS: 59921.0618 z WFD -5.4961e-02  4.096e-02    0  1.000 44.260  2.11 2.770e+04  99.0000 
OBS: 59929.0334 Y WFD -1.7891e-01  1.241e-01    0  1.000 42.570  1.96 1.905e+04  99.0000 
