SURVEY:   LSST
SNID:     1108641
IAUC:     NULL
SNTYPE:   132
RA:       277.668844  # deg
DEC:      -47.612405  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0373 +- 0.0019  # MW E(B-V) 
PEAKMJD:  59586.273     # estimate for LC fit codes
MJD_TRIGGER:       59688.414  
MJD_DETECT_FIRST:  59684.320  
MJD_DETECT_LAST:   60121.078  

REDSHIFT_HELIO:   0.853788 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.853476 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6813505094  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8538  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          277.668673    # deg 
HOSTGAL_DEC:         -47.612352    # deg 
HOSTGAL_SNSEP:       0.267       # arcsec 
HOSTGAL_DDLR:        1.160       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.507 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.109
HOSTGAL_SQRADIUS:     9.820   # Ixx + Iyy
HOSTGAL_MAG:     26.09  24.79  23.31  22.13  21.65  21.34 # ugrizY
HOSTGAL_MAGERR:   0.49   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  731   # template index for SIMSED,NONIa
SIM_LIBID:           6642    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.85379  
SIM_REDSHIFT_CMB:    0.85348  
SIM_REDSHIFT_HOST:   0.81960  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6813505094 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.027 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.507 -9.000 
SIM_DLMU:            43.6759   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0028   # mag 
SIM_RA:              277.668854     # deg  
SIM_DEC:             -47.612404      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0398   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59586.273    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        52.89  # days 
SIM_TRESTMAX:        552.88  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.29  25.86  25.56  25.26  25.31  25.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59684.3192 Y WFD  4.7800e+00  2.555e-02 4096  1.000 44.680  1.41 3.805e+04  25.8012 
OBS: 59688.4144 z WFD  3.8137e+00  5.720e-02 6144  1.000 43.530  2.01 2.073e+04  26.0536 
OBS: 59696.4255 z WFD  3.6830e+00  5.243e-02 4096  1.000 44.280  2.53 3.012e+04  26.0858 
OBS: 59698.2653 i WFD  1.5440e+00  1.855e-02 4096  1.000 44.570  2.38 1.479e+04  27.0149 
OBS: 59700.2712 u WFD  3.9486e-02  1.884e-02    0  1.000 41.230  1.63 1.009e+03  32.3990 
OBS: 59704.4296 z WFD  3.5003e+00  4.655e-02 4096  1.000 43.530  1.49 2.275e+04  26.1429 
OBS: 59712.1639 Y WFD  3.7714e+00  4.919e-02 4096  1.000 44.620  2.47 3.959e+04  26.0492 
OBS: 59713.2089 Y WFD  3.8015e+00  7.801e-02 4096  1.000 43.290  2.14 2.129e+04  26.0637 
OBS: 59716.4309 Y WFD  3.5476e+00  1.490e-01 4096  1.000 42.570  2.08 2.155e+04  26.1084 
OBS: 59722.4348 z WFD  2.7753e+00  6.617e-02 4096  1.000 43.500  2.17 2.160e+04  26.3964 
OBS: 59729.4322 z WFD  2.5408e+00  3.207e-02 4096  1.000 44.230  1.87 2.380e+04  26.4779 
OBS: 59748.1135 i WFD  7.2794e-01  1.849e-02 4096  1.000 45.360  2.07 3.510e+04  27.8755 
OBS: 59750.1511 r WFD  1.3421e-01  7.906e-03 4096  1.000 44.860  1.60 1.225e+04  29.6336 
OBS: 59769.0792 z WFD  1.4379e+00  2.274e-02 4096  1.000 44.260  1.41 2.301e+04  27.1185 
OBS: 59771.1621 z WFD  1.3591e+00  3.408e-02 4096  1.000 44.290  1.66 3.011e+04  27.1717 
OBS: 59775.2738 z WFD  1.2038e+00  4.937e-02 4096  1.000 44.270  2.16 3.292e+04  27.2736 
OBS: 59776.0587 i WFD  6.6893e-01  3.095e-02 4096  1.000 44.620  2.33 2.641e+04  27.9894 
OBS: 59786.0669 g WFD  2.3427e-02  8.335e-03    0  1.000 44.820  2.90 6.868e+03  31.2678 
OBS: 59790.9734 z WFD  8.7586e-01  2.805e-02 4096  1.000 44.230  1.80 2.162e+04  27.5866 
OBS: 59792.9760 z WFD  9.0025e-01  3.486e-02 4096  1.000 44.240  2.21 2.210e+04  27.6107 
OBS: 59798.0030 Y WFD  7.2340e-01  3.987e-02 4096  1.000 44.070  1.69 2.825e+04  27.8808 
OBS: 59802.0359 Y WFD  6.5656e-01  6.812e-02 4096  1.000 43.770  1.71 3.620e+04  27.9238 
OBS: 59805.1231 i WFD  6.0335e-01  2.326e-02 4096  1.000 43.880  1.30 1.799e+04  28.0438 
OBS: 59806.0771 r WFD  1.6251e-01  1.743e-02 4096  1.000 44.180  1.72 1.343e+04  29.5868 
OBS: 59813.0794 r WFD  1.5267e-01  7.768e-03 4096  1.000 44.850  1.78 1.072e+04  29.5538 
OBS: 59818.0226 u WFD -6.6679e-03  1.140e-02    0  1.000 42.110  1.51 1.483e+03  32.7545 
OBS: 59821.0159 r WFD  1.5792e-01  6.514e-03 4096  1.000 44.850  1.49 1.074e+04  29.5183 
OBS: 59824.9926 z WFD  6.5142e-01  1.477e-02 4096  1.000 45.020  1.46 2.906e+04  27.9523 
OBS: 59830.1143 Y WFD  5.5683e-01  5.432e-02 4096  1.000 44.070  2.06 3.158e+04  28.1810 
OBS: 59840.0567 g WFD  3.2086e-02  3.562e-03 4096  1.000 45.580  1.72 9.964e+03  31.2422 
OBS: 59871.0325 r WFD  1.4545e-01  8.549e-03 4096  1.000 44.800  1.68 1.194e+04  29.5284 
OBS: 59880.0088 z WFD  4.0295e-01  2.415e-02 4096  1.000 45.000  1.41 4.831e+04  28.4379 
OBS: 59998.3936 z WFD  2.3092e-01  4.849e-02    0  1.000 43.490  1.73 1.968e+04  29.2777 
OBS: 60012.3765 z WFD  1.6735e-01  2.883e-02 4096  1.000 45.010  2.14 3.835e+04  29.3752 
