SURVEY:   LSST
SNID:     1108724
IAUC:     NULL
SNTYPE:   132
RA:       337.402195  # deg
DEC:      -4.774335  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0380 +- 0.0019  # MW E(B-V) 
PEAKMJD:  59715.492     # estimate for LC fit codes
MJD_TRIGGER:       59770.289  
MJD_DETECT_FIRST:  59752.316  
MJD_DETECT_LAST:   60210.023  

REDSHIFT_HELIO:   0.847428 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.845237 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10438678274  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8474  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          337.402301    # deg 
HOSTGAL_DEC:         -4.774184    # deg 
HOSTGAL_SNSEP:       0.305       # arcsec 
HOSTGAL_DDLR:        1.244       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.328 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.070
HOSTGAL_SQRADIUS:     8.571   # Ixx + Iyy
HOSTGAL_MAG:     26.62  25.65  24.45  23.32  22.93  22.76 # ugrizY
HOSTGAL_MAGERR:   0.26   0.05   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  731   # template index for SIMSED,NONIa
SIM_LIBID:           6725    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.84743  
SIM_REDSHIFT_CMB:    0.84524  
SIM_REDSHIFT_HOST:   0.82644  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10438678274 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.030 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.328 -9.000 
SIM_DLMU:            43.6522   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0104   # mag 
SIM_RA:              337.402191     # deg  
SIM_DEC:             -4.774334      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0373   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59715.492    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        19.93  # days 
SIM_TRESTMAX:        488.03  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.26  25.84  25.54  25.25  25.31  25.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.3157 i WFD  5.3323e+00  1.786e-02 4096  1.000 44.580  2.03 1.683e+04  25.6804 
OBS: 59770.2877 Y WFD  6.9565e+00  7.343e-02 6144  1.000 42.580  1.62 1.376e+04  25.4112 
OBS: 59771.4137 z WFD  6.0880e+00  2.624e-02 4096  1.000 44.240  1.79 2.052e+04  25.5367 
OBS: 59772.2201 Y WFD  6.8357e+00  8.438e-02 4096  1.000 43.710  2.63 2.758e+04  25.4303 
OBS: 59773.3964 Y WFD  6.6033e+00  9.800e-02 4096  1.000 42.560  1.77 1.650e+04  25.4421 
OBS: 59774.3476 z WFD  5.9424e+00  3.203e-02 4096  1.000 45.040  1.86 5.039e+04  25.5658 
OBS: 59781.4162 r WFD  4.9209e-01  2.256e-02 4096  1.000 44.070  2.54 1.064e+04  28.2402 
OBS: 59788.2824 g WFD  5.1688e-02  1.173e-02    0  1.000 44.090  2.74 5.224e+03  30.8206 
OBS: 59793.2303 g WFD  4.3427e-02  8.720e-03    0  1.000 44.820  2.81 7.416e+03  30.8635 
OBS: 59796.3704 r WFD  3.2050e-01  2.059e-02 4096  1.000 44.030  2.85 8.339e+03  28.7010 
OBS: 59798.1771 z WFD  4.6266e+00  3.298e-02 4096  1.000 44.240  2.04 2.264e+04  25.8497 
OBS: 59800.2270 Y WFD  5.3603e+00  8.788e-02 4096  1.000 42.580  1.85 1.442e+04  25.6927 
OBS: 59807.2443 Y WFD  5.0567e+00  3.957e-02 4096  1.000 44.090  1.65 2.925e+04  25.7584 
OBS: 59808.3430 i WFD  1.8280e+00  2.283e-02 4096  1.000 44.570  1.88 2.304e+04  26.8738 
OBS: 59809.2320 r WFD  2.8532e-01  9.620e-03 4096  1.000 44.900  1.48 1.672e+04  28.8893 
OBS: 59812.1620 r WFD  2.6736e-01  1.243e-02 4096  1.000 44.830  2.56 1.171e+04  28.9006 
OBS: 59813.3084 i WFD  1.6160e+00  1.797e-02 4096  1.000 44.560  2.12 1.594e+04  26.9613 
OBS: 59817.1159 r WFD  2.5720e-01  8.335e-03 4096  1.000 44.800  1.63 1.199e+04  28.9873 
OBS: 59818.1021 u WFD  7.9788e-03  1.788e-02    0  1.000 41.840  1.92 1.426e+03  32.2884 
OBS: 59824.2008 i WFD  1.6496e+00  1.462e-02 4096  1.000 44.590  1.86 1.519e+04  26.9584 
OBS: 59825.0838 z WFD  3.8017e+00  3.441e-02 4096  1.000 44.240  2.21 2.180e+04  26.0608 
OBS: 59827.1170 z WFD  3.7507e+00  3.068e-02 4096  1.000 44.250  1.93 2.247e+04  26.0683 
OBS: 59835.1622 Y WFD  4.1417e+00  6.651e-02 4096  1.000 42.580  1.35 1.495e+04  25.9655 
OBS: 59836.0719 r WFD  2.2745e-01  9.070e-03 4096  1.000 44.820  1.83 1.184e+04  29.1549 
OBS: 59839.1723 g WFD  3.8288e-02  5.425e-03    0  1.000 44.850  1.75 7.615e+03  31.0361 
OBS: 59846.0219 i WFD  1.3128e+00  2.022e-02 4096  1.000 44.550  2.35 1.603e+04  27.2265 
OBS: 59853.0067 Y WFD  3.3695e+00  8.943e-02 4096  1.000 42.510  1.80 1.414e+04  26.1589 
OBS: 59855.9889 Y WFD  3.3976e+00  1.050e-01 4096  1.000 43.270  1.82 3.308e+04  26.1623 
OBS: 59861.0744 Y WFD  3.4164e+00  4.300e-02 4096  1.000 44.340  1.55 4.261e+04  26.1637 
OBS: 59862.0053 z WFD  2.5394e+00  3.248e-02 4096  1.000 44.270  1.28 3.653e+04  26.4947 
OBS: 59863.0588 z WFD  2.5297e+00  2.724e-02 4096  1.000 44.280  1.33 2.975e+04  26.5149 
OBS: 59866.0038 Y WFD  3.1161e+00  7.977e-02 4096  1.000 42.530  1.68 1.377e+04  26.3017 
OBS: 59875.0920 u WFD  2.2805e-02  2.180e-02    0  1.000 41.230  1.83 1.040e+03  31.7955 
OBS: 59900.0800 i WFD  6.7643e-01  1.751e-02 4096  1.000 45.310  2.90 2.265e+04  27.9214 
OBS: 60064.4255 Y WFD  2.5515e-01  1.192e-01    0  1.000 42.530  1.67 2.070e+04  28.9019 
OBS: 60066.4296 Y WFD  2.0271e-01  1.705e-01    0  1.000 42.560  1.84 2.763e+04  28.9115 
OBS: 60073.4079 Y WFD  2.3905e-01  4.954e-02    0  1.000 43.720  1.60 2.687e+04  28.9453 
OBS: 60080.4248 z WFD  2.2765e-01  3.470e-02 4096  1.000 43.500  1.57 1.566e+04  28.9494 
OBS: 60083.3965 r WFD  9.5925e-02  9.931e-03 4096  1.000 44.820  1.83 1.297e+04  30.1281 
OBS: 60083.4269 z WFD  2.1095e-01  2.968e-02 4096  1.000 44.260  1.60 2.647e+04  28.9701 
OBS: 60084.4281 z WFD  2.7378e-01  4.263e-02 4096  1.000 43.500  1.87 1.615e+04  28.9771 
OBS: 60087.3812 g WFD  1.4964e-02  5.454e-03    0  1.000 45.560  2.18 1.182e+04  31.7477 
OBS: 60096.4000 i WFD  1.9701e-01  1.744e-02 4096  1.000 44.580  2.15 1.554e+04  29.2590 
OBS: 60111.3048 r WFD  8.1698e-02  8.129e-03 4096  1.000 45.560  2.27 1.692e+04  30.3379 
OBS: 60118.2808 u WFD -1.3170e-02  2.638e-02    0  1.000 41.790  2.76 1.398e+03  33.4607 
OBS: 60122.3446 r WFD  6.6243e-02  6.104e-03 4096  1.000 45.610  1.84 1.641e+04  30.4209 
OBS: 60125.2694 z WFD  1.5299e-01  3.238e-02 4096  1.000 44.240  1.86 2.438e+04  29.2593 
OBS: 60127.3583 Y WFD  2.2312e-01  7.941e-02    0  1.000 42.580  1.62 1.488e+04  29.2363 
OBS: 60137.2399 i WFD  1.3144e-01  1.733e-02 4096  1.000 44.560  2.08 1.567e+04  29.6205 
OBS: 60138.2552 i WFD  1.7738e-01  1.480e-02 4096  1.000 44.570  1.83 1.535e+04  29.6295 
OBS: 60140.2891 u WFD  1.8392e-02  1.672e-02    0  1.000 42.050  2.06 1.508e+03  33.5798 
OBS: 60141.2694 g WFD  1.3675e-02  8.932e-03    0  1.000 44.800  2.87 7.302e+03  32.0394 
OBS: 60142.2268 i WFD  1.2363e-01  1.928e-02    0  1.000 44.560  2.32 1.563e+04  29.6646 
OBS: 60144.2485 g WFD  1.3212e-02  5.396e-03    0  1.000 44.810  1.74 7.343e+03  32.0555 
OBS: 60147.2935 r WFD  4.8632e-02  5.829e-03 4096  1.000 45.600  1.77 1.614e+04  30.6085 
OBS: 60148.2072 r WFD  4.5862e-02  8.112e-03 4096  1.000 45.550  2.29 1.658e+04  30.6153 
OBS: 60150.2345 r WFD  4.8570e-02  8.562e-03 4096  1.000 44.820  1.78 1.149e+04  30.6306 
OBS: 60153.1770 Y WFD  1.3267e-01  8.537e-02    0  1.000 42.520  1.69 1.451e+04  29.3760 
OBS: 60162.2159 Y WFD  3.9630e-01  1.173e-01    0  1.000 42.580  2.45 1.454e+04  29.4250 
OBS: 60169.1450 r WFD  5.9186e-02  6.961e-03 4096  1.000 45.560  1.95 1.686e+04  30.7727 
OBS: 60176.1978 u WFD -3.1246e-03  2.039e-02    0  1.000 41.330  1.79 1.091e+03  33.7742 
OBS: 60177.1158 g WFD  1.7068e-02  8.110e-03    0  1.000 44.740  2.39 7.533e+03  32.2335 
OBS: 60179.2039 i WFD  1.1749e-01  1.254e-02 4096  1.000 44.590  1.61 1.507e+04  29.9919 
OBS: 60180.1368 i WFD  1.0899e-01  1.322e-02    0  1.000 45.330  2.12 2.384e+04  30.0001 
OBS: 60181.1098 z WFD  1.2813e-01  3.311e-02    0  1.000 44.240  2.07 2.241e+04  29.6452 
OBS: 60182.1185 z WFD  1.1869e-01  3.522e-02    0  1.000 44.240  2.14 2.306e+04  29.6521 
OBS: 60200.1053 u WFD  2.0050e-02  2.393e-02    0  1.000 41.310  2.08 1.081e+03  33.9036 
OBS: 60210.0226 z WFD  1.5328e-01  2.287e-02 4096  1.000 44.990  2.00 3.197e+04  29.8450 
OBS: 60212.1266 Y WFD  1.5732e-01  8.188e-02    0  1.000 42.580  1.71 1.454e+04  29.6951 
OBS: 60217.0142 Y WFD  1.5571e-01  4.102e-02    0  1.000 44.480  1.64 4.371e+04  29.7216 
OBS: 60234.0020 z WFD  1.2238e-01  4.757e-02    0  1.000 44.260  2.41 2.817e+04  30.0107 
OBS: 60236.0053 z WFD  5.1481e-02  3.493e-02    0  1.000 44.250  2.18 2.265e+04  30.0245 
