SURVEY:   LSST
SNID:     1108894
IAUC:     NULL
SNTYPE:   132
RA:       62.391114  # deg
DEC:      -20.412863  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0259 +- 0.0013  # MW E(B-V) 
PEAKMJD:  59549.129     # estimate for LC fit codes
MJD_TRIGGER:       59588.102  
MJD_DETECT_FIRST:  59583.086  
MJD_DETECT_LAST:   59977.051  

REDSHIFT_HELIO:   0.981279 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.980773 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10564678524  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9813  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          62.391096    # deg 
HOSTGAL_DEC:         -20.412891    # deg 
HOSTGAL_SNSEP:       0.056       # arcsec 
HOSTGAL_DDLR:        0.140       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.517 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.092
HOSTGAL_SQRADIUS:     12.680   # Ixx + Iyy
HOSTGAL_MAG:     25.09  24.69  23.55  22.65  21.86  21.51 # ugrizY
HOSTGAL_MAGERR:   0.25   0.03   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  731   # template index for SIMSED,NONIa
SIM_LIBID:           6895    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.98128  
SIM_REDSHIFT_CMB:    0.98077  
SIM_REDSHIFT_HOST:   1.02537  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10564678524 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.030 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.517 -9.000 
SIM_DLMU:            44.0487   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0516   # mag 
SIM_RA:              62.391113     # deg  
SIM_DEC:             -20.412863      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0258   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59549.129    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        17.14  # days 
SIM_TRESTMAX:        566.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.74  26.09  25.88  25.56  25.45  25.63  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0862 u WFD  1.3511e-01  1.754e-02 4096  1.000 42.050  2.30 1.417e+03  29.8556 
OBS: 59588.1011 Y WFD  7.0050e+00  8.208e-02 6144  1.000 42.590  1.97 1.276e+04  25.4010 
OBS: 59589.2068 i WFD  3.2495e+00  2.456e-02 4096  1.000 43.780  2.03 1.108e+04  26.2220 
OBS: 59590.0510 Y WFD  6.7072e+00  4.494e-02 4096  1.000 43.350  1.43 1.938e+04  25.4074 
OBS: 59591.1007 z WFD  5.1123e+00  2.684e-02 4096  1.000 44.280  1.65 2.363e+04  25.7340 
OBS: 59597.0765 Y WFD  5.9892e+00  9.156e-02 4096  1.000 42.600  1.94 1.459e+04  25.5616 
OBS: 59598.0503 z WFD  4.3524e+00  4.037e-02 4096  1.000 44.280  2.40 2.444e+04  25.9148 
OBS: 59610.0365 z WFD  3.7539e+00  3.012e-02 4096  1.000 44.280  1.49 2.937e+04  26.0557 
OBS: 59617.0439 Y WFD  4.9751e+00  1.023e-01 4096  1.000 42.570  2.39 1.288e+04  25.7641 
OBS: 59641.0175 z WFD  2.2990e+00  5.200e-02 4096  1.000 43.490  2.46 1.484e+04  26.6389 
OBS: 59643.0082 z WFD  2.2858e+00  5.663e-02 4096  1.000 43.510  2.07 1.956e+04  26.6486 
OBS: 59650.0107 Y WFD  3.5552e+00  9.653e-02 4096  1.000 42.560  1.99 1.446e+04  26.0946 
OBS: 59652.0007 Y WFD  3.5856e+00  1.380e-01 4096  1.000 42.570  2.22 1.870e+04  26.1004 
OBS: 59653.0077 Y WFD  3.7846e+00  1.455e-01 4096  1.000 42.540  2.82 1.510e+04  26.1033 
OBS: 59660.9985 z WFD  2.1335e+00  5.183e-02 4096  1.000 43.480  2.20 1.639e+04  26.6732 
OBS: 59667.0055 z WFD  2.1690e+00  6.078e-02 4096  1.000 43.460  2.66 1.560e+04  26.6887 
OBS: 59791.3907 g WFD  1.1508e-02  7.769e-03    0  1.000 44.750  2.54 6.853e+03  31.8706 
OBS: 59802.4243 Y WFD  3.9178e-01  7.778e-02 4096  1.000 42.580  1.63 1.449e+04  28.2657 
OBS: 59803.3796 Y WFD  5.3838e-01  5.400e-02 4096  1.000 43.750  1.83 2.632e+04  28.2742 
OBS: 59805.3653 Y WFD  5.4477e-01  5.528e-02 4096  1.000 43.310  1.56 2.108e+04  28.2914 
OBS: 59810.3751 i WFD  3.2415e-01  1.544e-02 4096  1.000 44.600  1.66 1.815e+04  28.7713 
OBS: 59820.3787 i WFD  2.8557e-01  1.227e-02 4096  1.000 44.590  1.68 1.412e+04  28.8039 
OBS: 59835.2471 Y WFD  4.3397e-01  8.820e-02    0  1.000 42.500  1.52 1.637e+04  28.5375 
OBS: 59840.3477 r WFD  9.3056e-02  8.599e-03 4096  1.000 44.890  1.56 1.405e+04  30.1756 
OBS: 59841.3029 g WFD  2.3248e-02  8.311e-03    0  1.000 44.830  2.65 7.564e+03  31.8471 
OBS: 59843.2676 i WFD  2.6046e-01  1.509e-02 4096  1.000 44.570  1.93 1.484e+04  28.9000 
OBS: 59844.2352 r WFD  7.6423e-02  9.192e-03 4096  1.000 44.780  1.93 1.097e+04  30.1821 
OBS: 59850.2493 i WFD  2.5875e-01  1.792e-02 4096  1.000 44.570  2.32 1.466e+04  28.9386 
OBS: 59851.2203 u WFD  8.4442e-04  3.677e-02    0  1.000 41.070  2.90 9.550e+02  33.3378 
OBS: 59860.2148 Y WFD  3.3805e-01  8.398e-02    0  1.000 42.560  1.62 1.545e+04  28.7248 
OBS: 59861.1754 Y WFD  3.0225e-01  1.373e-01    0  1.000 42.500  2.22 1.745e+04  28.7316 
OBS: 59863.3628 z WFD  3.3548e-01  4.191e-02 4096  1.000 43.530  1.40 2.180e+04  28.6041 
OBS: 59864.2187 z WFD  4.0466e-01  3.543e-02 4096  1.000 44.280  1.67 3.084e+04  28.6104 
OBS: 59866.2404 i WFD  2.5829e-01  1.363e-02 4096  1.000 45.820  1.88 4.354e+04  29.0387 
OBS: 59868.3450 r WFD  8.8329e-02  1.524e-02    0  1.000 44.180  1.52 1.329e+04  30.2734 
OBS: 59874.1729 u WFD -6.9476e-03  2.153e-02    0  1.000 41.130  1.76 9.740e+02  33.4474 
OBS: 59877.1950 r WFD  7.2035e-02  5.704e-03 4096  1.000 45.580  1.83 1.500e+04  30.3289 
OBS: 59895.2597 i WFD  1.8352e-01  2.126e-02 4096  1.000 44.640  1.76 2.446e+04  29.2578 
OBS: 59904.0802 u WFD  1.7900e-02  2.458e-02    0  1.000 41.790  2.68 1.341e+03  33.6216 
OBS: 59907.0970 r WFD  6.9572e-02  9.473e-03 4096  1.000 44.810  2.08 1.078e+04  30.5441 
OBS: 59916.0962 Y WFD  2.5073e-01  6.569e-02    0  1.000 42.580  1.43 1.395e+04  29.0857 
OBS: 59917.0443 z WFD  2.9669e-01  2.721e-02 4096  1.000 45.000  1.83 4.194e+04  28.9950 
OBS: 59918.0693 Y WFD  1.1915e-01  7.768e-02    0  1.000 42.560  1.49 1.554e+04  29.0968 
OBS: 59928.1772 g WFD  6.1504e-03  8.935e-03    0  1.000 44.090  2.34 4.658e+03  32.2849 
