SURVEY:   LSST
SNID:     1109041
IAUC:     NULL
SNTYPE:   132
RA:       96.963124  # deg
DEC:      -31.219285  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0533 +- 0.0027  # MW E(B-V) 
PEAKMJD:  59898.715     # estimate for LC fit codes
MJD_TRIGGER:       59904.184  
MJD_DETECT_FIRST:  59898.207  
MJD_DETECT_LAST:   60275.270  

REDSHIFT_HELIO:   1.236957 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.237893 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8065582223  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2370  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          96.963170    # deg 
HOSTGAL_DEC:         -31.219312    # deg 
HOSTGAL_SNSEP:       0.082       # arcsec 
HOSTGAL_DDLR:        0.253       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.689 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.354
HOSTGAL_SQRADIUS:     13.033   # Ixx + Iyy
HOSTGAL_MAG:     27.41  26.95  25.80  24.88  24.03  23.51 # ugrizY
HOSTGAL_MAGERR:   3.85   0.12   0.06   0.04   0.03   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  731   # template index for SIMSED,NONIa
SIM_LIBID:           7042    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.23696  
SIM_REDSHIFT_CMB:    1.23790  
SIM_REDSHIFT_HOST:   1.20309  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8065582223 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.894 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.689 -9.000 
SIM_DLMU:            44.6727   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0272   # mag 
SIM_RA:              96.963127     # deg  
SIM_DEC:             -31.219286      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0550   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59898.715    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -142.46  # days 
SIM_TRESTMAX:        343.04  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.00  26.92  26.66  26.38  26.13  26.05  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 131 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0419 Y WFD -1.5276e-01  1.084e-01    0  1.000 43.260  2.61 2.359e+04  99.0000 
OBS: 59584.1264 u WFD  4.3489e-02  2.589e-02    0  1.000 41.300  2.42 9.961e+02  99.0000 
OBS: 59589.2023 i WFD -1.2420e-03  8.528e-03    0  1.000 45.350  1.64 2.025e+04  99.0000 
OBS: 59592.1916 z WFD -3.0601e-02  2.328e-02    0  1.000 44.270  1.50 2.235e+04  99.0000 
OBS: 59601.0535 Y WFD  5.5341e-02  5.371e-02    0  1.000 43.320  1.78 1.811e+04  99.0000 
OBS: 59602.0518 Y WFD  2.9703e-02  9.159e-02    0  1.000 42.570  2.15 1.282e+04  99.0000 
OBS: 59634.0985 r WFD -1.8326e-03  7.215e-03    0  1.000 44.830  1.71 1.018e+04  99.0000 
OBS: 59649.0160 Y WFD -2.9329e-02  7.284e-02    0  1.000 42.590  1.74 1.283e+04  99.0000 
OBS: 59655.0320 Y WFD -1.7767e-02  6.202e-02    0  1.000 43.340  1.88 2.017e+04  99.0000 
OBS: 59657.0898 z WFD  4.2050e-02  3.501e-02    0  1.000 44.260  1.85 2.701e+04  99.0000 
OBS: 59683.9916 Y WFD  1.7941e-01  6.417e-02    0  1.000 42.580  1.37 1.422e+04  99.0000 
OBS: 59686.0465 Y WFD -7.3485e-02  8.745e-02    0  1.000 42.520  1.60 1.570e+04  99.0000 
OBS: 59686.9973 z WFD  1.2847e-02  2.623e-02    0  1.000 44.270  1.54 2.453e+04  99.0000 
OBS: 59701.9719 z WFD -5.4971e-02  4.360e-02    0  1.000 43.490  2.09 1.465e+04  99.0000 
OBS: 59709.9659 Y WFD  1.0972e-01  9.390e-02    0  1.000 42.520  1.80 1.499e+04  99.0000 
OBS: 59717.9557 Y WFD -3.5147e-01  2.027e-01    0  1.000 42.530  2.96 1.986e+04  99.0000 
OBS: 59827.3867 g WFD  5.1790e-04  7.357e-03    0  1.000 44.000  1.73 4.775e+03  99.0000 
OBS: 59839.3474 r WFD  2.5711e-03  1.301e-02    0  1.000 44.840  1.82 1.740e+04  99.0000 
OBS: 59843.3488 g WFD -4.6490e-04  5.115e-03    0  1.000 44.760  1.73 6.685e+03  99.0000 
OBS: 59854.3088 r WFD  3.9247e-03  5.705e-03    0  1.000 45.550  1.74 1.535e+04  99.0000 
OBS: 59857.3052 i WFD  2.0481e-02  1.061e-02    0  1.000 45.340  1.57 2.607e+04  99.0000 
OBS: 59860.2663 Y WFD -3.9023e-02  1.027e-01    0  1.000 42.500  1.87 1.549e+04  99.0000 
OBS: 59861.2874 Y WFD  6.7393e-02  7.543e-02    0  1.000 42.540  1.43 1.544e+04  99.0000 
OBS: 59864.2809 z WFD -3.8236e-02  3.442e-02    0  1.000 44.250  1.81 2.688e+04  99.0000 
OBS: 59868.3533 r WFD  2.1766e-02  1.516e-02    0  1.000 44.180  1.53 1.314e+04  99.0000 
OBS: 59869.2701 r WFD -1.6560e-02  1.085e-02    0  1.000 44.840  1.80 1.467e+04  99.0000 
OBS: 59871.2604 g WFD  2.4284e-03  5.398e-03    0  1.000 44.720  1.83 6.429e+03  99.0000 
OBS: 59874.2388 u WFD  3.0710e-02  3.215e-02    0  1.000 41.000  2.45 9.265e+02  99.0000 
OBS: 59877.2442 r WFD -1.0486e-02  1.191e-02    0  1.000 44.790  2.59 1.069e+04  99.0000 
OBS: 59898.2056 i WFD  2.7468e+00  1.233e-02 4096  1.000 45.320  2.08 2.244e+04  26.4077 
OBS: 59904.1831 u WFD  4.5683e-01  2.546e-02 6144  1.000 41.090  2.07 9.424e+02  28.3420 
OBS: 59907.1663 r WFD  1.5452e+00  9.781e-03 4096  1.000 44.800  2.17 1.057e+04  27.0244 
OBS: 59908.1629 i WFD  2.6056e+00  1.109e-02 4096  1.000 45.310  1.99 2.089e+04  26.4581 
OBS: 59912.1333 z WFD  3.6257e+00  3.489e-02 4096  1.000 43.470  1.62 1.484e+04  26.1038 
OBS: 59917.1703 z WFD  3.4960e+00  2.391e-02 4096  1.000 44.260  1.48 2.304e+04  26.1349 
OBS: 59918.1414 Y WFD  3.8745e+00  5.698e-02 4096  1.000 43.290  1.61 2.066e+04  25.9828 
OBS: 59919.1258 z WFD  3.4260e+00  3.815e-02 4096  1.000 44.250  1.91 2.824e+04  26.1525 
OBS: 59938.0471 z WFD  2.6276e+00  4.944e-02 4096  1.000 43.470  2.15 1.585e+04  26.4599 
OBS: 59941.1509 i WFD  9.8470e-01  1.080e-02 4096  1.000 44.590  1.50 1.392e+04  27.5211 
OBS: 59943.1630 r WFD  1.9091e-01  8.140e-03 4096  1.000 44.890  1.63 1.273e+04  29.2860 
OBS: 59946.1460 i WFD  7.4775e-01  1.990e-02 4096  1.000 44.630  1.94 2.058e+04  27.7856 
OBS: 59948.0476 z WFD  1.9308e+00  6.938e-02 4096  1.000 44.250  2.86 3.430e+04  26.7480 
OBS: 59953.0395 Y WFD  2.3411e+00  9.446e-02 4096  1.000 42.550  1.54 1.812e+04  26.5646 
OBS: 59954.0381 Y WFD  2.2942e+00  1.169e-01 4096  1.000 42.550  1.80 1.918e+04  26.5704 
OBS: 59965.0458 z WFD  1.3155e+00  3.840e-02 4096  1.000 43.500  1.92 1.417e+04  27.1780 
OBS: 59978.1192 Y WFD  1.8037e+00  5.425e-02 4096  1.000 42.600  1.19 1.410e+04  26.8800 
OBS: 59979.1425 Y WFD  1.7512e+00  5.695e-02 4096  1.000 42.600  1.19 1.480e+04  26.8986 
OBS: 59989.0326 z WFD  8.4212e-01  2.609e-02 4096  1.000 43.510  1.37 1.361e+04  27.7111 
OBS: 59992.1173 g WFD  2.0507e-02  4.963e-03    0  1.000 44.810  1.87 6.283e+03  32.6783 
OBS: 60008.1024 Y WFD  1.1642e+00  4.358e-02 4096  1.000 44.090  1.83 2.906e+04  27.3326 
OBS: 60011.1384 Y WFD  1.0929e+00  1.185e-01 4096  1.000 42.540  2.21 1.569e+04  27.3449 
OBS: 60012.0694 z WFD  6.2916e-01  4.821e-02 4096  1.000 44.270  2.80 2.479e+04  28.0490 
OBS: 60036.0396 Y WFD  1.1453e+00  6.418e-02 4096  1.000 42.560  1.36 1.407e+04  27.3809 
OBS: 60037.0226 Y WFD  1.1543e+00  6.944e-02 4096  1.000 42.580  1.50 1.406e+04  27.3874 
OBS: 60039.0162 Y WFD  1.1631e+00  1.213e-01 4096  1.000 42.580  2.53 1.456e+04  27.4005 
OBS: 60050.9826 z WFD  4.3036e-01  2.113e-02 4096  1.000 44.260  1.43 2.108e+04  28.4096 
OBS: 60051.0286 u WFD  9.8599e-03  2.667e-02    0  1.000 41.110  2.14 9.740e+02  33.6635 
OBS: 60058.9775 z WFD  3.8846e-01  3.536e-02 4096  1.000 44.250  2.28 2.192e+04  28.5278 
OBS: 60077.9601 Y WFD  4.8942e-01  1.219e-01    0  1.000 42.520  2.08 1.685e+04  28.1168 
OBS: 60196.3808 g WFD  3.6069e-03  7.225e-03    0  1.000 44.800  2.18 7.776e+03  33.1722 
OBS: 60198.3783 u WFD -3.6062e-04  3.183e-02    0  1.000 41.150  2.65 9.740e+02  34.4589 
OBS: 60200.3576 r WFD  1.1626e-02  5.279e-03 4096  1.000 45.550  1.61 1.535e+04  31.6836 
OBS: 60201.3448 i WFD  6.1407e-02  1.676e-02 4096  1.000 44.550  2.01 1.554e+04  30.2939 
OBS: 60206.3549 r WFD  1.3596e-02  7.252e-03    0  1.000 44.800  1.57 1.084e+04  31.6758 
OBS: 60217.3480 Y WFD  2.3641e-01  3.732e-02 4096  1.000 44.320  1.71 3.291e+04  28.9613 
OBS: 60233.2954 u WFD -2.9939e-03  2.306e-02    0  1.000 41.180  1.98 9.708e+02  34.5403 
OBS: 60240.2747 r WFD  1.8772e-02  4.862e-03 4096  1.000 46.340  1.86 2.533e+04  31.6908 
OBS: 60245.2272 Y WFD  2.9673e-01  4.972e-02    0  1.000 44.040  1.83 3.166e+04  29.1529 
OBS: 60247.2673 z WFD  1.4014e-01  4.789e-02    0  1.000 44.270  2.52 2.737e+04  29.4804 
OBS: 60249.3318 i WFD  8.9575e-03  3.572e-02    0  1.000 43.890  2.18 1.663e+04  30.3708 
OBS: 60261.1947 u WFD -1.0620e-02  1.980e-02    0  1.000 41.840  2.24 1.353e+03  34.6512 
OBS: 60261.2355 r WFD  1.5104e-02  1.163e-02    0  1.000 44.810  2.66 1.035e+04  31.7633 
OBS: 60262.2024 r WFD  3.6720e-02  7.439e-03    0  1.000 44.800  1.65 1.058e+04  31.7675 
OBS: 60263.1796 r WFD  7.2102e-03  1.266e-02    0  1.000 44.780  2.70 1.080e+04  31.7722 
OBS: 60268.1836 r WFD  3.1045e-03  9.984e-03    0  1.000 44.840  1.87 1.300e+04  31.8002 
OBS: 60269.2091 i WFD  6.9199e-02  1.061e-02    0  1.000 45.780  2.19 2.804e+04  30.4768 
OBS: 60272.1606 Y WFD  9.8398e-02  9.270e-02    0  1.000 42.540  1.87 1.451e+04  29.3296 
