SURVEY:   LSST
SNID:     1109394
IAUC:     NULL
SNTYPE:   132
RA:       290.242156  # deg
DEC:      -46.622201  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0664 +- 0.0033  # MW E(B-V) 
PEAKMJD:  59666.812     # estimate for LC fit codes
MJD_TRIGGER:       59696.418  
MJD_DETECT_FIRST:  59696.359  
MJD_DETECT_LAST:   59798.992  

REDSHIFT_HELIO:   1.226852 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.226093 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9627789499  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2269  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          290.242175    # deg 
HOSTGAL_DEC:         -46.622241    # deg 
HOSTGAL_SNSEP:       0.077       # arcsec 
HOSTGAL_DDLR:        0.174       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.252 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.219
HOSTGAL_SQRADIUS:     12.275   # Ixx + Iyy
HOSTGAL_MAG:     24.89  24.76  24.27  23.65  22.87  22.54 # ugrizY
HOSTGAL_MAGERR:   0.12   0.02   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  752   # template index for SIMSED,NONIa
SIM_LIBID:           7395    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.22685  
SIM_REDSHIFT_CMB:    1.22610  
SIM_REDSHIFT_HOST:   1.18681  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9627789499 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.102 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.252 -9.000 
SIM_DLMU:            44.6486   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0032   # mag 
SIM_RA:              290.242157     # deg  
SIM_DEC:             -46.622200      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0647   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59666.812    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        13.27  # days 
SIM_TRESTMAX:        424.61  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.80  27.62  27.33  27.33  27.48  27.65  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 106 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59696.3589 i WFD  4.5234e-01  1.236e-02 4096  1.000 44.590  1.66 1.439e+04  28.3734 
OBS: 59696.4194 z WFD  9.2509e-01  4.383e-02 6144  1.000 43.520  2.14 1.478e+04  27.6630 
OBS: 59698.3531 i WFD  4.1352e-01  1.823e-02 4096  1.000 44.580  2.43 1.437e+04  28.4717 
OBS: 59699.2967 i WFD  3.8176e-01  1.386e-02 4096  1.000 44.570  1.76 1.495e+04  28.5329 
OBS: 59700.2596 u WFD  2.2125e-02  1.397e-02    0  1.000 41.920  1.60 1.439e+03  31.2802 
OBS: 59700.4211 z WFD  7.7977e-01  2.058e-02 4096  1.000 44.270  1.41 2.101e+04  27.7834 
OBS: 59702.4205 z WFD  7.4193e-01  2.699e-02 4096  1.000 44.260  1.89 2.037e+04  27.8277 
OBS: 59712.2082 Y WFD  7.0436e-01  5.407e-02 4096  1.000 44.460  2.58 3.595e+04  27.9284 
OBS: 59713.2780 Y WFD  6.1986e-01  7.100e-02 4096  1.000 43.330  2.11 2.039e+04  27.9621 
OBS: 59716.3469 Y WFD  6.0182e-01  9.664e-02 4096  1.000 43.340  2.49 2.373e+04  28.0648 
OBS: 59724.4312 z WFD  3.0139e-01  3.582e-02 4096  1.000 44.260  1.80 2.839e+04  28.7339 
OBS: 59749.3825 z WFD  2.3777e-01  2.323e-02 4096  1.000 45.000  1.93 3.396e+04  29.0632 
OBS: 59750.1113 r WFD  7.7672e-03  9.491e-03    0  1.000 44.790  1.93 1.143e+04  32.1167 
OBS: 59769.0851 z WFD  1.2894e-01  2.483e-02    0  1.000 44.250  1.51 2.325e+04  29.7118 
OBS: 59771.1475 z WFD  1.5997e-01  3.455e-02    0  1.000 44.270  1.75 2.844e+04  29.7015 
OBS: 59786.0919 g WFD  8.2796e-03  8.950e-03    0  1.000 44.820  3.08 6.944e+03  34.1588 
OBS: 59798.0072 Y WFD  2.2818e-01  5.554e-02    0  1.000 43.730  1.94 2.507e+04  29.1812 
OBS: 59798.9941 Y WFD  2.4658e-01  5.184e-02 4096  1.000 44.040  1.85 3.265e+04  29.1949 
OBS: 59803.9799 z WFD  1.5690e-01  3.241e-02    0  1.000 44.260  1.60 2.891e+04  29.9792 
OBS: 59805.0693 i WFD  1.2385e-02  1.212e-02    0  1.000 45.830  1.67 4.397e+04  31.9107 
OBS: 59813.0817 r WFD  2.0121e-02  1.042e-02    0  1.000 44.110  1.71 7.574e+03  32.7842 
OBS: 59818.0264 u WFD  1.0846e-02  1.760e-02    0  1.000 41.300  1.59 1.031e+03  34.9123 
OBS: 59821.0195 r WFD  1.1742e-02  4.821e-03    0  1.000 45.590  1.54 1.520e+04  32.8431 
OBS: 59830.1087 Y WFD  1.7948e-01  7.734e-02    0  1.000 43.330  2.09 2.242e+04  29.2988 
OBS: 59840.0617 g WFD  3.8936e-03  5.106e-03    0  1.000 44.820  1.77 6.894e+03  34.1124 
OBS: 59853.1336 r WFD  1.5040e-02  1.274e-02    0  1.000 44.780  2.38 1.233e+04  33.0165 
OBS: 59868.0862 r WFD  5.4785e-03  1.022e-02    0  1.000 44.790  2.03 1.170e+04  33.3083 
OBS: 59876.0499 u WFD -3.9676e-02  2.589e-02    0  1.000 41.820  2.76 1.410e+03  35.5774 
OBS: 59880.0047 z WFD  3.6005e-02  3.107e-02    0  1.000 43.510  1.27 1.749e+04  31.0063 
OBS: 60012.4069 z WFD  1.2438e-01  9.159e-02    0  1.000 43.510  2.05 3.195e+04  33.5491 
OBS: 60026.3783 g WFD -2.5600e-03  3.047e-03    0  1.000 45.550  1.35 1.057e+04  37.1570 
OBS: 60027.3535 u WFD -9.1201e-03  1.637e-02    0  1.000 41.880  1.80 1.445e+03  38.0833 
OBS: 60029.4134 z WFD -3.4218e-02  3.039e-02    0  1.000 44.280  1.36 3.248e+04  33.6891 
OBS: 60039.3224 Y WFD  2.1598e-03  5.397e-02    0  1.000 44.040  2.02 3.113e+04  32.7073 
