SURVEY:   LSST
SNID:     1110843
IAUC:     NULL
SNTYPE:   132
RA:       140.624179  # deg
DEC:      0.168700  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0218 +- 0.0011  # MW E(B-V) 
PEAKMJD:  60227.047     # estimate for LC fit codes
MJD_TRIGGER:       60268.348  
MJD_DETECT_FIRST:  60268.324  
MJD_DETECT_LAST:   60414.992  

REDSHIFT_HELIO:   1.300677 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.303181 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6127196133  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3007  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          140.624116    # deg 
HOSTGAL_DEC:         0.168557    # deg 
HOSTGAL_SNSEP:       0.274       # arcsec 
HOSTGAL_DDLR:        1.157       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.688 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.549
HOSTGAL_SQRADIUS:     9.918   # Ixx + Iyy
HOSTGAL_MAG:     25.90  26.01  25.57  24.92  24.40  24.21 # ugrizY
HOSTGAL_MAGERR:   0.36   0.07   0.05   0.04   0.04   0.10 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  711   # template index for SIMSED,NONIa
SIM_LIBID:           8844    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.30068  
SIM_REDSHIFT_CMB:    1.30318  
SIM_REDSHIFT_HOST:   1.27497  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6127196133 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.374 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.688 -9.000 
SIM_DLMU:            44.8093   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0098   # mag 
SIM_RA:              140.624176     # deg  
SIM_DEC:             0.168700      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0220   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60227.047    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -279.09  # days 
SIM_TRESTMAX:        194.38  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.37  26.25  25.84  26.04  26.67  26.59  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2530 u WFD -1.7550e-03  2.625e-02    0  1.000 41.200  2.19 1.018e+03  99.0000 
OBS: 59585.2412 u WFD -2.7897e-02  3.261e-02    0  1.000 41.100  2.56 9.866e+02  99.0000 
OBS: 59585.3593 z WFD  1.3509e-02  4.603e-02    0  1.000 43.490  1.84 1.756e+04  99.0000 
OBS: 59586.3531 z WFD  1.1326e-02  3.358e-02    0  1.000 44.240  2.10 2.240e+04  99.0000 
OBS: 59589.3679 Y WFD -7.1192e-02  9.954e-02    0  1.000 43.740  2.12 4.150e+04  99.0000 
OBS: 59594.1944 Y WFD -1.1437e-01  1.098e-01    0  1.000 42.540  2.06 1.559e+04  99.0000 
OBS: 59603.2698 i WFD -9.1367e-03  2.023e-02    0  1.000 45.360  2.79 2.850e+04  99.0000 
OBS: 59623.1450 z WFD -1.6179e-02  4.253e-02    0  1.000 44.260  2.16 2.810e+04  99.0000 
OBS: 59628.1504 z WFD  3.1620e-02  4.224e-02    0  1.000 44.270  1.64 3.709e+04  99.0000 
OBS: 59647.0218 Y WFD -1.7414e-02  1.316e-01    0  1.000 42.510  2.64 1.419e+04  99.0000 
OBS: 59657.0017 z WFD -1.9809e-02  5.166e-02    0  1.000 44.250  1.98 3.688e+04  99.0000 
OBS: 59660.0742 Y WFD -7.8244e-02  9.545e-02    0  1.000 43.280  1.95 2.832e+04  99.0000 
OBS: 59665.9969 Y WFD -8.9190e-03  1.154e-01    0  1.000 42.530  2.36 1.418e+04  99.0000 
OBS: 59668.9957 z WFD  7.4424e-02  5.678e-02    0  1.000 43.480  2.64 1.496e+04  99.0000 
OBS: 59684.0399 Y WFD -3.8913e-02  5.431e-02    0  1.000 43.320  1.39 2.345e+04  99.0000 
OBS: 59686.0727 Y WFD -5.6658e-02  5.287e-02    0  1.000 43.300  1.39 2.242e+04  99.0000 
OBS: 59704.9661 z WFD  3.5529e-02  2.586e-02    0  1.000 44.250  1.45 2.522e+04  99.0000 
OBS: 59711.9754 Y WFD  9.2334e-02  9.053e-02    0  1.000 42.560  1.81 1.491e+04  99.0000 
OBS: 59713.0572 Y WFD -1.3307e-01  1.103e-01    0  1.000 42.500  1.92 1.620e+04  99.0000 
OBS: 59718.0336 i WFD  8.9528e-04  2.694e-02    0  1.000 44.570  2.30 2.224e+04  99.0000 
OBS: 59720.9560 Y WFD  1.8529e-01  1.129e-01    0  1.000 42.570  1.97 1.725e+04  99.0000 
OBS: 59896.3509 z WFD -1.2165e-02  4.621e-02    0  1.000 44.250  2.15 3.039e+04  99.0000 
OBS: 59903.3278 r WFD  1.2802e-02  1.643e-02    0  1.000 44.040  2.21 8.665e+03  99.0000 
OBS: 59903.3494 z WFD -4.5777e-03  2.915e-02    0  1.000 45.000  1.91 4.305e+04  99.0000 
OBS: 59904.3270 r WFD  1.0141e-02  2.109e-02    0  1.000 44.030  2.91 8.367e+03  99.0000 
OBS: 59904.3499 z WFD  9.8566e-03  4.978e-02    0  1.000 44.250  2.47 2.850e+04  99.0000 
OBS: 59905.3251 u WFD -1.0987e-01  4.195e-02    0  1.000 41.010  3.08 9.708e+02  99.0000 
OBS: 59906.3479 z WFD -5.4330e-02  4.429e-02    0  1.000 44.250  2.50 2.505e+04  99.0000 
OBS: 59907.3310 r WFD -1.7220e-02  1.315e-02    0  1.000 44.060  1.87 8.345e+03  99.0000 
OBS: 59910.3209 g WFD -1.5605e-02  6.921e-03    0  1.000 44.750  2.11 7.349e+03  99.0000 
OBS: 59911.3185 r WFD -4.1227e-03  8.187e-03    0  1.000 45.240  2.01 1.433e+04  99.0000 
OBS: 59915.3037 g WFD -1.5511e-02  1.024e-02    0  1.000 44.730  3.07 7.340e+03  99.0000 
OBS: 59918.2828 Y WFD -6.9570e-02  1.073e-01    0  1.000 42.500  2.04 1.484e+04  99.0000 
OBS: 59920.3145 Y WFD -3.1536e-02  4.485e-02    0  1.000 44.050  1.73 3.049e+04  99.0000 
