SURVEY:   LSST
SNID:     1111096
IAUC:     NULL
SNTYPE:   132
RA:       142.568938  # deg
DEC:      -42.400018  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.5135 +- 0.0257  # MW E(B-V) 
PEAKMJD:  59800.750     # estimate for LC fit codes
MJD_TRIGGER:       59876.367  
MJD_DETECT_FIRST:  59875.363  
MJD_DETECT_LAST:   59924.219  

REDSHIFT_HELIO:   1.290902 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.293006 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9628998345  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2909  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          142.568949    # deg 
HOSTGAL_DEC:         -42.400039    # deg 
HOSTGAL_SNSEP:       0.042       # arcsec 
HOSTGAL_DDLR:        0.619       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.471 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.424
HOSTGAL_SQRADIUS:     9.902   # Ixx + Iyy
HOSTGAL_MAG:     30.79  29.16  27.69  26.39  25.43  24.61 # ugrizY
HOSTGAL_MAGERR:  26.62   0.36   0.11   0.07   0.06   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  711   # template index for SIMSED,NONIa
SIM_LIBID:           9097    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.29090  
SIM_REDSHIFT_CMB:    1.29301  
SIM_REDSHIFT_HOST:   1.32307  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9628998345 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.487 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.471 -9.000 
SIM_DLMU:            44.7886   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0307   # mag 
SIM_RA:              142.568939     # deg  
SIM_DEC:             -42.400017      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.5254   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59800.750    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -94.82  # days 
SIM_TRESTMAX:        381.26  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.76  28.12  27.21  27.13  27.51  27.27  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.3146 u WFD  1.7420e-02  2.076e-02    0  1.000 41.320  1.97 9.993e+02  99.0000 
OBS: 59589.1604 Y WFD -7.2024e-02  9.250e-02    0  1.000 42.530  1.96 1.369e+04  99.0000 
OBS: 59589.3072 i WFD  2.9408e-03  1.130e-02    0  1.000 44.590  1.59 1.375e+04  99.0000 
OBS: 59594.1540 Y WFD  7.0404e-02  8.486e-02    0  1.000 42.540  1.72 1.444e+04  99.0000 
OBS: 59602.3516 i WFD -2.0212e-02  2.688e-02    0  1.000 44.610  2.43 2.179e+04  99.0000 
OBS: 59607.3260 g WFD  3.4898e-03  4.752e-03    0  1.000 45.560  2.28 9.847e+03  99.0000 
OBS: 59608.3713 z WFD -4.0157e-02  5.545e-02    0  1.000 43.490  2.47 1.576e+04  99.0000 
OBS: 59626.1622 z WFD -2.3885e-02  2.561e-02    0  1.000 45.010  1.62 4.500e+04  99.0000 
OBS: 59627.0401 z WFD -4.7704e-02  4.415e-02    0  1.000 44.240  1.96 3.156e+04  99.0000 
OBS: 59631.0219 Y WFD -5.4522e-03  6.270e-02    0  1.000 43.270  1.59 2.261e+04  99.0000 
OBS: 59640.0192 z WFD -3.3276e-02  2.509e-02    0  1.000 45.000  2.01 3.522e+04  99.0000 
OBS: 59650.0664 r WFD -2.2234e-02  1.737e-02    0  1.000 44.900  2.55 1.753e+04  99.0000 
OBS: 59654.0161 Y WFD -9.3300e-02  9.423e-02    0  1.000 42.560  1.91 1.471e+04  99.0000 
OBS: 59659.1469 i WFD  7.1152e-03  1.938e-02    0  1.000 45.390  2.31 3.390e+04  99.0000 
OBS: 59678.9882 Y WFD  5.4079e-02  6.399e-02    0  1.000 42.570  1.47 1.310e+04  99.0000 
OBS: 59684.1076 Y WFD  6.8359e-03  4.669e-02    0  1.000 43.330  1.32 2.143e+04  99.0000 
OBS: 59686.1275 Y WFD  5.0896e-03  7.970e-02    0  1.000 42.560  1.51 1.574e+04  99.0000 
OBS: 59710.9600 Y WFD -3.7774e-02  9.216e-02    0  1.000 42.610  1.77 1.625e+04  99.0000 
OBS: 59712.1128 Y WFD -4.8147e-02  1.421e-01    0  1.000 42.500  2.58 1.553e+04  99.0000 
OBS: 59713.0746 Y WFD  4.1181e-02  7.842e-02    0  1.000 43.290  2.12 2.160e+04  99.0000 
OBS: 59875.3637 z WFD  4.8619e-01  2.983e-02 4096  1.000 44.240  1.71 2.443e+04  28.2212 
OBS: 59876.3666 z WFD  4.4219e-01  4.988e-02 6144  1.000 43.490  2.10 1.667e+04  28.2559 
OBS: 59877.3427 r WFD  2.8993e-03  1.161e-02    0  1.000 44.770  2.31 1.147e+04  32.2254 
OBS: 59898.3375 r WFD  8.3582e-03  2.118e-02    0  1.000 44.130  2.04 1.314e+04  32.8727 
OBS: 59902.2905 r WFD -2.3773e-03  8.973e-03    0  1.000 45.540  2.66 1.565e+04  32.9782 
OBS: 59905.3058 u WFD -5.2556e-03  3.253e-02    0  1.000 41.150  2.70 9.771e+02  36.2749 
OBS: 59916.3471 z WFD  1.4291e-01  2.644e-02 4096  1.000 44.270  1.41 2.701e+04  29.4862 
OBS: 59918.2326 Y WFD  3.4563e-01  5.404e-02 4096  1.000 44.020  2.07 2.986e+04  28.6537 
OBS: 59918.3440 z WFD  1.7231e-01  1.846e-02 4096  1.000 44.710  1.40 2.847e+04  29.4915 
OBS: 59924.2195 Y WFD  3.2445e-01  7.155e-02 4096  1.000 43.270  1.92 2.136e+04  28.7124 
OBS: 59926.3484 z WFD  1.3152e-01  4.252e-02    0  1.000 43.530  1.75 1.770e+04  29.5937 
OBS: 59928.2721 i WFD  3.7429e-02  2.049e-02    0  1.000 44.600  2.17 1.843e+04  31.3746 
OBS: 59929.2218 r WFD -2.6770e-03  5.741e-03    0  1.000 46.320  2.12 2.576e+04  33.3837 
OBS: 59932.2217 g WFD  2.0132e-04  4.330e-03    0  1.000 44.720  1.45 6.508e+03  35.1823 
