SURVEY:   LSST
SNID:     1111761
IAUC:     NULL
SNTYPE:   132
RA:       145.151991  # deg
DEC:      -14.064927  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0380 +- 0.0019  # MW E(B-V) 
PEAKMJD:  60435.707     # estimate for LC fit codes
MJD_TRIGGER:       60441.977  
MJD_DETECT_FIRST:  60436.004  
MJD_DETECT_LAST:   60659.262  

REDSHIFT_HELIO:   0.964472 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.966697 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8064301678  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9645  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          145.152029    # deg 
HOSTGAL_DEC:         -14.064872    # deg 
HOSTGAL_SNSEP:       0.113       # arcsec 
HOSTGAL_DDLR:        0.474       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.764 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     1.055
HOSTGAL_SQRADIUS:     12.168   # Ixx + Iyy
HOSTGAL_MAG:     27.02  26.80  26.41  25.55  25.33  25.31 # ugrizY
HOSTGAL_MAGERR:   0.50   0.14   0.09   0.06   0.08   0.20 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  708   # template index for SIMSED,NONIa
SIM_LIBID:           9762    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.96447  
SIM_REDSHIFT_CMB:    0.96670  
SIM_REDSHIFT_HOST:   0.90918  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8064301678 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.324 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.764 -9.000 
SIM_DLMU:            44.0069   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0178   # mag 
SIM_RA:              145.151993     # deg  
SIM_DEC:             -14.064927      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0421   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60435.707    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -433.44  # days 
SIM_TRESTMAX:        120.44  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.38  25.66  25.89  26.09  26.52  26.62  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 136 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2635 u WFD  4.5173e-04  2.000e-02    0  1.000 41.280  1.79 1.021e+03  99.0000 
OBS: 59587.1749 Y WFD -4.5928e-02  7.589e-02    0  1.000 42.510  1.55 1.394e+04  99.0000 
OBS: 59594.1854 Y WFD -6.1178e-02  8.419e-02    0  1.000 42.560  1.70 1.476e+04  99.0000 
OBS: 59597.1801 Y WFD -7.1350e-02  1.551e-01    0  1.000 42.570  2.62 1.781e+04  99.0000 
OBS: 59603.3016 i WFD -1.5747e-02  2.532e-02    0  1.000 44.610  2.54 1.963e+04  99.0000 
OBS: 59613.3701 z WFD -9.2469e-02  4.666e-02    0  1.000 43.460  2.03 1.570e+04  99.0000 
OBS: 59623.2861 z WFD  1.9268e-02  3.707e-02    0  1.000 44.260  2.26 2.340e+04  99.0000 
OBS: 59625.0704 Y WFD -1.5952e-02  7.210e-02    0  1.000 43.270  1.59 2.600e+04  99.0000 
OBS: 59653.1047 Y WFD -7.4615e-02  6.365e-02    0  1.000 43.340  1.81 2.150e+04  99.0000 
OBS: 59655.1031 Y WFD  2.8443e-02  6.447e-02    0  1.000 43.800  1.98 3.041e+04  99.0000 
OBS: 59658.0066 z WFD  9.3124e-03  4.377e-02    0  1.000 44.250  2.51 2.466e+04  99.0000 
OBS: 59682.0709 Y WFD -4.4325e-02  5.699e-02    0  1.000 42.610  1.18 1.508e+04  99.0000 
OBS: 59684.0409 Y WFD -6.5967e-02  4.045e-02    0  1.000 43.790  1.35 2.773e+04  99.0000 
OBS: 59686.0824 Y WFD  8.1705e-02  6.930e-02    0  1.000 42.580  1.36 1.547e+04  99.0000 
OBS: 59697.9695 z WFD -1.7583e-02  3.079e-02    0  1.000 44.260  2.10 2.092e+04  99.0000 
OBS: 59704.9699 z WFD -2.8796e-02  2.559e-02    0  1.000 43.510  1.31 1.397e+04  99.0000 
OBS: 59711.9757 Y WFD -6.3266e-02  5.520e-02    0  1.000 43.340  1.66 2.033e+04  99.0000 
OBS: 59713.0025 Y WFD -1.4757e-01  8.300e-02    0  1.000 42.580  1.73 1.457e+04  99.0000 
OBS: 59714.0873 Y WFD -8.1116e-02  1.261e-01    0  1.000 42.520  2.20 1.647e+04  99.0000 
OBS: 59724.9612 z WFD -3.5998e-03  2.125e-02    0  1.000 44.260  1.49 2.035e+04  99.0000 
OBS: 59883.3622 z WFD -2.5474e-02  4.230e-02    0  1.000 43.480  1.64 1.794e+04  99.0000 
OBS: 59887.3629 z WFD  5.4318e-02  5.101e-02    0  1.000 43.500  1.75 2.066e+04  99.0000 
OBS: 59896.3305 i WFD -2.1144e-02  3.440e-02    0  1.000 44.590  2.66 2.501e+04  99.0000 
OBS: 59897.3527 z WFD  2.0114e-02  4.590e-02    0  1.000 43.500  1.69 1.925e+04  99.0000 
OBS: 59899.3297 i WFD  3.0519e-02  2.017e-02    0  1.000 45.330  2.61 2.954e+04  99.0000 
OBS: 59899.3466 z WFD  4.6463e-02  5.309e-02    0  1.000 43.500  2.26 1.665e+04  99.0000 
OBS: 59901.3291 r WFD  7.2002e-04  1.821e-02    0  1.000 44.080  2.22 9.917e+03  99.0000 
OBS: 59902.3534 z WFD  7.1892e-02  5.843e-02    0  1.000 44.260  2.62 3.182e+04  99.0000 
OBS: 59905.3193 u WFD  6.8716e-04  2.575e-02    0  1.000 41.840  2.84 1.388e+03  99.0000 
OBS: 59907.3066 r WFD -9.9500e-04  5.709e-03    0  1.000 45.550  1.65 1.620e+04  99.0000 
OBS: 59907.3429 z WFD -1.7361e-03  1.783e-02    0  1.000 45.000  1.66 3.029e+04  99.0000 
OBS: 59918.2595 Y WFD -1.2853e-01  1.140e-01    0  1.000 42.500  2.14 1.503e+04  99.0000 
OBS: 59920.3109 Y WFD  1.7041e-01  8.126e-02    0  1.000 42.560  1.66 1.459e+04  99.0000 
OBS: 59922.3037 z WFD -3.8795e-02  2.985e-02    0  1.000 44.270  1.50 2.866e+04  99.0000 
