SURVEY:   LSST
SNID:     1112190
IAUC:     NULL
SNTYPE:   132
RA:       35.425676  # deg
DEC:      1.257600  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0317 +- 0.0016  # MW E(B-V) 
PEAKMJD:  60244.070     # estimate for LC fit codes
MJD_TRIGGER:       60261.137  
MJD_DETECT_FIRST:  60248.133  
MJD_DETECT_LAST:   60592.148  

REDSHIFT_HELIO:   0.689972 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.688569 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7938386447  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6900  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          35.425481    # deg 
HOSTGAL_DEC:         1.257773    # deg 
HOSTGAL_SNSEP:       0.417       # arcsec 
HOSTGAL_DDLR:        0.568       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.604 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.377
HOSTGAL_SQRADIUS:     26.146   # Ixx + Iyy
HOSTGAL_MAG:     26.08  25.58  24.87  24.22  24.00  23.82 # ugrizY
HOSTGAL_MAGERR:   1.27   0.06   0.03   0.02   0.03   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  708   # template index for SIMSED,NONIa
SIM_LIBID:           10191    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.68997  
SIM_REDSHIFT_CMB:    0.68857  
SIM_REDSHIFT_HOST:   0.70182  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7938386447 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.182 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.604 -9.000 
SIM_DLMU:            43.1050   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0080   # mag 
SIM_RA:              35.425674     # deg  
SIM_DEC:             1.257600      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0318   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60244.070    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -262.74  # days 
SIM_TRESTMAX:        248.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.99  24.97  25.29  25.76  25.89  25.98  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59800.4084 Y WFD -9.0141e-02  5.548e-02    0  1.000 43.300  1.74 1.879e+04  99.0000 
OBS: 59801.4040 Y WFD  9.3684e-02  8.088e-02    0  1.000 42.550  1.70 1.405e+04  99.0000 
OBS: 59803.4182 Y WFD -8.2793e-02  8.604e-02    0  1.000 42.560  1.64 1.564e+04  99.0000 
OBS: 59811.3301 i WFD  8.8545e-03  1.089e-02    0  1.000 45.330  1.70 2.448e+04  99.0000 
OBS: 59813.3561 i WFD  2.7004e-02  1.389e-02    0  1.000 44.570  1.71 1.542e+04  99.0000 
OBS: 59817.3541 g WFD  5.8512e-04  5.853e-03    0  1.000 44.810  1.88 7.371e+03  99.0000 
OBS: 59817.4161 z WFD -1.2381e-03  3.445e-02    0  1.000 43.500  1.56 1.565e+04  99.0000 
OBS: 59818.3648 u WFD  1.9602e-02  2.410e-02    0  1.000 41.220  2.01 1.037e+03  99.0000 
OBS: 59819.3052 u WFD  2.2708e-02  2.923e-02    0  1.000 41.120  2.30 1.002e+03  99.0000 
OBS: 59821.3834 r WFD -1.1634e-02  7.895e-03    0  1.000 45.580  2.33 1.631e+04  99.0000 
OBS: 59821.4206 z WFD -1.3314e-01  6.288e-02    0  1.000 43.510  1.92 2.342e+04  99.0000 
OBS: 59826.2398 z WFD -4.1214e-02  4.110e-02    0  1.000 44.230  2.55 2.237e+04  99.0000 
OBS: 59831.2346 Y WFD -9.8566e-02  1.187e-01    0  1.000 42.520  2.04 1.672e+04  99.0000 
OBS: 59832.4002 Y WFD  4.1485e-02  9.610e-02    0  1.000 43.290  1.98 2.834e+04  99.0000 
OBS: 59841.2770 g WFD  2.4910e-02  1.388e-02    0  1.000 44.050  3.19 5.117e+03  99.0000 
OBS: 59842.3949 z WFD -4.2536e-03  5.086e-02    0  1.000 43.480  2.15 1.646e+04  99.0000 
OBS: 59844.2938 r WFD -4.3165e-03  7.948e-03    0  1.000 44.820  1.67 1.137e+04  99.0000 
OBS: 59845.3908 z WFD -5.3958e-02  3.964e-02    0  1.000 43.470  1.70 1.607e+04  99.0000 
OBS: 59851.2393 u WFD -5.1506e-02  2.609e-02    0  1.000 41.210  2.17 1.031e+03  99.0000 
OBS: 59854.1972 Y WFD  2.6976e-02  6.331e-02    0  1.000 43.280  1.88 1.949e+04  99.0000 
OBS: 59858.3081 z WFD  2.8770e-02  3.393e-02    0  1.000 44.250  1.98 2.423e+04  99.0000 
OBS: 59859.2704 Y WFD -1.2831e-02  8.996e-02    0  1.000 42.560  1.79 1.498e+04  99.0000 
OBS: 59860.1743 Y WFD  4.2356e-02  5.884e-02    0  1.000 43.730  1.69 3.049e+04  99.0000 
OBS: 59869.2411 r WFD -1.3754e-02  1.110e-02    0  1.000 44.850  2.03 1.343e+04  99.0000 
OBS: 59871.2039 r WFD -1.3947e-03  8.262e-03    0  1.000 44.830  1.72 1.159e+04  99.0000 
OBS: 59873.2415 g WFD -1.5875e-02  5.178e-03    0  1.000 44.810  1.64 7.476e+03  99.0000 
OBS: 59875.1107 u WFD  1.2818e-02  2.563e-02    0  1.000 41.080  1.95 9.993e+02  99.0000 
OBS: 59876.1273 u WFD -1.2554e-02  2.053e-02    0  1.000 41.850  2.24 1.417e+03  99.0000 
OBS: 59878.1323 i WFD -2.3080e-02  1.189e-02    0  1.000 44.570  1.45 1.556e+04  99.0000 
OBS: 59879.1765 g WFD  9.1852e-04  3.218e-03    0  1.000 45.570  1.45 1.058e+04  99.0000 
OBS: 59882.0930 z WFD -1.6222e-02  1.554e-02    0  1.000 44.980  1.39 3.096e+04  99.0000 
OBS: 59885.1015 z WFD  1.4473e-02  2.426e-02    0  1.000 44.240  1.49 2.281e+04  99.0000 
OBS: 59895.1202 i WFD  1.9750e-02  1.701e-02    0  1.000 45.360  2.28 2.931e+04  99.0000 
OBS: 59907.0258 z WFD -2.6572e-02  2.797e-02    0  1.000 44.990  1.88 4.159e+04  99.0000 
