SURVEY:   LSST
SNID:     1113769
IAUC:     NULL
SNTYPE:   132
RA:       228.184097  # deg
DEC:      -10.685993  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0916 +- 0.0046  # MW E(B-V) 
PEAKMJD:  59854.547     # estimate for LC fit codes
MJD_TRIGGER:       59979.375  
MJD_DETECT_FIRST:  59975.379  
MJD_DETECT_LAST:   60065.188  

REDSHIFT_HELIO:   0.583604 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.584594 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9625530785  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5836  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          228.184071    # deg 
HOSTGAL_DEC:         -10.686143    # deg 
HOSTGAL_SNSEP:       0.273       # arcsec 
HOSTGAL_DDLR:        0.467       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.956 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.583
HOSTGAL_SQRADIUS:     18.271   # Ixx + Iyy
HOSTGAL_MAG:     24.39  23.72  22.68  21.94  21.62  21.39 # ugrizY
HOSTGAL_MAGERR:   0.07   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  757   # template index for SIMSED,NONIa
SIM_LIBID:           11770    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.58360  
SIM_REDSHIFT_CMB:    0.58459  
SIM_REDSHIFT_HOST:   0.61851  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9625530785 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.219 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.956 -9.000 
SIM_DLMU:            42.6691   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0076   # mag 
SIM_RA:              228.184097     # deg  
SIM_DEC:             -10.685993      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0876   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59854.547    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -127.75  # days 
SIM_TRESTMAX:        442.32  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.30  26.69  26.26  25.98  26.32  26.41  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2404 Y WFD  1.1717e-01  6.790e-02    0  1.000 43.270  1.89 2.060e+04  99.0000 
OBS: 59653.2285 Y WFD  2.7890e-03  8.591e-02    0  1.000 43.260  2.30 2.122e+04  99.0000 
OBS: 59655.3319 Y WFD  1.3084e-02  3.771e-02    0  1.000 44.960  2.19 4.682e+04  99.0000 
OBS: 59662.3976 i WFD  6.8939e-02  3.227e-02    0  1.000 43.850  2.09 1.510e+04  99.0000 
OBS: 59667.4089 z WFD  1.0794e-01  5.899e-02    0  1.000 43.490  2.54 1.630e+04  99.0000 
OBS: 59675.2315 r WFD  5.4692e-03  6.849e-03    0  1.000 45.590  2.07 1.607e+04  99.0000 
OBS: 59681.1715 z WFD  1.2165e-02  1.762e-02    0  1.000 44.990  1.47 3.349e+04  99.0000 
OBS: 59694.1191 g WFD -2.4029e-03  7.895e-03    0  1.000 44.760  2.38 7.501e+03  99.0000 
OBS: 59709.1393 i WFD  1.6170e-02  1.463e-02    0  1.000 45.340  2.20 2.566e+04  99.0000 
OBS: 59710.1781 i WFD -1.7860e-02  1.877e-02    0  1.000 44.620  1.83 2.039e+04  99.0000 
OBS: 59711.1120 Y WFD  7.2161e-03  5.492e-02    0  1.000 43.750  1.93 2.538e+04  99.0000 
OBS: 59717.2900 z WFD  7.3317e-02  1.103e-01    0  1.000 43.510  3.08 2.562e+04  99.0000 
OBS: 59746.1384 z WFD -2.8168e-02  2.920e-02    0  1.000 44.270  1.53 2.748e+04  99.0000 
OBS: 59748.9588 z WFD  7.9291e-03  5.188e-02    0  1.000 43.470  2.14 1.671e+04  99.0000 
OBS: 59750.9537 z WFD  1.4455e-01  7.618e-02    0  1.000 43.480  2.55 2.078e+04  99.0000 
OBS: 59753.9568 z WFD  2.7701e-02  4.484e-02    0  1.000 43.480  1.76 1.772e+04  99.0000 
OBS: 59757.9563 z WFD  2.6121e-02  7.601e-02    0  1.000 43.500  2.91 1.851e+04  99.0000 
OBS: 59772.0357 Y WFD -2.8393e-02  4.471e-02    0  1.000 44.330  1.76 3.866e+04  99.0000 
OBS: 59773.0795 Y WFD  2.0295e-02  6.251e-02    0  1.000 43.340  1.65 2.317e+04  99.0000 
OBS: 59774.9673 z WFD  2.6873e-02  3.172e-02    0  1.000 44.270  1.79 2.552e+04  99.0000 
OBS: 59775.9671 z WFD -2.8840e-02  3.477e-02    0  1.000 44.260  2.16 2.297e+04  99.0000 
OBS: 59776.9719 z WFD  3.6063e-03  5.882e-02    0  1.000 43.500  2.98 1.399e+04  99.0000 
OBS: 59791.0375 u WFD -1.3687e-02  2.949e-02    0  1.000 41.290  2.51 1.085e+03  99.0000 
OBS: 59801.0506 z WFD -9.4278e-03  2.286e-02    0  1.000 45.000  1.59 4.055e+04  99.0000 
OBS: 59809.0318 r WFD  1.3804e-02  8.927e-03    0  1.000 44.800  1.69 1.239e+04  99.0000 
OBS: 59810.0136 r WFD -6.9501e-03  6.064e-03    0  1.000 45.580  1.65 1.769e+04  99.0000 
OBS: 59812.0115 g WFD -5.8724e-03  6.376e-03    0  1.000 44.800  1.80 8.310e+03  99.0000 
OBS: 59812.9888 Y WFD -5.1274e-03  8.364e-02    0  1.000 42.550  1.83 1.350e+04  99.0000 
OBS: 59819.0051 u WFD -1.6252e-02  3.255e-02    0  1.000 41.170  2.48 1.085e+03  99.0000 
OBS: 59820.0141 i WFD  1.2539e-02  2.636e-02    0  1.000 43.800  2.08 1.184e+04  99.0000 
OBS: 59975.3799 z WFD  2.4328e+00  4.231e-02 4096  1.000 43.510  1.46 2.072e+04  26.5236 
OBS: 59979.3747 Y WFD  3.8609e+00  5.166e-02 6144  1.000 43.750  1.41 3.268e+04  26.0611 
OBS: 59995.2997 r WFD  2.0437e-01  8.604e-03 4096  1.000 44.800  1.66 1.216e+04  29.1947 
OBS: 59997.2925 u WFD  6.1767e-04  2.785e-02    0  1.000 41.070  2.08 1.009e+03  33.0350 
OBS: 59999.3327 g WFD  2.9078e-02  6.525e-03    0  1.000 44.840  2.06 7.710e+03  31.3510 
OBS: 60002.3265 r WFD  2.0630e-01  8.963e-03 4096  1.000 44.840  1.86 1.173e+04  29.1370 
OBS: 60008.2541 Y WFD  2.2171e+00  1.438e-01 4096  1.000 42.520  2.68 1.542e+04  26.5615 
OBS: 60009.2553 Y WFD  2.1760e+00  8.075e-02 4096  1.000 43.270  2.05 2.258e+04  26.6038 
OBS: 60011.3135 Y WFD  2.2063e+00  1.223e-01 4096  1.000 42.580  2.28 1.629e+04  26.6962 
OBS: 60018.3571 r WFD  1.0121e-01  1.094e-02 4096  1.000 44.900  1.68 1.675e+04  29.8286 
OBS: 60018.4104 z WFD  7.3458e-01  7.764e-02 4096  1.000 43.530  2.02 2.800e+04  27.5991 
OBS: 60019.3820 i WFD  3.8633e-01  2.417e-02 4096  1.000 43.840  2.10 1.115e+04  28.5413 
OBS: 60020.3499 r WFD  9.8184e-02  7.839e-03 4096  1.000 44.850  1.62 1.189e+04  30.0229 
OBS: 60021.3195 g WFD  2.0349e-02  4.973e-03    0  1.000 44.850  1.63 7.495e+03  32.2515 
OBS: 60023.3340 r WFD  7.1306e-02  5.551e-03 4096  1.000 44.850  1.21 1.127e+04  30.3099 
OBS: 60025.3399 i WFD  2.2111e-01  9.272e-03 4096  1.000 44.580  1.21 1.468e+04  29.0890 
OBS: 60027.2204 u WFD -1.7970e-02  1.342e-02    0  1.000 41.910  1.51 1.451e+03  34.3360 
OBS: 60028.3359 r WFD  4.9418e-02  5.531e-03 4096  1.000 44.840  1.20 1.122e+04  30.5955 
OBS: 60029.2416 i WFD  1.9114e-01  1.216e-02 4096  1.000 44.570  1.52 1.519e+04  29.3026 
OBS: 60032.2467 i WFD  1.6376e-01  9.890e-03 4096  1.000 44.580  1.26 1.504e+04  29.4517 
OBS: 60037.1838 Y WFD  4.6273e-01  1.184e-01    0  1.000 42.520  2.21 1.539e+04  28.5303 
OBS: 60038.2231 Y WFD  3.3149e-01  4.653e-02 4096  1.000 44.070  1.79 3.114e+04  28.6240 
OBS: 60040.3078 Y WFD  3.4202e-01  9.590e-02    0  1.000 42.590  1.56 1.884e+04  28.8360 
OBS: 60046.3992 i WFD  4.2895e-02  3.214e-02    0  1.000 43.820  2.06 1.484e+04  30.7949 
OBS: 60051.1434 u WFD -7.9342e-03  2.636e-02    0  1.000 41.070  2.00 9.930e+02  35.7083 
OBS: 60052.1850 i WFD  5.0793e-02  1.136e-02    0  1.000 44.580  1.43 1.521e+04  30.8263 
OBS: 60058.2759 r WFD  1.5043e-02  7.928e-03    0  1.000 44.850  1.71 1.139e+04  32.1653 
OBS: 60060.2614 r WFD  7.3162e-04  7.606e-03    0  1.000 44.850  1.64 1.139e+04  32.1827 
OBS: 60063.2665 r WFD  7.3387e-03  8.461e-03    0  1.000 44.850  1.80 1.155e+04  32.2111 
OBS: 60065.1860 z WFD  1.2465e-01  1.943e-02 4096  1.000 45.020  1.67 3.342e+04  29.8862 
OBS: 60067.2787 z WFD  1.0800e-01  3.930e-02    0  1.000 44.280  1.79 3.191e+04  29.8943 
OBS: 60072.3032 z WFD  1.3056e-01  2.954e-02    0  1.000 45.010  1.71 4.919e+04  29.9132 
OBS: 60077.0930 g WFD  6.8705e-03  6.297e-03    0  1.000 44.800  1.94 7.615e+03  34.1617 
