SURVEY:   LSST
SNID:     1114202
IAUC:     NULL
SNTYPE:   132
RA:       146.851821  # deg
DEC:      -37.733009  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1490 +- 0.0074  # MW E(B-V) 
PEAKMJD:  59928.945     # estimate for LC fit codes
MJD_TRIGGER:       59928.340  
MJD_DETECT_FIRST:  59928.309  
MJD_DETECT_LAST:   60447.098  

REDSHIFT_HELIO:   0.321250 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.322566 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      2  
HOSTGAL_NMATCH2:     2  
HOSTGAL_OBJID:       10437580837  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3213  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          146.851312    # deg 
HOSTGAL_DEC:         -37.733098    # deg 
HOSTGAL_SNSEP:       0.698       # arcsec 
HOSTGAL_DDLR:        0.961       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.058 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.186
HOSTGAL_SQRADIUS:     15.876   # Ixx + Iyy
HOSTGAL_MAG:     24.28  22.53  21.06  20.42  20.04  19.79 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY

HOSTGAL2_OBJID:       10437580835  
HOSTGAL2_FLAG:        0  
HOSTGAL2_PHOTOZ:      0.3213  +- 0.0100 
HOSTGAL2_SPECZ:       0.3551  +- 0.0005 
HOSTGAL2_RA:          146.851080    # deg 
HOSTGAL2_DEC:         -37.733478    # deg 
HOSTGAL2_SNSEP:       2.600       # arcsec 
HOSTGAL2_DDLR:        3.193       # SNSEP/DLR  
HOSTGAL2_LOGMASS:     10.638 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL2_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL2_ELLIPTICITY:     0.106
HOSTGAL2_SQRADIUS:     16.980   # Ixx + Iyy
HOSTGAL2_MAG:     24.02  21.86  20.27  19.55  19.11  18.84 # ugrizY
HOSTGAL2_MAGERR:   0.04   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  757   # template index for SIMSED,NONIa
SIM_LIBID:           12203    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.32125  
SIM_REDSHIFT_CMB:    0.32256  
SIM_REDSHIFT_HOST:   0.32252  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10437580837 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.357 -1.506 
SIM_HOSTLIB(LOGMASS_TRUE):                10.058 10.638 
SIM_DLMU:            41.1355   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0033   # mag 
SIM_RA:              146.851822     # deg  
SIM_DEC:             -37.733009      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1559   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59928.945    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -261.62  # days 
SIM_TRESTMAX:        564.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.87  25.37  24.88  25.22  25.14  25.15  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2799 u WFD  1.3133e-02  1.828e-02    0  1.000 41.340  1.74 1.015e+03  99.0000 
OBS: 59589.1618 Y WFD  8.4906e-02  1.033e-01    0  1.000 42.510  2.11 1.394e+04  99.0000 
OBS: 59589.3072 i WFD -1.5314e-02  1.129e-02    0  1.000 44.590  1.59 1.373e+04  99.0000 
OBS: 59594.1473 Y WFD  1.2934e-01  8.896e-02    0  1.000 42.540  1.76 1.479e+04  99.0000 
OBS: 59598.3642 z WFD -1.9028e-01  7.255e-02    0  1.000 44.270  3.18 3.286e+04  99.0000 
OBS: 59607.3455 g WFD  5.2769e-03  6.659e-03    0  1.000 44.810  2.22 7.102e+03  99.0000 
OBS: 59628.3287 z WFD -2.2717e-02  3.596e-02    0  1.000 44.250  1.59 3.197e+04  99.0000 
OBS: 59631.0246 Y WFD -5.1468e-02  8.610e-02    0  1.000 42.500  1.62 1.499e+04  99.0000 
OBS: 59631.3298 i WFD  2.1621e-02  2.343e-02    0  1.000 44.590  1.89 2.397e+04  99.0000 
OBS: 59634.0209 Y WFD -2.6646e-02  1.083e-01    0  1.000 42.520  2.03 1.533e+04  99.0000 
OBS: 59640.0094 z WFD  4.3901e-03  5.258e-02    0  1.000 44.240  2.28 3.230e+04  99.0000 
OBS: 59652.0715 Y WFD  1.0767e-01  9.190e-02    0  1.000 42.570  2.04 1.355e+04  99.0000 
OBS: 59654.0364 Y WFD  7.5192e-02  6.316e-02    0  1.000 43.770  2.17 2.645e+04  99.0000 
OBS: 59659.1527 i WFD -7.2433e-03  3.029e-02    0  1.000 44.640  2.51 2.444e+04  99.0000 
OBS: 59663.9925 z WFD  7.3528e-02  5.181e-02    0  1.000 43.500  2.21 1.661e+04  99.0000 
OBS: 59682.0131 Y WFD -7.5240e-02  5.667e-02    0  1.000 42.600  1.26 1.391e+04  99.0000 
OBS: 59684.1006 Y WFD  8.3733e-02  5.918e-02    0  1.000 42.610  1.20 1.539e+04  99.0000 
OBS: 59685.1544 Y WFD -5.6247e-03  5.133e-02    0  1.000 43.310  1.31 2.331e+04  99.0000 
OBS: 59686.1576 Y WFD  1.1845e-01  8.406e-02    0  1.000 42.560  1.54 1.627e+04  99.0000 
OBS: 59695.9777 z WFD -3.2905e-02  3.311e-02    0  1.000 43.510  1.78 1.330e+04  99.0000 
OBS: 59710.9619 Y WFD -7.3167e-02  8.619e-02    0  1.000 42.600  1.76 1.515e+04  99.0000 
OBS: 59712.1119 Y WFD -2.4301e-01  1.361e-01    0  1.000 42.520  2.51 1.558e+04  99.0000 
OBS: 59713.1153 Y WFD -1.3164e-02  1.109e-01    0  1.000 42.520  1.99 1.601e+04  99.0000 
OBS: 59768.9747 z WFD  4.2807e-02  4.745e-02    0  1.000 43.470  1.87 1.749e+04  99.0000 
OBS: 59874.3636 z WFD  1.1240e-02  4.819e-02    0  1.000 43.480  2.10 1.596e+04  99.0000 
OBS: 59876.3675 z WFD -5.6505e-02  5.265e-02    0  1.000 43.480  2.08 1.761e+04  99.0000 
OBS: 59901.3491 z WFD -1.4315e-02  3.951e-02    0  1.000 44.260  2.11 2.672e+04  99.0000 
OBS: 59902.3130 r WFD  9.2992e-03  5.989e-03    0  1.000 46.540  2.71 2.575e+04  99.0000 
OBS: 59903.3507 z WFD  3.2442e-02  2.834e-02    0  1.000 44.260  1.78 2.272e+04  99.0000 
OBS: 59905.3004 u WFD -8.8703e-02  3.865e-02    0  1.000 41.060  3.02 9.550e+02  99.0000 
OBS: 59905.3524 z WFD -1.5653e-02  4.712e-02    0  1.000 43.520  1.96 1.735e+04  99.0000 
OBS: 59906.3106 r WFD  7.8606e-03  1.294e-02    0  1.000 44.800  2.79 1.088e+04  99.0000 
OBS: 59924.2233 Y WFD  1.1556e-02  1.093e-01    0  1.000 42.500  2.01 1.533e+04  99.0000 
OBS: 59928.3070 i WFD  7.7679e+00  1.590e-02 4096  1.000 44.620  1.69 1.866e+04  25.2773 
OBS: 59928.3415 Y WFD  8.0067e+00  7.647e-02 6144  1.000 42.600  1.76 1.343e+04  25.2276 
OBS: 59929.3025 r WFD  1.0477e+01  1.021e-02 4096  1.000 44.890  1.64 1.578e+04  24.9487 
OBS: 59931.2389 g WFD  6.7954e+00  5.607e-03 4096  1.000 44.740  1.86 6.600e+03  25.4190 
OBS: 59934.2689 g WFD  6.0480e+00  4.350e-03 4096  1.000 44.790  1.53 6.480e+03  25.5446 
OBS: 59935.2235 i WFD  1.0122e+01  8.010e-03 4096  1.000 45.310  1.41 2.119e+04  24.9862 
OBS: 59946.2833 i WFD  1.0220e+01  1.172e-02 4096  1.000 44.580  1.61 1.387e+04  24.9783 
OBS: 59948.1849 z WFD  1.5944e+01  4.613e-02 4096  1.000 44.240  2.57 2.512e+04  24.4965 
