SURVEY:   LSST
SNID:     1115799
IAUC:     NULL
SNTYPE:   132
RA:       336.761407  # deg
DEC:      -53.072647  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0171 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59593.406     # estimate for LC fit codes
MJD_TRIGGER:       59754.219  
MJD_DETECT_FIRST:  59749.266  
MJD_DETECT_LAST:   60130.242  

REDSHIFT_HELIO:   0.430750 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.429889 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6000305107  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4308  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          336.761192    # deg 
HOSTGAL_DEC:         -53.072410    # deg 
HOSTGAL_SNSEP:       0.535       # arcsec 
HOSTGAL_DDLR:        1.643       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.206 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.306
HOSTGAL_SQRADIUS:     14.659   # Ixx + Iyy
HOSTGAL_MAG:     25.79  24.49  23.14  22.56  22.25  22.06 # ugrizY
HOSTGAL_MAGERR:   0.33   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  766   # template index for SIMSED,NONIa
SIM_LIBID:           13800    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.43075  
SIM_REDSHIFT_CMB:    0.42989  
SIM_REDSHIFT_HOST:   0.43523  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6000305107 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.247 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.206 -9.000 
SIM_DLMU:            41.8710   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0025   # mag 
SIM_RA:              336.761414     # deg  
SIM_DEC:             -53.072647      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0174   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59593.406    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        108.94  # days 
SIM_TRESTMAX:        738.29  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.62  23.62  23.77  23.94  24.03  23.96  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 105 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59749.2674 z WFD  3.5300e+00  2.536e-02 4096  1.000 45.010  1.99 3.628e+04  26.1283 
OBS: 59754.2176 i WFD  2.1038e+00  1.560e-02 6144  1.000 44.540  1.86 1.548e+04  26.6948 
OBS: 59767.1966 Y WFD  3.8460e+00  1.173e-01 4096  1.000 42.510  2.38 1.403e+04  25.9822 
OBS: 59773.2363 Y WFD  3.8563e+00  5.032e-02 4096  1.000 43.750  1.52 2.952e+04  26.0333 
OBS: 59775.3501 z WFD  2.9711e+00  2.750e-02 4096  1.000 45.790  2.38 6.746e+04  26.3280 
OBS: 59777.3940 Y WFD  3.7814e+00  8.093e-02 4096  1.000 43.310  2.28 2.111e+04  26.0744 
OBS: 59783.1970 r WFD  6.4338e-01  1.278e-02 4096  1.000 44.800  2.77 1.082e+04  27.9704 
OBS: 59791.1296 u WFD  2.3702e-02  2.937e-02    0  1.000 41.030  2.24 9.518e+02  32.8474 
OBS: 59800.1213 Y WFD  2.9302e+00  4.832e-02 4096  1.000 43.730  1.59 2.661e+04  26.3183 
OBS: 59801.1699 z WFD  2.3972e+00  4.056e-02 4096  1.000 44.270  1.90 3.073e+04  26.5549 
OBS: 59802.1952 Y WFD  2.9408e+00  9.441e-02 4096  1.000 42.590  1.66 1.743e+04  26.3447 
OBS: 59803.1196 Y WFD  2.9509e+00  7.736e-02 4096  1.000 43.740  2.01 3.402e+04  26.3564 
OBS: 59804.1011 z WFD  2.3763e+00  4.381e-02 4096  1.000 44.260  1.65 3.788e+04  26.5683 
OBS: 59809.1073 r WFD  5.1290e-01  6.646e-03 4096  1.000 44.800  1.42 1.097e+04  28.2165 
OBS: 59812.0910 g WFD  5.4663e-02  5.764e-03 4096  1.000 44.750  1.91 6.761e+03  30.6701 
OBS: 59813.1975 i WFD  1.0953e+00  1.463e-02 4096  1.000 44.580  1.97 1.423e+04  27.4037 
OBS: 59821.0785 r WFD  2.7039e-01  9.126e-03 4096  1.000 44.800  1.96 1.092e+04  28.9538 
OBS: 59824.0491 i WFD  9.4377e-01  1.168e-02 4096  1.000 45.310  1.96 2.237e+04  27.5625 
OBS: 59831.0306 Y WFD  1.9878e+00  5.281e-02 4096  1.000 44.290  1.86 4.164e+04  26.7174 
OBS: 59843.0228 i WFD  7.5553e-01  1.216e-02 4096  1.000 44.570  1.55 1.488e+04  27.7937 
OBS: 59851.1199 u WFD  8.1535e-05  2.204e-02    0  1.000 41.250  1.98 9.898e+02  34.0041 
OBS: 59853.0688 r WFD  1.4766e-01  8.470e-03 4096  1.000 44.840  1.82 1.133e+04  29.7359 
OBS: 59858.0426 z WFD  1.4563e+00  1.824e-02 4096  1.000 45.030  1.36 3.889e+04  27.0739 
OBS: 59874.1115 u WFD  7.6975e-04  1.706e-02    0  1.000 41.310  1.56 1.028e+03  34.7001 
OBS: 59878.0787 g WFD -8.5202e-04  4.444e-03    0  1.000 44.810  1.58 6.660e+03  33.0418 
OBS: 59883.0431 i WFD  4.7708e-01  6.750e-03 4096  1.000 45.350  1.19 2.208e+04  28.3098 
OBS: 59901.1263 r WFD  2.5274e-02  1.166e-02    0  1.000 44.780  2.38 1.128e+04  31.1656 
OBS: 60053.4056 i WFD  2.6220e-02  2.119e-02    0  1.000 43.800  1.75 1.131e+04  30.6186 
OBS: 60059.3877 i WFD  7.4564e-02  1.994e-02    0  1.000 44.540  2.33 1.580e+04  30.6997 
OBS: 60068.3662 Y WFD  3.2249e-01  6.136e-02    0  1.000 43.710  2.00 2.638e+04  29.0755 
OBS: 60069.4177 z WFD  2.2741e-01  3.906e-02 4096  1.000 44.260  2.05 2.719e+04  29.0487 
OBS: 60071.3573 Y WFD  3.6068e-01  8.455e-02    0  1.000 42.520  1.52 1.598e+04  29.1050 
OBS: 60077.4330 Y WFD  2.3300e-01  8.099e-02    0  1.000 43.350  1.54 3.246e+04  29.1648 
OBS: 60078.3644 r WFD  5.9177e-03  8.331e-03    0  1.000 44.820  1.55 1.285e+04  36.9236 
