SURVEY:   LSST
SNID:     1115934
IAUC:     NULL
SNTYPE:   132
RA:       302.533178  # deg
DEC:      -5.295415  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1022 +- 0.0051  # MW E(B-V) 
PEAKMJD:  60224.703     # estimate for LC fit codes
MJD_TRIGGER:       60221.996  
MJD_DETECT_FIRST:  60218.078  
MJD_DETECT_LAST:   60221.996  

REDSHIFT_HELIO:   1.302225 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.300288 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10504003945  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3022  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          302.532578    # deg 
HOSTGAL_DEC:         -5.295858    # deg 
HOSTGAL_SNSEP:       1.137       # arcsec 
HOSTGAL_DDLR:        3.394       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.889 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.186
HOSTGAL_SQRADIUS:     12.663   # Ixx + Iyy
HOSTGAL_MAG:     24.88  24.64  24.22  23.44  22.81  22.15 # ugrizY
HOSTGAL_MAGERR:   0.10   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  766   # template index for SIMSED,NONIa
SIM_LIBID:           13935    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.30223  
SIM_REDSHIFT_CMB:    1.30029  
SIM_REDSHIFT_HOST:   1.35684  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10504003945 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.200 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.889 -9.000 
SIM_DLMU:            44.8075   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0117   # mag 
SIM_RA:              302.533173     # deg  
SIM_DEC:             -5.295415      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1099   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60224.703    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -223.58  # days 
SIM_TRESTMAX:        162.74  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.52  26.60  26.23  26.16  26.20  26.24  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 118 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59710.4089 i WFD -4.2563e-03  9.194e-03    0  1.000 45.340  1.68 2.111e+04  99.0000 
OBS: 59711.2858 Y WFD -9.7438e-02  1.298e-01    0  1.000 42.510  2.54 1.455e+04  99.0000 
OBS: 59715.3806 Y WFD  1.9153e-02  8.472e-02    0  1.000 43.770  2.91 2.645e+04  99.0000 
OBS: 59722.2823 z WFD -1.7630e-02  2.371e-02    0  1.000 45.000  2.15 3.110e+04  99.0000 
OBS: 59767.1304 Y WFD  2.3421e-02  1.519e-01    0  1.000 42.490  2.99 1.420e+04  99.0000 
OBS: 59776.2398 z WFD -2.5737e-02  2.262e-02    0  1.000 46.020  2.30 7.099e+04  99.0000 
OBS: 59777.2807 Y WFD  5.5055e-02  1.248e-01    0  1.000 42.560  2.49 1.494e+04  99.0000 
OBS: 59789.1298 r WFD -7.5756e-03  1.002e-02    0  1.000 44.840  2.11 1.155e+04  99.0000 
OBS: 59790.2429 g WFD -1.5277e-03  8.217e-03    0  1.000 44.820  2.64 7.438e+03  99.0000 
OBS: 59797.0860 z WFD  3.6341e-02  3.613e-02    0  1.000 44.240  2.30 2.200e+04  99.0000 
OBS: 59798.0624 Y WFD -4.5010e-02  7.257e-02    0  1.000 43.280  2.05 2.048e+04  99.0000 
OBS: 59799.0510 Y WFD -3.0538e-02  7.419e-02    0  1.000 43.270  1.97 2.159e+04  99.0000 
OBS: 59804.1479 z WFD  4.4111e-02  3.709e-02    0  1.000 44.280  1.54 3.500e+04  99.0000 
OBS: 59806.1228 i WFD  3.3125e-03  1.260e-02    0  1.000 45.820  1.78 4.249e+04  99.0000 
OBS: 59808.0406 g WFD -2.7126e-03  5.970e-03    0  1.000 44.750  1.87 7.153e+03  99.0000 
OBS: 59811.0913 r WFD -1.6066e-02  9.414e-03    0  1.000 44.830  2.03 1.118e+04  99.0000 
OBS: 59818.0697 u WFD -1.0551e-02  2.098e-02    0  1.000 41.300  1.85 1.056e+03  99.0000 
OBS: 59819.9846 z WFD -1.1701e-02  4.268e-02    0  1.000 43.460  1.86 1.567e+04  99.0000 
OBS: 59820.0422 i WFD -1.9700e-02  1.533e-02    0  1.000 44.570  1.94 1.500e+04  99.0000 
OBS: 59822.9800 z WFD  5.8103e-02  4.603e-02    0  1.000 44.230  2.26 2.827e+04  99.0000 
OBS: 59836.0240 r WFD -1.3065e-02  7.149e-03    0  1.000 44.830  1.55 1.112e+04  99.0000 
OBS: 59838.9866 z WFD  1.8804e-02  3.026e-02    0  1.000 44.250  1.70 2.516e+04  99.0000 
OBS: 59839.0143 i WFD -1.8489e-02  1.918e-02    0  1.000 43.820  1.74 1.049e+04  99.0000 
OBS: 59845.0123 r WFD -1.9100e-02  1.009e-02    0  1.000 44.840  2.20 1.116e+04  99.0000 
OBS: 59846.0323 i WFD -1.3361e-02  1.618e-02    0  1.000 44.580  2.10 1.476e+04  99.0000 
OBS: 59859.0196 Y WFD  1.7978e-03  3.182e-02    0  1.000 44.520  1.50 3.846e+04  99.0000 
OBS: 59869.0752 r WFD -7.5778e-03  9.959e-03    0  1.000 44.800  1.96 1.192e+04  99.0000 
OBS: 59878.0484 u WFD  1.4134e-02  2.709e-02    0  1.000 41.070  2.03 1.006e+03  99.0000 
OBS: 59887.0060 Y WFD  1.6230e-01  1.055e-01    0  1.000 42.550  1.48 2.106e+04  99.0000 
OBS: 60030.4114 Y WFD -8.7502e-02  9.553e-02    0  1.000 42.530  1.38 2.007e+04  99.0000 
OBS: 60031.4126 Y WFD  6.1857e-02  1.093e-01    0  1.000 42.530  1.51 2.099e+04  99.0000 
OBS: 60036.4084 z WFD  4.9217e-02  3.590e-02    0  1.000 43.480  1.52 1.643e+04  99.0000 
OBS: 60037.3970 i WFD -1.2681e-03  3.254e-02    0  1.000 43.800  2.58 1.178e+04  99.0000 
OBS: 60043.3992 z WFD  1.7068e-02  4.504e-02    0  1.000 44.250  2.41 2.642e+04  99.0000 
