SURVEY:   LSST
SNID:     1116298
IAUC:     NULL
SNTYPE:   132
RA:       17.680330  # deg
DEC:      -44.685651  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0093 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60194.965     # estimate for LC fit codes
MJD_TRIGGER:       60193.270  
MJD_DETECT_FIRST:  60192.383  
MJD_DETECT_LAST:   60332.078  

REDSHIFT_HELIO:   1.054850 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.053513 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6814659649  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0549  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          17.680503    # deg 
HOSTGAL_DEC:         -44.685153    # deg 
HOSTGAL_SNSEP:       0.931       # arcsec 
HOSTGAL_DDLR:        1.994       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.777 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.082
HOSTGAL_SQRADIUS:     16.646   # Ixx + Iyy
HOSTGAL_MAG:     27.33  26.56  25.06  24.08  23.30  22.95 # ugrizY
HOSTGAL_MAGERR:  26.62   0.15   0.03   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  766   # template index for SIMSED,NONIa
SIM_LIBID:           14299    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.05485  
SIM_REDSHIFT_CMB:    1.05352  
SIM_REDSHIFT_HOST:   0.99520  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6814659649 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.146 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.777 -9.000 
SIM_DLMU:            44.2416   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0175   # mag 
SIM_RA:              17.680330     # deg  
SIM_DEC:             -44.685650      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0094   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60194.965    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -203.34  # days 
SIM_TRESTMAX:        231.86  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.22  25.64  25.53  25.62  25.70  25.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 150 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59777.4094 Y WFD -8.8140e-03  6.344e-02    0  1.000 43.350  1.94 2.018e+04  99.0000 
OBS: 59781.4288 Y WFD -1.1171e-01  5.279e-02    0  1.000 43.350  1.75 1.862e+04  99.0000 
OBS: 59783.4137 r WFD -5.2131e-03  8.323e-03    0  1.000 44.860  1.92 1.075e+04  99.0000 
OBS: 59783.4295 Y WFD  5.9317e-02  7.125e-02    0  1.000 42.590  1.69 1.292e+04  99.0000 
OBS: 59784.3089 r WFD  4.0930e-03  1.009e-02    0  1.000 44.820  2.30 1.048e+04  99.0000 
OBS: 59786.4127 r WFD  1.7067e-02  1.826e-02    0  1.000 44.090  3.08 7.232e+03  99.0000 
OBS: 59786.4310 z WFD -5.7992e-02  4.064e-02    0  1.000 44.260  2.95 1.966e+04  99.0000 
OBS: 59787.2961 g WFD  1.3359e-03  1.262e-02    0  1.000 44.000  3.15 4.500e+03  99.0000 
OBS: 59791.4050 g WFD  1.0029e-02  5.157e-03    0  1.000 44.830  1.95 6.378e+03  99.0000 
OBS: 59791.4304 z WFD -4.4127e-02  3.648e-02    0  1.000 43.500  1.83 1.413e+04  99.0000 
OBS: 59793.3049 i WFD -1.6466e-02  2.135e-02    0  1.000 44.570  2.84 1.427e+04  99.0000 
OBS: 59799.2761 z WFD -2.7453e-02  2.776e-02    0  1.000 44.260  1.78 2.225e+04  99.0000 
OBS: 59803.2876 Y WFD  2.9646e-03  4.262e-02    0  1.000 44.100  1.59 3.300e+04  99.0000 
OBS: 59804.3213 z WFD -3.3579e-03  1.859e-02    0  1.000 45.480  1.47 5.551e+04  99.0000 
OBS: 59805.1913 Y WFD  6.5460e-02  3.868e-02    0  1.000 44.460  1.57 4.226e+04  99.0000 
OBS: 59806.3074 z WFD -2.1735e-02  2.827e-02    0  1.000 44.280  1.58 2.601e+04  99.0000 
OBS: 59809.2422 r WFD -1.3780e-02  9.784e-03    0  1.000 44.890  1.49 1.674e+04  99.0000 
OBS: 59813.2061 i WFD  4.8409e-03  1.253e-02    0  1.000 45.320  2.26 2.100e+04  99.0000 
OBS: 59818.2363 u WFD -5.0426e-03  2.263e-02    0  1.000 41.260  2.02 1.006e+03  99.0000 
OBS: 59819.1803 u WFD  1.1026e-02  3.080e-02    0  1.000 41.080  2.46 9.518e+02  99.0000 
OBS: 59830.1750 Y WFD  5.9281e-03  7.875e-02    0  1.000 42.560  1.54 1.525e+04  99.0000 
OBS: 59831.1234 Y WFD  4.5857e-02  5.328e-02    0  1.000 44.260  1.92 3.960e+04  99.0000 
OBS: 59832.1475 Y WFD  2.6820e-01  1.226e-01    0  1.000 42.550  2.00 1.810e+04  99.0000 
OBS: 59837.1843 r WFD  1.1373e-02  1.787e-02    0  1.000 44.160  1.61 1.444e+04  99.0000 
OBS: 59837.2498 i WFD -3.0761e-02  1.267e-02    0  1.000 44.630  1.29 1.970e+04  99.0000 
OBS: 59839.2031 g WFD  1.0070e-02  6.687e-03    0  1.000 44.050  1.71 4.598e+03  99.0000 
OBS: 59840.1245 g WFD -3.3158e-03  6.060e-03    0  1.000 44.720  2.01 6.571e+03  99.0000 
OBS: 59844.1102 r WFD -2.5754e-03  7.147e-03    0  1.000 45.540  2.15 1.542e+04  99.0000 
OBS: 59850.0844 i WFD  1.1247e-02  2.012e-02    0  1.000 44.550  2.46 1.525e+04  99.0000 
OBS: 59862.1558 z WFD  1.9645e-02  2.628e-02    0  1.000 44.290  1.23 3.134e+04  99.0000 
OBS: 59866.0695 i WFD  3.2833e-02  1.738e-02    0  1.000 44.570  2.22 1.486e+04  99.0000 
OBS: 59871.0690 r WFD  5.1160e-03  7.303e-03    0  1.000 44.810  1.63 1.061e+04  99.0000 
OBS: 59872.1487 i WFD  2.2555e-02  1.006e-02    0  1.000 44.590  1.40 1.390e+04  99.0000 
OBS: 59874.0151 z WFD  1.9190e-03  3.708e-02    0  1.000 43.470  1.73 1.477e+04  99.0000 
