SURVEY:   LSST
SNID:     1116396
IAUC:     NULL
SNTYPE:   132
RA:       60.318469  # deg
DEC:      -29.519999  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0085 +- 0.0004  # MW E(B-V) 
PEAKMJD:  60202.449     # estimate for LC fit codes
MJD_TRIGGER:       60200.254  
MJD_DETECT_FIRST:  60193.332  
MJD_DETECT_LAST:   60338.152  

REDSHIFT_HELIO:   1.089146 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.088626 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  766   # template index for SIMSED,NONIa
SIM_LIBID:           14397    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.06944  
SIM_REDSHIFT_CMB:    1.06893  
SIM_REDSHIFT_HOST:   1.08915  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8940002158 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.088 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.850 -9.000 
SIM_DLMU:            44.2798   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0168   # mag 
SIM_RA:              60.318470     # deg  
SIM_DEC:             -29.519999      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0084   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60202.449    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -298.87  # days 
SIM_TRESTMAX:        226.49  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.26  25.68  25.56  25.64  25.72  25.83  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1107 u WFD  1.9676e-03  2.265e-02    0  1.000 41.310  2.13 9.993e+02  99.0000 
OBS: 59588.0991 Y WFD -1.0850e-01  8.100e-02    0  1.000 42.590  1.96 1.266e+04  99.0000 
OBS: 59591.1055 z WFD -1.9891e-03  2.606e-02    0  1.000 44.270  1.65 2.274e+04  99.0000 
OBS: 59597.0825 Y WFD  6.4071e-02  6.961e-02    0  1.000 43.350  2.11 2.036e+04  99.0000 
OBS: 59598.0743 z WFD  3.0915e-02  4.006e-02    0  1.000 44.280  2.42 2.406e+04  99.0000 
OBS: 59630.0201 Y WFD -9.0077e-02  7.339e-02    0  1.000 42.590  1.39 1.618e+04  99.0000 
OBS: 59641.0144 z WFD -4.3875e-03  4.718e-02    0  1.000 44.260  2.60 2.589e+04  99.0000 
OBS: 59645.0069 z WFD -6.8586e-02  5.091e-02    0  1.000 43.510  1.91 1.906e+04  99.0000 
OBS: 59650.0052 Y WFD  4.6274e-02  1.041e-01    0  1.000 42.560  1.95 1.591e+04  99.0000 
OBS: 59791.4025 g WFD -6.4031e-03  8.593e-03    0  1.000 44.020  2.11 4.658e+03  99.0000 
OBS: 59797.4280 Y WFD -2.0224e-02  9.887e-02    0  1.000 42.570  2.20 1.352e+04  99.0000 
OBS: 59802.4207 Y WFD -9.1369e-03  7.160e-02    0  1.000 42.600  1.56 1.420e+04  99.0000 
OBS: 59803.3574 Y WFD -5.1189e-02  8.115e-02    0  1.000 42.560  1.58 1.531e+04  99.0000 
OBS: 59805.3518 Y WFD -9.2897e-02  5.785e-02    0  1.000 43.310  1.63 2.111e+04  99.0000 
OBS: 59810.3691 i WFD -8.8149e-03  1.019e-02    0  1.000 45.350  1.65 2.405e+04  99.0000 
OBS: 59819.2929 u WFD  2.9547e-02  2.489e-02    0  1.000 41.740  2.66 1.306e+03  99.0000 
OBS: 59821.2983 r WFD  2.1380e-03  7.811e-03    0  1.000 45.550  2.40 1.524e+04  99.0000 
OBS: 59835.2453 Y WFD -1.1358e-01  8.015e-02    0  1.000 42.520  1.46 1.577e+04  99.0000 
OBS: 59836.2855 z WFD -2.5008e-02  3.311e-02    0  1.000 44.270  1.86 2.563e+04  99.0000 
OBS: 59839.3328 r WFD  5.4826e-03  1.130e-02    0  1.000 44.910  1.78 1.648e+04  99.0000 
OBS: 59841.3147 g WFD  1.5774e-02  8.418e-03    0  1.000 44.870  2.74 7.687e+03  99.0000 
OBS: 59843.2689 i WFD  2.1754e-02  1.378e-02    0  1.000 44.580  1.84 1.435e+04  99.0000 
OBS: 59844.2524 r WFD  4.4247e-03  8.277e-03    0  1.000 44.810  1.86 1.054e+04  99.0000 
OBS: 59850.2516 i WFD  1.0443e-02  1.688e-02    0  1.000 44.570  2.24 1.431e+04  99.0000 
OBS: 59851.2095 u WFD  5.4784e-02  3.181e-02    0  1.000 41.080  2.54 9.518e+02  99.0000 
OBS: 59857.2603 i WFD  5.6357e-04  1.050e-02    0  1.000 45.370  1.58 2.636e+04  99.0000 
OBS: 59859.1780 Y WFD  5.8231e-02  8.703e-02    0  1.000 42.520  1.66 1.507e+04  99.0000 
OBS: 59861.1696 Y WFD -1.3740e-02  1.249e-01    0  1.000 42.520  2.09 1.717e+04  99.0000 
OBS: 59863.3599 z WFD  4.9756e-02  2.846e-02    0  1.000 44.290  1.41 2.961e+04  99.0000 
OBS: 59864.2489 z WFD -2.6995e-02  3.007e-02    0  1.000 44.280  1.57 2.784e+04  99.0000 
OBS: 59866.2995 i WFD  3.0846e-02  1.882e-02    0  1.000 44.640  1.67 2.282e+04  99.0000 
OBS: 59869.1525 r WFD  6.8097e-03  7.722e-03    0  1.000 44.760  1.59 1.098e+04  99.0000 
OBS: 59876.1323 u WFD -1.8187e-02  3.047e-02    0  1.000 41.010  2.32 9.360e+02  99.0000 
OBS: 59877.1331 r WFD -3.2987e-03  7.700e-03    0  1.000 44.780  1.62 1.095e+04  99.0000 
OBS: 59879.1907 g WFD -2.1157e-03  3.745e-03    0  1.000 44.810  1.36 6.521e+03  99.0000 
OBS: 59887.1834 i WFD  1.3342e-02  1.537e-02    0  1.000 44.630  1.43 2.157e+04  99.0000 
OBS: 59906.2144 r WFD -7.1550e-03  7.509e-03    0  1.000 44.850  1.81 1.019e+04  99.0000 
OBS: 59907.0912 r WFD -1.0632e-02  9.256e-03    0  1.000 44.820  2.09 1.058e+04  99.0000 
OBS: 59908.1168 i WFD  3.2653e-02  1.704e-02    0  1.000 44.580  2.32 1.408e+04  99.0000 
OBS: 59909.0347 z WFD -2.9155e-02  3.372e-02    0  1.000 44.220  2.02 2.296e+04  99.0000 
OBS: 59914.0370 Y WFD -1.4714e-01  9.524e-02    0  1.000 42.510  1.88 1.442e+04  99.0000 
OBS: 59915.0485 z WFD  1.3519e-02  3.121e-02    0  1.000 44.240  1.89 2.313e+04  99.0000 
OBS: 59920.0706 Y WFD  5.8350e-02  8.869e-02    0  1.000 42.580  1.70 1.584e+04  99.0000 
OBS: 59932.0984 g WFD -3.5724e-03  3.494e-03    0  1.000 44.840  1.34 6.347e+03  99.0000 
OBS: 59937.1000 r WFD  1.1288e-02  6.821e-03    0  1.000 44.840  1.65 1.006e+04  99.0000 
OBS: 59946.2009 i WFD -3.0492e-02  2.582e-02    0  1.000 44.610  2.11 2.410e+04  99.0000 
OBS: 59950.1104 Y WFD  4.4605e-02  7.446e-02    0  1.000 42.600  1.57 1.467e+04  99.0000 
OBS: 59965.1099 r WFD  1.1304e-02  9.760e-03    0  1.000 44.830  2.28 1.032e+04  99.0000 
OBS: 59968.1019 u WFD -3.7990e-02  2.560e-02    0  1.000 41.230  2.28 9.803e+02  99.0000 
OBS: 59975.1421 i WFD  8.5655e-03  2.463e-02    0  1.000 43.830  1.46 1.620e+04  99.0000 
OBS: 59978.0741 Y WFD -9.3933e-04  5.570e-02    0  1.000 42.580  1.20 1.409e+04  99.0000 
OBS: 59984.0357 z WFD -1.4169e-02  2.338e-02    0  1.000 44.270  1.47 2.290e+04  99.0000 
OBS: 59991.0255 Y WFD  1.3133e-01  8.787e-02    0  1.000 42.580  1.83 1.458e+04  99.0000 
OBS: 59996.0258 z WFD  3.0396e-03  3.085e-02    0  1.000 43.500  1.53 1.429e+04  99.0000 
OBS: 60009.0183 Y WFD -3.6413e-02  1.158e-01    0  1.000 42.560  2.33 1.482e+04  99.0000 
OBS: 60012.0236 z WFD  9.5936e-05  4.207e-02    0  1.000 44.260  2.37 2.533e+04  99.0000 
