SURVEY:   LSST
SNID:     1116729
IAUC:     NULL
SNTYPE:   132
RA:       166.750501  # deg
DEC:      -29.174436  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0419 +- 0.0021  # MW E(B-V) 
PEAKMJD:  60441.426     # estimate for LC fit codes
MJD_TRIGGER:       60316.281  
MJD_DETECT_FIRST:  60311.352  
MJD_DETECT_LAST:   60668.348  

REDSHIFT_HELIO:   0.547058 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.548826 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  767   # template index for SIMSED,NONIa
SIM_LIBID:           14730    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.57353  
SIM_REDSHIFT_CMB:    0.57532  
SIM_REDSHIFT_HOST:   0.54706  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10313030860 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.950 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.820 -9.000 
SIM_DLMU:            42.6260   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0110   # mag 
SIM_RA:              166.750504     # deg  
SIM_DEC:             -29.174435      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0394   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60441.426    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -538.42  # days 
SIM_TRESTMAX:        147.33  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.92  31.56  29.20  26.49  26.04  25.67  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59594.2031 Y WFD -4.8637e-03  6.253e-02    0  1.000 43.270  1.71 2.096e+04  99.0000 
OBS: 59597.1910 Y WFD  1.5785e-01  1.568e-01    0  1.000 42.520  2.71 1.662e+04  99.0000 
OBS: 59607.3516 g WFD  2.0949e-03  6.308e-03    0  1.000 44.860  2.12 7.378e+03  99.0000 
OBS: 59613.3745 z WFD -1.3074e-02  3.392e-02    0  1.000 43.500  1.66 1.448e+04  99.0000 
OBS: 59614.1717 i WFD -6.3153e-03  2.101e-02    0  1.000 44.570  2.66 1.499e+04  99.0000 
OBS: 59615.3747 z WFD  2.5418e-02  5.718e-02    0  1.000 43.500  2.83 1.432e+04  99.0000 
OBS: 59629.3462 z WFD  7.4414e-03  1.494e-02    0  1.000 45.780  1.36 6.356e+04  99.0000 
OBS: 59631.2867 i WFD -1.0786e-02  1.491e-02    0  1.000 45.390  1.73 3.481e+04  99.0000 
OBS: 59653.0480 Y WFD -4.6509e-02  1.330e-01    0  1.000 42.520  2.51 1.522e+04  99.0000 
OBS: 59654.0300 Y WFD  1.5224e-01  1.353e-01    0  1.000 42.500  2.29 1.667e+04  99.0000 
OBS: 59685.1098 Y WFD -1.3940e-02  6.412e-02    0  1.000 42.610  1.17 1.711e+04  99.0000 
OBS: 59686.1481 Y WFD -4.3474e-02  7.801e-02    0  1.000 42.610  1.43 1.703e+04  99.0000 
OBS: 59688.2398 z WFD  9.0498e-02  6.211e-02    0  1.000 43.480  2.18 1.982e+04  99.0000 
OBS: 59710.1323 i WFD -3.2664e-02  2.437e-02    0  1.000 44.610  2.00 2.400e+04  99.0000 
OBS: 59712.0697 Y WFD  6.0036e-02  9.778e-02    0  1.000 42.600  2.01 1.505e+04  99.0000 
OBS: 59713.0930 Y WFD -5.2316e-02  8.301e-02    0  1.000 42.580  1.59 1.585e+04  99.0000 
OBS: 59718.1406 i WFD -2.4442e-02  2.627e-02    0  1.000 44.590  2.18 2.330e+04  99.0000 
OBS: 59777.9689 z WFD  8.0500e-02  5.518e-02    0  1.000 43.490  2.54 1.525e+04  99.0000 
OBS: 59778.9685 z WFD -3.8353e-03  3.439e-02    0  1.000 44.240  2.01 2.397e+04  99.0000 
OBS: 59779.9699 z WFD -1.9898e-02  3.900e-02    0  1.000 44.240  2.30 2.375e+04  99.0000 
OBS: 59783.9721 z WFD -1.0118e-02  5.766e-02    0  1.000 43.470  2.49 1.596e+04  99.0000 
OBS: 59905.3496 z WFD  2.2685e-02  4.102e-02    0  1.000 44.680  2.42 3.561e+04  99.0000 
OBS: 59913.3234 r WFD  1.8747e-02  1.318e-02    0  1.000 44.030  1.86 8.181e+03  99.0000 
OBS: 59918.3222 Y WFD  1.4804e-02  7.971e-02    0  1.000 42.510  1.65 1.375e+04  99.0000 
OBS: 59922.3476 z WFD  4.8073e-02  4.360e-02    0  1.000 43.510  1.53 2.038e+04  99.0000 
OBS: 59924.3388 Y WFD  3.1177e-02  6.651e-02    0  1.000 42.580  1.39 1.453e+04  99.0000 
OBS: 59932.2927 g WFD -1.3376e-03  5.167e-03    0  1.000 44.780  1.60 7.438e+03  99.0000 
OBS: 59938.2714 r WFD  5.2416e-03  7.037e-03    0  1.000 45.780  2.31 1.763e+04  99.0000 
OBS: 59941.2793 i WFD  9.3930e-04  1.134e-02    0  1.000 44.570  1.45 1.485e+04  99.0000 
OBS: 59945.2808 i WFD -2.0652e-03  1.301e-02    0  1.000 44.570  1.67 1.479e+04  99.0000 
OBS: 59946.3535 Y WFD  1.5229e-01  8.248e-02    0  1.000 42.600  1.85 1.379e+04  99.0000 
OBS: 59952.2310 Y WFD  4.0130e-02  3.452e-02    0  1.000 44.790  1.78 4.508e+04  99.0000 
OBS: 59953.2300 Y WFD  4.0688e-03  9.241e-02    0  1.000 42.540  1.70 1.591e+04  99.0000 
OBS: 59964.2340 u WFD -1.6759e-02  1.522e-02    0  1.000 41.990  1.88 1.423e+03  99.0000 
OBS: 59968.1808 u WFD  1.6056e-02  2.742e-02    0  1.000 41.110  2.20 9.740e+02  99.0000 
OBS: 59978.1809 Y WFD  7.6529e-02  4.611e-02    0  1.000 43.750  1.64 2.508e+04  99.0000 
OBS: 59980.1429 Y WFD -1.4574e-02  8.602e-02    0  1.000 42.520  1.49 1.659e+04  99.0000 
OBS: 59982.1638 z WFD -2.0416e-03  2.407e-02    0  1.000 45.020  1.47 4.705e+04  99.0000 
OBS: 59986.3475 i WFD -2.4454e-02  2.175e-02    0  1.000 44.630  1.77 2.466e+04  99.0000 
OBS: 59987.1568 i WFD  3.4299e-03  1.697e-02    0  1.000 44.590  1.65 1.989e+04  99.0000 
OBS: 59988.3399 r WFD  5.0778e-03  6.715e-03    0  1.000 45.900  1.60 2.712e+04  99.0000 
OBS: 59997.1072 u WFD -2.0111e-02  1.698e-02    0  1.000 42.270  2.30 1.679e+03  99.0000 
OBS: 60009.1701 Y WFD -1.3870e-01  9.491e-02    0  1.000 42.610  1.89 1.568e+04  99.0000 
OBS: 60012.2893 z WFD -2.9166e-02  4.623e-02    0  1.000 44.280  1.93 3.481e+04  99.0000 
OBS: 60016.3245 i WFD  1.3096e-02  2.112e-02    0  1.000 44.580  1.87 2.164e+04  99.0000 
OBS: 60017.1417 r WFD  4.3182e-03  1.008e-02    0  1.000 44.900  1.86 1.395e+04  99.0000 
OBS: 60032.0158 i WFD  5.4353e-03  1.207e-02    0  1.000 44.570  1.35 1.698e+04  99.0000 
OBS: 60039.1754 Y WFD  1.2067e-01  7.787e-02    0  1.000 43.360  1.89 2.566e+04  99.0000 
OBS: 60040.1736 Y WFD  7.0597e-02  8.709e-02    0  1.000 42.610  1.49 1.825e+04  99.0000 
OBS: 60042.2002 z WFD  2.6511e-03  3.630e-02    0  1.000 44.710  2.14 3.663e+04  99.0000 
OBS: 60043.2568 z WFD -7.3800e-02  7.278e-02    0  1.000 43.490  2.59 1.973e+04  99.0000 
OBS: 60045.2580 i WFD  3.2332e-02  2.877e-02    0  1.000 43.820  1.81 1.512e+04  99.0000 
OBS: 60050.1232 g WFD -3.3292e-03  3.636e-03    0  1.000 45.250  1.55 8.329e+03  99.0000 
OBS: 60055.0108 g WFD  6.0990e-03  4.017e-03    0  1.000 44.810  1.43 6.650e+03  99.0000 
OBS: 60064.1337 i WFD -2.0481e-02  2.419e-02    0  1.000 44.620  2.11 2.279e+04  99.0000 
OBS: 60068.1257 Y WFD -2.2075e-02  5.050e-02    0  1.000 43.780  1.58 2.931e+04  99.0000 
OBS: 60072.1163 i WFD -5.6479e-02  2.792e-02    0  1.000 43.880  1.60 1.754e+04  99.0000 
OBS: 60073.0566 r WFD  6.9333e-03  1.208e-02    0  1.000 44.940  1.63 1.977e+04  99.0000 
OBS: 60095.0317 Y WFD  7.3455e-02  5.055e-02    0  1.000 43.330  1.48 2.069e+04  99.0000 
OBS: 60096.0596 Y WFD  7.5121e-02  8.366e-02    0  1.000 42.560  1.65 1.512e+04  99.0000 
OBS: 60102.0199 r WFD -1.1077e-02  9.322e-03    0  1.000 44.080  1.51 7.463e+03  99.0000 
OBS: 60123.0099 z WFD -1.1714e-02  2.485e-02    0  1.000 45.010  2.04 3.468e+04  99.0000 
OBS: 60124.0277 Y WFD  9.6673e-02  5.966e-02    0  1.000 43.730  2.00 2.612e+04  99.0000 
OBS: 60126.0289 z WFD  9.0154e-02  7.319e-02    0  1.000 43.490  2.65 1.939e+04  99.0000 
OBS: 60128.9949 Y WFD -6.8274e-02  1.005e-01    0  1.000 42.540  1.96 1.501e+04  99.0000 
OBS: 60142.9839 r WFD -3.9410e-03  1.524e-02    0  1.000 44.030  2.11 8.339e+03  99.0000 
OBS: 60145.9828 g WFD  4.1817e-03  1.144e-02    0  1.000 43.950  2.32 5.287e+03  99.0000 
OBS: 60276.3377 Y WFD  1.3589e-01  1.086e-01    0  1.000 42.520  1.99 1.568e+04  99.0000 
OBS: 60290.3276 u WFD -2.2409e-02  2.650e-02    0  1.000 41.210  2.19 1.037e+03  99.0000 
OBS: 60291.2969 u WFD -3.9712e-02  3.524e-02    0  1.000 41.010  2.63 9.550e+02  99.0000 
OBS: 60297.2717 g WFD -5.4502e-04  6.841e-03    0  1.000 44.740  2.19 6.935e+03  99.0000 
OBS: 60300.2786 i WFD  1.1698e-02  1.744e-02    0  1.000 44.560  2.12 1.548e+04  99.0000 
OBS: 60305.2513 Y WFD  6.4011e-02  1.110e-01    0  1.000 42.520  1.99 1.602e+04  99.0000 
OBS: 60311.3531 z WFD  8.6645e-01  3.868e-02 4096  1.000 44.290  2.01 2.823e+04  27.6913 
