SURVEY:   LSST
SNID:     1117261
IAUC:     NULL
SNTYPE:   132
RA:       319.766921  # deg
DEC:      2.478957  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0531 +- 0.0027  # MW E(B-V) 
PEAKMJD:  59839.926     # estimate for LC fit codes
MJD_TRIGGER:       59770.195  
MJD_DETECT_FIRST:  59752.230  
MJD_DETECT_LAST:   60207.012  

REDSHIFT_HELIO:   0.592431 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.590705 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9625642464  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5924  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          319.766759    # deg 
HOSTGAL_DEC:         2.478903    # deg 
HOSTGAL_SNSEP:       0.241       # arcsec 
HOSTGAL_DDLR:        2.024       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.403 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.091
HOSTGAL_SQRADIUS:     7.029   # Ixx + Iyy
HOSTGAL_MAG:     26.54  26.02  25.04  24.42  24.21  24.06 # ugrizY
HOSTGAL_MAGERR:   0.58   0.09   0.03   0.03   0.04   0.09 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  767   # template index for SIMSED,NONIa
SIM_LIBID:           15262    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.59243  
SIM_REDSHIFT_CMB:    0.59071  
SIM_REDSHIFT_HOST:   0.61130  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9625642464 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.096 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.403 -9.000 
SIM_DLMU:            42.7002   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0328   # mag 
SIM_RA:              319.766907     # deg  
SIM_DEC:             2.478957      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0542   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59839.926    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -70.16  # days 
SIM_TRESTMAX:        494.80  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.08  31.70  29.44  26.63  26.13  25.79  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3275 u WFD -1.4693e-02  2.476e-02    0  1.000 41.150  1.96 1.025e+03  31.8575 
OBS: 59752.2321 i WFD  8.0856e-01  2.135e-02 4096  1.000 44.540  2.47 1.596e+04  27.7507 
OBS: 59770.1948 z WFD  1.8189e+00  3.136e-02 6144  1.000 44.230  1.76 2.473e+04  26.8525 
OBS: 59770.3021 Y WFD  2.4844e+00  8.041e-02 4096  1.000 42.550  1.73 1.373e+04  26.4690 
OBS: 59772.1890 Y WFD  2.6715e+00  4.694e-02 4096  1.000 44.780  2.33 4.641e+04  26.4354 
OBS: 59774.3235 z WFD  2.0036e+00  4.479e-02 4096  1.000 45.020  2.21 5.823e+04  26.7639 
OBS: 59777.2165 Y WFD  2.9067e+00  9.666e-02 4096  1.000 43.730  3.02 2.803e+04  26.3402 
OBS: 59784.3454 r WFD  1.3745e-01  1.979e-02 4096  1.000 44.030  2.76 8.279e+03  29.8273 
OBS: 59788.2756 g WFD  1.5506e-02  1.103e-02    0  1.000 44.050  2.55 5.088e+03  32.1132 
OBS: 59790.1919 g WFD  2.0130e-02  5.901e-03    0  1.000 45.530  2.67 1.016e+04  32.2196 
OBS: 59807.1387 i WFD  1.8487e+00  1.696e-02 4096  1.000 44.600  1.47 2.251e+04  26.8184 
OBS: 59817.1309 u WFD -7.3678e-03  2.019e-02    0  1.000 41.240  1.70 1.047e+03  33.3440 
OBS: 59827.0758 z WFD  3.4891e+00  3.448e-02 4096  1.000 44.250  2.10 2.321e+04  26.1387 
OBS: 59836.0188 r WFD  1.8145e-01  9.139e-03 4096  1.000 44.790  1.85 1.148e+04  29.3198 
OBS: 59840.0212 g WFD  1.9963e-02  5.285e-03 4096  1.000 44.750  1.67 7.090e+03  31.7048 
OBS: 59840.9958 Y WFD  4.8543e+00  6.494e-02 4096  1.000 43.240  1.80 2.012e+04  25.7833 
OBS: 59849.9898 z WFD  3.3656e+00  4.774e-02 4096  1.000 44.240  2.09 3.199e+04  26.1745 
OBS: 59861.0063 Y WFD  4.5692e+00  6.656e-02 4096  1.000 43.320  1.67 2.392e+04  25.8805 
OBS: 59862.0002 z WFD  2.9132e+00  3.168e-02 4096  1.000 44.270  1.26 3.620e+04  26.3377 
OBS: 59877.0395 u WFD -8.8771e-05  2.201e-02    0  1.000 41.150  1.77 1.009e+03  33.6548 
OBS: 60055.4010 g WFD  6.0354e-03  8.332e-03    0  1.000 43.970  1.64 5.550e+03  34.0847 
OBS: 60059.4162 z WFD  3.4433e-01  5.604e-02 4096  1.000 43.480  2.43 1.604e+04  28.7836 
OBS: 60061.4206 Y WFD  5.2184e-01  7.119e-02 4096  1.000 43.740  2.03 3.100e+04  28.1279 
OBS: 60062.4146 z WFD  3.6191e-01  5.787e-02    0  1.000 43.490  2.63 1.545e+04  28.8216 
OBS: 60067.4191 z WFD  2.2193e-01  3.616e-02 4096  1.000 43.500  1.67 1.534e+04  28.8851 
OBS: 60073.3677 Y WFD  4.0306e-01  4.621e-02 4096  1.000 43.710  1.48 2.684e+04  28.2537 
OBS: 60083.3889 r WFD  2.5458e-02  8.269e-03    0  1.000 44.820  1.70 1.162e+04  31.2450 
OBS: 60084.3498 i WFD  2.0680e-01  1.680e-02 4096  1.000 44.560  1.99 1.588e+04  29.2509 
OBS: 60094.3092 i WFD  1.8790e-01  1.591e-02 4096  1.000 44.560  1.89 1.583e+04  29.3134 
OBS: 60101.3464 z WFD  2.2144e-01  2.876e-02 4096  1.000 45.010  1.91 4.286e+04  29.3154 
OBS: 60111.2718 r WFD  3.2099e-02  9.849e-03    0  1.000 44.790  2.01 1.139e+04  31.4201 
OBS: 60113.2516 u WFD -6.2092e-03  2.587e-02    0  1.000 41.060  1.97 9.803e+02  37.3287 
OBS: 60118.2542 u WFD  7.5770e-03  2.102e-02    0  1.000 42.230  2.75 1.676e+03  37.3601 
OBS: 60119.2719 r WFD  1.0616e-02  1.342e-02    0  1.000 44.800  2.78 1.133e+04  31.4704 
