SURVEY:   LSST
SNID:     1118956
IAUC:     NULL
SNTYPE:   132
RA:       353.301355  # deg
DEC:      -42.981775  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0129 +- 0.0006  # MW E(B-V) 
PEAKMJD:  60244.668     # estimate for LC fit codes
MJD_TRIGGER:       60243.012  
MJD_DETECT_FIRST:  60242.059  
MJD_DETECT_LAST:   60458.375  

REDSHIFT_HELIO:   1.274635 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.272839 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7817276897  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2746  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          353.301308    # deg 
HOSTGAL_DEC:         -42.981795    # deg 
HOSTGAL_SNSEP:       0.077       # arcsec 
HOSTGAL_DDLR:        1.032       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.304 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.826
HOSTGAL_SQRADIUS:     14.158   # Ixx + Iyy
HOSTGAL_MAG:     26.52  26.92  26.81  26.76  26.52  26.27 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  755   # template index for SIMSED,NONIa
SIM_LIBID:           16957    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.27464  
SIM_REDSHIFT_CMB:    1.27284  
SIM_REDSHIFT_HOST:   1.33272  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7817276897 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.038 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.304 -9.000 
SIM_DLMU:            44.7501   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0177   # mag 
SIM_RA:              353.301361     # deg  
SIM_DEC:             -42.981773      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0125   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60244.668    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -213.93  # days 
SIM_TRESTMAX:        187.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.24  26.71  26.29  26.37  26.40  26.46  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 126 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59758.4377 z WFD -2.7610e-02  4.453e-02    0  1.000 43.520  2.20 1.461e+04  99.0000 
OBS: 59760.4408 z WFD -1.4274e-02  4.095e-02    0  1.000 43.520  1.81 1.633e+04  99.0000 
OBS: 59761.4139 g WFD -4.1138e-03  8.448e-03    0  1.000 44.830  3.12 6.530e+03  99.0000 
OBS: 59767.2302 Y WFD -7.2639e-02  1.173e-01    0  1.000 42.490  2.34 1.401e+04  99.0000 
OBS: 59772.4323 Y WFD  2.1303e-02  4.673e-02    0  1.000 44.330  1.87 3.803e+04  99.0000 
OBS: 59773.2167 Y WFD -3.1509e-02  5.479e-02    0  1.000 44.020  1.83 3.425e+04  99.0000 
OBS: 59774.4455 z WFD  2.8418e-02  6.398e-02    0  1.000 43.540  1.48 3.178e+04  99.0000 
OBS: 59775.3898 z WFD  1.5881e-02  3.853e-02    0  1.000 44.730  2.12 3.998e+04  99.0000 
OBS: 59776.3904 z WFD  2.9578e-02  4.974e-02    0  1.000 44.730  2.99 3.659e+04  99.0000 
OBS: 59778.3810 i WFD -1.9442e-03  1.348e-02    0  1.000 46.270  2.43 5.040e+04  99.0000 
OBS: 59779.4437 Y WFD -6.8347e-02  1.683e-01    0  1.000 42.600  2.32 2.243e+04  99.0000 
OBS: 59783.2266 r WFD  2.2050e-03  1.184e-02    0  1.000 44.800  2.59 1.072e+04  99.0000 
OBS: 59800.1387 Y WFD -7.1802e-02  9.355e-02    0  1.000 42.500  1.71 1.543e+04  99.0000 
OBS: 59801.2420 z WFD -5.0653e-02  4.016e-02    0  1.000 44.280  2.07 2.819e+04  99.0000 
OBS: 59803.1442 Y WFD  2.6244e-02  5.264e-02    0  1.000 44.790  2.15 5.692e+04  99.0000 
OBS: 59804.3295 z WFD -3.8156e-02  3.626e-02    0  1.000 44.290  1.49 3.570e+04  99.0000 
OBS: 59805.1660 Y WFD  3.4834e-02  7.996e-02    0  1.000 42.570  1.39 1.731e+04  99.0000 
OBS: 59809.2701 r WFD  7.7138e-04  8.691e-03    0  1.000 44.920  1.40 1.627e+04  99.0000 
OBS: 59810.2438 g WFD -2.0868e-03  4.704e-03    0  1.000 44.940  1.37 9.164e+03  99.0000 
OBS: 59813.1684 i WFD  2.4927e-02  1.360e-02    0  1.000 44.580  1.78 1.464e+04  99.0000 
OBS: 59818.2174 u WFD -5.9015e-04  2.016e-02    0  1.000 41.350  1.89 1.040e+03  99.0000 
OBS: 59819.1289 u WFD  9.0919e-03  2.191e-02    0  1.000 41.210  1.85 1.015e+03  99.0000 
OBS: 59821.1444 r WFD -5.8370e-03  1.007e-02    0  1.000 44.820  2.22 1.084e+04  99.0000 
OBS: 59824.0878 i WFD  5.4691e-04  1.142e-02    0  1.000 45.310  1.91 2.244e+04  99.0000 
OBS: 59832.1254 Y WFD -8.9421e-02  6.382e-02    0  1.000 43.780  1.79 3.269e+04  99.0000 
OBS: 59840.0952 g WFD -8.0463e-03  5.387e-03    0  1.000 44.800  1.88 6.723e+03  99.0000 
OBS: 59844.0497 r WFD  4.9380e-03  1.050e-02    0  1.000 44.790  2.23 1.094e+04  99.0000 
OBS: 59857.0175 z WFD -3.2823e-02  3.301e-02    0  1.000 44.260  1.85 2.546e+04  99.0000 
OBS: 59858.0514 z WFD  2.8667e-02  2.366e-02    0  1.000 45.020  1.55 4.386e+04  99.0000 
OBS: 59864.1661 i WFD -6.1612e-03  2.834e-02    0  1.000 43.880  1.61 1.770e+04  99.0000 
OBS: 59874.0333 u WFD  1.3328e-02  1.782e-02    0  1.000 41.290  1.63 1.009e+03  99.0000 
OBS: 59880.1740 r WFD  1.3456e-02  6.717e-03    0  1.000 44.820  1.49 1.077e+04  99.0000 
OBS: 59882.0082 z WFD  1.5011e-02  2.084e-02    0  1.000 44.270  1.17 2.565e+04  99.0000 
OBS: 59883.0743 i WFD -2.3048e-03  9.178e-03    0  1.000 44.600  1.19 1.505e+04  99.0000 
