SURVEY:   LSST
SNID:     1120653
IAUC:     NULL
SNTYPE:   132
RA:       230.863378  # deg
DEC:      -3.501586  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1241 +- 0.0062  # MW E(B-V) 
PEAKMJD:  60241.156     # estimate for LC fit codes
MJD_TRIGGER:       60339.367  
MJD_DETECT_FIRST:  60337.375  
MJD_DETECT_LAST:   60549.027  

REDSHIFT_HELIO:   0.494362 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.495208 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10437807510  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4944  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          230.863678    # deg 
HOSTGAL_DEC:         -3.501716    # deg 
HOSTGAL_SNSEP:       0.472       # arcsec 
HOSTGAL_DDLR:        0.978       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.662 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.294
HOSTGAL_SQRADIUS:     14.947   # Ixx + Iyy
HOSTGAL_MAG:     22.86  22.09  20.90  20.30  19.92  19.68 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIL 
SIM_TEMPLATE_INDEX:  763   # template index for SIMSED,NONIa
SIM_LIBID:           18654    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.49436  
SIM_REDSHIFT_CMB:    0.49520  
SIM_REDSHIFT_HOST:   0.48660  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10437807510 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.461 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.662 -9.000 
SIM_DLMU:            42.2349   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0314   # mag 
SIM_RA:              230.863373     # deg  
SIM_DEC:             -3.501586      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1239   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60241.156    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0142  # spectro-search efficiency 
SIM_TRESTMIN:        -394.07  # days 
SIM_TRESTMAX:        206.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.54  23.56  23.56  23.76  24.00  24.10  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2653 Y WFD  3.4723e-02  6.834e-02    0  1.000 43.260  1.92 2.022e+04  99.0000 
OBS: 59655.3127 Y WFD -7.0512e-02  4.016e-02    0  1.000 45.060  2.41 4.968e+04  99.0000 
OBS: 59656.4073 z WFD -1.4596e-01  9.502e-02    0  1.000 43.520  2.71 2.531e+04  99.0000 
OBS: 59667.4044 z WFD -1.0635e-02  5.223e-02    0  1.000 43.480  2.43 1.495e+04  99.0000 
OBS: 59672.4047 z WFD  5.5368e-02  4.901e-02    0  1.000 43.470  2.22 1.522e+04  99.0000 
OBS: 59675.1986 r WFD -2.5008e-04  9.841e-03    0  1.000 44.790  1.98 1.155e+04  99.0000 
OBS: 59676.3541 i WFD -2.7425e-02  1.615e-02    0  1.000 44.570  2.03 1.510e+04  99.0000 
OBS: 59681.2057 z WFD -1.0482e-03  2.275e-02    0  1.000 44.240  1.38 2.310e+04  99.0000 
OBS: 59689.3238 z WFD -1.9048e-02  1.978e-02    0  1.000 45.460  1.58 5.395e+04  99.0000 
OBS: 59694.1395 g WFD  1.1609e-02  8.021e-03    0  1.000 44.730  2.43 7.261e+03  99.0000 
OBS: 59699.2346 i WFD  2.3898e-02  1.454e-02    0  1.000 44.580  1.87 1.490e+04  99.0000 
OBS: 59710.0963 i WFD -5.1831e-03  2.111e-02    0  1.000 44.580  1.83 2.210e+04  99.0000 
OBS: 59711.0939 Y WFD -5.7086e-02  9.708e-02    0  1.000 42.520  1.83 1.524e+04  99.0000 
OBS: 59757.9599 z WFD -1.2393e-01  6.551e-02    0  1.000 43.480  2.73 1.669e+04  99.0000 
OBS: 59766.9692 Y WFD  9.0340e-02  7.098e-02    0  1.000 43.730  2.51 2.477e+04  99.0000 
OBS: 59772.0273 Y WFD -6.8800e-02  4.788e-02    0  1.000 44.100  1.78 3.312e+04  99.0000 
OBS: 59774.0419 z WFD -4.9560e-02  3.239e-02    0  1.000 45.010  2.15 4.289e+04  99.0000 
OBS: 59810.0173 r WFD -2.7008e-03  6.731e-03    0  1.000 45.250  1.63 1.466e+04  99.0000 
OBS: 59820.0123 i WFD -2.1329e-02  2.570e-02    0  1.000 43.790  2.04 1.166e+04  99.0000 
OBS: 59975.3687 z WFD -4.0322e-02  3.777e-02    0  1.000 43.470  1.63 1.597e+04  99.0000 
OBS: 59978.3621 i WFD -8.1746e-03  1.777e-02    0  1.000 43.800  1.44 1.153e+04  99.0000 
OBS: 59979.3573 Y WFD  2.2018e-02  7.784e-02    0  1.000 42.520  1.50 1.491e+04  99.0000 
OBS: 59980.3645 Y WFD  2.5090e-02  6.418e-02    0  1.000 43.280  1.62 2.292e+04  99.0000 
OBS: 59991.3329 r WFD -5.6435e-03  9.531e-03    0  1.000 44.810  1.79 1.261e+04  99.0000 
OBS: 59997.3506 u WFD -2.3251e-03  2.086e-02    0  1.000 41.950  2.42 1.461e+03  99.0000 
OBS: 60003.3197 i WFD -2.1563e-02  1.906e-02    0  1.000 44.570  2.34 1.546e+04  99.0000 
OBS: 60008.3965 z WFD -4.7664e-02  2.731e-02    0  1.000 45.020  2.04 3.846e+04  99.0000 
OBS: 60009.2928 Y WFD -5.2579e-02  5.974e-02    0  1.000 44.050  2.25 3.122e+04  99.0000 
OBS: 60018.4058 z WFD  4.4780e-02  5.710e-02    0  1.000 43.510  2.10 1.944e+04  99.0000 
OBS: 60019.3672 i WFD -2.4668e-02  1.671e-02    0  1.000 44.590  2.04 1.584e+04  99.0000 
OBS: 60020.3667 r WFD  2.9135e-03  5.663e-03    0  1.000 45.600  1.66 1.672e+04  99.0000 
OBS: 60020.4063 z WFD  1.1663e-02  4.019e-02    0  1.000 43.510  1.57 1.831e+04  99.0000 
OBS: 60021.3210 g WFD  4.4840e-03  5.089e-03    0  1.000 44.820  1.67 7.283e+03  99.0000 
OBS: 60027.2492 u WFD  9.7541e-03  2.448e-02    0  1.000 41.140  1.95 1.009e+03  99.0000 
