SURVEY:   LSST
SNID:     1120764
IAUC:     NULL
SNTYPE:   132
RA:       0.502938  # deg
DEC:      -38.537408  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0125 +- 0.0006  # MW E(B-V) 
PEAKMJD:  60451.777     # estimate for LC fit codes
MJD_TRIGGER:       60465.395  
MJD_DETECT_FIRST:  60458.379  
MJD_DETECT_LAST:   60670.047  

REDSHIFT_HELIO:   0.371189 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.370035 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIL 
SIM_TEMPLATE_INDEX:  763   # template index for SIMSED,NONIa
SIM_LIBID:           18765    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.34708  
SIM_REDSHIFT_CMB:    0.34594  
SIM_REDSHIFT_HOST:   0.37119  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10375186818 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.131 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.503 -9.000 
SIM_DLMU:            41.3163   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0042   # mag 
SIM_RA:              0.502939     # deg  
SIM_DEC:             -38.537407      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0117   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60451.777    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1153  # spectro-search efficiency 
SIM_TRESTMIN:        -513.64  # days 
SIM_TRESTMAX:        162.17  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.31  22.43  22.59  22.98  23.17  23.28  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59760.4399 z WFD  8.3369e-03  3.858e-02    0  1.000 43.520  1.79 1.556e+04  99.0000 
OBS: 59767.4356 z WFD  4.2708e-02  3.255e-02    0  1.000 44.260  2.35 1.976e+04  99.0000 
OBS: 59770.3535 Y WFD  8.1717e-03  5.854e-02    0  1.000 42.590  1.42 1.263e+04  99.0000 
OBS: 59771.2528 z WFD -5.8749e-02  4.022e-02    0  1.000 44.240  2.24 2.515e+04  99.0000 
OBS: 59772.4430 Y WFD -4.2153e-02  1.063e-01    0  1.000 42.590  1.80 1.810e+04  99.0000 
OBS: 59773.2300 Y WFD  1.0423e-01  6.624e-02    0  1.000 43.250  1.55 2.405e+04  99.0000 
OBS: 59774.4356 z WFD  1.9008e-02  3.686e-02    0  1.000 44.290  1.63 3.317e+04  99.0000 
OBS: 59775.4356 z WFD  1.0871e-01  5.230e-02    0  1.000 44.290  2.13 3.602e+04  99.0000 
OBS: 59776.4278 z WFD  2.0465e-02  7.986e-02    0  1.000 43.540  2.82 2.082e+04  99.0000 
OBS: 59778.3774 i WFD  3.1940e-02  4.040e-02    0  1.000 43.890  2.34 1.752e+04  99.0000 
OBS: 59779.3693 Y WFD -1.0691e-01  8.387e-02    0  1.000 42.590  1.94 1.325e+04  99.0000 
OBS: 59781.4396 Y WFD -1.9341e-01  9.500e-02    0  1.000 42.590  1.75 1.664e+04  99.0000 
OBS: 59782.4140 g WFD  2.3413e-03  1.297e-02    0  1.000 44.170  2.76 6.170e+03  99.0000 
OBS: 59783.2487 r WFD  1.1748e-02  1.102e-02    0  1.000 44.810  2.43 1.074e+04  99.0000 
OBS: 59783.4362 Y WFD -1.1159e-01  7.448e-02    0  1.000 42.580  1.55 1.459e+04  99.0000 
OBS: 59793.2284 i WFD -2.8418e-03  2.057e-02    0  1.000 44.580  2.68 1.471e+04  99.0000 
OBS: 59802.3893 Y WFD -7.0021e-02  1.003e-01    0  1.000 42.590  1.89 1.626e+04  99.0000 
OBS: 59803.1600 Y WFD -2.4546e-02  5.084e-02    0  1.000 44.650  1.98 5.247e+04  99.0000 
OBS: 59806.2847 z WFD  7.5632e-03  2.886e-02    0  1.000 44.280  1.54 2.724e+04  99.0000 
OBS: 59809.2465 r WFD -1.0871e-02  8.790e-03    0  1.000 44.910  1.38 1.654e+04  99.0000 
OBS: 59810.2235 g WFD  1.2631e-03  4.717e-03    0  1.000 44.850  1.52 7.624e+03  99.0000 
OBS: 59810.3154 i WFD  3.3738e-03  1.344e-02    0  1.000 44.600  1.68 1.561e+04  99.0000 
OBS: 59818.1990 u WFD -3.0086e-02  1.799e-02    0  1.000 41.300  1.63 1.028e+03  99.0000 
OBS: 59819.1239 u WFD -3.8695e-03  2.629e-02    0  1.000 41.040  2.01 9.582e+02  99.0000 
OBS: 59820.1329 i WFD  6.9911e-03  1.255e-02    0  1.000 44.560  1.55 1.523e+04  99.0000 
OBS: 59823.1135 g WFD  8.1331e-03  8.371e-03    0  1.000 44.730  2.66 6.922e+03  99.0000 
