SURVEY:   LSST
SNID:     1121529
IAUC:     NULL
SNTYPE:   132
RA:       78.829880  # deg
DEC:      -23.845714  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0239 +- 0.0012  # MW E(B-V) 
PEAKMJD:  60495.172     # estimate for LC fit codes
MJD_TRIGGER:       60541.359  
MJD_DETECT_FIRST:  60535.398  
MJD_DETECT_LAST:   60663.309  

REDSHIFT_HELIO:   0.869032 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.869177 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIL 
SIM_TEMPLATE_INDEX:  738   # template index for SIMSED,NONIa
SIM_LIBID:           19530    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.88258  
SIM_REDSHIFT_CMB:    0.88273  
SIM_REDSHIFT_HOST:   0.86903  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10438522041 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.172 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.094 -9.000 
SIM_DLMU:            43.7656   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0189   # mag 
SIM_RA:              78.829880     # deg  
SIM_DEC:             -23.845715      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0235   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60495.172    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -483.89  # days 
SIM_TRESTMAX:        89.31  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.38  25.86  25.97  26.03  26.03  26.32  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1457 u WFD  3.2499e-02  2.860e-02    0  1.000 41.280  2.65 9.866e+02  99.0000 
OBS: 59588.0781 Y WFD  1.9731e-01  9.911e-02    0  1.000 42.590  2.40 1.266e+04  99.0000 
OBS: 59589.2394 i WFD  1.9055e-02  1.445e-02    0  1.000 44.560  1.81 1.501e+04  99.0000 
OBS: 59592.0910 z WFD -3.8200e-04  2.148e-02    0  1.000 44.280  1.32 2.365e+04  99.0000 
OBS: 59597.0458 Y WFD -7.3362e-02  6.804e-02    0  1.000 43.360  1.98 2.140e+04  99.0000 
OBS: 59607.0435 Y WFD  4.7796e-02  9.542e-02    0  1.000 42.590  2.27 1.288e+04  99.0000 
OBS: 59623.0996 z WFD  8.0444e-03  3.444e-02    0  1.000 44.270  1.97 2.517e+04  99.0000 
OBS: 59628.0321 z WFD -4.3348e-02  2.640e-02    0  1.000 44.280  1.55 2.476e+04  99.0000 
OBS: 59643.0165 z WFD  3.2468e-02  2.709e-02    0  1.000 44.260  1.86 2.078e+04  99.0000 
OBS: 59650.0161 Y WFD -8.2022e-03  8.995e-02    0  1.000 42.570  2.02 1.340e+04  99.0000 
OBS: 59659.0091 Y WFD -4.2679e-02  8.834e-02    0  1.000 42.550  2.00 1.305e+04  99.0000 
OBS: 59667.9957 z WFD -2.3759e-02  6.535e-02    0  1.000 43.490  3.20 1.434e+04  99.0000 
OBS: 59680.9953 Y WFD -8.3890e-02  7.360e-02    0  1.000 42.540  1.49 1.446e+04  99.0000 
OBS: 59683.9985 Y WFD  6.7040e-02  8.007e-02    0  1.000 42.520  1.50 1.534e+04  99.0000 
OBS: 59684.9890 Y WFD -1.4642e-01  8.044e-02    0  1.000 42.520  1.46 1.583e+04  99.0000 
OBS: 59692.9720 Y WFD -1.0124e-03  1.752e-01    0  1.000 42.500  3.04 1.625e+04  99.0000 
OBS: 59810.4145 i WFD -6.6278e-03  1.807e-02    0  1.000 43.840  1.42 1.234e+04  99.0000 
OBS: 59827.3657 g WFD -5.5402e-04  5.207e-03    0  1.000 44.780  1.80 6.663e+03  99.0000 
OBS: 59835.3231 Y WFD  4.6163e-02  5.705e-02    0  1.000 43.300  1.60 2.101e+04  99.0000 
OBS: 59836.3537 z WFD -3.0110e-02  2.999e-02    0  1.000 44.270  1.77 2.440e+04  99.0000 
OBS: 59839.3751 r WFD -4.7887e-03  1.154e-02    0  1.000 44.920  1.72 1.759e+04  99.0000 
OBS: 59840.3841 r WFD  4.9739e-03  1.254e-02    0  1.000 44.160  1.59 1.026e+04  99.0000 
OBS: 59850.3245 g WFD  6.8129e-03  7.512e-03    0  1.000 44.800  2.74 6.432e+03  99.0000 
OBS: 59851.2651 u WFD -3.9268e-02  3.539e-02    0  1.000 41.070  2.80 9.518e+02  99.0000 
OBS: 59853.3357 r WFD  9.0888e-03  7.994e-03    0  1.000 44.840  1.88 1.035e+04  99.0000 
OBS: 59857.2643 i WFD  1.4865e-03  1.720e-02    0  1.000 44.590  1.70 1.956e+04  99.0000 
OBS: 59859.2292 Y WFD -8.3150e-02  1.149e-01    0  1.000 42.520  2.20 1.501e+04  99.0000 
