SURVEY:   LSST
SNID:     1153137
IAUC:     NULL
SNTYPE:   121
RA:       241.575758  # deg
DEC:      -25.266826  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0980 +- 0.0049  # MW E(B-V) 
PEAKMJD:  59669.699     # estimate for LC fit codes
MJD_TRIGGER:       59655.293  
MJD_DETECT_FIRST:  59654.238  
MJD_DETECT_LAST:   60164.973  

REDSHIFT_HELIO:   0.503982 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.504548 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  707   # template index for SIMSED,NONIa
SIM_LIBID:           136    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.53657  
SIM_REDSHIFT_CMB:    0.53716  
SIM_REDSHIFT_HOST:   0.50398  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8062879892 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.574 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.443 -9.000 
SIM_DLMU:            42.4476   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0040   # mag 
SIM_RA:              241.575760     # deg  
SIM_DEC:             -25.266827      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0921   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59669.699    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -10.06  # days 
SIM_TRESTMAX:        583.98  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.76  26.76  25.07  24.31  23.97  24.02  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59654.2375 Y WFD  9.5284e+00  6.067e-02 4096  1.000 44.020  2.24 3.097e+04  25.0491 
OBS: 59655.2914 Y WFD  1.0909e+01  6.297e-02 6144  1.000 44.060  2.48 3.013e+04  24.9078 
OBS: 59674.4180 z WFD  2.4505e+01  8.095e-02 4096  1.000 43.530  2.54 2.320e+04  24.0255 
OBS: 59675.1928 r WFD  8.2465e+00  6.645e-03 4096  1.000 45.550  1.86 1.663e+04  25.2095 
OBS: 59676.3610 i WFD  1.6194e+01  9.918e-03 4096  1.000 45.360  1.88 2.061e+04  24.4768 
OBS: 59678.1767 z WFD  2.2318e+01  3.498e-02 4096  1.000 44.220  2.24 2.143e+04  24.1309 
OBS: 59680.1965 i WFD  1.4755e+01  1.497e-02 4096  1.000 44.580  1.52 1.878e+04  24.5788 
OBS: 59681.1816 z WFD  2.0950e+01  2.470e-02 4096  1.000 44.230  1.44 2.373e+04  24.1952 
OBS: 59683.1701 Y WFD  2.0383e+01  3.407e-02 4096  1.000 44.260  1.43 3.394e+04  24.2271 
OBS: 59684.1903 Y WFD  2.0288e+01  5.681e-02 4096  1.000 43.300  1.49 2.244e+04  24.2334 
OBS: 59710.2380 i WFD  4.6785e+00  1.381e-02 4096  1.000 44.620  1.56 1.756e+04  25.8248 
OBS: 59711.1011 Y WFD  9.7404e+00  8.760e-02 4096  1.000 42.540  1.75 1.464e+04  25.0247 
OBS: 59746.1480 z WFD  3.8602e+00  1.866e-02 4096  1.000 45.290  1.45 4.739e+04  26.0398 
OBS: 59748.2474 i WFD  2.4983e+00  2.901e-02 4096  1.000 44.600  2.49 2.273e+04  26.5172 
OBS: 59752.0991 i WFD  2.4092e+00  1.998e-02 4096  1.000 44.590  2.67 1.446e+04  26.5428 
OBS: 59756.9604 z WFD  3.5504e+00  4.666e-02 4096  1.000 44.230  2.10 3.083e+04  26.1405 
OBS: 59758.9594 z WFD  3.4682e+00  4.320e-02 4096  1.000 44.240  1.91 3.168e+04  26.1514 
OBS: 59767.9608 Y WFD  4.6597e+00  8.385e-02 4096  1.000 43.300  2.16 2.288e+04  25.8410 
OBS: 59773.1365 Y WFD  4.5358e+00  5.636e-02 4096  1.000 44.090  1.97 3.490e+04  25.8686 
OBS: 59774.1565 z WFD  3.1965e+00  4.476e-02 4096  1.000 44.270  1.98 3.255e+04  26.2416 
OBS: 59775.1836 z WFD  3.1772e+00  4.557e-02 4096  1.000 44.250  2.21 2.915e+04  26.2518 
OBS: 59776.1447 i WFD  2.0675e+00  2.806e-02 4096  1.000 44.620  2.30 2.425e+04  26.7052 
OBS: 59790.0655 g WFD  9.4821e-02  6.919e-03 4096  1.000 44.860  2.28 7.523e+03  30.0962 
OBS: 59791.0352 u WFD -3.6595e-03  2.598e-02    0  1.000 41.350  2.35 1.078e+03  31.6324 
OBS: 59802.1340 Y WFD  3.5795e+00  1.247e-01 4096  1.000 42.500  2.05 1.715e+04  26.1563 
OBS: 59809.0111 r WFD  5.4830e-01  6.812e-03 4096  1.000 44.870  1.44 1.183e+04  28.1329 
