SURVEY:   LSST
SNID:     1153257
IAUC:     NULL
SNTYPE:   121
RA:       57.125610  # deg
DEC:      -5.057665  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0680 +- 0.0034  # MW E(B-V) 
PEAKMJD:  59767.266     # estimate for LC fit codes
MJD_TRIGGER:       59803.398  
MJD_DETECT_FIRST:  59797.422  
MJD_DETECT_LAST:   59835.332  

REDSHIFT_HELIO:   1.345099 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.344114 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8941519797  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3451  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          57.125856    # deg 
HOSTGAL_DEC:         -5.057783    # deg 
HOSTGAL_SNSEP:       0.405       # arcsec 
HOSTGAL_DDLR:        2.639       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.922 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.736
HOSTGAL_SQRADIUS:     24.514   # Ixx + Iyy
HOSTGAL_MAG:     26.84  26.61  25.91  25.05  24.32  23.70 # ugrizY
HOSTGAL_MAGERR:   0.37   0.13   0.06   0.05   0.04   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  707   # template index for SIMSED,NONIa
SIM_LIBID:           256    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.34510  
SIM_REDSHIFT_CMB:    1.34410  
SIM_REDSHIFT_HOST:   1.36439  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8941519797 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.517 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.922 -9.000 
SIM_DLMU:            44.8956   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0140   # mag 
SIM_RA:              57.125610     # deg  
SIM_DEC:             -5.057665      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0667   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59767.266    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -78.57  # days 
SIM_TRESTMAX:        385.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.90  31.05  30.05  28.49  27.45  26.71  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0884 u WFD -1.6557e-02  2.776e-02    0  1.000 41.250  2.44 1.012e+03  99.0000 
OBS: 59593.0943 z WFD  1.2863e-02  3.791e-02    0  1.000 44.280  1.79 3.078e+04  99.0000 
OBS: 59594.0369 Y WFD  2.1436e-01  9.198e-02    0  1.000 43.350  1.86 3.052e+04  99.0000 
OBS: 59617.0367 Y WFD  1.2822e-01  1.259e-01    0  1.000 42.550  2.66 1.398e+04  99.0000 
OBS: 59628.0318 z WFD -5.6136e-03  4.063e-02    0  1.000 44.260  1.77 3.275e+04  99.0000 
OBS: 59797.4219 Y WFD  8.9099e-01  1.145e-01 4096  1.000 42.550  2.51 1.347e+04  27.6113 
OBS: 59803.3990 Y WFD  8.2706e-01  4.700e-02 6144  1.000 44.060  1.84 3.031e+04  27.8146 
OBS: 59819.3201 u WFD  5.0704e-02  2.998e-02    0  1.000 41.040  2.27 9.677e+02  33.4475 
OBS: 59824.3289 i WFD  3.4317e-02  1.307e-02    0  1.000 44.570  1.62 1.531e+04  31.3201 
OBS: 59825.4123 Y WFD  4.3377e-01  6.957e-02 4096  1.000 43.780  2.27 2.810e+04  28.4538 
OBS: 59835.3331 Y WFD  3.1373e-01  4.280e-02 4096  1.000 44.090  1.61 3.244e+04  28.6598 
OBS: 59840.3926 z WFD  1.2514e-01  3.424e-02    0  1.000 43.510  1.64 1.493e+04  30.0420 
OBS: 59841.3778 i WFD  3.2651e-02  2.180e-02    0  1.000 43.840  1.92 1.100e+04  31.6078 
OBS: 59842.3958 z WFD  5.0168e-02  3.519e-02    0  1.000 44.260  1.76 2.853e+04  30.0483 
OBS: 59843.2995 i WFD  2.4406e-02  1.269e-02    0  1.000 44.570  1.62 1.487e+04  31.6196 
OBS: 59845.3019 r WFD  8.8787e-03  8.598e-03    0  1.000 44.830  1.89 1.097e+04  32.7930 
OBS: 59849.2395 r WFD  1.7685e-02  1.304e-02    0  1.000 44.780  2.68 1.121e+04  32.8336 
OBS: 59850.3935 z WFD  1.9001e-01  5.642e-02    0  1.000 43.510  2.11 1.912e+04  30.0759 
OBS: 59851.2291 u WFD  1.2332e-02  1.946e-02    0  1.000 42.230  2.57 1.660e+03  34.0738 
OBS: 59860.2265 Y WFD  2.9738e-01  9.027e-02    0  1.000 42.540  1.67 1.582e+04  29.0717 
OBS: 59861.2026 Y WFD  1.9765e-01  8.102e-02    0  1.000 43.280  1.86 2.520e+04  29.0824 
OBS: 59867.3492 i WFD -2.5472e-02  3.525e-02    0  1.000 43.860  2.04 1.706e+04  31.7255 
OBS: 59868.2168 r WFD  1.2987e-02  7.425e-03    0  1.000 45.610  1.68 2.187e+04  32.9277 
OBS: 59871.2928 g WFD  7.5767e-03  4.367e-03    0  1.000 44.850  1.47 7.299e+03  33.6130 
OBS: 59872.2468 i WFD  3.2841e-02  1.021e-02    0  1.000 44.580  1.33 1.470e+04  31.7440 
OBS: 59878.1635 i WFD  3.0756e-02  1.232e-02    0  1.000 44.560  1.50 1.544e+04  31.7731 
OBS: 59879.1628 g WFD  4.7637e-03  4.711e-03    0  1.000 44.760  1.51 7.055e+03  33.7290 
OBS: 59882.3643 z WFD  3.6884e-02  3.659e-02    0  1.000 43.490  1.40 1.835e+04  30.2526 
OBS: 59896.2251 i WFD  3.3193e-02  2.505e-02    0  1.000 44.620  2.19 2.274e+04  31.8473 
OBS: 59904.1424 u WFD -1.6383e-02  2.557e-02    0  1.000 41.270  2.24 1.034e+03  34.6410 
OBS: 59905.1459 u WFD  2.5889e-03  2.808e-02    0  1.000 41.180  2.35 9.961e+02  34.6413 
OBS: 59906.1480 r WFD  1.7196e-02  8.544e-03    0  1.000 44.840  1.89 1.100e+04  33.1157 
OBS: 59914.2101 r WFD  6.4203e-03  9.682e-03    0  1.000 44.870  1.67 1.451e+04  33.0812 
OBS: 59917.0644 z WFD  1.3169e-01  3.945e-02    0  1.000 44.250  1.89 2.951e+04  30.4285 
