SURVEY:   LSST
SNID:     1155177
IAUC:     NULL
SNTYPE:   121
RA:       342.918318  # deg
DEC:      -4.628033  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0305 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59963.102     # estimate for LC fit codes
MJD_TRIGGER:       60080.434  
MJD_DETECT_FIRST:  60073.422  
MJD_DETECT_LAST:   60204.121  

REDSHIFT_HELIO:   1.077814 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.075316 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  754   # template index for SIMSED,NONIa
SIM_LIBID:           2176    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.10755  
SIM_REDSHIFT_CMB:    1.10502  
SIM_REDSHIFT_HOST:   1.07781  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9001551133 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.717 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.447 -9.000 
SIM_DLMU:            44.3711   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0127   # mag 
SIM_RA:              342.918304     # deg  
SIM_DEC:             -4.628034      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0328   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59963.102    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -100.13  # days 
SIM_TRESTMAX:        318.25  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.17  29.88  27.72  26.73  26.23  25.86  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.3239 i WFD -2.1882e-02  1.775e-02    0  1.000 44.590  1.98 1.734e+04  99.0000 
OBS: 59769.2929 z WFD  3.8520e-03  3.123e-02    0  1.000 43.490  1.54 1.424e+04  99.0000 
OBS: 59771.4203 z WFD  3.3992e-03  2.008e-02    0  1.000 45.000  1.94 2.919e+04  99.0000 
OBS: 59772.2798 Y WFD -6.0793e-02  8.451e-02    0  1.000 43.300  2.30 2.166e+04  99.0000 
OBS: 59773.4063 Y WFD -5.8442e-03  6.938e-02    0  1.000 43.310  1.79 2.306e+04  99.0000 
OBS: 59774.3337 z WFD -3.1179e-02  4.500e-02    0  1.000 44.280  1.89 3.460e+04  99.0000 
OBS: 59780.4363 z WFD -1.9506e-02  5.181e-02    0  1.000 43.480  1.99 1.811e+04  99.0000 
OBS: 59783.3317 r WFD -2.0117e-02  1.228e-02    0  1.000 44.850  2.59 1.165e+04  99.0000 
OBS: 59788.2892 g WFD  2.6863e-02  1.308e-02    0  1.000 44.090  3.04 5.249e+03  99.0000 
OBS: 59793.2300 g WFD  1.3173e-02  9.570e-03    0  1.000 44.820  3.08 7.425e+03  99.0000 
OBS: 59799.1935 z WFD -1.2619e-02  3.311e-02    0  1.000 44.250  1.99 2.352e+04  99.0000 
OBS: 59800.2243 Y WFD  6.3801e-02  8.954e-02    0  1.000 42.560  1.87 1.427e+04  99.0000 
OBS: 59807.2772 Y WFD  4.0348e-02  5.456e-02    0  1.000 43.750  1.84 2.645e+04  99.0000 
OBS: 59808.3535 i WFD  1.8626e-02  2.229e-02    0  1.000 44.580  1.82 2.346e+04  99.0000 
OBS: 59809.2566 r WFD -3.0366e-03  1.000e-02    0  1.000 44.910  1.44 1.803e+04  99.0000 
OBS: 59812.1890 r WFD  7.1648e-03  1.230e-02    0  1.000 44.840  2.56 1.170e+04  99.0000 
OBS: 59818.1303 u WFD -5.0422e-03  1.703e-02    0  1.000 41.920  1.91 1.470e+03  99.0000 
OBS: 59820.1763 i WFD  1.3686e-02  1.233e-02    0  1.000 44.580  1.55 1.524e+04  99.0000 
OBS: 59824.1551 i WFD  1.3804e-02  1.312e-02    0  1.000 44.580  1.63 1.542e+04  99.0000 
OBS: 59825.1018 z WFD -9.2240e-03  3.554e-02    0  1.000 44.230  2.27 2.173e+04  99.0000 
OBS: 59835.1604 Y WFD  4.3691e-02  7.181e-02    0  1.000 42.580  1.43 1.525e+04  99.0000 
OBS: 59836.0607 r WFD -1.3690e-02  1.587e-02    0  1.000 44.040  2.16 8.560e+03  99.0000 
OBS: 59837.1546 r WFD  4.0380e-03  1.209e-02    0  1.000 44.910  1.75 1.794e+04  99.0000 
OBS: 59839.1417 g WFD  1.1678e-02  5.324e-03    0  1.000 44.860  1.72 7.675e+03  99.0000 
OBS: 59846.1684 i WFD  9.1863e-04  2.058e-02    0  1.000 44.590  2.63 1.513e+04  99.0000 
OBS: 59855.0346 z WFD -7.9099e-03  2.494e-02    0  1.000 44.240  1.60 2.184e+04  99.0000 
