SURVEY:   LSST
SNID:     1157708
IAUC:     NULL
SNTYPE:   121
RA:       311.010677  # deg
DEC:      -10.735585  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0440 +- 0.0022  # MW E(B-V) 
PEAKMJD:  59570.004     # estimate for LC fit codes
MJD_TRIGGER:       59770.199  
MJD_DETECT_FIRST:  59769.211  
MJD_DETECT_LAST:   59859.008  

REDSHIFT_HELIO:   1.123011 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.121030 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10564217408  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1230  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          311.010528    # deg 
HOSTGAL_DEC:         -10.736815    # deg 
HOSTGAL_SNSEP:       2.222       # arcsec 
HOSTGAL_DDLR:        2.657       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.925 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.156
HOSTGAL_SQRADIUS:     27.945   # Ixx + Iyy
HOSTGAL_MAG:     26.15  25.53  24.39  23.29  22.73  22.59 # ugrizY
HOSTGAL_MAGERR:   0.35   0.04   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           4707    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.12301  
SIM_REDSHIFT_CMB:    1.12103  
SIM_REDSHIFT_HOST:   1.08283  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10564217408 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.148 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.925 -9.000 
SIM_DLMU:            44.4091   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0330   # mag 
SIM_RA:              311.010681     # deg  
SIM_DEC:             -10.735585      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0408   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59570.004    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        71.76  # days 
SIM_TRESTMAX:        498.83  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.11  29.90  28.17  26.78  26.10  25.96  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59722.3472 z WFD  2.5603e-01  3.243e-02    0  1.000 44.260  2.20 2.104e+04  29.2992 
OBS: 59728.3311 u WFD -1.1671e-02  1.976e-02    0  1.000 41.330  1.75 1.081e+03  33.8008 
OBS: 59729.2789 i WFD  7.8513e-02  1.448e-02    0  1.000 44.570  1.75 1.570e+04  30.6476 
OBS: 59757.4367 z WFD  5.6875e-02  6.824e-02    0  1.000 43.470  2.79 1.686e+04  29.6952 
OBS: 59767.1515 Y WFD  3.7216e-01  6.552e-02    0  1.000 43.700  2.27 2.459e+04  29.0242 
OBS: 59769.2118 z WFD  1.4728e-01  2.417e-02 4096  1.000 44.260  1.59 2.169e+04  29.7962 
OBS: 59770.2008 z WFD  1.8467e-01  2.597e-02 6144  1.000 44.260  1.59 2.331e+04  29.8047 
OBS: 59777.2629 Y WFD  2.2303e-01  7.357e-02    0  1.000 43.770  2.58 2.591e+04  29.1126 
OBS: 59779.2034 z WFD  1.5019e-01  2.655e-02    0  1.000 44.260  1.78 2.129e+04  29.8806 
OBS: 59788.2683 r WFD  3.7410e-02  1.403e-02    0  1.000 44.100  2.10 8.228e+03  31.9247 
OBS: 59790.2368 g WFD -5.2347e-03  7.603e-03    0  1.000 44.850  2.46 7.593e+03  33.1930 
OBS: 59796.0995 Y WFD  2.4440e-01  1.242e-01    0  1.000 42.550  2.71 1.353e+04  29.2800 
OBS: 59797.0824 z WFD  6.4222e-02  3.656e-02    0  1.000 44.240  2.29 2.237e+04  30.0242 
OBS: 59806.1234 i WFD -1.5145e-03  2.497e-02    0  1.000 44.630  1.93 2.596e+04  31.1706 
OBS: 59807.1134 r WFD  2.4390e-02  1.351e-02    0  1.000 44.150  1.39 1.253e+04  32.1404 
OBS: 59808.0445 g WFD  4.1313e-03  6.375e-03    0  1.000 44.740  1.91 7.409e+03  33.3524 
OBS: 59808.1613 r WFD  5.0556e-03  9.273e-03    0  1.000 44.900  1.51 1.580e+04  32.1528 
OBS: 59810.0877 r WFD  1.2154e-02  7.990e-03    0  1.000 44.840  1.68 1.158e+04  32.1759 
OBS: 59811.0823 r WFD  1.0426e-02  1.026e-02    0  1.000 44.820  2.13 1.151e+04  32.1850 
OBS: 59817.1201 u WFD  1.4411e-02  1.669e-02    0  1.000 41.340  1.50 1.075e+03  34.3499 
OBS: 59818.0566 u WFD  3.3079e-04  2.410e-02    0  1.000 41.220  2.01 1.037e+03  34.3574 
OBS: 59820.0532 i WFD -6.2109e-03  1.472e-02    0  1.000 44.570  1.84 1.519e+04  31.2687 
OBS: 59822.0179 i WFD  1.4161e-02  2.183e-02    0  1.000 44.560  2.61 1.574e+04  31.2827 
OBS: 59826.0949 z WFD  8.6921e-02  2.452e-02    0  1.000 45.020  2.40 2.936e+04  30.2293 
OBS: 59834.9935 Y WFD  1.2440e-01  6.214e-02    0  1.000 42.550  1.36 1.350e+04  29.5961 
OBS: 59835.0485 r WFD  1.1231e-02  1.683e-02    0  1.000 44.160  1.71 1.281e+04  32.4434 
OBS: 59836.1146 r WFD  1.5448e-02  1.334e-02    0  1.000 44.160  1.29 1.346e+04  32.4550 
OBS: 59836.9907 Y WFD  1.4569e-01  6.281e-02    0  1.000 42.550  1.36 1.364e+04  29.6117 
OBS: 59845.9911 z WFD  4.9853e-02  3.142e-02    0  1.000 45.020  2.13 4.238e+04  30.3616 
OBS: 59849.9959 z WFD  5.8084e-02  2.653e-02    0  1.000 44.260  1.81 2.091e+04  30.3879 
OBS: 59859.0091 Y WFD  1.4324e-01  2.651e-02 4096  1.000 45.090  1.43 5.682e+04  29.7813 
OBS: 59863.1092 z WFD  1.0044e-01  3.346e-02    0  1.000 44.250  1.69 2.799e+04  30.4726 
OBS: 59876.0868 u WFD -6.0848e-02  4.184e-02    0  1.000 41.030  3.05 9.961e+02  34.7604 
OBS: 59887.0166 Y WFD  1.8640e-02  5.764e-02    0  1.000 43.330  1.50 2.328e+04  29.9887 
OBS: 60036.4119 z WFD -1.3100e-02  4.422e-02    0  1.000 43.490  1.58 1.965e+04  31.3009 
OBS: 60043.4032 z WFD -1.2460e-02  6.366e-02    0  1.000 43.490  2.37 1.886e+04  31.3338 
OBS: 60044.4064 z WFD  3.6524e-02  2.920e-02    0  1.000 45.000  1.99 4.139e+04  31.3385 
OBS: 60045.4082 z WFD  1.1263e-01  4.769e-02    0  1.000 43.500  1.85 1.827e+04  31.3432 
OBS: 60051.4027 r WFD  1.0296e-02  1.013e-02    0  1.000 44.070  1.33 9.120e+03  33.5937 
OBS: 60051.4217 z WFD  7.4079e-02  3.996e-02    0  1.000 43.520  1.28 2.253e+04  31.3716 
OBS: 60055.3594 g WFD -1.0722e-02  6.109e-03    0  1.000 44.790  1.72 8.257e+03  34.9938 
OBS: 60056.3907 i WFD  2.4713e-02  8.921e-03    0  1.000 45.570  1.66 2.563e+04  32.4579 
OBS: 60057.3947 g WFD -8.2928e-03  9.990e-03    0  1.000 44.090  2.09 5.831e+03  35.0078 
OBS: 60057.4192 z WFD  4.3089e-02  3.783e-02    0  1.000 43.510  1.64 1.649e+04  31.3998 
OBS: 60058.3737 r WFD -1.1908e-02  1.003e-02    0  1.000 44.820  1.89 1.268e+04  33.6266 
OBS: 60060.3856 r WFD  7.3984e-03  7.816e-03    0  1.000 45.270  1.86 1.520e+04  33.6361 
OBS: 60062.3981 r WFD  2.4477e-02  1.338e-02    0  1.000 44.850  2.69 1.222e+04  33.6455 
OBS: 60064.3935 i WFD -1.0573e-02  1.034e-02    0  1.000 45.340  1.80 2.217e+04  32.4956 
OBS: 60065.4226 Y WFD  1.0686e-01  6.573e-02    0  1.000 43.770  2.30 2.597e+04  30.9754 
OBS: 60066.3626 i WFD  1.6822e-02  1.494e-02    0  1.000 44.580  1.82 1.573e+04  32.5048 
OBS: 60072.3343 z WFD  1.6589e-02  2.436e-02    0  1.000 45.000  1.70 4.043e+04  31.4701 
OBS: 60073.3196 Y WFD  8.4631e-02  5.297e-02    0  1.000 44.030  1.79 3.416e+04  31.0186 
OBS: 60080.3253 u WFD -2.4147e-02  2.746e-02    0  1.000 41.220  2.25 1.056e+03  36.3430 
OBS: 60084.3439 i WFD  2.3891e-03  1.358e-02    0  1.000 44.580  1.71 1.522e+04  32.5895 
OBS: 60087.2749 g WFD  1.2387e-02  6.648e-03    0  1.000 44.720  1.93 7.507e+03  35.2135 
OBS: 60095.2548 Y WFD  1.6193e-02  6.406e-02    0  1.000 43.280  1.81 2.048e+04  31.1387 
OBS: 60096.2617 Y WFD  9.6387e-02  1.016e-01    0  1.000 42.540  2.05 1.451e+04  31.1442 
OBS: 60111.2522 r WFD  1.1300e-02  6.509e-03    0  1.000 45.580  1.94 1.615e+04  33.8757 
OBS: 60113.2393 u WFD  1.4661e-02  2.513e-02    0  1.000 41.210  2.09 1.031e+03  36.6365 
OBS: 60123.1730 z WFD -6.7201e-02  2.644e-02    0  1.000 44.230  1.59 2.308e+04  31.7095 
OBS: 60127.1889 Y WFD -1.0551e-01  1.224e-01    0  1.000 42.560  2.17 1.682e+04  31.3134 
OBS: 60133.3204 i WFD  6.5371e-03  1.607e-02    0  1.000 45.370  1.91 3.336e+04  32.8202 
OBS: 60137.1610 i WFD  2.8284e-03  1.256e-02    0  1.000 45.320  2.16 2.202e+04  32.8383 
OBS: 60140.1328 u WFD  1.9207e-02  1.562e-02    0  1.000 41.890  1.73 1.448e+03  36.8763 
OBS: 60146.1514 g WFD  9.6908e-03  6.431e-03    0  1.000 44.810  2.03 7.501e+03  35.6187 
OBS: 60147.2394 r WFD -8.7565e-04  7.983e-03    0  1.000 44.850  1.72 1.140e+04  34.0452 
OBS: 60150.1891 r WFD -2.1275e-03  8.199e-03    0  1.000 44.850  1.75 1.151e+04  34.0591 
OBS: 60151.1908 r WFD -1.1083e-02  9.549e-03    0  1.000 44.880  1.75 1.378e+04  34.0638 
OBS: 60153.1091 Y WFD -8.5298e-02  6.114e-02    0  1.000 43.290  1.76 2.029e+04  31.4553 
OBS: 60166.1094 r WFD -7.5926e-03  7.936e-03    0  1.000 44.830  1.64 1.167e+04  34.1340 
OBS: 60177.0443 g WFD  1.1032e-02  6.564e-03    0  1.000 44.770  1.91 7.842e+03  35.8314 
