SURVEY:   LSST
SNID:     1157984
IAUC:     NULL
SNTYPE:   121
RA:       252.606870  # deg
DEC:      -14.523087  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.8049 +- 0.0402  # MW E(B-V) 
PEAKMJD:  59986.770     # estimate for LC fit codes
MJD_TRIGGER:       60000.395  
MJD_DETECT_FIRST:  59999.391  
MJD_DETECT_LAST:   60103.262  

REDSHIFT_HELIO:   0.879262 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.879540 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9001340902  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8793  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          252.606672    # deg 
HOSTGAL_DEC:         -14.523051    # deg 
HOSTGAL_SNSEP:       0.282       # arcsec 
HOSTGAL_DDLR:        1.076       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.350 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.375
HOSTGAL_SQRADIUS:     14.194   # Ixx + Iyy
HOSTGAL_MAG:     30.19  28.82  27.03  25.50  24.66  24.30 # ugrizY
HOSTGAL_MAGERR:   0.32   0.06   0.03   0.01   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           4983    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.87926  
SIM_REDSHIFT_CMB:    0.87954  
SIM_REDSHIFT_HOST:   0.85698  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9001340902 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.295 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.350 -9.000 
SIM_DLMU:            43.7557   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0075   # mag 
SIM_RA:              252.606873     # deg  
SIM_DEC:             -14.523088      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.8527   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59986.770    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -169.41  # days 
SIM_TRESTMAX:        302.39  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.02  31.65  28.82  27.47  26.79  26.43  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 110 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59668.4057 z WFD -4.4501e-02  6.120e-02    0  1.000 43.510  3.07 1.426e+04  99.0000 
OBS: 59676.3301 i WFD -1.9765e-03  1.119e-02    0  1.000 44.590  1.48 1.462e+04  99.0000 
OBS: 59680.2212 i WFD -1.8032e-02  1.860e-02    0  1.000 44.560  1.88 1.861e+04  99.0000 
OBS: 59681.2298 z WFD  4.4864e-02  2.329e-02    0  1.000 44.240  1.41 2.314e+04  99.0000 
OBS: 59683.2775 Y WFD  1.3575e-02  3.360e-02    0  1.000 43.770  1.26 2.423e+04  99.0000 
OBS: 59685.2938 Y WFD -7.4655e-02  6.840e-02    0  1.000 42.580  1.31 1.586e+04  99.0000 
OBS: 59694.3766 g WFD  5.8734e-03  6.832e-03    0  1.000 44.870  1.92 8.905e+03  99.0000 
OBS: 59699.4245 z WFD  7.5912e-02  6.597e-02    0  1.000 43.490  2.37 1.954e+04  99.0000 
OBS: 59701.4192 z WFD  3.4927e-02  3.475e-02    0  1.000 43.480  1.51 1.601e+04  99.0000 
OBS: 59709.2305 i WFD  4.0231e-03  1.621e-02    0  1.000 44.600  2.06 1.536e+04  99.0000 
OBS: 59711.1493 Y WFD -5.3749e-02  7.598e-02    0  1.000 43.300  2.20 2.036e+04  99.0000 
OBS: 59763.1666 u WFD -1.2573e-02  2.190e-02    0  1.000 42.000  2.66 1.461e+03  99.0000 
OBS: 59766.9791 Y WFD  1.2197e-01  1.296e-01    0  1.000 42.510  2.56 1.442e+04  99.0000 
OBS: 59768.0187 Y WFD -5.0130e-02  8.377e-02    0  1.000 43.300  2.51 1.967e+04  99.0000 
OBS: 59773.0128 Y WFD -3.5757e-02  3.477e-02    0  1.000 45.270  1.81 6.949e+04  99.0000 
OBS: 59774.1275 z WFD -1.5570e-02  2.013e-02    0  1.000 45.910  1.81 7.254e+04  99.0000 
OBS: 59775.1616 z WFD  8.9412e-02  3.997e-02    0  1.000 44.270  2.01 2.863e+04  99.0000 
OBS: 59775.9817 z WFD -4.2382e-02  3.547e-02    0  1.000 44.240  2.36 2.105e+04  99.0000 
OBS: 59776.1617 i WFD  1.5947e-02  2.876e-02    0  1.000 44.620  2.30 2.486e+04  99.0000 
OBS: 59781.9686 z WFD -1.5143e-02  3.858e-02    0  1.000 43.500  1.78 1.536e+04  99.0000 
OBS: 59788.0390 r WFD -1.3425e-03  1.065e-02    0  1.000 44.860  2.34 1.129e+04  99.0000 
OBS: 59801.1173 z WFD -4.2737e-02  2.742e-02    0  1.000 45.020  1.66 4.746e+04  99.0000 
OBS: 59806.0610 r WFD  1.2238e-02  1.936e-02    0  1.000 44.150  1.97 1.267e+04  99.0000 
OBS: 59809.0425 r WFD  1.0390e-03  7.047e-03    0  1.000 44.850  1.50 1.154e+04  99.0000 
OBS: 59811.9836 Y WFD -5.3658e-02  6.117e-02    0  1.000 42.570  1.43 1.287e+04  99.0000 
OBS: 59813.0569 r WFD -1.9380e-03  9.105e-03    0  1.000 44.840  1.88 1.179e+04  99.0000 
OBS: 59819.0299 u WFD  2.6137e-02  1.536e-02    0  1.000 42.080  1.89 1.553e+03  99.0000 
OBS: 59820.0466 i WFD  4.8315e-03  1.399e-02    0  1.000 44.590  1.75 1.546e+04  99.0000 
OBS: 59997.3654 u WFD  2.6822e-02  2.383e-02    0  1.000 41.910  2.56 1.521e+03  34.3487 
OBS: 59999.3898 z WFD  1.4928e+00  3.766e-02 4096  1.000 43.500  1.71 1.560e+04  27.0991 
OBS: 60000.3515 g WFD  1.2960e-02  4.675e-03    0  1.000 45.540  1.87 1.160e+04  32.3394 
OBS: 60000.3953 Y WFD  2.0927e+00  7.966e-02 6144  1.000 42.570  1.42 1.688e+04  26.6921 
OBS: 60002.3654 r WFD  1.1400e-01  1.097e-02 4096  1.000 44.830  2.13 1.242e+04  30.0789 
OBS: 60004.4010 z WFD  1.1696e+00  4.398e-02 4096  1.000 43.530  1.44 2.224e+04  27.3809 
OBS: 60008.3203 Y WFD  1.5368e+00  8.180e-02 4096  1.000 43.720  2.73 2.600e+04  27.0288 
OBS: 60009.3840 Y WFD  1.4589e+00  5.648e-02 4096  1.000 43.330  1.74 1.966e+04  27.0784 
OBS: 60011.3732 Y WFD  1.2572e+00  7.920e-02 4096  1.000 43.320  2.22 2.141e+04  27.1655 
OBS: 60019.4083 z WFD  4.9276e-01  4.968e-02 4096  1.000 43.530  1.70 2.129e+04  28.2304 
OBS: 60021.3593 g WFD  4.1230e-03  4.899e-03    0  1.000 44.870  1.53 8.013e+03  33.7043 
OBS: 60023.3432 r WFD  1.2767e-02  5.984e-03    0  1.000 44.850  1.25 1.176e+04  31.7420 
OBS: 60027.3073 u WFD -4.0167e-02  1.787e-02    0  1.000 41.280  1.52 1.075e+03  35.8026 
OBS: 60028.3806 r WFD  2.4086e-02  5.880e-03    0  1.000 44.850  1.27 1.137e+04  31.9234 
OBS: 60029.3812 i WFD  1.3320e-01  1.019e-02 4096  1.000 44.580  1.33 1.468e+04  29.8217 
OBS: 60031.2999 r WFD  1.5851e-03  6.114e-03    0  1.000 44.830  1.27 1.161e+04  32.0810 
OBS: 60032.3717 i WFD  1.1319e-01  9.561e-03 4096  1.000 44.580  1.25 1.465e+04  29.9223 
OBS: 60036.2758 i WFD  1.0077e-01  7.848e-03 4096  1.000 46.100  1.45 4.205e+04  30.0570 
OBS: 60038.2881 Y WFD  5.0940e-01  5.486e-02 4096  1.000 44.080  2.26 2.934e+04  28.0605 
OBS: 60040.2755 Y WFD  6.3751e-01  1.139e-01    0  1.000 42.560  2.05 1.656e+04  28.1042 
OBS: 60057.1877 g WFD -1.3648e-02  7.997e-03    0  1.000 44.710  2.39 7.226e+03  34.6215 
OBS: 60060.3088 r WFD  9.3054e-03  4.797e-03    0  1.000 45.610  1.50 1.582e+04  32.4320 
OBS: 60063.2440 r WFD  2.9892e-02  7.640e-03    0  1.000 45.610  1.98 1.909e+04  32.4036 
OBS: 60067.3138 z WFD  2.0677e-01  2.424e-02 4096  1.000 45.030  1.93 3.642e+04  29.2275 
OBS: 60077.2374 r WFD  2.1683e-02  1.025e-02    0  1.000 44.860  2.03 1.252e+04  32.2888 
