SURVEY:   LSST
SNID:     1158052
IAUC:     NULL
SNTYPE:   121
RA:       150.367694  # deg
DEC:      -60.547416  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3822 +- 0.0191  # MW E(B-V) 
PEAKMJD:  60690.285     # estimate for LC fit codes
MJD_TRIGGER:       60665.320  
MJD_DETECT_FIRST:  60661.332  
MJD_DETECT_LAST:   60665.352  

REDSHIFT_HELIO:   1.350559 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.352215 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10316905180  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3506  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          150.367684    # deg 
HOSTGAL_DEC:         -60.547381    # deg 
HOSTGAL_SNSEP:       0.065       # arcsec 
HOSTGAL_DDLR:        0.392       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.033 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.865
HOSTGAL_SQRADIUS:     7.760   # Ixx + Iyy
HOSTGAL_MAG:     32.26  29.79  28.37  26.91  26.10  25.28 # ugrizY
HOSTGAL_MAGERR:  26.62   0.40   0.23   0.12   0.14   0.15 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           5051    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.35056  
SIM_REDSHIFT_CMB:    1.35222  
SIM_REDSHIFT_HOST:   1.30082  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10316905180 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.211 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.033 -9.000 
SIM_DLMU:            44.9093   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0674   # mag 
SIM_RA:              150.367691     # deg  
SIM_DEC:             -60.547417      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3705   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60690.285    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -471.77  # days 
SIM_TRESTMAX:        -7.27  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.37  31.97  30.18  28.42  27.44  26.86  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.3549 z WFD  6.3602e-03  4.259e-02    0  1.000 44.270  1.94 3.162e+04  99.0000 
OBS: 59582.3630 z WFD -1.5678e-01  1.004e-01    0  1.000 43.530  3.13 2.337e+04  99.0000 
OBS: 59589.1654 Y WFD  5.5944e-02  1.088e-01    0  1.000 42.510  2.18 1.421e+04  99.0000 
OBS: 59590.2620 i WFD  3.1732e-03  1.333e-02    0  1.000 44.570  1.76 1.438e+04  99.0000 
OBS: 59594.2714 Y WFD -6.3170e-02  7.258e-02    0  1.000 43.760  1.92 3.403e+04  99.0000 
OBS: 59597.3540 Y WFD -9.8591e-02  1.380e-01    0  1.000 42.560  2.73 1.507e+04  99.0000 
OBS: 59601.2826 i WFD -1.5416e-02  1.422e-02    0  1.000 45.610  1.98 3.554e+04  99.0000 
OBS: 59608.3619 z WFD  5.0200e-02  3.910e-02    0  1.000 44.230  2.64 2.055e+04  99.0000 
OBS: 59631.3391 i WFD  5.0028e-02  1.915e-02    0  1.000 45.020  1.92 2.867e+04  99.0000 
OBS: 59634.0272 Y WFD -1.1412e-03  1.028e-01    0  1.000 42.510  2.05 1.427e+04  99.0000 
OBS: 59643.1452 r WFD  8.7244e-03  1.298e-02    0  1.000 44.800  2.96 1.029e+04  99.0000 
OBS: 59650.0872 r WFD  3.4635e-02  1.749e-02    0  1.000 44.880  2.49 1.774e+04  99.0000 
OBS: 59654.1002 Y WFD  6.3734e-02  8.269e-02    0  1.000 43.310  2.41 2.041e+04  99.0000 
OBS: 59664.0007 z WFD -9.8649e-02  5.454e-02    0  1.000 43.480  2.54 1.494e+04  99.0000 
OBS: 59669.9941 z WFD  2.3958e-02  3.652e-02    0  1.000 44.240  2.32 2.205e+04  99.0000 
OBS: 59675.9928 Y WFD  8.0857e-02  1.276e-01    0  1.000 42.550  2.79 1.351e+04  99.0000 
OBS: 59683.9791 Y WFD  4.7226e-02  7.433e-02    0  1.000 42.560  1.38 1.606e+04  99.0000 
OBS: 59685.1330 Y WFD -2.0327e-01  7.663e-02    0  1.000 42.560  1.43 1.598e+04  99.0000 
OBS: 59710.9568 Y WFD -8.6275e-02  1.297e-01    0  1.000 42.570  1.92 2.032e+04  99.0000 
OBS: 59712.0477 Y WFD  5.4709e-02  6.598e-02    0  1.000 43.300  1.90 2.047e+04  99.0000 
OBS: 59718.1004 i WFD  3.6358e-02  3.980e-02    0  1.000 43.830  2.24 1.706e+04  99.0000 
OBS: 59747.9514 Y WFD -2.9175e-02  1.380e-01    0  1.000 42.570  2.00 2.076e+04  99.0000 
OBS: 59748.0029 g WFD  6.1053e-03  5.999e-03    0  1.000 44.710  2.03 6.381e+03  99.0000 
OBS: 59887.3475 r WFD -1.1591e-02  1.526e-02    0  1.000 44.030  2.15 8.193e+03  99.0000 
OBS: 59898.3334 r WFD -4.3274e-03  1.605e-02    0  1.000 44.820  2.10 1.827e+04  99.0000 
OBS: 59902.3032 r WFD  2.4284e-02  1.309e-02    0  1.000 44.770  2.59 1.154e+04  99.0000 
OBS: 59915.3467 z WFD  2.5425e-02  3.642e-02    0  1.000 45.010  2.30 4.508e+04  99.0000 
OBS: 59916.2919 i WFD  2.9830e-02  1.500e-02    0  1.000 44.560  1.84 1.533e+04  99.0000 
OBS: 59926.3448 z WFD  3.2958e-02  3.194e-02    0  1.000 44.260  1.69 2.697e+04  99.0000 
OBS: 59929.2464 r WFD -5.1813e-03  5.448e-03    0  1.000 46.570  2.05 3.183e+04  99.0000 
OBS: 59946.2735 i WFD -9.5563e-04  1.408e-02    0  1.000 44.570  1.83 1.461e+04  99.0000 
OBS: 59948.2424 z WFD -9.3596e-03  3.211e-02    0  1.000 44.250  1.85 2.454e+04  99.0000 
OBS: 59950.2082 Y WFD -1.9189e-02  6.071e-02    0  1.000 43.290  1.63 2.175e+04  99.0000 
OBS: 59951.2833 z WFD  1.6174e-02  3.531e-02    0  1.000 44.260  1.89 2.665e+04  99.0000 
OBS: 59954.3230 i WFD  7.4440e-03  2.084e-02    0  1.000 45.050  2.12 2.904e+04  99.0000 
OBS: 59956.2857 i WFD -7.0873e-04  1.814e-02    0  1.000 44.600  1.69 2.095e+04  99.0000 
OBS: 59957.3411 Y WFD  1.6328e-02  7.015e-02    0  1.000 42.550  1.52 1.363e+04  99.0000 
OBS: 59968.3195 u WFD  3.3767e-03  3.345e-02    0  1.000 41.120  2.79 9.455e+02  99.0000 
OBS: 59976.1078 Y WFD -1.2711e-02  5.282e-02    0  1.000 43.690  1.77 2.519e+04  99.0000 
OBS: 59978.1469 Y WFD -1.5796e-02  7.558e-02    0  1.000 42.540  1.52 1.455e+04  99.0000 
OBS: 59979.1006 Y WFD -1.6356e-01  8.114e-02    0  1.000 42.520  1.50 1.554e+04  99.0000 
OBS: 59980.0975 Y WFD -2.6044e-03  8.312e-02    0  1.000 42.520  1.50 1.592e+04  99.0000 
OBS: 59982.2767 z WFD -1.8580e-02  2.978e-02    0  1.000 44.260  1.57 2.707e+04  99.0000 
OBS: 59985.3250 i WFD  1.6323e-02  1.594e-02    0  1.000 45.040  1.61 2.897e+04  99.0000 
OBS: 59987.3211 i WFD -3.8352e-02  2.094e-02    0  1.000 44.580  2.05 1.957e+04  99.0000 
OBS: 59997.0690 u WFD -1.0985e-02  1.714e-02    0  1.000 41.790  1.90 1.319e+03  99.0000 
OBS: 60000.1311 g WFD -1.4415e-03  5.042e-03    0  1.000 44.760  1.81 6.299e+03  99.0000 
OBS: 60002.0995 r WFD -7.6995e-03  9.603e-03    0  1.000 44.840  1.80 1.299e+04  99.0000 
OBS: 60004.0903 r WFD -4.6580e-03  1.577e-02    0  1.000 44.870  2.17 1.819e+04  99.0000 
OBS: 60010.3001 z WFD  1.3057e-02  4.482e-02    0  1.000 44.240  2.05 3.063e+04  99.0000 
OBS: 60027.1318 u WFD -1.8952e-02  1.421e-02    0  1.000 41.330  1.32 1.031e+03  99.0000 
OBS: 60036.0859 Y WFD  4.5411e-02  4.743e-02    0  1.000 43.300  1.43 1.955e+04  99.0000 
OBS: 60038.0973 Y WFD -3.5901e-02  5.975e-02    0  1.000 43.320  1.72 2.086e+04  99.0000 
OBS: 60039.1037 Y WFD  1.2774e-01  1.096e-01    0  1.000 42.580  2.15 1.548e+04  99.0000 
OBS: 60040.2010 Y WFD -1.5228e-01  1.249e-01    0  1.000 42.520  2.17 1.654e+04  99.0000 
OBS: 60041.2136 z WFD  1.7019e-02  4.517e-02    0  1.000 44.240  2.01 3.148e+04  99.0000 
OBS: 60051.0524 u WFD  4.9161e-02  2.059e-02    0  1.000 41.190  1.79 9.677e+02  99.0000 
OBS: 60054.9788 z WFD -1.2573e-02  2.202e-02    0  1.000 44.250  1.36 2.289e+04  99.0000 
OBS: 60055.0946 g WFD  5.5646e-03  5.063e-03    0  1.000 44.760  1.81 6.325e+03  99.0000 
OBS: 60066.1132 z WFD -8.5741e-03  3.090e-02    0  1.000 44.250  1.73 2.525e+04  99.0000 
OBS: 60070.1244 z WFD -3.5123e-03  2.482e-02    0  1.000 45.000  1.59 4.404e+04  99.0000 
OBS: 60072.9964 g WFD  5.0905e-03  8.407e-03    0  1.000 44.000  2.14 4.411e+03  99.0000 
OBS: 60094.0609 Y WFD  5.2033e-02  7.400e-02    0  1.000 43.260  2.05 2.050e+04  99.0000 
OBS: 60095.9806 Y WFD -5.2956e-02  7.270e-02    0  1.000 42.560  1.50 1.445e+04  99.0000 
OBS: 60123.9782 Y WFD  8.6377e-02  7.676e-02    0  1.000 43.270  1.94 2.268e+04  99.0000 
OBS: 60128.9592 Y WFD -7.7879e-02  9.528e-02    0  1.000 43.290  2.10 2.650e+04  99.0000 
OBS: 60269.3100 i WFD  6.9113e-03  2.051e-02    0  1.000 44.550  2.45 1.561e+04  99.0000 
OBS: 60270.2857 i WFD  5.9509e-03  1.545e-02    0  1.000 44.540  1.82 1.567e+04  99.0000 
OBS: 60279.3414 z WFD  6.2829e-02  5.897e-02    0  1.000 43.500  2.46 1.698e+04  99.0000 
OBS: 60291.2691 u WFD -8.9005e-03  1.478e-02    0  1.000 41.860  1.68 1.372e+03  99.0000 
OBS: 60297.3077 g WFD  8.3104e-04  5.341e-03    0  1.000 44.770  1.87 6.517e+03  99.0000 
OBS: 60300.2734 i WFD  1.3813e-02  1.748e-02    0  1.000 44.560  2.18 1.508e+04  99.0000 
OBS: 60301.2642 i WFD  4.9812e-03  1.265e-02    0  1.000 46.080  2.53 3.815e+04  99.0000 
OBS: 60302.2061 Y WFD -1.0973e-01  7.110e-02    0  1.000 43.260  1.90 2.126e+04  99.0000 
