SURVEY:   LSST
SNID:     1158754
IAUC:     NULL
SNTYPE:   121
RA:       298.539101  # deg
DEC:      -37.925997  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0850 +- 0.0043  # MW E(B-V) 
PEAKMJD:  60173.969     # estimate for LC fit codes
MJD_TRIGGER:       60159.004  
MJD_DETECT_FIRST:  60154.148  
MJD_DETECT_LAST:   60215.109  

REDSHIFT_HELIO:   1.320791 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.319546 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8004026244  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3208  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          298.539097    # deg 
HOSTGAL_DEC:         -37.926040    # deg 
HOSTGAL_SNSEP:       0.078       # arcsec 
HOSTGAL_DDLR:        0.548       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.572 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.674
HOSTGAL_SQRADIUS:     2.326   # Ixx + Iyy
HOSTGAL_MAG:     28.68  27.72  26.70  25.59  24.89  24.17 # ugrizY
HOSTGAL_MAGERR:  26.62   0.47   0.15   0.08   0.07   0.09 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           5753    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.32079  
SIM_REDSHIFT_CMB:    1.31955  
SIM_REDSHIFT_HOST:   1.37469  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8004026244 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.329 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.572 -9.000 
SIM_DLMU:            44.8463   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0123   # mag 
SIM_RA:              298.539093     # deg  
SIM_DEC:             -37.925999      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0838   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60173.969    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -202.43  # days 
SIM_TRESTMAX:        194.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.00  30.89  29.36  27.72  26.95  26.53  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59704.4215 z WFD  2.2324e-02  3.019e-02    0  1.000 43.520  1.52 1.433e+04  99.0000 
OBS: 59711.2639 Y WFD -2.3937e-01  1.040e-01    0  1.000 42.550  2.20 1.396e+04  99.0000 
OBS: 59712.2553 Y WFD  4.1501e-02  5.359e-02    0  1.000 44.050  2.20 2.865e+04  99.0000 
OBS: 59713.2521 Y WFD -1.0687e-03  3.926e-02    0  1.000 44.800  2.17 4.245e+04  99.0000 
OBS: 59722.3981 z WFD -1.7230e-02  2.082e-02    0  1.000 45.020  2.12 2.822e+04  99.0000 
OBS: 59729.3068 i WFD -1.9201e-02  1.226e-02    0  1.000 44.590  1.66 1.428e+04  99.0000 
OBS: 59749.2715 z WFD -3.1453e-02  2.086e-02    0  1.000 45.020  1.82 3.294e+04  99.0000 
OBS: 59753.2092 g WFD  5.7226e-03  6.679e-03    0  1.000 44.850  2.30 7.134e+03  99.0000 
OBS: 59754.1297 i WFD -1.8767e-03  1.547e-02    0  1.000 44.560  1.88 1.548e+04  99.0000 
OBS: 59769.1079 z WFD  2.7043e-02  2.621e-02    0  1.000 44.250  1.61 2.301e+04  99.0000 
OBS: 59776.3313 z WFD -1.7770e-01  9.680e-02    0  1.000 43.510  3.18 2.177e+04  99.0000 
OBS: 59778.0788 r WFD -2.1194e-03  8.055e-03    0  1.000 45.560  2.34 1.626e+04  99.0000 
OBS: 59791.0876 u WFD  2.0328e-02  2.302e-02    0  1.000 41.290  2.03 1.047e+03  99.0000 
OBS: 59798.0163 Y WFD -2.3620e-02  6.208e-02    0  1.000 43.280  1.75 2.053e+04  99.0000 
OBS: 59799.0094 Y WFD -2.0258e-02  6.819e-02    0  1.000 43.270  1.75 2.234e+04  99.0000 
OBS: 59803.0911 Y WFD  2.2124e-02  6.738e-02    0  1.000 43.370  1.59 2.664e+04  99.0000 
OBS: 59805.0415 i WFD  3.7785e-03  1.701e-02    0  1.000 45.070  1.65 3.101e+04  99.0000 
OBS: 59806.1596 i WFD  3.3337e-03  2.000e-02    0  1.000 44.640  1.76 2.302e+04  99.0000 
OBS: 59806.9724 Y WFD -2.6550e-02  1.171e-01    0  1.000 42.500  1.93 1.712e+04  99.0000 
OBS: 59808.9740 Y WFD  3.3929e-02  5.777e-02    0  1.000 43.710  1.65 3.010e+04  99.0000 
OBS: 59810.9702 Y WFD -1.0187e-01  1.374e-01    0  1.000 42.550  1.92 2.114e+04  99.0000 
OBS: 59813.0851 r WFD  5.3194e-03  1.004e-02    0  1.000 44.110  1.62 7.703e+03  99.0000 
OBS: 59817.9790 z WFD -6.0210e-02  3.938e-02    0  1.000 43.490  1.75 1.580e+04  99.0000 
OBS: 59818.0309 u WFD  4.2101e-02  1.916e-02    0  1.000 41.300  1.71 1.044e+03  99.0000 
OBS: 59820.9845 z WFD -8.1097e-03  1.676e-02    0  1.000 45.010  1.51 3.159e+04  99.0000 
OBS: 59831.0079 Y WFD -6.2231e-02  5.658e-02    0  1.000 43.790  1.74 3.010e+04  99.0000 
OBS: 59837.0596 r WFD -7.6836e-03  6.072e-03    0  1.000 44.860  1.37 1.099e+04  99.0000 
OBS: 59853.1374 r WFD -4.3543e-03  1.130e-02    0  1.000 44.810  2.18 1.228e+04  99.0000 
OBS: 59868.0615 r WFD -4.9222e-03  9.284e-03    0  1.000 44.840  1.95 1.159e+04  99.0000 
OBS: 59872.1039 i WFD -2.7344e-03  1.879e-02    0  1.000 43.800  1.53 1.147e+04  99.0000 
OBS: 59876.0565 u WFD -3.1915e-02  4.037e-02    0  1.000 41.100  3.10 1.009e+03  99.0000 
OBS: 60026.3717 g WFD  3.9064e-03  5.091e-03    0  1.000 44.760  1.43 8.051e+03  99.0000 
OBS: 60027.3818 u WFD -2.8233e-03  2.627e-02    0  1.000 41.180  2.05 1.069e+03  99.0000 
OBS: 60027.4027 z WFD -6.7196e-03  2.649e-02    0  1.000 44.250  1.46 2.565e+04  99.0000 
