SURVEY:   LSST
SNID:     1158843
IAUC:     NULL
SNTYPE:   121
RA:       50.676047  # deg
DEC:      -12.887461  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0567 +- 0.0028  # MW E(B-V) 
PEAKMJD:  59764.797     # estimate for LC fit codes
MJD_TRIGGER:       59821.414  
MJD_DETECT_FIRST:  59821.320  
MJD_DETECT_LAST:   59978.055  

REDSHIFT_HELIO:   0.941569 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.940572 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9001726569  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9416  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          50.676036    # deg 
HOSTGAL_DEC:         -12.887306    # deg 
HOSTGAL_SNSEP:       0.279       # arcsec 
HOSTGAL_DDLR:        1.792       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.433 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.286
HOSTGAL_SQRADIUS:     8.771   # Ixx + Iyy
HOSTGAL_MAG:     26.72  26.03  24.90  23.81  23.22  23.05 # ugrizY
HOSTGAL_MAGERR:   0.69   0.07   0.02   0.01   0.01   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           5842    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.94157  
SIM_REDSHIFT_CMB:    0.94057  
SIM_REDSHIFT_HOST:   0.89498  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9001726569 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.741 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.433 -9.000 
SIM_DLMU:            43.9370   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0140   # mag 
SIM_RA:              50.676048     # deg  
SIM_DEC:             -12.887461      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0566   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59764.797    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        28.08  # days 
SIM_TRESTMAX:        465.99  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.54  29.09  27.08  26.05  25.70  25.66  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 144 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59819.2899 u WFD  3.9370e-03  1.935e-02    0  1.000 42.230  2.57 1.651e+03  32.6614 
OBS: 59819.3530 g WFD  1.6747e-02  5.525e-03    0  1.000 44.820  1.94 6.805e+03  31.7045 
OBS: 59821.3209 r WFD  6.8281e-02  7.897e-03 4096  1.000 45.570  2.45 1.537e+04  30.5441 
OBS: 59821.4148 z WFD  6.9944e-01  3.673e-02 6144  1.000 43.510  1.73 1.518e+04  27.9153 
OBS: 59822.3764 i WFD  2.9949e-01  1.602e-02 4096  1.000 44.580  2.16 1.421e+04  28.7763 
OBS: 59824.2729 i WFD  2.9703e-01  9.876e-03 4096  1.000 45.310  1.70 2.180e+04  28.8118 
OBS: 59827.3158 z WFD  6.2207e-01  2.831e-02 4096  1.000 43.500  1.45 1.383e+04  27.9773 
OBS: 59831.2499 Y WFD  1.1907e+00  1.071e-01 4096  1.000 42.520  1.92 1.602e+04  27.5933 
OBS: 59832.3437 Y WFD  8.5489e-01  4.252e-02 4096  1.000 44.090  1.67 3.107e+04  27.6032 
OBS: 59835.2914 Y WFD  8.7922e-01  2.606e-02 4096  1.000 45.060  1.50 5.179e+04  27.6285 
OBS: 59836.3192 z WFD  6.4639e-01  1.970e-02 4096  1.000 45.470  1.76 4.867e+04  28.0476 
OBS: 59841.3031 g WFD  1.5374e-02  5.593e-03    0  1.000 45.590  2.60 1.045e+04  32.0005 
OBS: 59843.2337 i WFD  2.3513e-01  1.006e-02 4096  1.000 45.310  1.76 2.145e+04  29.0333 
OBS: 59843.4004 z WFD  5.4950e-01  4.314e-02 4096  1.000 43.520  1.59 1.958e+04  28.1314 
OBS: 59849.2171 r WFD  4.1645e-02  1.200e-02    0  1.000 44.790  2.53 1.103e+04  30.5784 
OBS: 59850.2261 i WFD  2.3372e-01  1.789e-02 4096  1.000 44.570  2.27 1.496e+04  29.1007 
OBS: 59856.1951 i WFD  2.4654e-01  1.371e-02 4096  1.000 45.330  2.00 2.621e+04  29.0995 
OBS: 59858.2257 z WFD  4.1561e-01  2.097e-02 4096  1.000 45.010  1.80 3.316e+04  28.3035 
OBS: 59860.1919 Y WFD  7.4574e-01  5.202e-02 4096  1.000 43.740  1.65 2.787e+04  27.8383 
OBS: 59861.1830 Y WFD  7.9469e-01  8.658e-02 4096  1.000 43.300  2.01 2.539e+04  27.8410 
OBS: 59862.1715 z WFD  5.2499e-01  2.857e-02 4096  1.000 45.010  1.43 5.688e+04  28.2909 
OBS: 59866.2244 i WFD  2.2994e-01  2.307e-02 4096  1.000 44.630  1.80 2.571e+04  29.1581 
OBS: 59868.1711 r WFD  5.8161e-02  6.776e-03 4096  1.000 44.810  1.45 1.106e+04  30.5389 
OBS: 59876.1317 u WFD  1.3903e-02  3.039e-02    0  1.000 41.030  2.31 9.550e+02  33.1239 
OBS: 59877.1233 u WFD -2.5900e-02  2.211e-02    0  1.000 41.070  1.71 9.740e+02  33.1542 
OBS: 59878.1377 i WFD  1.9879e-01  1.134e-02 4096  1.000 44.570  1.42 1.515e+04  29.2989 
OBS: 59882.3665 z WFD  4.0214e-01  4.148e-02 4096  1.000 43.480  1.41 2.047e+04  28.3899 
OBS: 59904.0936 u WFD  2.1252e-02  2.891e-02    0  1.000 41.170  2.42 9.866e+02  33.2498 
OBS: 59906.1885 r WFD  4.9299e-02  8.331e-03    0  1.000 44.830  1.89 1.063e+04  30.7105 
OBS: 59907.1232 r WFD  5.3281e-02  7.293e-03 4096  1.000 44.830  1.65 1.066e+04  30.7031 
OBS: 59911.0277 z WFD  4.2257e-01  4.120e-02 4096  1.000 44.250  2.03 2.869e+04  28.6547 
OBS: 59912.0373 z WFD  3.0282e-01  3.997e-02 4096  1.000 44.240  2.36 2.373e+04  28.6598 
OBS: 59918.0603 Y WFD  3.2392e-01  7.649e-02 4096  1.000 42.560  1.41 1.617e+04  28.3045 
OBS: 59924.1492 Y WFD  3.8664e-01  6.524e-02 4096  1.000 42.580  1.45 1.366e+04  28.3229 
